context: Yo, pay your rent, dumbass! Scum! response:	Korai House Landlord Daihatsu Meika
context: Yo, pay your rent, dumbass! Scum!\Korai House Landlord Daihatsu Meika response:	Mom, another hot sake, please.
context: Yo, pay your rent, dumbass! Scum!\Korai House Landlord Daihatsu Meika\Mom, another hot sake, please. response:	The hell are you doing?
context: Yo, pay your rent, dumbass! Scum!\Korai House Landlord Daihatsu Meika\Mom, another hot sake, please.\The hell are you doing? response:	And what are you here for?
context: Yo, pay your rent, dumbass! Scum!\Korai House Landlord Daihatsu Meika\Mom, another hot sake, please.\The hell are you doing?\And what are you here for? response:	Don't play dumb! I'm here to collect!
context: Yo, pay your rent, dumbass! Scum!\Korai House Landlord Daihatsu Meika\Mom, another hot sake, please.\The hell are you doing?\And what are you here for?\Don't play dumb! I'm here to collect! response:	You need to pay this rent you owe!
context: Yo, pay your rent, dumbass! Scum!\Korai House Landlord Daihatsu Meika\Mom, another hot sake, please.\The hell are you doing?\And what are you here for?\Don't play dumb! I'm here to collect!\You need to pay this rent you owe! response:	Penis rent?
context: Yo, pay your rent, dumbass! Scum!\Korai House Landlord Daihatsu Meika\Mom, another hot sake, please.\The hell are you doing?\And what are you here for?\Don't play dumb! I'm here to collect!\You need to pay this rent you owe!\Penis rent? response:	Pay. This. Rent!
context: Korai House Landlord Daihatsu Meika\Mom, another hot sake, please.\The hell are you doing?\And what are you here for?\Don't play dumb! I'm here to collect!\You need to pay this rent you owe!\Penis rent?\Pay. This. Rent! response:	What's the matter with you?
context: Mom, another hot sake, please.\The hell are you doing?\And what are you here for?\Don't play dumb! I'm here to collect!\You need to pay this rent you owe!\Penis rent?\Pay. This. Rent!\What's the matter with you? response:	Did something happen?
context: The hell are you doing?\And what are you here for?\Don't play dumb! I'm here to collect!\You need to pay this rent you owe!\Penis rent?\Pay. This. Rent!\What's the matter with you?\Did something happen? response:	Yesterday's exorcism didn't go so well.
context: And what are you here for?\Don't play dumb! I'm here to collect!\You need to pay this rent you owe!\Penis rent?\Pay. This. Rent!\What's the matter with you?\Did something happen?\Yesterday's exorcism didn't go so well. response:	Fake Exorcist Chichibu Rabura
context: Don't play dumb! I'm here to collect!\You need to pay this rent you owe!\Penis rent?\Pay. This. Rent!\What's the matter with you?\Did something happen?\Yesterday's exorcism didn't go so well.\Fake Exorcist Chichibu Rabura response:	They called me a scammer and a fraud.
context: You need to pay this rent you owe!\Penis rent?\Pay. This. Rent!\What's the matter with you?\Did something happen?\Yesterday's exorcism didn't go so well.\Fake Exorcist Chichibu Rabura\They called me a scammer and a fraud. response:	Necromancy
context: Penis rent?\Pay. This. Rent!\What's the matter with you?\Did something happen?\Yesterday's exorcism didn't go so well.\Fake Exorcist Chichibu Rabura\They called me a scammer and a fraud.\Necromancy response:	So you're drowning your sorrows?
context: Pay. This. Rent!\What's the matter with you?\Did something happen?\Yesterday's exorcism didn't go so well.\Fake Exorcist Chichibu Rabura\They called me a scammer and a fraud.\Necromancy\So you're drowning your sorrows? response:	I know I don't have spirit powers!
context: What's the matter with you?\Did something happen?\Yesterday's exorcism didn't go so well.\Fake Exorcist Chichibu Rabura\They called me a scammer and a fraud.\Necromancy\So you're drowning your sorrows?\I know I don't have spirit powers! response:	My family has been priestesses for generations.
context: Did something happen?\Yesterday's exorcism didn't go so well.\Fake Exorcist Chichibu Rabura\They called me a scammer and a fraud.\Necromancy\So you're drowning your sorrows?\I know I don't have spirit powers!\My family has been priestesses for generations. response:	I'm the only one with tan skin.
context: Yesterday's exorcism didn't go so well.\Fake Exorcist Chichibu Rabura\They called me a scammer and a fraud.\Necromancy\So you're drowning your sorrows?\I know I don't have spirit powers!\My family has been priestesses for generations.\I'm the only one with tan skin. response:	What's that got to do with anything?
context: Fake Exorcist Chichibu Rabura\They called me a scammer and a fraud.\Necromancy\So you're drowning your sorrows?\I know I don't have spirit powers!\My family has been priestesses for generations.\I'm the only one with tan skin.\What's that got to do with anything? response:	Besides, there's no such thing as spirits.
context: They called me a scammer and a fraud.\Necromancy\So you're drowning your sorrows?\I know I don't have spirit powers!\My family has been priestesses for generations.\I'm the only one with tan skin.\What's that got to do with anything?\Besides, there's no such thing as spirits. response:	You don't believe in spirits?
context: Necromancy\So you're drowning your sorrows?\I know I don't have spirit powers!\My family has been priestesses for generations.\I'm the only one with tan skin.\What's that got to do with anything?\Besides, there's no such thing as spirits.\You don't believe in spirits? response:	Of course not.
context: So you're drowning your sorrows?\I know I don't have spirit powers!\My family has been priestesses for generations.\I'm the only one with tan skin.\What's that got to do with anything?\Besides, there's no such thing as spirits.\You don't believe in spirits?\Of course not. response:	Who's that, then?
context: I know I don't have spirit powers!\My family has been priestesses for generations.\I'm the only one with tan skin.\What's that got to do with anything?\Besides, there's no such thing as spirits.\You don't believe in spirits?\Of course not.\Who's that, then? response:	C-Cut that out.
context: My family has been priestesses for generations.\I'm the only one with tan skin.\What's that got to do with anything?\Besides, there's no such thing as spirits.\You don't believe in spirits?\Of course not.\Who's that, then?\C-Cut that out. response:	I'm kidding.
context: I'm the only one with tan skin.\What's that got to do with anything?\Besides, there's no such thing as spirits.\You don't believe in spirits?\Of course not.\Who's that, then?\C-Cut that out.\I'm kidding. response:	What?
context: What's that got to do with anything?\Besides, there's no such thing as spirits.\You don't believe in spirits?\Of course not.\Who's that, then?\C-Cut that out.\I'm kidding.\What? response:	It came from downstairs!
context: Besides, there's no such thing as spirits.\You don't believe in spirits?\Of course not.\Who's that, then?\C-Cut that out.\I'm kidding.\What?\It came from downstairs! response:	Punch Line
context: You don't believe in spirits?\Of course not.\Who's that, then?\C-Cut that out.\I'm kidding.\What?\It came from downstairs!\Punch Line response:	Hey, Ito, open up!
context: Of course not.\Who's that, then?\C-Cut that out.\I'm kidding.\What?\It came from downstairs!\Punch Line\Hey, Ito, open up! response:	What was that noise just now?
context: Who's that, then?\C-Cut that out.\I'm kidding.\What?\It came from downstairs!\Punch Line\Hey, Ito, open up!\What was that noise just now? response:	That was, uh... It was me. I screamed.
context: C-Cut that out.\I'm kidding.\What?\It came from downstairs!\Punch Line\Hey, Ito, open up!\What was that noise just now?\That was, uh... It was me. I screamed. response:	Huh?
context: I'm kidding.\What?\It came from downstairs!\Punch Line\Hey, Ito, open up!\What was that noise just now?\That was, uh... It was me. I screamed.\Huh? response:	You know how the air's been really dry lately?
context: What?\It came from downstairs!\Punch Line\Hey, Ito, open up!\What was that noise just now?\That was, uh... It was me. I screamed.\Huh?\You know how the air's been really dry lately? response:	That's why you screamed like that?
context: It came from downstairs!\Punch Line\Hey, Ito, open up!\What was that noise just now?\That was, uh... It was me. I screamed.\Huh?\You know how the air's been really dry lately?\That's why you screamed like that? response:	Yeah, it's refreshing to scream.
context: Punch Line\Hey, Ito, open up!\What was that noise just now?\That was, uh... It was me. I screamed.\Huh?\You know how the air's been really dry lately?\That's why you screamed like that?\Yeah, it's refreshing to scream. response:	That's why...
context: Hey, Ito, open up!\What was that noise just now?\That was, uh... It was me. I screamed.\Huh?\You know how the air's been really dry lately?\That's why you screamed like that?\Yeah, it's refreshing to scream.\That's why... response:	Huh, it sounded like a beast's roar.
context: What was that noise just now?\That was, uh... It was me. I screamed.\Huh?\You know how the air's been really dry lately?\That's why you screamed like that?\Yeah, it's refreshing to scream.\That's why...\Huh, it sounded like a beast's roar. response:	Of course not!
context: That was, uh... It was me. I screamed.\Huh?\You know how the air's been really dry lately?\That's why you screamed like that?\Yeah, it's refreshing to scream.\That's why...\Huh, it sounded like a beast's roar.\Of course not! response:	We can't have pets in Korai House, right?
context: Huh?\You know how the air's been really dry lately?\That's why you screamed like that?\Yeah, it's refreshing to scream.\That's why...\Huh, it sounded like a beast's roar.\Of course not!\We can't have pets in Korai House, right? response:	Hey! What was it that time?
