context: Somehow, I... response:	No, sometime during summer vacation I'll write an interesting name.
context: Somehow, I...\No, sometime during summer vacation I'll write an interesting name. response:	Miyoshi received a response from a company, asking her to write more of her cell phone novel.
context: Somehow, I...\No, sometime during summer vacation I'll write an interesting name.\Miyoshi received a response from a company, asking her to write more of her cell phone novel. response:	Isn't it natural to want to be with someone you like?
context: Somehow, I...\No, sometime during summer vacation I'll write an interesting name.\Miyoshi received a response from a company, asking her to write more of her cell phone novel.\Isn't it natural to want to be with someone you like? response:	Like I said, you and Azuki aren't normal.
context: Somehow, I...\No, sometime during summer vacation I'll write an interesting name.\Miyoshi received a response from a company, asking her to write more of her cell phone novel.\Isn't it natural to want to be with someone you like?\Like I said, you and Azuki aren't normal. response:	Time's up.
context: Somehow, I...\No, sometime during summer vacation I'll write an interesting name.\Miyoshi received a response from a company, asking her to write more of her cell phone novel.\Isn't it natural to want to be with someone you like?\Like I said, you and Azuki aren't normal.\Time's up. response:	Shuujin.
context: Somehow, I...\No, sometime during summer vacation I'll write an interesting name.\Miyoshi received a response from a company, asking her to write more of her cell phone novel.\Isn't it natural to want to be with someone you like?\Like I said, you and Azuki aren't normal.\Time's up.\Shuujin. response:	Starting now, I'm drawing manga on my own.
context: Somehow, I...\No, sometime during summer vacation I'll write an interesting name.\Miyoshi received a response from a company, asking her to write more of her cell phone novel.\Isn't it natural to want to be with someone you like?\Like I said, you and Azuki aren't normal.\Time's up.\Shuujin.\Starting now, I'm drawing manga on my own. response:	Eh?! W-Why?!
context: No, sometime during summer vacation I'll write an interesting name.\Miyoshi received a response from a company, asking her to write more of her cell phone novel.\Isn't it natural to want to be with someone you like?\Like I said, you and Azuki aren't normal.\Time's up.\Shuujin.\Starting now, I'm drawing manga on my own.\Eh?! W-Why?! response:	You shouldn't have to ask why.
context: Miyoshi received a response from a company, asking her to write more of her cell phone novel.\Isn't it natural to want to be with someone you like?\Like I said, you and Azuki aren't normal.\Time's up.\Shuujin.\Starting now, I'm drawing manga on my own.\Eh?! W-Why?!\You shouldn't have to ask why. response:	If you're trying to become a mangaka, you need to honor your deadlines.
context: Isn't it natural to want to be with someone you like?\Like I said, you and Azuki aren't normal.\Time's up.\Shuujin.\Starting now, I'm drawing manga on my own.\Eh?! W-Why?!\You shouldn't have to ask why.\If you're trying to become a mangaka, you need to honor your deadlines. response:	Yeah, but...
context: Like I said, you and Azuki aren't normal.\Time's up.\Shuujin.\Starting now, I'm drawing manga on my own.\Eh?! W-Why?!\You shouldn't have to ask why.\If you're trying to become a mangaka, you need to honor your deadlines.\Yeah, but... response:	Saikou...
context: Time's up.\Shuujin.\Starting now, I'm drawing manga on my own.\Eh?! W-Why?!\You shouldn't have to ask why.\If you're trying to become a mangaka, you need to honor your deadlines.\Yeah, but...\Saikou... response:	Okay, I'll take it back.
context: Shuujin.\Starting now, I'm drawing manga on my own.\Eh?! W-Why?!\You shouldn't have to ask why.\If you're trying to become a mangaka, you need to honor your deadlines.\Yeah, but...\Saikou...\Okay, I'll take it back. response:	I don't really like the idea of you and Miyoshi being there alone.
context: Starting now, I'm drawing manga on my own.\Eh?! W-Why?!\You shouldn't have to ask why.\If you're trying to become a mangaka, you need to honor your deadlines.\Yeah, but...\Saikou...\Okay, I'll take it back.\I don't really like the idea of you and Miyoshi being there alone. response:	Saikou, in that respect, you've got the wrong idea.
context: Eh?! W-Why?!\You shouldn't have to ask why.\If you're trying to become a mangaka, you need to honor your deadlines.\Yeah, but...\Saikou...\Okay, I'll take it back.\I don't really like the idea of you and Miyoshi being there alone.\Saikou, in that respect, you've got the wrong idea. response:	Miyoshi's presence wasn't the reason why I couldn't write a name.
context: You shouldn't have to ask why.\If you're trying to become a mangaka, you need to honor your deadlines.\Yeah, but...\Saikou...\Okay, I'll take it back.\I don't really like the idea of you and Miyoshi being there alone.\Saikou, in that respect, you've got the wrong idea.\Miyoshi's presence wasn't the reason why I couldn't write a name. response:	It was the other way around.
context: If you're trying to become a mangaka, you need to honor your deadlines.\Yeah, but...\Saikou...\Okay, I'll take it back.\I don't really like the idea of you and Miyoshi being there alone.\Saikou, in that respect, you've got the wrong idea.\Miyoshi's presence wasn't the reason why I couldn't write a name.\It was the other way around. response:	The other way around?
context: Yeah, but...\Saikou...\Okay, I'll take it back.\I don't really like the idea of you and Miyoshi being there alone.\Saikou, in that respect, you've got the wrong idea.\Miyoshi's presence wasn't the reason why I couldn't write a name.\It was the other way around.\The other way around? response:	Yeah, I thought that if I got serious with Miyoshi, it would definitely make me want to sell even more.
context: Saikou...\Okay, I'll take it back.\I don't really like the idea of you and Miyoshi being there alone.\Saikou, in that respect, you've got the wrong idea.\Miyoshi's presence wasn't the reason why I couldn't write a name.\It was the other way around.\The other way around?\Yeah, I thought that if I got serious with Miyoshi, it would definitely make me want to sell even more. response:	I also thought it might even be a good idea not to meet until our dreams come true, like with you and Azuki.
context: Okay, I'll take it back.\I don't really like the idea of you and Miyoshi being there alone.\Saikou, in that respect, you've got the wrong idea.\Miyoshi's presence wasn't the reason why I couldn't write a name.\It was the other way around.\The other way around?\Yeah, I thought that if I got serious with Miyoshi, it would definitely make me want to sell even more.\I also thought it might even be a good idea not to meet until our dreams come true, like with you and Azuki. response:	Love comes in many forms.
