context: The Third Plate response:	Seventeen
context: The Third Plate\Seventeen response:	You will lose a third time, too
context: The Third Plate\Seventeen\You will lose a third time, too response:	An even worse defeat than before.
context: The Third Plate\Seventeen\You will lose a third time, too\An even worse defeat than before. response:	Hey, Hayama.
context: The Third Plate\Seventeen\You will lose a third time, too\An even worse defeat than before.\Hey, Hayama. response:	You look kind of glum for someone who managed to win a seat in the Elite Ten.
context: The Third Plate\Seventeen\You will lose a third time, too\An even worse defeat than before.\Hey, Hayama.\You look kind of glum for someone who managed to win a seat in the Elite Ten. response:	You even got in bed with Central
context: The Third Plate\Seventeen\You will lose a third time, too\An even worse defeat than before.\Hey, Hayama.\You look kind of glum for someone who managed to win a seat in the Elite Ten.\You even got in bed with Central response:	to get what you wanted in the Elite Ten.
context: The Third Plate\Seventeen\You will lose a third time, too\An even worse defeat than before.\Hey, Hayama.\You look kind of glum for someone who managed to win a seat in the Elite Ten.\You even got in bed with Central\to get what you wanted in the Elite Ten. response:	You should at least look like you're having fun.
context: Seventeen\You will lose a third time, too\An even worse defeat than before.\Hey, Hayama.\You look kind of glum for someone who managed to win a seat in the Elite Ten.\You even got in bed with Central\to get what you wanted in the Elite Ten.\You should at least look like you're having fun. response:	I didn't join Central to have fun.
context: You will lose a third time, too\An even worse defeat than before.\Hey, Hayama.\You look kind of glum for someone who managed to win a seat in the Elite Ten.\You even got in bed with Central\to get what you wanted in the Elite Ten.\You should at least look like you're having fun.\I didn't join Central to have fun. response:	I joined Central...
context: An even worse defeat than before.\Hey, Hayama.\You look kind of glum for someone who managed to win a seat in the Elite Ten.\You even got in bed with Central\to get what you wanted in the Elite Ten.\You should at least look like you're having fun.\I didn't join Central to have fun.\I joined Central... response:	What do you mean by that
context: Hey, Hayama.\You look kind of glum for someone who managed to win a seat in the Elite Ten.\You even got in bed with Central\to get what you wanted in the Elite Ten.\You should at least look like you're having fun.\I didn't join Central to have fun.\I joined Central...\What do you mean by that response:	That's none of your business.
context: You look kind of glum for someone who managed to win a seat in the Elite Ten.\You even got in bed with Central\to get what you wanted in the Elite Ten.\You should at least look like you're having fun.\I didn't join Central to have fun.\I joined Central...\What do you mean by that\That's none of your business. response:	Stop bothering me.
context: You even got in bed with Central\to get what you wanted in the Elite Ten.\You should at least look like you're having fun.\I didn't join Central to have fun.\I joined Central...\What do you mean by that\That's none of your business.\Stop bothering me. response:	This match is only a checkpoint for me.
context: to get what you wanted in the Elite Ten.\You should at least look like you're having fun.\I didn't join Central to have fun.\I joined Central...\What do you mean by that\That's none of your business.\Stop bothering me.\This match is only a checkpoint for me. response:	Food Wars
