context: There is no way a monster that plays response:	with an innocent girl's emotions would...
context: There is no way a monster that plays\with an innocent girl's emotions would... response:	There is no way he'd look good in a tuxedo!
context: There is no way a monster that plays\with an innocent girl's emotions would...\There is no way he'd look good in a tuxedo! response:	In the name of the moon, Sailor Moon will punish you!
context: There is no way a monster that plays\with an innocent girl's emotions would...\There is no way he'd look good in a tuxedo!\In the name of the moon, Sailor Moon will punish you! response:	I'm sorry I'm not straightforward, I can say it in my dreams
context: There is no way a monster that plays\with an innocent girl's emotions would...\There is no way he'd look good in a tuxedo!\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams response:	My thoughts are about to short circuit, I want to see you right now
context: There is no way a monster that plays\with an innocent girl's emotions would...\There is no way he'd look good in a tuxedo!\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now response:	Moonlight that makes me want to cry, midnight that keeps me from calling
context: There is no way a monster that plays\with an innocent girl's emotions would...\There is no way he'd look good in a tuxedo!\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling response:	Because I'm so innocent, what should I do? The heart is a kaleidoscope
context: There is no way a monster that plays\with an innocent girl's emotions would...\There is no way he'd look good in a tuxedo!\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope response:	Guided by the light of the moon
context: with an innocent girl's emotions would...\There is no way he'd look good in a tuxedo!\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon response:	We will meet again and again
context: There is no way he'd look good in a tuxedo!\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again response:	I count the sparkle of constellations to foretell the future of my love
context: In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love response:	We were born in the same land, miracle romance
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance response:	I believe in it, miracle romance
context: My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance response:	I'm Usagi Tsukino. I don't look like a super heroine, but I am!
context: Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am! response:	As you know, I transform myself by using a peculiar brooch
context: Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch response:	and fight against bad guys.
context: Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys. response:	I'm the sailor warrior of love and justice, Sailor Moon!
context: We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon! response:	And my friends are the smart and sweet Ami Mizuno,
context: I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno, response:	and a slightly quick-tempered psychic girl, Rei Hino.
context: We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino. response:	Both of them are so dependable, I feel like I'll fall behind.
context: I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind. response:	But anyway, I just have to do my best!
context: I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best! response:	Usagi Is Thrilled! Tuxedo Mask's Love Letter
context: As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Usagi Is Thrilled! Tuxedo Mask's Love Letter response:	The stars know everything.
context: and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Usagi Is Thrilled! Tuxedo Mask's Love Letter\The stars know everything. response:	Leo shines in the southern night sky.
context: I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Usagi Is Thrilled! Tuxedo Mask's Love Letter\The stars know everything.\Leo shines in the southern night sky. response:	And the star, Regulus, presides over his strong leg.
context: And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Usagi Is Thrilled! Tuxedo Mask's Love Letter\The stars know everything.\Leo shines in the southern night sky.\And the star, Regulus, presides over his strong leg. response:	Show me the weakness of the sailor warriors, our despised enemies.
context: and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Usagi Is Thrilled! Tuxedo Mask's Love Letter\The stars know everything.\Leo shines in the southern night sky.\And the star, Regulus, presides over his strong leg.\Show me the weakness of the sailor warriors, our despised enemies. response:	Tuxedo Mask!
context: Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Usagi Is Thrilled! Tuxedo Mask's Love Letter\The stars know everything.\Leo shines in the southern night sky.\And the star, Regulus, presides over his strong leg.\Show me the weakness of the sailor warriors, our despised enemies.\Tuxedo Mask! response:	Moon Tiara Action!
context: But anyway, I just have to do my best!\Usagi Is Thrilled! Tuxedo Mask's Love Letter\The stars know everything.\Leo shines in the southern night sky.\And the star, Regulus, presides over his strong leg.\Show me the weakness of the sailor warriors, our despised enemies.\Tuxedo Mask!\Moon Tiara Action! response:	Fire Soul!
context: Usagi Is Thrilled! Tuxedo Mask's Love Letter\The stars know everything.\Leo shines in the southern night sky.\And the star, Regulus, presides over his strong leg.\Show me the weakness of the sailor warriors, our despised enemies.\Tuxedo Mask!\Moon Tiara Action!\Fire Soul! response:	Good-bye, sailor warriors!
context: The stars know everything.\Leo shines in the southern night sky.\And the star, Regulus, presides over his strong leg.\Show me the weakness of the sailor warriors, our despised enemies.\Tuxedo Mask!\Moon Tiara Action!\Fire Soul!\Good-bye, sailor warriors! response:	He's so dreamy!
context: Leo shines in the southern night sky.\And the star, Regulus, presides over his strong leg.\Show me the weakness of the sailor warriors, our despised enemies.\Tuxedo Mask!\Moon Tiara Action!\Fire Soul!\Good-bye, sailor warriors!\He's so dreamy! response:	I have found Sailor Moon's weakness!
context: And the star, Regulus, presides over his strong leg.\Show me the weakness of the sailor warriors, our despised enemies.\Tuxedo Mask!\Moon Tiara Action!\Fire Soul!\Good-bye, sailor warriors!\He's so dreamy!\I have found Sailor Moon's weakness! response:	Nephrite, Queen Beryl is calling for you.
context: Show me the weakness of the sailor warriors, our despised enemies.\Tuxedo Mask!\Moon Tiara Action!\Fire Soul!\Good-bye, sailor warriors!\He's so dreamy!\I have found Sailor Moon's weakness!\Nephrite, Queen Beryl is calling for you. response:	Nephrite, it seems the collection of human energy
