context: The Third Plate response:	Seven
context: The Third Plate\Seven response:	A speech broadcast?
context: The Third Plate\Seven\A speech broadcast? response:	Yeah, I hear Nakiri Azami's doing that today.
context: The Third Plate\Seven\A speech broadcast?\Yeah, I hear Nakiri Azami's doing that today. response:	It's going to be broadcast live throughout campus.
context: The Third Plate\Seven\A speech broadcast?\Yeah, I hear Nakiri Azami's doing that today.\It's going to be broadcast live throughout campus. response:	Huh.
context: The Third Plate\Seven\A speech broadcast?\Yeah, I hear Nakiri Azami's doing that today.\It's going to be broadcast live throughout campus.\Huh. response:	I have to say, running away from home
context: The Third Plate\Seven\A speech broadcast?\Yeah, I hear Nakiri Azami's doing that today.\It's going to be broadcast live throughout campus.\Huh.\I have to say, running away from home response:	is a pretty drastic move on Nakiri Erina-san's part.
context: The Third Plate\Seven\A speech broadcast?\Yeah, I hear Nakiri Azami's doing that today.\It's going to be broadcast live throughout campus.\Huh.\I have to say, running away from home\is a pretty drastic move on Nakiri Erina-san's part. response:	But is it going to work out?
context: Seven\A speech broadcast?\Yeah, I hear Nakiri Azami's doing that today.\It's going to be broadcast live throughout campus.\Huh.\I have to say, running away from home\is a pretty drastic move on Nakiri Erina-san's part.\But is it going to work out? response:	If they figure out that Polar Star Dormitory is hiding her...
context: A speech broadcast?\Yeah, I hear Nakiri Azami's doing that today.\It's going to be broadcast live throughout campus.\Huh.\I have to say, running away from home\is a pretty drastic move on Nakiri Erina-san's part.\But is it going to work out?\If they figure out that Polar Star Dormitory is hiding her... response:	Well, I dunno.
context: Yeah, I hear Nakiri Azami's doing that today.\It's going to be broadcast live throughout campus.\Huh.\I have to say, running away from home\is a pretty drastic move on Nakiri Erina-san's part.\But is it going to work out?\If they figure out that Polar Star Dormitory is hiding her...\Well, I dunno. response:	For now, Arato's coming here every day to drop off stuff like changes of clothes,
context: It's going to be broadcast live throughout campus.\Huh.\I have to say, running away from home\is a pretty drastic move on Nakiri Erina-san's part.\But is it going to work out?\If they figure out that Polar Star Dormitory is hiding her...\Well, I dunno.\For now, Arato's coming here every day to drop off stuff like changes of clothes, response:	and the other Nakiri and Kurokiba come visit sometimes,
context: Huh.\I have to say, running away from home\is a pretty drastic move on Nakiri Erina-san's part.\But is it going to work out?\If they figure out that Polar Star Dormitory is hiding her...\Well, I dunno.\For now, Arato's coming here every day to drop off stuff like changes of clothes,\and the other Nakiri and Kurokiba come visit sometimes, response:	but it doesn't look like they've figured it out.
context: I have to say, running away from home\is a pretty drastic move on Nakiri Erina-san's part.\But is it going to work out?\If they figure out that Polar Star Dormitory is hiding her...\Well, I dunno.\For now, Arato's coming here every day to drop off stuff like changes of clothes,\and the other Nakiri and Kurokiba come visit sometimes,\but it doesn't look like they've figured it out. response:	That sure sounds like they've figured it all out!
context: is a pretty drastic move on Nakiri Erina-san's part.\But is it going to work out?\If they figure out that Polar Star Dormitory is hiding her...\Well, I dunno.\For now, Arato's coming here every day to drop off stuff like changes of clothes,\and the other Nakiri and Kurokiba come visit sometimes,\but it doesn't look like they've figured it out.\That sure sounds like they've figured it all out! response:	I-I'm reporting live!
context: But is it going to work out?\If they figure out that Polar Star Dormitory is hiding her...\Well, I dunno.\For now, Arato's coming here every day to drop off stuff like changes of clothes,\and the other Nakiri and Kurokiba come visit sometimes,\but it doesn't look like they've figured it out.\That sure sounds like they've figured it all out!\I-I'm reporting live! response:	New Director Nakiri Azami Inaugural Speech
context: If they figure out that Polar Star Dormitory is hiding her...\Well, I dunno.\For now, Arato's coming here every day to drop off stuff like changes of clothes,\and the other Nakiri and Kurokiba come visit sometimes,\but it doesn't look like they've figured it out.\That sure sounds like they've figured it all out!\I-I'm reporting live!\New Director Nakiri Azami Inaugural Speech response:	The new director, Nakiri Azami, has arrived!
context: Well, I dunno.\For now, Arato's coming here every day to drop off stuff like changes of clothes,\and the other Nakiri and Kurokiba come visit sometimes,\but it doesn't look like they've figured it out.\That sure sounds like they've figured it all out!\I-I'm reporting live!\New Director Nakiri Azami Inaugural Speech\The new director, Nakiri Azami, has arrived! response:	New Director Nakiri Azami Inaugural Speech
context: For now, Arato's coming here every day to drop off stuff like changes of clothes,\and the other Nakiri and Kurokiba come visit sometimes,\but it doesn't look like they've figured it out.\That sure sounds like they've figured it all out!\I-I'm reporting live!\New Director Nakiri Azami Inaugural Speech\The new director, Nakiri Azami, has arrived!\New Director Nakiri Azami Inaugural Speech response:	Greetings, students.
context: and the other Nakiri and Kurokiba come visit sometimes,\but it doesn't look like they've figured it out.\That sure sounds like they've figured it all out!\I-I'm reporting live!\New Director Nakiri Azami Inaugural Speech\The new director, Nakiri Azami, has arrived!\New Director Nakiri Azami Inaugural Speech\Greetings, students. response:	I am Nakiri Azami.
context: but it doesn't look like they've figured it out.\That sure sounds like they've figured it all out!\I-I'm reporting live!\New Director Nakiri Azami Inaugural Speech\The new director, Nakiri Azami, has arrived!\New Director Nakiri Azami Inaugural Speech\Greetings, students.\I am Nakiri Azami. response:	New Director Nakiri Azami Inaugural Speech
context: That sure sounds like they've figured it all out!\I-I'm reporting live!\New Director Nakiri Azami Inaugural Speech\The new director, Nakiri Azami, has arrived!\New Director Nakiri Azami Inaugural Speech\Greetings, students.\I am Nakiri Azami.\New Director Nakiri Azami Inaugural Speech response:	Greetings, students.
context: I-I'm reporting live!\New Director Nakiri Azami Inaugural Speech\The new director, Nakiri Azami, has arrived!\New Director Nakiri Azami Inaugural Speech\Greetings, students.\I am Nakiri Azami.\New Director Nakiri Azami Inaugural Speech\Greetings, students. response:	I am Nakiri Azami.
context: New Director Nakiri Azami Inaugural Speech\The new director, Nakiri Azami, has arrived!\New Director Nakiri Azami Inaugural Speech\Greetings, students.\I am Nakiri Azami.\New Director Nakiri Azami Inaugural Speech\Greetings, students.\I am Nakiri Azami. response:	So this is Erina-cchi's...
context: The new director, Nakiri Azami, has arrived!\New Director Nakiri Azami Inaugural Speech\Greetings, students.\I am Nakiri Azami.\New Director Nakiri Azami Inaugural Speech\Greetings, students.\I am Nakiri Azami.\So this is Erina-cchi's... response:	The Crumbling Academy
