context: The Lords are all corrupt! response:	They do nothing but battle day and night!
context: The Lords are all corrupt!\They do nothing but battle day and night! response:	They refuse to listen to the teachings of God!
context: The Lords are all corrupt!\They do nothing but battle day and night!\They refuse to listen to the teachings of God! response:	As such, the pretender to the throne, Theo Cornaro,
context: The Lords are all corrupt!\They do nothing but battle day and night!\They refuse to listen to the teachings of God!\As such, the pretender to the throne, Theo Cornaro, response:	is now monopolizing the Crests, shards of the One God,
context: The Lords are all corrupt!\They do nothing but battle day and night!\They refuse to listen to the teachings of God!\As such, the pretender to the throne, Theo Cornaro,\is now monopolizing the Crests, shards of the One God, response:	and is attempting to claim the Continent as his own!
context: The Lords are all corrupt!\They do nothing but battle day and night!\They refuse to listen to the teachings of God!\As such, the pretender to the throne, Theo Cornaro,\is now monopolizing the Crests, shards of the One God,\and is attempting to claim the Continent as his own! response:	As God's representative, I hereby declare the start of a holy war!
context: The Lords are all corrupt!\They do nothing but battle day and night!\They refuse to listen to the teachings of God!\As such, the pretender to the throne, Theo Cornaro,\is now monopolizing the Crests, shards of the One God,\and is attempting to claim the Continent as his own!\As God's representative, I hereby declare the start of a holy war! response:	To think that the Order of the Crest would become our enemy now.
context: The Lords are all corrupt!\They do nothing but battle day and night!\They refuse to listen to the teachings of God!\As such, the pretender to the throne, Theo Cornaro,\is now monopolizing the Crests, shards of the One God,\and is attempting to claim the Continent as his own!\As God's representative, I hereby declare the start of a holy war!\To think that the Order of the Crest would become our enemy now. response:	What is the Order of the Crest thinking?
context: They do nothing but battle day and night!\They refuse to listen to the teachings of God!\As such, the pretender to the throne, Theo Cornaro,\is now monopolizing the Crests, shards of the One God,\and is attempting to claim the Continent as his own!\As God's representative, I hereby declare the start of a holy war!\To think that the Order of the Crest would become our enemy now.\What is the Order of the Crest thinking? response:	Why are they trying to thwart us?
context: They refuse to listen to the teachings of God!\As such, the pretender to the throne, Theo Cornaro,\is now monopolizing the Crests, shards of the One God,\and is attempting to claim the Continent as his own!\As God's representative, I hereby declare the start of a holy war!\To think that the Order of the Crest would become our enemy now.\What is the Order of the Crest thinking?\Why are they trying to thwart us? response:	It must mean that the Order of the Crest and the Mage Academy are connected.
context: As such, the pretender to the throne, Theo Cornaro,\is now monopolizing the Crests, shards of the One God,\and is attempting to claim the Continent as his own!\As God's representative, I hereby declare the start of a holy war!\To think that the Order of the Crest would become our enemy now.\What is the Order of the Crest thinking?\Why are they trying to thwart us?\It must mean that the Order of the Crest and the Mage Academy are connected. response:	What's your reasoning?
context: is now monopolizing the Crests, shards of the One God,\and is attempting to claim the Continent as his own!\As God's representative, I hereby declare the start of a holy war!\To think that the Order of the Crest would become our enemy now.\What is the Order of the Crest thinking?\Why are they trying to thwart us?\It must mean that the Order of the Crest and the Mage Academy are connected.\What's your reasoning? response:	It was last night that the Mage Academy purged the Lord-supporting Mages,
context: and is attempting to claim the Continent as his own!\As God's representative, I hereby declare the start of a holy war!\To think that the Order of the Crest would become our enemy now.\What is the Order of the Crest thinking?\Why are they trying to thwart us?\It must mean that the Order of the Crest and the Mage Academy are connected.\What's your reasoning?\It was last night that the Mage Academy purged the Lord-supporting Mages, response:	and chose the path of war against the Lords.
context: As God's representative, I hereby declare the start of a holy war!\To think that the Order of the Crest would become our enemy now.\What is the Order of the Crest thinking?\Why are they trying to thwart us?\It must mean that the Order of the Crest and the Mage Academy are connected.\What's your reasoning?\It was last night that the Mage Academy purged the Lord-supporting Mages,\and chose the path of war against the Lords. response:	The very next day, the Order of the Crest declared holy war on the Imperial Army.
context: To think that the Order of the Crest would become our enemy now.\What is the Order of the Crest thinking?\Why are they trying to thwart us?\It must mean that the Order of the Crest and the Mage Academy are connected.\What's your reasoning?\It was last night that the Mage Academy purged the Lord-supporting Mages,\and chose the path of war against the Lords.\The very next day, the Order of the Crest declared holy war on the Imperial Army. response:	Not only that, but they've positioned themselves to block the path to Eramu.
context: What is the Order of the Crest thinking?\Why are they trying to thwart us?\It must mean that the Order of the Crest and the Mage Academy are connected.\What's your reasoning?\It was last night that the Mage Academy purged the Lord-supporting Mages,\and chose the path of war against the Lords.\The very next day, the Order of the Crest declared holy war on the Imperial Army.\Not only that, but they've positioned themselves to block the path to Eramu. response:	That can't just be a coincidence, now, can it?
context: Why are they trying to thwart us?\It must mean that the Order of the Crest and the Mage Academy are connected.\What's your reasoning?\It was last night that the Mage Academy purged the Lord-supporting Mages,\and chose the path of war against the Lords.\The very next day, the Order of the Crest declared holy war on the Imperial Army.\Not only that, but they've positioned themselves to block the path to Eramu.\That can't just be a coincidence, now, can it? response:	How big is the Papal Force, I wonder?
context: It must mean that the Order of the Crest and the Mage Academy are connected.\What's your reasoning?\It was last night that the Mage Academy purged the Lord-supporting Mages,\and chose the path of war against the Lords.\The very next day, the Order of the Crest declared holy war on the Imperial Army.\Not only that, but they've positioned themselves to block the path to Eramu.\That can't just be a coincidence, now, can it?\How big is the Papal Force, I wonder? response:	They have 2,000 holy warriors, and around 3,000 mercenaries.
context: What's your reasoning?\It was last night that the Mage Academy purged the Lord-supporting Mages,\and chose the path of war against the Lords.\The very next day, the Order of the Crest declared holy war on the Imperial Army.\Not only that, but they've positioned themselves to block the path to Eramu.\That can't just be a coincidence, now, can it?\How big is the Papal Force, I wonder?\They have 2,000 holy warriors, and around 3,000 mercenaries. response:	And they have over 70,000 followers.
context: It was last night that the Mage Academy purged the Lord-supporting Mages,\and chose the path of war against the Lords.\The very next day, the Order of the Crest declared holy war on the Imperial Army.\Not only that, but they've positioned themselves to block the path to Eramu.\That can't just be a coincidence, now, can it?\How big is the Papal Force, I wonder?\They have 2,000 holy warriors, and around 3,000 mercenaries.\And they have over 70,000 followers. response:	However, that includes a great number of women, children, and the elderly.
context: and chose the path of war against the Lords.\The very next day, the Order of the Crest declared holy war on the Imperial Army.\Not only that, but they've positioned themselves to block the path to Eramu.\That can't just be a coincidence, now, can it?\How big is the Papal Force, I wonder?\They have 2,000 holy warriors, and around 3,000 mercenaries.\And they have over 70,000 followers.\However, that includes a great number of women, children, and the elderly. response:	Holy warriors and mercenaries are one thing,
