context: Oborozuka Shopping District response:	Would you stop snarling at each other every time you meet?
context: Oborozuka Shopping District\Would you stop snarling at each other every time you meet? response:	It's her fault for glaring at me!
context: Oborozuka Shopping District\Would you stop snarling at each other every time you meet?\It's her fault for glaring at me! response:	What?! Fried tofu fritters are delicious!
context: Oborozuka Shopping District\Would you stop snarling at each other every time you meet?\It's her fault for glaring at me!\What?! Fried tofu fritters are delicious! response:	I guess there's no stopping it when you tried to kill each other the moment you met.
context: Oborozuka Shopping District\Would you stop snarling at each other every time you meet?\It's her fault for glaring at me!\What?! Fried tofu fritters are delicious!\I guess there's no stopping it when you tried to kill each other the moment you met. response:	Huh?
context: Oborozuka Shopping District\Would you stop snarling at each other every time you meet?\It's her fault for glaring at me!\What?! Fried tofu fritters are delicious!\I guess there's no stopping it when you tried to kill each other the moment you met.\Huh? response:	No, we didn't try to kill each other at first.
context: Oborozuka Shopping District\Would you stop snarling at each other every time you meet?\It's her fault for glaring at me!\What?! Fried tofu fritters are delicious!\I guess there's no stopping it when you tried to kill each other the moment you met.\Huh?\No, we didn't try to kill each other at first. response:	That's right.
context: Oborozuka Shopping District\Would you stop snarling at each other every time you meet?\It's her fault for glaring at me!\What?! Fried tofu fritters are delicious!\I guess there's no stopping it when you tried to kill each other the moment you met.\Huh?\No, we didn't try to kill each other at first.\That's right. response:	We didn't start that when we first met.
context: Would you stop snarling at each other every time you meet?\It's her fault for glaring at me!\What?! Fried tofu fritters are delicious!\I guess there's no stopping it when you tried to kill each other the moment you met.\Huh?\No, we didn't try to kill each other at first.\That's right.\We didn't start that when we first met. response:	What was your first meeting like, then?
context: It's her fault for glaring at me!\What?! Fried tofu fritters are delicious!\I guess there's no stopping it when you tried to kill each other the moment you met.\Huh?\No, we didn't try to kill each other at first.\That's right.\We didn't start that when we first met.\What was your first meeting like, then? response:	I heard there might be a civil war soon.
context: What?! Fried tofu fritters are delicious!\I guess there's no stopping it when you tried to kill each other the moment you met.\Huh?\No, we didn't try to kill each other at first.\That's right.\We didn't start that when we first met.\What was your first meeting like, then?\I heard there might be a civil war soon. response:	Looks like it.
context: I guess there's no stopping it when you tried to kill each other the moment you met.\Huh?\No, we didn't try to kill each other at first.\That's right.\We didn't start that when we first met.\What was your first meeting like, then?\I heard there might be a civil war soon.\Looks like it. response:	The royal succession dispute is finally coming to a head.
context: Huh?\No, we didn't try to kill each other at first.\That's right.\We didn't start that when we first met.\What was your first meeting like, then?\I heard there might be a civil war soon.\Looks like it.\The royal succession dispute is finally coming to a head. response:	At this rate the neighboring country's going to capitalize on it.
context: No, we didn't try to kill each other at first.\That's right.\We didn't start that when we first met.\What was your first meeting like, then?\I heard there might be a civil war soon.\Looks like it.\The royal succession dispute is finally coming to a head.\At this rate the neighboring country's going to capitalize on it. response:	Hmm, humans are so foolish.
context: That's right.\We didn't start that when we first met.\What was your first meeting like, then?\I heard there might be a civil war soon.\Looks like it.\The royal succession dispute is finally coming to a head.\At this rate the neighboring country's going to capitalize on it.\Hmm, humans are so foolish. response:	Every time they open their mouths, it's about some conflict.
