context: Stepped on... response:	your shadow!
context: Stepped on...\your shadow! response:	Now I'm it!
context: Stepped on...\your shadow!\Now I'm it! response:	Come here, come here, crabbity crab!
context: Stepped on...\your shadow!\Now I'm it!\Come here, come here, crabbity crab! response:	Step on the crab.
context: Stepped on...\your shadow!\Now I'm it!\Come here, come here, crabbity crab!\Step on the crab. response:	Step, step...
context: Stepped on...\your shadow!\Now I'm it!\Come here, come here, crabbity crab!\Step on the crab.\Step, step... response:	How can we turn Manaka back to normal?
context: Stepped on...\your shadow!\Now I'm it!\Come here, come here, crabbity crab!\Step on the crab.\Step, step...\How can we turn Manaka back to normal? response:	How do you get someone's heart to love someone?
context: Stepped on...\your shadow!\Now I'm it!\Come here, come here, crabbity crab!\Step on the crab.\Step, step...\How can we turn Manaka back to normal?\How do you get someone's heart to love someone? response:	I do not know the answer.
context: your shadow!\Now I'm it!\Come here, come here, crabbity crab!\Step on the crab.\Step, step...\How can we turn Manaka back to normal?\How do you get someone's heart to love someone?\I do not know the answer. response:	If the time comes, it may return, or it may never return.
context: Now I'm it!\Come here, come here, crabbity crab!\Step on the crab.\Step, step...\How can we turn Manaka back to normal?\How do you get someone's heart to love someone?\I do not know the answer.\If the time comes, it may return, or it may never return. response:	But...
context: Come here, come here, crabbity crab!\Step on the crab.\Step, step...\How can we turn Manaka back to normal?\How do you get someone's heart to love someone?\I do not know the answer.\If the time comes, it may return, or it may never return.\But... response:	Hikari, you understand now, don't you?
context: Step on the crab.\Step, step...\How can we turn Manaka back to normal?\How do you get someone's heart to love someone?\I do not know the answer.\If the time comes, it may return, or it may never return.\But...\Hikari, you understand now, don't you? response:	There are indeed some things in the world that you cannot do anything about.
context: Step, step...\How can we turn Manaka back to normal?\How do you get someone's heart to love someone?\I do not know the answer.\If the time comes, it may return, or it may never return.\But...\Hikari, you understand now, don't you?\There are indeed some things in the world that you cannot do anything about. response:	Stepped on your shadow, Hii-kun!
context: How can we turn Manaka back to normal?\How do you get someone's heart to love someone?\I do not know the answer.\If the time comes, it may return, or it may never return.\But...\Hikari, you understand now, don't you?\There are indeed some things in the world that you cannot do anything about.\Stepped on your shadow, Hii-kun! response:	Step!
context: How do you get someone's heart to love someone?\I do not know the answer.\If the time comes, it may return, or it may never return.\But...\Hikari, you understand now, don't you?\There are indeed some things in the world that you cannot do anything about.\Stepped on your shadow, Hii-kun!\Step! response:	Hikari.
context: I do not know the answer.\If the time comes, it may return, or it may never return.\But...\Hikari, you understand now, don't you?\There are indeed some things in the world that you cannot do anything about.\Stepped on your shadow, Hii-kun!\Step!\Hikari. response:	There's something my dad wants me to pick up...
context: If the time comes, it may return, or it may never return.\But...\Hikari, you understand now, don't you?\There are indeed some things in the world that you cannot do anything about.\Stepped on your shadow, Hii-kun!\Step!\Hikari.\There's something my dad wants me to pick up... response:	It's at the Fishery Cooperative. Will you come with me?
context: But...\Hikari, you understand now, don't you?\There are indeed some things in the world that you cannot do anything about.\Stepped on your shadow, Hii-kun!\Step!\Hikari.\There's something my dad wants me to pick up...\It's at the Fishery Cooperative. Will you come with me? response:	S-Sure.
context: Hikari, you understand now, don't you?\There are indeed some things in the world that you cannot do anything about.\Stepped on your shadow, Hii-kun!\Step!\Hikari.\There's something my dad wants me to pick up...\It's at the Fishery Cooperative. Will you come with me?\S-Sure. response:	Want me to come, too?
context: There are indeed some things in the world that you cannot do anything about.\Stepped on your shadow, Hii-kun!\Step!\Hikari.\There's something my dad wants me to pick up...\It's at the Fishery Cooperative. Will you come with me?\S-Sure.\Want me to come, too? response:	That's okay.
context: Stepped on your shadow, Hii-kun!\Step!\Hikari.\There's something my dad wants me to pick up...\It's at the Fishery Cooperative. Will you come with me?\S-Sure.\Want me to come, too?\That's okay. response:	Could you watch Akira?
