context: And we broke response:	Everything that was right
context: And we broke\Everything that was right response:	We both enjoyed a good fight
context: And we broke\Everything that was right\We both enjoyed a good fight response:	And we sewed
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed response:	All the holes we had to breathe
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe response:	To make the other one leave
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave response:	And I loved
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved response:	The way you looked at me
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me response:	And I miss
context: Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss response:	The way you made me feel
context: We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel response:	When we were alone
context: And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone response:	When we were alone
context: All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone response:	And I'll shiver like I used to
context: To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to response:	And I'll leave him just for you
context: And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you response:	And I'll shiver like I used to
context: The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to response:	Mushi-Shi
context: And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi response:	Mushi-Shi
context: The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi response:	Just for you
context: When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you response:	Like I used to
context: When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to response:	I'm the only one who lives in this place.
context: And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\I'm the only one who lives in this place. response:	But...
context: And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\I'm the only one who lives in this place.\But... response:	there's something else here that I can't see.
context: And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\I'm the only one who lives in this place.\But...\there's something else here that I can't see. response:	Thank you... for the food.
context: Mushi-Shi\Mushi-Shi\Just for you\Like I used to\I'm the only one who lives in this place.\But...\there's something else here that I can't see.\Thank you... for the food. response:	After all this time, I don't find it that scary anymore.
context: Mushi-Shi\Just for you\Like I used to\I'm the only one who lives in this place.\But...\there's something else here that I can't see.\Thank you... for the food.\After all this time, I don't find it that scary anymore. response:	It must be some sort of deity or god, I think.
context: Just for you\Like I used to\I'm the only one who lives in this place.\But...\there's something else here that I can't see.\Thank you... for the food.\After all this time, I don't find it that scary anymore.\It must be some sort of deity or god, I think. response:	In this place, it's always nighttime.
context: Like I used to\I'm the only one who lives in this place.\But...\there's something else here that I can't see.\Thank you... for the food.\After all this time, I don't find it that scary anymore.\It must be some sort of deity or god, I think.\In this place, it's always nighttime. response:	A Sea of Otherworldly Stars
context: I'm the only one who lives in this place.\But...\there's something else here that I can't see.\Thank you... for the food.\After all this time, I don't find it that scary anymore.\It must be some sort of deity or god, I think.\In this place, it's always nighttime.\A Sea of Otherworldly Stars response:	Huh?
context: But...\there's something else here that I can't see.\Thank you... for the food.\After all this time, I don't find it that scary anymore.\It must be some sort of deity or god, I think.\In this place, it's always nighttime.\A Sea of Otherworldly Stars\Huh? response:	My doll is gone.
context: there's something else here that I can't see.\Thank you... for the food.\After all this time, I don't find it that scary anymore.\It must be some sort of deity or god, I think.\In this place, it's always nighttime.\A Sea of Otherworldly Stars\Huh?\My doll is gone. response:	It must have hidden it again.
context: Thank you... for the food.\After all this time, I don't find it that scary anymore.\It must be some sort of deity or god, I think.\In this place, it's always nighttime.\A Sea of Otherworldly Stars\Huh?\My doll is gone.\It must have hidden it again. response:	There you are!
context: After all this time, I don't find it that scary anymore.\It must be some sort of deity or god, I think.\In this place, it's always nighttime.\A Sea of Otherworldly Stars\Huh?\My doll is gone.\It must have hidden it again.\There you are! response:	I won again today!
context: It must be some sort of deity or god, I think.\In this place, it's always nighttime.\A Sea of Otherworldly Stars\Huh?\My doll is gone.\It must have hidden it again.\There you are!\I won again today! response:	Thank you!
context: In this place, it's always nighttime.\A Sea of Otherworldly Stars\Huh?\My doll is gone.\It must have hidden it again.\There you are!\I won again today!\Thank you! response:	I wonder what lies beyond that sky.
context: A Sea of Otherworldly Stars\Huh?\My doll is gone.\It must have hidden it again.\There you are!\I won again today!\Thank you!\I wonder what lies beyond that sky. response:	Maybe everyone went someplace beyond the sky,
context: Huh?\My doll is gone.\It must have hidden it again.\There you are!\I won again today!\Thank you!\I wonder what lies beyond that sky.\Maybe everyone went someplace beyond the sky, response:	and that's the reason there's nobody here now.
context: My doll is gone.\It must have hidden it again.\There you are!\I won again today!\Thank you!\I wonder what lies beyond that sky.\Maybe everyone went someplace beyond the sky,\and that's the reason there's nobody here now. response:	This all seems so familiar.
context: It must have hidden it again.\There you are!\I won again today!\Thank you!\I wonder what lies beyond that sky.\Maybe everyone went someplace beyond the sky,\and that's the reason there's nobody here now.\This all seems so familiar. response:	I feel like I've seen a tiny starry sky like that before.
context: There you are!\I won again today!\Thank you!\I wonder what lies beyond that sky.\Maybe everyone went someplace beyond the sky,\and that's the reason there's nobody here now.\This all seems so familiar.\I feel like I've seen a tiny starry sky like that before. response:	But in this place,
context: I won again today!\Thank you!\I wonder what lies beyond that sky.\Maybe everyone went someplace beyond the sky,\and that's the reason there's nobody here now.\This all seems so familiar.\I feel like I've seen a tiny starry sky like that before.\But in this place, response:	everything is just so beautiful and so comfortable.
context: Thank you!\I wonder what lies beyond that sky.\Maybe everyone went someplace beyond the sky,\and that's the reason there's nobody here now.\This all seems so familiar.\I feel like I've seen a tiny starry sky like that before.\But in this place,\everything is just so beautiful and so comfortable. response:	Compared to it, even remembering my past seems like nothing but a chore.
context: I wonder what lies beyond that sky.\Maybe everyone went someplace beyond the sky,\and that's the reason there's nobody here now.\This all seems so familiar.\I feel like I've seen a tiny starry sky like that before.\But in this place,\everything is just so beautiful and so comfortable.\Compared to it, even remembering my past seems like nothing but a chore. response:	Excuse me.
context: Maybe everyone went someplace beyond the sky,\and that's the reason there's nobody here now.\This all seems so familiar.\I feel like I've seen a tiny starry sky like that before.\But in this place,\everything is just so beautiful and so comfortable.\Compared to it, even remembering my past seems like nothing but a chore.\Excuse me. response:	Huh?
context: and that's the reason there's nobody here now.\This all seems so familiar.\I feel like I've seen a tiny starry sky like that before.\But in this place,\everything is just so beautiful and so comfortable.\Compared to it, even remembering my past seems like nothing but a chore.\Excuse me.\Huh? response:	Is Izumi here?
context: This all seems so familiar.\I feel like I've seen a tiny starry sky like that before.\But in this place,\everything is just so beautiful and so comfortable.\Compared to it, even remembering my past seems like nothing but a chore.\Excuse me.\Huh?\Is Izumi here? response:	Who's he?
context: I feel like I've seen a tiny starry sky like that before.\But in this place,\everything is just so beautiful and so comfortable.\Compared to it, even remembering my past seems like nothing but a chore.\Excuse me.\Huh?\Is Izumi here?\Who's he? response:	I'm coming in.
context: But in this place,\everything is just so beautiful and so comfortable.\Compared to it, even remembering my past seems like nothing but a chore.\Excuse me.\Huh?\Is Izumi here?\Who's he?\I'm coming in. response:	Hello?
context: everything is just so beautiful and so comfortable.\Compared to it, even remembering my past seems like nothing but a chore.\Excuse me.\Huh?\Is Izumi here?\Who's he?\I'm coming in.\Hello? response:	Anyone here?
context: Compared to it, even remembering my past seems like nothing but a chore.\Excuse me.\Huh?\Is Izumi here?\Who's he?\I'm coming in.\Hello?\Anyone here? response:	Man, what a huge house.
context: Excuse me.\Huh?\Is Izumi here?\Who's he?\I'm coming in.\Hello?\Anyone here?\Man, what a huge house. response:	Hm?
context: Huh?\Is Izumi here?\Who's he?\I'm coming in.\Hello?\Anyone here?\Man, what a huge house.\Hm? response:	Seems I'm out of time already.
context: Is Izumi here?\Who's he?\I'm coming in.\Hello?\Anyone here?\Man, what a huge house.\Hm?\Seems I'm out of time already. response:	Damn.
context: Who's he?\I'm coming in.\Hello?\Anyone here?\Man, what a huge house.\Hm?\Seems I'm out of time already.\Damn. response:	I'd better increase the dosage next time...
context: I'm coming in.\Hello?\Anyone here?\Man, what a huge house.\Hm?\Seems I'm out of time already.\Damn.\I'd better increase the dosage next time... response:	Where could he have gone?
context: Hello?\Anyone here?\Man, what a huge house.\Hm?\Seems I'm out of time already.\Damn.\I'd better increase the dosage next time...\Where could he have gone? response:	Oh.
context: Anyone here?\Man, what a huge house.\Hm?\Seems I'm out of time already.\Damn.\I'd better increase the dosage next time...\Where could he have gone?\Oh. response:	Found you.
context: Man, what a huge house.\Hm?\Seems I'm out of time already.\Damn.\I'd better increase the dosage next time...\Where could he have gone?\Oh.\Found you. response:	Hey, Mizuho.
context: Hm?\Seems I'm out of time already.\Damn.\I'd better increase the dosage next time...\Where could he have gone?\Oh.\Found you.\Hey, Mizuho. response:	What are you doing?
context: Seems I'm out of time already.\Damn.\I'd better increase the dosage next time...\Where could he have gone?\Oh.\Found you.\Hey, Mizuho.\What are you doing? response:	Playing with Izumi.
context: Damn.\I'd better increase the dosage next time...\Where could he have gone?\Oh.\Found you.\Hey, Mizuho.\What are you doing?\Playing with Izumi. response:	Not you too. Enough already.
context: I'd better increase the dosage next time...\Where could he have gone?\Oh.\Found you.\Hey, Mizuho.\What are you doing?\Playing with Izumi.\Not you too. Enough already. response:	Please stop that nonsense.
context: Where could he have gone?\Oh.\Found you.\Hey, Mizuho.\What are you doing?\Playing with Izumi.\Not you too. Enough already.\Please stop that nonsense. response:	Your mother's asked over another one of those strange people, too.
context: Oh.\Found you.\Hey, Mizuho.\What are you doing?\Playing with Izumi.\Not you too. Enough already.\Please stop that nonsense.\Your mother's asked over another one of those strange people, too. response:	Listen.
context: Found you.\Hey, Mizuho.\What are you doing?\Playing with Izumi.\Not you too. Enough already.\Please stop that nonsense.\Your mother's asked over another one of those strange people, too.\Listen. response:	Izumi was kidnapped, by a real person.
