context: Open your eyes. You'll get in an accident. response:	Everyone's here.
context: Open your eyes. You'll get in an accident.\Everyone's here. response:	Today, we'll try running to the river in Tamagawa.
context: Open your eyes. You'll get in an accident.\Everyone's here.\Today, we'll try running to the river in Tamagawa. response:	I want to determine everyone's level,
context: Open your eyes. You'll get in an accident.\Everyone's here.\Today, we'll try running to the river in Tamagawa.\I want to determine everyone's level, response:	so I can plan your practice schedules for the future.
context: Open your eyes. You'll get in an accident.\Everyone's here.\Today, we'll try running to the river in Tamagawa.\I want to determine everyone's level,\so I can plan your practice schedules for the future. response:	Keep that in mind.
context: Open your eyes. You'll get in an accident.\Everyone's here.\Today, we'll try running to the river in Tamagawa.\I want to determine everyone's level,\so I can plan your practice schedules for the future.\Keep that in mind. response:	There won't be a future.
context: Open your eyes. You'll get in an accident.\Everyone's here.\Today, we'll try running to the river in Tamagawa.\I want to determine everyone's level,\so I can plan your practice schedules for the future.\Keep that in mind.\There won't be a future. response:	After all that, you're still participating.
context: Open your eyes. You'll get in an accident.\Everyone's here.\Today, we'll try running to the river in Tamagawa.\I want to determine everyone's level,\so I can plan your practice schedules for the future.\Keep that in mind.\There won't be a future.\After all that, you're still participating. response:	Just for today.
context: Everyone's here.\Today, we'll try running to the river in Tamagawa.\I want to determine everyone's level,\so I can plan your practice schedules for the future.\Keep that in mind.\There won't be a future.\After all that, you're still participating.\Just for today. response:	You're some kind of freak, aren't you?
context: Today, we'll try running to the river in Tamagawa.\I want to determine everyone's level,\so I can plan your practice schedules for the future.\Keep that in mind.\There won't be a future.\After all that, you're still participating.\Just for today.\You're some kind of freak, aren't you? response:	Nothing beats eating after a run.
context: I want to determine everyone's level,\so I can plan your practice schedules for the future.\Keep that in mind.\There won't be a future.\After all that, you're still participating.\Just for today.\You're some kind of freak, aren't you?\Nothing beats eating after a run. response:	Let's go.
context: so I can plan your practice schedules for the future.\Keep that in mind.\There won't be a future.\After all that, you're still participating.\Just for today.\You're some kind of freak, aren't you?\Nothing beats eating after a run.\Let's go. response:	Wait.
context: Keep that in mind.\There won't be a future.\After all that, you're still participating.\Just for today.\You're some kind of freak, aren't you?\Nothing beats eating after a run.\Let's go.\Wait. response:	Wait!
context: There won't be a future.\After all that, you're still participating.\Just for today.\You're some kind of freak, aren't you?\Nothing beats eating after a run.\Let's go.\Wait.\Wait! response:	Tamagawa? That Tamagawa?
context: After all that, you're still participating.\Just for today.\You're some kind of freak, aren't you?\Nothing beats eating after a run.\Let's go.\Wait.\Wait!\Tamagawa? That Tamagawa? response:	Why
context: Just for today.\You're some kind of freak, aren't you?\Nothing beats eating after a run.\Let's go.\Wait.\Wait!\Tamagawa? That Tamagawa?\Why response:	Yeah, that Tamagawa.
context: You're some kind of freak, aren't you?\Nothing beats eating after a run.\Let's go.\Wait.\Wait!\Tamagawa? That Tamagawa?\Why\Yeah, that Tamagawa. response:	Isn't that five kilometers away?
context: Nothing beats eating after a run.\Let's go.\Wait.\Wait!\Tamagawa? That Tamagawa?\Why\Yeah, that Tamagawa.\Isn't that five kilometers away? response:	Wow! You're really familiar with the local geography.
context: Let's go.\Wait.\Wait!\Tamagawa? That Tamagawa?\Why\Yeah, that Tamagawa.\Isn't that five kilometers away?\Wow! You're really familiar with the local geography. response:	Let's go.
context: Wait.\Wait!\Tamagawa? That Tamagawa?\Why\Yeah, that Tamagawa.\Isn't that five kilometers away?\Wow! You're really familiar with the local geography.\Let's go. response:	Wait, wait, wait!
