context: Sun Mon Tue Wed Thu Fri Sat response:	Training Camp
context: Sun Mon Tue Wed Thu Fri Sat\Training Camp response:	VS Nekoma
context: Sun Mon Tue Wed Thu Fri Sat\Training Camp\VS Nekoma response:	All right.
context: Sun Mon Tue Wed Thu Fri Sat\Training Camp\VS Nekoma\All right. response:	I'm off.
context: Sun Mon Tue Wed Thu Fri Sat\Training Camp\VS Nekoma\All right.\I'm off. response:	Have a nice time.
context: Sun Mon Tue Wed Thu Fri Sat\Training Camp\VS Nekoma\All right.\I'm off.\Have a nice time. response:	Four more days'til the practice match against Nekoma.
context: Sun Mon Tue Wed Thu Fri Sat\Training Camp\VS Nekoma\All right.\I'm off.\Have a nice time.\Four more days'til the practice match against Nekoma. response:	In our matches from here on out...
context: Sun Mon Tue Wed Thu Fri Sat\Training Camp\VS Nekoma\All right.\I'm off.\Have a nice time.\Four more days'til the practice match against Nekoma.\In our matches from here on out... response:	That spike...
context: Training Camp\VS Nekoma\All right.\I'm off.\Have a nice time.\Four more days'til the practice match against Nekoma.\In our matches from here on out...\That spike... response:	That receive...
context: VS Nekoma\All right.\I'm off.\Have a nice time.\Four more days'til the practice match against Nekoma.\In our matches from here on out...\That spike...\That receive... response:	They're going to be on our side!
context: All right.\I'm off.\Have a nice time.\Four more days'til the practice match against Nekoma.\In our matches from here on out...\That spike...\That receive...\They're going to be on our side! response:	It's kind of amazing.
context: I'm off.\Have a nice time.\Four more days'til the practice match against Nekoma.\In our matches from here on out...\That spike...\That receive...\They're going to be on our side!\It's kind of amazing. response:	All right. It's training camp time!
context: Have a nice time.\Four more days'til the practice match against Nekoma.\In our matches from here on out...\That spike...\That receive...\They're going to be on our side!\It's kind of amazing.\All right. It's training camp time! response:	First-Year Class 1
context: Four more days'til the practice match against Nekoma.\In our matches from here on out...\That spike...\That receive...\They're going to be on our side!\It's kind of amazing.\All right. It's training camp time!\First-Year Class 1 response:	Hinata, you're too restless.
context: In our matches from here on out...\That spike...\That receive...\They're going to be on our side!\It's kind of amazing.\All right. It's training camp time!\First-Year Class 1\Hinata, you're too restless. response:	Do you need to go to the bathroom?
context: That spike...\That receive...\They're going to be on our side!\It's kind of amazing.\All right. It's training camp time!\First-Year Class 1\Hinata, you're too restless.\Do you need to go to the bathroom? response:	Episode 11: Decision
context: That receive...\They're going to be on our side!\It's kind of amazing.\All right. It's training camp time!\First-Year Class 1\Hinata, you're too restless.\Do you need to go to the bathroom?\Episode 11: Decision response:	All here?
context: They're going to be on our side!\It's kind of amazing.\All right. It's training camp time!\First-Year Class 1\Hinata, you're too restless.\Do you need to go to the bathroom?\Episode 11: Decision\All here? response:	Yeah.
context: It's kind of amazing.\All right. It's training camp time!\First-Year Class 1\Hinata, you're too restless.\Do you need to go to the bathroom?\Episode 11: Decision\All here?\Yeah. response:	The practice match against Nekoma is in four days.
context: All right. It's training camp time!\First-Year Class 1\Hinata, you're too restless.\Do you need to go to the bathroom?\Episode 11: Decision\All here?\Yeah.\The practice match against Nekoma is in four days. response:	Inter-High preliminaries will be soon thereafter.
context: First-Year Class 1\Hinata, you're too restless.\Do you need to go to the bathroom?\Episode 11: Decision\All here?\Yeah.\The practice match against Nekoma is in four days.\Inter-High preliminaries will be soon thereafter. response:	We've got no time,
context: Hinata, you're too restless.\Do you need to go to the bathroom?\Episode 11: Decision\All here?\Yeah.\The practice match against Nekoma is in four days.\Inter-High preliminaries will be soon thereafter.\We've got no time, response:	but you guys are full of holes.
context: Do you need to go to the bathroom?\Episode 11: Decision\All here?\Yeah.\The practice match against Nekoma is in four days.\Inter-High preliminaries will be soon thereafter.\We've got no time,\but you guys are full of holes. response:	Since that's the case, there's only one way for you to win.
context: Episode 11: Decision\All here?\Yeah.\The practice match against Nekoma is in four days.\Inter-High preliminaries will be soon thereafter.\We've got no time,\but you guys are full of holes.\Since that's the case, there's only one way for you to win. response:	Practice.
context: All here?\Yeah.\The practice match against Nekoma is in four days.\Inter-High preliminaries will be soon thereafter.\We've got no time,\but you guys are full of holes.\Since that's the case, there's only one way for you to win.\Practice. response:	Practice.
context: Yeah.\The practice match against Nekoma is in four days.\Inter-High preliminaries will be soon thereafter.\We've got no time,\but you guys are full of holes.\Since that's the case, there's only one way for you to win.\Practice.\Practice. response:	And practice.
context: The practice match against Nekoma is in four days.\Inter-High preliminaries will be soon thereafter.\We've got no time,\but you guys are full of holes.\Since that's the case, there's only one way for you to win.\Practice.\Practice.\And practice. response:	Save the ball, even if you have to barf.
context: Inter-High preliminaries will be soon thereafter.\We've got no time,\but you guys are full of holes.\Since that's the case, there's only one way for you to win.\Practice.\Practice.\And practice.\Save the ball, even if you have to barf. response:	Yeah.
context: We've got no time,\but you guys are full of holes.\Since that's the case, there's only one way for you to win.\Practice.\Practice.\And practice.\Save the ball, even if you have to barf.\Yeah. response:	He barfed already.
context: but you guys are full of holes.\Since that's the case, there's only one way for you to win.\Practice.\Practice.\And practice.\Save the ball, even if you have to barf.\Yeah.\He barfed already. response:	Front, front.
context: Since that's the case, there's only one way for you to win.\Practice.\Practice.\And practice.\Save the ball, even if you have to barf.\Yeah.\He barfed already.\Front, front. response:	Hey, how many does it take for you to get it right?
context: Practice.\Practice.\And practice.\Save the ball, even if you have to barf.\Yeah.\He barfed already.\Front, front.\Hey, how many does it take for you to get it right? response:	Concentrate!
