context: Miss Kobayashi, your coffee's ready. response:	Oh, thank you.
context: Miss Kobayashi, your coffee's ready.\Oh, thank you. response:	Kanna, if you don't eat quick, you'll be late.
context: Miss Kobayashi, your coffee's ready.\Oh, thank you.\Kanna, if you don't eat quick, you'll be late. response:	Yeah.
context: Miss Kobayashi, your coffee's ready.\Oh, thank you.\Kanna, if you don't eat quick, you'll be late.\Yeah. response:	Here's your hot milk, Kanna.
context: Miss Kobayashi, your coffee's ready.\Oh, thank you.\Kanna, if you don't eat quick, you'll be late.\Yeah.\Here's your hot milk, Kanna. response:	Oh, Miss Kobayashi!
context: Miss Kobayashi, your coffee's ready.\Oh, thank you.\Kanna, if you don't eat quick, you'll be late.\Yeah.\Here's your hot milk, Kanna.\Oh, Miss Kobayashi! response:	Hmm?
context: Miss Kobayashi, your coffee's ready.\Oh, thank you.\Kanna, if you don't eat quick, you'll be late.\Yeah.\Here's your hot milk, Kanna.\Oh, Miss Kobayashi!\Hmm? response:	What would you like for dinner this evening?
context: Miss Kobayashi, your coffee's ready.\Oh, thank you.\Kanna, if you don't eat quick, you'll be late.\Yeah.\Here's your hot milk, Kanna.\Oh, Miss Kobayashi!\Hmm?\What would you like for dinner this evening? response:	Hmm, well, anything works.
context: Oh, thank you.\Kanna, if you don't eat quick, you'll be late.\Yeah.\Here's your hot milk, Kanna.\Oh, Miss Kobayashi!\Hmm?\What would you like for dinner this evening?\Hmm, well, anything works. response:	Or maybe not.
context: Kanna, if you don't eat quick, you'll be late.\Yeah.\Here's your hot milk, Kanna.\Oh, Miss Kobayashi!\Hmm?\What would you like for dinner this evening?\Hmm, well, anything works.\Or maybe not. response:	No go?
context: Yeah.\Here's your hot milk, Kanna.\Oh, Miss Kobayashi!\Hmm?\What would you like for dinner this evening?\Hmm, well, anything works.\Or maybe not.\No go? response:	Is there anything you'd like to eat, Tohru?
context: Here's your hot milk, Kanna.\Oh, Miss Kobayashi!\Hmm?\What would you like for dinner this evening?\Hmm, well, anything works.\Or maybe not.\No go?\Is there anything you'd like to eat, Tohru? response:	Me?
context: Oh, Miss Kobayashi!\Hmm?\What would you like for dinner this evening?\Hmm, well, anything works.\Or maybe not.\No go?\Is there anything you'd like to eat, Tohru?\Me? response:	Omurice, I suppose.
context: Hmm?\What would you like for dinner this evening?\Hmm, well, anything works.\Or maybe not.\No go?\Is there anything you'd like to eat, Tohru?\Me?\Omurice, I suppose. response:	Oh! Nice! Let's go with that, then.
context: What would you like for dinner this evening?\Hmm, well, anything works.\Or maybe not.\No go?\Is there anything you'd like to eat, Tohru?\Me?\Omurice, I suppose.\Oh! Nice! Let's go with that, then. response:	Make us good ones, please.
context: Hmm, well, anything works.\Or maybe not.\No go?\Is there anything you'd like to eat, Tohru?\Me?\Omurice, I suppose.\Oh! Nice! Let's go with that, then.\Make us good ones, please. response:	Roger that!
context: Or maybe not.\No go?\Is there anything you'd like to eat, Tohru?\Me?\Omurice, I suppose.\Oh! Nice! Let's go with that, then.\Make us good ones, please.\Roger that! response:	Leave it to me!
context: No go?\Is there anything you'd like to eat, Tohru?\Me?\Omurice, I suppose.\Oh! Nice! Let's go with that, then.\Make us good ones, please.\Roger that!\Leave it to me! response:	When do you think you'll be getting home tonight?
context: Is there anything you'd like to eat, Tohru?\Me?\Omurice, I suppose.\Oh! Nice! Let's go with that, then.\Make us good ones, please.\Roger that!\Leave it to me!\When do you think you'll be getting home tonight? response:	Hmm, I want to be home by ten.
context: Me?\Omurice, I suppose.\Oh! Nice! Let's go with that, then.\Make us good ones, please.\Roger that!\Leave it to me!\When do you think you'll be getting home tonight?\Hmm, I want to be home by ten. response:	Understood.
context: Omurice, I suppose.\Oh! Nice! Let's go with that, then.\Make us good ones, please.\Roger that!\Leave it to me!\When do you think you'll be getting home tonight?\Hmm, I want to be home by ten.\Understood. response:	Lady Tohru, I'm heading out.
context: Oh! Nice! Let's go with that, then.\Make us good ones, please.\Roger that!\Leave it to me!\When do you think you'll be getting home tonight?\Hmm, I want to be home by ten.\Understood.\Lady Tohru, I'm heading out. response:	I'm heading out, too.
context: Make us good ones, please.\Roger that!\Leave it to me!\When do you think you'll be getting home tonight?\Hmm, I want to be home by ten.\Understood.\Lady Tohru, I'm heading out.\I'm heading out, too. response:	Yes. Take care!
context: Roger that!\Leave it to me!\When do you think you'll be getting home tonight?\Hmm, I want to be home by ten.\Understood.\Lady Tohru, I'm heading out.\I'm heading out, too.\Yes. Take care! response:	All right!
context: Leave it to me!\When do you think you'll be getting home tonight?\Hmm, I want to be home by ten.\Understood.\Lady Tohru, I'm heading out.\I'm heading out, too.\Yes. Take care!\All right! response:	Time to give my best again today.
context: When do you think you'll be getting home tonight?\Hmm, I want to be home by ten.\Understood.\Lady Tohru, I'm heading out.\I'm heading out, too.\Yes. Take care!\All right!\Time to give my best again today. response:	Cleaning, cleaning.
context: Hmm, I want to be home by ten.\Understood.\Lady Tohru, I'm heading out.\I'm heading out, too.\Yes. Take care!\All right!\Time to give my best again today.\Cleaning, cleaning. response:	Lalala.
context: Understood.\Lady Tohru, I'm heading out.\I'm heading out, too.\Yes. Take care!\All right!\Time to give my best again today.\Cleaning, cleaning.\Lalala. response:	Beat the dust,
context: Lady Tohru, I'm heading out.\I'm heading out, too.\Yes. Take care!\All right!\Time to give my best again today.\Cleaning, cleaning.\Lalala.\Beat the dust, response:	crush it,
context: I'm heading out, too.\Yes. Take care!\All right!\Time to give my best again today.\Cleaning, cleaning.\Lalala.\Beat the dust,\crush it, response:	and leave no dirt or grime!
context: Yes. Take care!\All right!\Time to give my best again today.\Cleaning, cleaning.\Lalala.\Beat the dust,\crush it,\and leave no dirt or grime! response:	Wipe it out,
context: All right!\Time to give my best again today.\Cleaning, cleaning.\Lalala.\Beat the dust,\crush it,\and leave no dirt or grime!\Wipe it out, response:	wipe it out!
context: Time to give my best again today.\Cleaning, cleaning.\Lalala.\Beat the dust,\crush it,\and leave no dirt or grime!\Wipe it out,\wipe it out! response:	Huh?! Bring it on!
