context: I've prepared all I can. response:	Now, I just have to do it the way I practiced.
context: I've prepared all I can.\Now, I just have to do it the way I practiced. response:	I don't ever want to feel like that again.
context: I've prepared all I can.\Now, I just have to do it the way I practiced.\I don't ever want to feel like that again. response:	Finish it!
context: I've prepared all I can.\Now, I just have to do it the way I practiced.\I don't ever want to feel like that again.\Finish it! response:	Boom! Whoosh!
context: I've prepared all I can.\Now, I just have to do it the way I practiced.\I don't ever want to feel like that again.\Finish it!\Boom! Whoosh! response:	Rat-tat-tat-tat, kaboom!
context: I've prepared all I can.\Now, I just have to do it the way I practiced.\I don't ever want to feel like that again.\Finish it!\Boom! Whoosh!\Rat-tat-tat-tat, kaboom! response:	Senpai, I'm guessing you're feeling a little better now?
context: I've prepared all I can.\Now, I just have to do it the way I practiced.\I don't ever want to feel like that again.\Finish it!\Boom! Whoosh!\Rat-tat-tat-tat, kaboom!\Senpai, I'm guessing you're feeling a little better now? response:	B-B-Boom!
context: I've prepared all I can.\Now, I just have to do it the way I practiced.\I don't ever want to feel like that again.\Finish it!\Boom! Whoosh!\Rat-tat-tat-tat, kaboom!\Senpai, I'm guessing you're feeling a little better now?\B-B-Boom! response:	B-B-Blammo!
context: Now, I just have to do it the way I practiced.\I don't ever want to feel like that again.\Finish it!\Boom! Whoosh!\Rat-tat-tat-tat, kaboom!\Senpai, I'm guessing you're feeling a little better now?\B-B-Boom!\B-B-Blammo! response:	Crack! Boosh!
context: I don't ever want to feel like that again.\Finish it!\Boom! Whoosh!\Rat-tat-tat-tat, kaboom!\Senpai, I'm guessing you're feeling a little better now?\B-B-Boom!\B-B-Blammo!\Crack! Boosh! response:	Excuse me...
context: Finish it!\Boom! Whoosh!\Rat-tat-tat-tat, kaboom!\Senpai, I'm guessing you're feeling a little better now?\B-B-Boom!\B-B-Blammo!\Crack! Boosh!\Excuse me... response:	Oh, Nanamin! What can I do for ya?
context: Boom! Whoosh!\Rat-tat-tat-tat, kaboom!\Senpai, I'm guessing you're feeling a little better now?\B-B-Boom!\B-B-Blammo!\Crack! Boosh!\Excuse me...\Oh, Nanamin! What can I do for ya? response:	Um, I was wondering how your work was coming along...
context: Rat-tat-tat-tat, kaboom!\Senpai, I'm guessing you're feeling a little better now?\B-B-Boom!\B-B-Blammo!\Crack! Boosh!\Excuse me...\Oh, Nanamin! What can I do for ya?\Um, I was wondering how your work was coming along... response:	My heart's just pounding!
context: Senpai, I'm guessing you're feeling a little better now?\B-B-Boom!\B-B-Blammo!\Crack! Boosh!\Excuse me...\Oh, Nanamin! What can I do for ya?\Um, I was wondering how your work was coming along...\My heart's just pounding! response:	Isn't love wonderful?
context: B-B-Boom!\B-B-Blammo!\Crack! Boosh!\Excuse me...\Oh, Nanamin! What can I do for ya?\Um, I was wondering how your work was coming along...\My heart's just pounding!\Isn't love wonderful? response:	Love?
context: B-B-Blammo!\Crack! Boosh!\Excuse me...\Oh, Nanamin! What can I do for ya?\Um, I was wondering how your work was coming along...\My heart's just pounding!\Isn't love wonderful?\Love? response:	Yeah, the script Jin wrote!
context: Crack! Boosh!\Excuse me...\Oh, Nanamin! What can I do for ya?\Um, I was wondering how your work was coming along...\My heart's just pounding!\Isn't love wonderful?\Love?\Yeah, the script Jin wrote! response:	I thought it was an action story...
context: Excuse me...\Oh, Nanamin! What can I do for ya?\Um, I was wondering how your work was coming along...\My heart's just pounding!\Isn't love wonderful?\Love?\Yeah, the script Jin wrote!\I thought it was an action story... response:	Huh?
context: Oh, Nanamin! What can I do for ya?\Um, I was wondering how your work was coming along...\My heart's just pounding!\Isn't love wonderful?\Love?\Yeah, the script Jin wrote!\I thought it was an action story...\Huh? response:	Nothing.
context: Um, I was wondering how your work was coming along...\My heart's just pounding!\Isn't love wonderful?\Love?\Yeah, the script Jin wrote!\I thought it was an action story...\Huh?\Nothing. response:	What's wrong, Nanamin?
context: My heart's just pounding!\Isn't love wonderful?\Love?\Yeah, the script Jin wrote!\I thought it was an action story...\Huh?\Nothing.\What's wrong, Nanamin? response:	Senpai, could I borrow this script?
context: Isn't love wonderful?\Love?\Yeah, the script Jin wrote!\I thought it was an action story...\Huh?\Nothing.\What's wrong, Nanamin?\Senpai, could I borrow this script? response:	Huh?
context: Love?\Yeah, the script Jin wrote!\I thought it was an action story...\Huh?\Nothing.\What's wrong, Nanamin?\Senpai, could I borrow this script?\Huh? response:	I'd be grateful if you let me use this for my audition.
context: Yeah, the script Jin wrote!\I thought it was an action story...\Huh?\Nothing.\What's wrong, Nanamin?\Senpai, could I borrow this script?\Huh?\I'd be grateful if you let me use this for my audition. response:	When?
context: I thought it was an action story...\Huh?\Nothing.\What's wrong, Nanamin?\Senpai, could I borrow this script?\Huh?\I'd be grateful if you let me use this for my audition.\When? response:	February 14th.
context: Huh?\Nothing.\What's wrong, Nanamin?\Senpai, could I borrow this script?\Huh?\I'd be grateful if you let me use this for my audition.\When?\February 14th. response:	Oh, Valentine's Day!
context: Nothing.\What's wrong, Nanamin?\Senpai, could I borrow this script?\Huh?\I'd be grateful if you let me use this for my audition.\When?\February 14th.\Oh, Valentine's Day! response:	So, what's it for?
context: What's wrong, Nanamin?\Senpai, could I borrow this script?\Huh?\I'd be grateful if you let me use this for my audition.\When?\February 14th.\Oh, Valentine's Day!\So, what's it for? response:	Out of three scripts, I'm allowed to perform one I've chosen myself, so...
context: Senpai, could I borrow this script?\Huh?\I'd be grateful if you let me use this for my audition.\When?\February 14th.\Oh, Valentine's Day!\So, what's it for?\Out of three scripts, I'm allowed to perform one I've chosen myself, so... response:	Yeah, I'd love you to perform it.
context: Huh?\I'd be grateful if you let me use this for my audition.\When?\February 14th.\Oh, Valentine's Day!\So, what's it for?\Out of three scripts, I'm allowed to perform one I've chosen myself, so...\Yeah, I'd love you to perform it. response:	Use it however you like.
context: I'd be grateful if you let me use this for my audition.\When?\February 14th.\Oh, Valentine's Day!\So, what's it for?\Out of three scripts, I'm allowed to perform one I've chosen myself, so...\Yeah, I'd love you to perform it.\Use it however you like. response:	Thank you!
context: When?\February 14th.\Oh, Valentine's Day!\So, what's it for?\Out of three scripts, I'm allowed to perform one I've chosen myself, so...\Yeah, I'd love you to perform it.\Use it however you like.\Thank you! response:	I'm an ally of all hardworking girls!
context: February 14th.\Oh, Valentine's Day!\So, what's it for?\Out of three scripts, I'm allowed to perform one I've chosen myself, so...\Yeah, I'd love you to perform it.\Use it however you like.\Thank you!\I'm an ally of all hardworking girls! response:	Okay, it's time for me to work hard, too!
context: Oh, Valentine's Day!\So, what's it for?\Out of three scripts, I'm allowed to perform one I've chosen myself, so...\Yeah, I'd love you to perform it.\Use it however you like.\Thank you!\I'm an ally of all hardworking girls!\Okay, it's time for me to work hard, too! response:	Boom! B-B-Blam!
context: So, what's it for?\Out of three scripts, I'm allowed to perform one I've chosen myself, so...\Yeah, I'd love you to perform it.\Use it however you like.\Thank you!\I'm an ally of all hardworking girls!\Okay, it's time for me to work hard, too!\Boom! B-B-Blam! response:	Whoosh, whoosh, whoosh!
context: Out of three scripts, I'm allowed to perform one I've chosen myself, so...\Yeah, I'd love you to perform it.\Use it however you like.\Thank you!\I'm an ally of all hardworking girls!\Okay, it's time for me to work hard, too!\Boom! B-B-Blam!\Whoosh, whoosh, whoosh! response:	February 14th...
context: Yeah, I'd love you to perform it.\Use it however you like.\Thank you!\I'm an ally of all hardworking girls!\Okay, it's time for me to work hard, too!\Boom! B-B-Blam!\Whoosh, whoosh, whoosh!\February 14th... response:	Incoming Call
context: Use it however you like.\Thank you!\I'm an ally of all hardworking girls!\Okay, it's time for me to work hard, too!\Boom! B-B-Blam!\Whoosh, whoosh, whoosh!\February 14th...\Incoming Call response:	Kanda Yuko
context: Thank you!\I'm an ally of all hardworking girls!\Okay, it's time for me to work hard, too!\Boom! B-B-Blam!\Whoosh, whoosh, whoosh!\February 14th...\Incoming Call\Kanda Yuko response:	Onii-chan, good morning!
context: I'm an ally of all hardworking girls!\Okay, it's time for me to work hard, too!\Boom! B-B-Blam!\Whoosh, whoosh, whoosh!\February 14th...\Incoming Call\Kanda Yuko\Onii-chan, good morning! response:	How can you be so energetic this early in the morning?
context: Okay, it's time for me to work hard, too!\Boom! B-B-Blam!\Whoosh, whoosh, whoosh!\February 14th...\Incoming Call\Kanda Yuko\Onii-chan, good morning!\How can you be so energetic this early in the morning? response:	It's you who's not energetic enough!
context: Boom! B-B-Blam!\Whoosh, whoosh, whoosh!\February 14th...\Incoming Call\Kanda Yuko\Onii-chan, good morning!\How can you be so energetic this early in the morning?\It's you who's not energetic enough! response:	The Suimei exam is on February 13th, so I'll be staying...
context: Whoosh, whoosh, whoosh!\February 14th...\Incoming Call\Kanda Yuko\Onii-chan, good morning!\How can you be so energetic this early in the morning?\It's you who's not energetic enough!\The Suimei exam is on February 13th, so I'll be staying... response:	with you the night before.
context: February 14th...\Incoming Call\Kanda Yuko\Onii-chan, good morning!\How can you be so energetic this early in the morning?\It's you who's not energetic enough!\The Suimei exam is on February 13th, so I'll be staying...\with you the night before. response:	Okay, okay.
context: Incoming Call\Kanda Yuko\Onii-chan, good morning!\How can you be so energetic this early in the morning?\It's you who's not energetic enough!\The Suimei exam is on February 13th, so I'll be staying...\with you the night before.\Okay, okay. response:	You agreed! You don't usually accept things this easily!
