context: Go round, merry-go-round! response:	Go up, pink Ferris wheel!
context: Go round, merry-go-round!\Go up, pink Ferris wheel! response:	This is a great place! An amusement park that entices girls!
context: Go round, merry-go-round!\Go up, pink Ferris wheel!\This is a great place! An amusement park that entices girls! response:	It's a terrible crime to use our innocent, dreaming hearts!
context: Go round, merry-go-round!\Go up, pink Ferris wheel!\This is a great place! An amusement park that entices girls!\It's a terrible crime to use our innocent, dreaming hearts! response:	In the name of the moon, Sailor Moon will punish you.
context: Go round, merry-go-round!\Go up, pink Ferris wheel!\This is a great place! An amusement park that entices girls!\It's a terrible crime to use our innocent, dreaming hearts!\In the name of the moon, Sailor Moon will punish you. response:	I'm sorry I'm not straightforward, I can say it in my dreams
context: Go round, merry-go-round!\Go up, pink Ferris wheel!\This is a great place! An amusement park that entices girls!\It's a terrible crime to use our innocent, dreaming hearts!\In the name of the moon, Sailor Moon will punish you.\I'm sorry I'm not straightforward, I can say it in my dreams response:	My thoughts are about to short circuit, I want to see you right now
context: Go round, merry-go-round!\Go up, pink Ferris wheel!\This is a great place! An amusement park that entices girls!\It's a terrible crime to use our innocent, dreaming hearts!\In the name of the moon, Sailor Moon will punish you.\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now response:	Moonlight that makes me want to cry, midnight that keeps me from calling
context: Go round, merry-go-round!\Go up, pink Ferris wheel!\This is a great place! An amusement park that entices girls!\It's a terrible crime to use our innocent, dreaming hearts!\In the name of the moon, Sailor Moon will punish you.\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling response:	Because I'm so innocent, what should I do? The heart is a kaleidoscope
context: Go up, pink Ferris wheel!\This is a great place! An amusement park that entices girls!\It's a terrible crime to use our innocent, dreaming hearts!\In the name of the moon, Sailor Moon will punish you.\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope response:	Guided by the light of the moon
context: This is a great place! An amusement park that entices girls!\It's a terrible crime to use our innocent, dreaming hearts!\In the name of the moon, Sailor Moon will punish you.\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon response:	We will meet again and again
context: It's a terrible crime to use our innocent, dreaming hearts!\In the name of the moon, Sailor Moon will punish you.\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again response:	I count the sparkle of constellations to foretell the future of my love
context: In the name of the moon, Sailor Moon will punish you.\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love response:	We were born in the same land, miracle romance
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance response:	I believe in it, miracle romance
context: My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance response:	I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.
context: Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the 8th grade. response:	I'm clumsier than others
context: Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.\I'm clumsier than others response:	and a bit of a crybaby. That's about it.
context: Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.\I'm clumsier than others\and a bit of a crybaby. That's about it. response:	One day, a strange black cat, Luna, appeared
