context: OP response:	-FINIS-
context: OP\-FINIS- response:	Episode 3 I'm Not Afraid of Anything
context: OP\-FINIS-\Episode 3 I'm Not Afraid of Anything response:	Episode 3 I'm Not Afraid of Anything
context: OP\-FINIS-\Episode 3 I'm Not Afraid of Anything\Episode 3 I'm Not Afraid of Anything response:	Episode 3 I'm Not Afraid of Anything
context: OP\-FINIS-\Episode 3 I'm Not Afraid of Anything\Episode 3 I'm Not Afraid of Anything\Episode 3 I'm Not Afraid of Anything response:	Illustration Tsuji Santa (nitroplus)
context: OP\-FINIS-\Episode 3 I'm Not Afraid of Anything\Episode 3 I'm Not Afraid of Anything\Episode 3 I'm Not Afraid of Anything\Illustration Tsuji Santa (nitroplus) response:	Episode 4 There Exists Both Miracles and Magic
context: OP\-FINIS-\Episode 3 I'm Not Afraid of Anything\Episode 3 I'm Not Afraid of Anything\Episode 3 I'm Not Afraid of Anything\Illustration Tsuji Santa (nitroplus)\Episode 4 There Exists Both Miracles and Magic response:	You're here.
context: OP\-FINIS-\Episode 3 I'm Not Afraid of Anything\Episode 3 I'm Not Afraid of Anything\Episode 3 I'm Not Afraid of Anything\Illustration Tsuji Santa (nitroplus)\Episode 4 There Exists Both Miracles and Magic\You're here. response:	Here, this is for you.
context: -FINIS-\Episode 3 I'm Not Afraid of Anything\Episode 3 I'm Not Afraid of Anything\Episode 3 I'm Not Afraid of Anything\Illustration Tsuji Santa (nitroplus)\Episode 4 There Exists Both Miracles and Magic\You're here.\Here, this is for you. response:	Thanks for everything up to now.
context: Episode 3 I'm Not Afraid of Anything\Episode 3 I'm Not Afraid of Anything\Episode 3 I'm Not Afraid of Anything\Illustration Tsuji Santa (nitroplus)\Episode 4 There Exists Both Miracles and Magic\You're here.\Here, this is for you.\Thanks for everything up to now. response:	You really are gifted at finding obscure CDs.
context: Episode 3 I'm Not Afraid of Anything\Episode 3 I'm Not Afraid of Anything\Illustration Tsuji Santa (nitroplus)\Episode 4 There Exists Both Miracles and Magic\You're here.\Here, this is for you.\Thanks for everything up to now.\You really are gifted at finding obscure CDs. response:	It's nothing like that. I'm just lucky.
context: Episode 3 I'm Not Afraid of Anything\Illustration Tsuji Santa (nitroplus)\Episode 4 There Exists Both Miracles and Magic\You're here.\Here, this is for you.\Thanks for everything up to now.\You really are gifted at finding obscure CDs.\It's nothing like that. I'm just lucky. response:	This person's live performance is incredible.
context: Illustration Tsuji Santa (nitroplus)\Episode 4 There Exists Both Miracles and Magic\You're here.\Here, this is for you.\Thanks for everything up to now.\You really are gifted at finding obscure CDs.\It's nothing like that. I'm just lucky.\This person's live performance is incredible. response:	Sayaka, would you like to listen to it together?
context: Episode 4 There Exists Both Miracles and Magic\You're here.\Here, this is for you.\Thanks for everything up to now.\You really are gifted at finding obscure CDs.\It's nothing like that. I'm just lucky.\This person's live performance is incredible.\Sayaka, would you like to listen to it together? response:	I-Is that okay?
context: You're here.\Here, this is for you.\Thanks for everything up to now.\You really are gifted at finding obscure CDs.\It's nothing like that. I'm just lucky.\This person's live performance is incredible.\Sayaka, would you like to listen to it together?\I-Is that okay? response:	I wanted to let you listen to it through the speakers. It's too bad we're in the hospital.
context: Here, this is for you.\Thanks for everything up to now.\You really are gifted at finding obscure CDs.\It's nothing like that. I'm just lucky.\This person's live performance is incredible.\Sayaka, would you like to listen to it together?\I-Is that okay?\I wanted to let you listen to it through the speakers. It's too bad we're in the hospital. response:	Final Shot!
context: Thanks for everything up to now.\You really are gifted at finding obscure CDs.\It's nothing like that. I'm just lucky.\This person's live performance is incredible.\Sayaka, would you like to listen to it together?\I-Is that okay?\I wanted to let you listen to it through the speakers. It's too bad we're in the hospital.\Final Shot! response:	Mami-san is still the coolest after all.
context: You really are gifted at finding obscure CDs.\It's nothing like that. I'm just lucky.\This person's live performance is incredible.\Sayaka, would you like to listen to it together?\I-Is that okay?\I wanted to let you listen to it through the speakers. It's too bad we're in the hospital.\Final Shot!\Mami-san is still the coolest after all. response:	This isn't a show.
context: It's nothing like that. I'm just lucky.\This person's live performance is incredible.\Sayaka, would you like to listen to it together?\I-Is that okay?\I wanted to let you listen to it through the speakers. It's too bad we're in the hospital.\Final Shot!\Mami-san is still the coolest after all.\This isn't a show. response:	I hope you two don't forget how dangerous this is.
context: This person's live performance is incredible.\Sayaka, would you like to listen to it together?\I-Is that okay?\I wanted to let you listen to it through the speakers. It's too bad we're in the hospital.\Final Shot!\Mami-san is still the coolest after all.\This isn't a show.\I hope you two don't forget how dangerous this is. response:	Yes, sir!
context: Sayaka, would you like to listen to it together?\I-Is that okay?\I wanted to let you listen to it through the speakers. It's too bad we're in the hospital.\Final Shot!\Mami-san is still the coolest after all.\This isn't a show.\I hope you two don't forget how dangerous this is.\Yes, sir! response:	There were no grief seeds this time.
context: I-Is that okay?\I wanted to let you listen to it through the speakers. It's too bad we're in the hospital.\Final Shot!\Mami-san is still the coolest after all.\This isn't a show.\I hope you two don't forget how dangerous this is.\Yes, sir!\There were no grief seeds this time. response:	The familiar we just encountered was a fragment of a Witch's body. That's why it didn't have grief seeds.
context: I wanted to let you listen to it through the speakers. It's too bad we're in the hospital.\Final Shot!\Mami-san is still the coolest after all.\This isn't a show.\I hope you two don't forget how dangerous this is.\Yes, sir!\There were no grief seeds this time.\The familiar we just encountered was a fragment of a Witch's body. That's why it didn't have grief seeds. response:	It wasn't a Witch?
context: Final Shot!\Mami-san is still the coolest after all.\This isn't a show.\I hope you two don't forget how dangerous this is.\Yes, sir!\There were no grief seeds this time.\The familiar we just encountered was a fragment of a Witch's body. That's why it didn't have grief seeds.\It wasn't a Witch? response:	We haven't seen any recently.
context: Mami-san is still the coolest after all.\This isn't a show.\I hope you two don't forget how dangerous this is.\Yes, sir!\There were no grief seeds this time.\The familiar we just encountered was a fragment of a Witch's body. That's why it didn't have grief seeds.\It wasn't a Witch?\We haven't seen any recently. response:	We can't afford to take familiars lightly, either.
context: This isn't a show.\I hope you two don't forget how dangerous this is.\Yes, sir!\There were no grief seeds this time.\The familiar we just encountered was a fragment of a Witch's body. That's why it didn't have grief seeds.\It wasn't a Witch?\We haven't seen any recently.\We can't afford to take familiars lightly, either. response:	If it matures, it will become the very Witch it split off from.
context: I hope you two don't forget how dangerous this is.\Yes, sir!\There were no grief seeds this time.\The familiar we just encountered was a fragment of a Witch's body. That's why it didn't have grief seeds.\It wasn't a Witch?\We haven't seen any recently.\We can't afford to take familiars lightly, either.\If it matures, it will become the very Witch it split off from. response:	Now, let's go.
context: Yes, sir!\There were no grief seeds this time.\The familiar we just encountered was a fragment of a Witch's body. That's why it didn't have grief seeds.\It wasn't a Witch?\We haven't seen any recently.\We can't afford to take familiars lightly, either.\If it matures, it will become the very Witch it split off from.\Now, let's go. response:	Have you two thought about your wishes?
context: There were no grief seeds this time.\The familiar we just encountered was a fragment of a Witch's body. That's why it didn't have grief seeds.\It wasn't a Witch?\We haven't seen any recently.\We can't afford to take familiars lightly, either.\If it matures, it will become the very Witch it split off from.\Now, let's go.\Have you two thought about your wishes? response:	Madoka?
