context: Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: Jojo's Bizarre Adventure\Diamond is Unbreakable response:	Episode 3 The Nijimura Brothers, Part 1
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 3 The Nijimura Brothers, Part 1 response:	Yeah. The issue with Angelo's been resolved.
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 3 The Nijimura Brothers, Part 1\Yeah. The issue with Angelo's been resolved. response:	But I won't be coming back for a while.
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 3 The Nijimura Brothers, Part 1\Yeah. The issue with Angelo's been resolved.\But I won't be coming back for a while. response:	That other photo we've been investigating...
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 3 The Nijimura Brothers, Part 1\Yeah. The issue with Angelo's been resolved.\But I won't be coming back for a while.\That other photo we've been investigating... response:	Send it over, too.
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 3 The Nijimura Brothers, Part 1\Yeah. The issue with Angelo's been resolved.\But I won't be coming back for a while.\That other photo we've been investigating...\Send it over, too. response:	Yeah, the one that the Speedwagon Foundation found in Egypt ten years ago.
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 3 The Nijimura Brothers, Part 1\Yeah. The issue with Angelo's been resolved.\But I won't be coming back for a while.\That other photo we've been investigating...\Send it over, too.\Yeah, the one that the Speedwagon Foundation found in Egypt ten years ago. response:	I think I might finally know what it means.
context: Diamond is Unbreakable\Episode 3 The Nijimura Brothers, Part 1\Yeah. The issue with Angelo's been resolved.\But I won't be coming back for a while.\That other photo we've been investigating...\Send it over, too.\Yeah, the one that the Speedwagon Foundation found in Egypt ten years ago.\I think I might finally know what it means. response:	Please.
context: Episode 3 The Nijimura Brothers, Part 1\Yeah. The issue with Angelo's been resolved.\But I won't be coming back for a while.\That other photo we've been investigating...\Send it over, too.\Yeah, the one that the Speedwagon Foundation found in Egypt ten years ago.\I think I might finally know what it means.\Please. response:	Yeah, thanks to him.
context: Yeah. The issue with Angelo's been resolved.\But I won't be coming back for a while.\That other photo we've been investigating...\Send it over, too.\Yeah, the one that the Speedwagon Foundation found in Egypt ten years ago.\I think I might finally know what it means.\Please.\Yeah, thanks to him. response:	Josuke! I killed your grandpa, but you have no right to kill me!
context: But I won't be coming back for a while.\That other photo we've been investigating...\Send it over, too.\Yeah, the one that the Speedwagon Foundation found in Egypt ten years ago.\I think I might finally know what it means.\Please.\Yeah, thanks to him.\Josuke! I killed your grandpa, but you have no right to kill me! response:	If you kill me, you'll end up a cursed soul, just like me!
context: That other photo we've been investigating...\Send it over, too.\Yeah, the one that the Speedwagon Foundation found in Egypt ten years ago.\I think I might finally know what it means.\Please.\Yeah, thanks to him.\Josuke! I killed your grandpa, but you have no right to kill me!\If you kill me, you'll end up a cursed soul, just like me! response:	Don't go telling people what they can and can't do.
context: Send it over, too.\Yeah, the one that the Speedwagon Foundation found in Egypt ten years ago.\I think I might finally know what it means.\Please.\Yeah, thanks to him.\Josuke! I killed your grandpa, but you have no right to kill me!\If you kill me, you'll end up a cursed soul, just like me!\Don't go telling people what they can and can't do. response:	M-M-My right hand! My hand!
context: Yeah, the one that the Speedwagon Foundation found in Egypt ten years ago.\I think I might finally know what it means.\Please.\Yeah, thanks to him.\Josuke! I killed your grandpa, but you have no right to kill me!\If you kill me, you'll end up a cursed soul, just like me!\Don't go telling people what they can and can't do.\M-M-My right hand! My hand! response:	No one's going to execute you.
context: I think I might finally know what it means.\Please.\Yeah, thanks to him.\Josuke! I killed your grandpa, but you have no right to kill me!\If you kill me, you'll end up a cursed soul, just like me!\Don't go telling people what they can and can't do.\M-M-My right hand! My hand!\No one's going to execute you. response:	Not me, and not Jotaro, either.
context: Please.\Yeah, thanks to him.\Josuke! I killed your grandpa, but you have no right to kill me!\If you kill me, you'll end up a cursed soul, just like me!\Don't go telling people what they can and can't do.\M-M-My right hand! My hand!\No one's going to execute you.\Not me, and not Jotaro, either. response:	You're not going to be executed,
context: Yeah, thanks to him.\Josuke! I killed your grandpa, but you have no right to kill me!\If you kill me, you'll end up a cursed soul, just like me!\Don't go telling people what they can and can't do.\M-M-My right hand! My hand!\No one's going to execute you.\Not me, and not Jotaro, either.\You're not going to be executed, response:	and you're not going back to jail.
context: Josuke! I killed your grandpa, but you have no right to kill me!\If you kill me, you'll end up a cursed soul, just like me!\Don't go telling people what they can and can't do.\M-M-My right hand! My hand!\No one's going to execute you.\Not me, and not Jotaro, either.\You're not going to be executed,\and you're not going back to jail. response:	Josuke, I'll leave the rest to you.
context: If you kill me, you'll end up a cursed soul, just like me!\Don't go telling people what they can and can't do.\M-M-My right hand! My hand!\No one's going to execute you.\Not me, and not Jotaro, either.\You're not going to be executed,\and you're not going back to jail.\Josuke, I'll leave the rest to you. response:	Wh-What do you plan to do with me, you bastards?!
context: Don't go telling people what they can and can't do.\M-M-My right hand! My hand!\No one's going to execute you.\Not me, and not Jotaro, either.\You're not going to be executed,\and you're not going back to jail.\Josuke, I'll leave the rest to you.\Wh-What do you plan to do with me, you bastards?! response:	Repent for eternity, Angelo!
context: M-M-My right hand! My hand!\No one's going to execute you.\Not me, and not Jotaro, either.\You're not going to be executed,\and you're not going back to jail.\Josuke, I'll leave the rest to you.\Wh-What do you plan to do with me, you bastards?!\Repent for eternity, Angelo! response:	For all of those you killed, including my Gramps!
context: No one's going to execute you.\Not me, and not Jotaro, either.\You're not going to be executed,\and you're not going back to jail.\Josuke, I'll leave the rest to you.\Wh-What do you plan to do with me, you bastards?!\Repent for eternity, Angelo!\For all of those you killed, including my Gramps! response:	Damn it...
context: Not me, and not Jotaro, either.\You're not going to be executed,\and you're not going back to jail.\Josuke, I'll leave the rest to you.\Wh-What do you plan to do with me, you bastards?!\Repent for eternity, Angelo!\For all of those you killed, including my Gramps!\Damn it... response:	Don't you dare get cocky!
context: You're not going to be executed,\and you're not going back to jail.\Josuke, I'll leave the rest to you.\Wh-What do you plan to do with me, you bastards?!\Repent for eternity, Angelo!\For all of those you killed, including my Gramps!\Damn it...\Don't you dare get cocky! response:	I'm sure he'll kill you both for me.
context: and you're not going back to jail.\Josuke, I'll leave the rest to you.\Wh-What do you plan to do with me, you bastards?!\Repent for eternity, Angelo!\For all of those you killed, including my Gramps!\Damn it...\Don't you dare get cocky!\I'm sure he'll kill you both for me. response:	What? He?
context: Josuke, I'll leave the rest to you.\Wh-What do you plan to do with me, you bastards?!\Repent for eternity, Angelo!\For all of those you killed, including my Gramps!\Damn it...\Don't you dare get cocky!\I'm sure he'll kill you both for me.\What? He? response:	That's right. The one wearing a school uniform,
context: Wh-What do you plan to do with me, you bastards?!\Repent for eternity, Angelo!\For all of those you killed, including my Gramps!\Damn it...\Don't you dare get cocky!\I'm sure he'll kill you both for me.\What? He?\That's right. The one wearing a school uniform, response:	who gave me this power.
context: Repent for eternity, Angelo!\For all of those you killed, including my Gramps!\Damn it...\Don't you dare get cocky!\I'm sure he'll kill you both for me.\What? He?\That's right. The one wearing a school uniform,\who gave me this power. response:	What?
context: For all of those you killed, including my Gramps!\Damn it...\Don't you dare get cocky!\I'm sure he'll kill you both for me.\What? He?\That's right. The one wearing a school uniform,\who gave me this power.\What? response:	It can't be...
context: Damn it...\Don't you dare get cocky!\I'm sure he'll kill you both for me.\What? He?\That's right. The one wearing a school uniform,\who gave me this power.\What?\It can't be... response:	Are you saying someone can willingly give another a Stand?
context: Don't you dare get cocky!\I'm sure he'll kill you both for me.\What? He?\That's right. The one wearing a school uniform,\who gave me this power.\What?\It can't be...\Are you saying someone can willingly give another a Stand? response:	Are you scared?
context: I'm sure he'll kill you both for me.\What? He?\That's right. The one wearing a school uniform,\who gave me this power.\What?\It can't be...\Are you saying someone can willingly give another a Stand?\Are you scared? response:	Huh? How is that supposed to scare us?
context: What? He?\That's right. The one wearing a school uniform,\who gave me this power.\What?\It can't be...\Are you saying someone can willingly give another a Stand?\Are you scared?\Huh? How is that supposed to scare us? response:	No... Angelo's not a Stand user by birth.
context: That's right. The one wearing a school uniform,\who gave me this power.\What?\It can't be...\Are you saying someone can willingly give another a Stand?\Are you scared?\Huh? How is that supposed to scare us?\No... Angelo's not a Stand user by birth. response:	It was a mystery how he obtained his Stand powers.
context: who gave me this power.\What?\It can't be...\Are you saying someone can willingly give another a Stand?\Are you scared?\Huh? How is that supposed to scare us?\No... Angelo's not a Stand user by birth.\It was a mystery how he obtained his Stand powers. response:	But if there is actually a person who can give others Stands...
context: What?\It can't be...\Are you saying someone can willingly give another a Stand?\Are you scared?\Huh? How is that supposed to scare us?\No... Angelo's not a Stand user by birth.\It was a mystery how he obtained his Stand powers.\But if there is actually a person who can give others Stands... response:	Terrifying, isn't it?
context: It can't be...\Are you saying someone can willingly give another a Stand?\Are you scared?\Huh? How is that supposed to scare us?\No... Angelo's not a Stand user by birth.\It was a mystery how he obtained his Stand powers.\But if there is actually a person who can give others Stands...\Terrifying, isn't it? response:	Want me to tell you?
context: Are you saying someone can willingly give another a Stand?\Are you scared?\Huh? How is that supposed to scare us?\No... Angelo's not a Stand user by birth.\It was a mystery how he obtained his Stand powers.\But if there is actually a person who can give others Stands...\Terrifying, isn't it?\Want me to tell you? response:	It was last year, so 1998,
context: Are you scared?\Huh? How is that supposed to scare us?\No... Angelo's not a Stand user by birth.\It was a mystery how he obtained his Stand powers.\But if there is actually a person who can give others Stands...\Terrifying, isn't it?\Want me to tell you?\It was last year, so 1998, response:	on a night about a month before my execution.
context: Huh? How is that supposed to scare us?\No... Angelo's not a Stand user by birth.\It was a mystery how he obtained his Stand powers.\But if there is actually a person who can give others Stands...\Terrifying, isn't it?\Want me to tell you?\It was last year, so 1998,\on a night about a month before my execution. response:	I couldn't sleep that night...
context: No... Angelo's not a Stand user by birth.\It was a mystery how he obtained his Stand powers.\But if there is actually a person who can give others Stands...\Terrifying, isn't it?\Want me to tell you?\It was last year, so 1998,\on a night about a month before my execution.\I couldn't sleep that night... response:	I was just staring blankly up at the ceiling of my cell.
context: It was a mystery how he obtained his Stand powers.\But if there is actually a person who can give others Stands...\Terrifying, isn't it?\Want me to tell you?\It was last year, so 1998,\on a night about a month before my execution.\I couldn't sleep that night...\I was just staring blankly up at the ceiling of my cell. response:	It was a completely silent night.
context: But if there is actually a person who can give others Stands...\Terrifying, isn't it?\Want me to tell you?\It was last year, so 1998,\on a night about a month before my execution.\I couldn't sleep that night...\I was just staring blankly up at the ceiling of my cell.\It was a completely silent night. response:	But then...
context: Terrifying, isn't it?\Want me to tell you?\It was last year, so 1998,\on a night about a month before my execution.\I couldn't sleep that night...\I was just staring blankly up at the ceiling of my cell.\It was a completely silent night.\But then... response:	I should've been the only one in that dark cell,
context: Want me to tell you?\It was last year, so 1998,\on a night about a month before my execution.\I couldn't sleep that night...\I was just staring blankly up at the ceiling of my cell.\It was a completely silent night.\But then...\I should've been the only one in that dark cell, response:	but he was there.
context: It was last year, so 1998,\on a night about a month before my execution.\I couldn't sleep that night...\I was just staring blankly up at the ceiling of my cell.\It was a completely silent night.\But then...\I should've been the only one in that dark cell,\but he was there. response:	The guy in the school uniform.
context: on a night about a month before my execution.\I couldn't sleep that night...\I was just staring blankly up at the ceiling of my cell.\It was a completely silent night.\But then...\I should've been the only one in that dark cell,\but he was there.\The guy in the school uniform. response:	H-Hey! How long have you been there?!
context: I couldn't sleep that night...\I was just staring blankly up at the ceiling of my cell.\It was a completely silent night.\But then...\I should've been the only one in that dark cell,\but he was there.\The guy in the school uniform.\H-Hey! How long have you been there?! response:	Where'd you come from?!
context: I was just staring blankly up at the ceiling of my cell.\It was a completely silent night.\But then...\I should've been the only one in that dark cell,\but he was there.\The guy in the school uniform.\H-Hey! How long have you been there?!\Where'd you come from?! response:	Wha...
context: It was a completely silent night.\But then...\I should've been the only one in that dark cell,\but he was there.\The guy in the school uniform.\H-Hey! How long have you been there?!\Where'd you come from?!\Wha... response:	It was a very old bow and arrow.
context: But then...\I should've been the only one in that dark cell,\but he was there.\The guy in the school uniform.\H-Hey! How long have you been there?!\Where'd you come from?!\Wha...\It was a very old bow and arrow. response:	It looked like it was centuries old.
context: I should've been the only one in that dark cell,\but he was there.\The guy in the school uniform.\H-Hey! How long have you been there?!\Where'd you come from?!\Wha...\It was a very old bow and arrow.\It looked like it was centuries old. response:	Wh-What are you doing?
context: but he was there.\The guy in the school uniform.\H-Hey! How long have you been there?!\Where'd you come from?!\Wha...\It was a very old bow and arrow.\It looked like it was centuries old.\Wh-What are you doing? response:	I was so scared, I could almost feel my balls shriveling up.
context: The guy in the school uniform.\H-Hey! How long have you been there?!\Where'd you come from?!\Wha...\It was a very old bow and arrow.\It looked like it was centuries old.\Wh-What are you doing?\I was so scared, I could almost feel my balls shriveling up. response:	But before I even had a chance to scream...
context: H-Hey! How long have you been there?!\Where'd you come from?!\Wha...\It was a very old bow and arrow.\It looked like it was centuries old.\Wh-What are you doing?\I was so scared, I could almost feel my balls shriveling up.\But before I even had a chance to scream... response:	You're alive. Congratulations.
context: Where'd you come from?!\Wha...\It was a very old bow and arrow.\It looked like it was centuries old.\Wh-What are you doing?\I was so scared, I could almost feel my balls shriveling up.\But before I even had a chance to scream...\You're alive. Congratulations. response:	That means you've got the aptitude. If you didn't, you'd be dead.
context: Wha...\It was a very old bow and arrow.\It looked like it was centuries old.\Wh-What are you doing?\I was so scared, I could almost feel my balls shriveling up.\But before I even had a chance to scream...\You're alive. Congratulations.\That means you've got the aptitude. If you didn't, you'd be dead. response:	You've just obtained a talent.
context: It was a very old bow and arrow.\It looked like it was centuries old.\Wh-What are you doing?\I was so scared, I could almost feel my balls shriveling up.\But before I even had a chance to scream...\You're alive. Congratulations.\That means you've got the aptitude. If you didn't, you'd be dead.\You've just obtained a talent. response:	No... It's more accurate to say it was pulled from your mind.
context: It looked like it was centuries old.\Wh-What are you doing?\I was so scared, I could almost feel my balls shriveling up.\But before I even had a chance to scream...\You're alive. Congratulations.\That means you've got the aptitude. If you didn't, you'd be dead.\You've just obtained a talent.\No... It's more accurate to say it was pulled from your mind. response:	The worse the villain, the more they have...
context: Wh-What are you doing?\I was so scared, I could almost feel my balls shriveling up.\But before I even had a chance to scream...\You're alive. Congratulations.\That means you've got the aptitude. If you didn't, you'd be dead.\You've just obtained a talent.\No... It's more accurate to say it was pulled from your mind.\The worse the villain, the more they have... response:	This talent that the man named Dio called a Stand.
context: I was so scared, I could almost feel my balls shriveling up.\But before I even had a chance to scream...\You're alive. Congratulations.\That means you've got the aptitude. If you didn't, you'd be dead.\You've just obtained a talent.\No... It's more accurate to say it was pulled from your mind.\The worse the villain, the more they have...\This talent that the man named Dio called a Stand. response:	Dio?
context: But before I even had a chance to scream...\You're alive. Congratulations.\That means you've got the aptitude. If you didn't, you'd be dead.\You've just obtained a talent.\No... It's more accurate to say it was pulled from your mind.\The worse the villain, the more they have...\This talent that the man named Dio called a Stand.\Dio? response:	Did you say Dio?
context: You're alive. Congratulations.\That means you've got the aptitude. If you didn't, you'd be dead.\You've just obtained a talent.\No... It's more accurate to say it was pulled from your mind.\The worse the villain, the more they have...\This talent that the man named Dio called a Stand.\Dio?\Did you say Dio? response:	Jotaro? Is something...
context: That means you've got the aptitude. If you didn't, you'd be dead.\You've just obtained a talent.\No... It's more accurate to say it was pulled from your mind.\The worse the villain, the more they have...\This talent that the man named Dio called a Stand.\Dio?\Did you say Dio?\Jotaro? Is something... response:	What?!
context: You've just obtained a talent.\No... It's more accurate to say it was pulled from your mind.\The worse the villain, the more they have...\This talent that the man named Dio called a Stand.\Dio?\Did you say Dio?\Jotaro? Is something...\What?! response:	You fools!
context: No... It's more accurate to say it was pulled from your mind.\The worse the villain, the more they have...\This talent that the man named Dio called a Stand.\Dio?\Did you say Dio?\Jotaro? Is something...\What?!\You fools! response:	It looks like you were so busy
context: The worse the villain, the more they have...\This talent that the man named Dio called a Stand.\Dio?\Did you say Dio?\Jotaro? Is something...\What?!\You fools!\It looks like you were so busy response:	listening to my story that you forgot about my Aqua Necklace!
