context: -OP- response:	-ED-
context: -OP-\-ED- response:	Paku! Paku...
context: -OP-\-ED-\Paku! Paku... response:	My friend...
context: -OP-\-ED-\Paku! Paku...\My friend... response:	I have to protect her!
context: -OP-\-ED-\Paku! Paku...\My friend...\I have to protect her! response:	I don't like you, Izumo.
context: -OP-\-ED-\Paku! Paku...\My friend...\I have to protect her!\I don't like you, Izumo. response:	We shall not follow you, woman!
context: -OP-\-ED-\Paku! Paku...\My friend...\I have to protect her!\I don't like you, Izumo.\We shall not follow you, woman! response:	A dream?
context: -OP-\-ED-\Paku! Paku...\My friend...\I have to protect her!\I don't like you, Izumo.\We shall not follow you, woman!\A dream? response:	I'm so stupid...
context: -ED-\Paku! Paku...\My friend...\I have to protect her!\I don't like you, Izumo.\We shall not follow you, woman!\A dream?\I'm so stupid... response:	Good morning.
context: Paku! Paku...\My friend...\I have to protect her!\I don't like you, Izumo.\We shall not follow you, woman!\A dream?\I'm so stupid...\Good morning. response:	Ah, mornin'.
context: My friend...\I have to protect her!\I don't like you, Izumo.\We shall not follow you, woman!\A dream?\I'm so stupid...\Good morning.\Ah, mornin'. response:	Get it?
context: I have to protect her!\I don't like you, Izumo.\We shall not follow you, woman!\A dream?\I'm so stupid...\Good morning.\Ah, mornin'.\Get it? response:	Don't tell anyone that I cried yesterday.
context: I don't like you, Izumo.\We shall not follow you, woman!\A dream?\I'm so stupid...\Good morning.\Ah, mornin'.\Get it?\Don't tell anyone that I cried yesterday. response:	Me? Who would I tell?
context: We shall not follow you, woman!\A dream?\I'm so stupid...\Good morning.\Ah, mornin'.\Get it?\Don't tell anyone that I cried yesterday.\Me? Who would I tell? response:	Just promise me you won't tell anyone!
context: A dream?\I'm so stupid...\Good morning.\Ah, mornin'.\Get it?\Don't tell anyone that I cried yesterday.\Me? Who would I tell?\Just promise me you won't tell anyone! response:	Oh shut up, I said I'm not telling anyone.
context: I'm so stupid...\Good morning.\Ah, mornin'.\Get it?\Don't tell anyone that I cried yesterday.\Me? Who would I tell?\Just promise me you won't tell anyone!\Oh shut up, I said I'm not telling anyone. response:	Here...
context: Good morning.\Ah, mornin'.\Get it?\Don't tell anyone that I cried yesterday.\Me? Who would I tell?\Just promise me you won't tell anyone!\Oh shut up, I said I'm not telling anyone.\Here... response:	Thanks.
context: Ah, mornin'.\Get it?\Don't tell anyone that I cried yesterday.\Me? Who would I tell?\Just promise me you won't tell anyone!\Oh shut up, I said I'm not telling anyone.\Here...\Thanks. response:	If you hadn't been there, who knows what would have happened to Paku and I...
context: Get it?\Don't tell anyone that I cried yesterday.\Me? Who would I tell?\Just promise me you won't tell anyone!\Oh shut up, I said I'm not telling anyone.\Here...\Thanks.\If you hadn't been there, who knows what would have happened to Paku and I... response:	I'm grateful for that.
context: Don't tell anyone that I cried yesterday.\Me? Who would I tell?\Just promise me you won't tell anyone!\Oh shut up, I said I'm not telling anyone.\Here...\Thanks.\If you hadn't been there, who knows what would have happened to Paku and I...\I'm grateful for that. response:	Wow, you washed it!
context: Me? Who would I tell?\Just promise me you won't tell anyone!\Oh shut up, I said I'm not telling anyone.\Here...\Thanks.\If you hadn't been there, who knows what would have happened to Paku and I...\I'm grateful for that.\Wow, you washed it! response:	Huh?
context: Just promise me you won't tell anyone!\Oh shut up, I said I'm not telling anyone.\Here...\Thanks.\If you hadn't been there, who knows what would have happened to Paku and I...\I'm grateful for that.\Wow, you washed it!\Huh? response:	You're a nice person after all! I misjudged you.
context: Oh shut up, I said I'm not telling anyone.\Here...\Thanks.\If you hadn't been there, who knows what would have happened to Paku and I...\I'm grateful for that.\Wow, you washed it!\Huh?\You're a nice person after all! I misjudged you. response:	Misjudged? I washed it because it was dirty.
context: Here...\Thanks.\If you hadn't been there, who knows what would have happened to Paku and I...\I'm grateful for that.\Wow, you washed it!\Huh?\You're a nice person after all! I misjudged you.\Misjudged? I washed it because it was dirty. response:	Huh? Seriously? Was it that dirty?
context: Thanks.\If you hadn't been there, who knows what would have happened to Paku and I...\I'm grateful for that.\Wow, you washed it!\Huh?\You're a nice person after all! I misjudged you.\Misjudged? I washed it because it was dirty.\Huh? Seriously? Was it that dirty? response:	Good morning.
context: If you hadn't been there, who knows what would have happened to Paku and I...\I'm grateful for that.\Wow, you washed it!\Huh?\You're a nice person after all! I misjudged you.\Misjudged? I washed it because it was dirty.\Huh? Seriously? Was it that dirty?\Good morning. response:	Mr. Okumura.
context: I'm grateful for that.\Wow, you washed it!\Huh?\You're a nice person after all! I misjudged you.\Misjudged? I washed it because it was dirty.\Huh? Seriously? Was it that dirty?\Good morning.\Mr. Okumura. response:	In two or three days the fever will go down and you can get up again.
context: Wow, you washed it!\Huh?\You're a nice person after all! I misjudged you.\Misjudged? I washed it because it was dirty.\Huh? Seriously? Was it that dirty?\Good morning.\Mr. Okumura.\In two or three days the fever will go down and you can get up again. response:	Get some rest for now.
context: Huh?\You're a nice person after all! I misjudged you.\Misjudged? I washed it because it was dirty.\Huh? Seriously? Was it that dirty?\Good morning.\Mr. Okumura.\In two or three days the fever will go down and you can get up again.\Get some rest for now. response:	Thank you very much, Mr. Okumura.
context: You're a nice person after all! I misjudged you.\Misjudged? I washed it because it was dirty.\Huh? Seriously? Was it that dirty?\Good morning.\Mr. Okumura.\In two or three days the fever will go down and you can get up again.\Get some rest for now.\Thank you very much, Mr. Okumura. response:	Get well.
