context: Midday Moon response:	What the hell is that?!
context: Midday Moon\What the hell is that?! response:	GRRR
context: Midday Moon\What the hell is that?!\GRRR response:	Enough! I'm going!
context: Midday Moon\What the hell is that?!\GRRR\Enough! I'm going! response:	So where is that middle school? What's the name of that homeroom teacher?!
context: Midday Moon\What the hell is that?!\GRRR\Enough! I'm going!\So where is that middle school? What's the name of that homeroom teacher?! response:	I can understand why that big sister is worried!
context: Midday Moon\What the hell is that?!\GRRR\Enough! I'm going!\So where is that middle school? What's the name of that homeroom teacher?!\I can understand why that big sister is worried! response:	From what I've heard, that homeroom teacher is rotten to the core!
context: Midday Moon\What the hell is that?!\GRRR\Enough! I'm going!\So where is that middle school? What's the name of that homeroom teacher?!\I can understand why that big sister is worried!\From what I've heard, that homeroom teacher is rotten to the core! response:	FACULTY ROOM
context: Midday Moon\What the hell is that?!\GRRR\Enough! I'm going!\So where is that middle school? What's the name of that homeroom teacher?!\I can understand why that big sister is worried!\From what I've heard, that homeroom teacher is rotten to the core!\FACULTY ROOM response:	Mr. Hayashida! Calm down!
context: What the hell is that?!\GRRR\Enough! I'm going!\So where is that middle school? What's the name of that homeroom teacher?!\I can understand why that big sister is worried!\From what I've heard, that homeroom teacher is rotten to the core!\FACULTY ROOM\Mr. Hayashida! Calm down! response:	Don't raise your voice to me.
context: GRRR\Enough! I'm going!\So where is that middle school? What's the name of that homeroom teacher?!\I can understand why that big sister is worried!\From what I've heard, that homeroom teacher is rotten to the core!\FACULTY ROOM\Mr. Hayashida! Calm down!\Don't raise your voice to me. response:	I should really go!
context: Enough! I'm going!\So where is that middle school? What's the name of that homeroom teacher?!\I can understand why that big sister is worried!\From what I've heard, that homeroom teacher is rotten to the core!\FACULTY ROOM\Mr. Hayashida! Calm down!\Don't raise your voice to me.\I should really go! response:	Just let me go, Kiriyama!
context: So where is that middle school? What's the name of that homeroom teacher?!\I can understand why that big sister is worried!\From what I've heard, that homeroom teacher is rotten to the core!\FACULTY ROOM\Mr. Hayashida! Calm down!\Don't raise your voice to me.\I should really go!\Just let me go, Kiriyama! response:	Mr. Hayashida, relax!
context: I can understand why that big sister is worried!\From what I've heard, that homeroom teacher is rotten to the core!\FACULTY ROOM\Mr. Hayashida! Calm down!\Don't raise your voice to me.\I should really go!\Just let me go, Kiriyama!\Mr. Hayashida, relax! response:	As a fellow teacher, there's something I want to say to that homeroom teacher!
context: From what I've heard, that homeroom teacher is rotten to the core!\FACULTY ROOM\Mr. Hayashida! Calm down!\Don't raise your voice to me.\I should really go!\Just let me go, Kiriyama!\Mr. Hayashida, relax!\As a fellow teacher, there's something I want to say to that homeroom teacher! response:	I know what you mean because I...
context: FACULTY ROOM\Mr. Hayashida! Calm down!\Don't raise your voice to me.\I should really go!\Just let me go, Kiriyama!\Mr. Hayashida, relax!\As a fellow teacher, there's something I want to say to that homeroom teacher!\I know what you mean because I... response:	I want to go too!
context: Mr. Hayashida! Calm down!\Don't raise your voice to me.\I should really go!\Just let me go, Kiriyama!\Mr. Hayashida, relax!\As a fellow teacher, there's something I want to say to that homeroom teacher!\I know what you mean because I...\I want to go too! response:	But...
context: Don't raise your voice to me.\I should really go!\Just let me go, Kiriyama!\Mr. Hayashida, relax!\As a fellow teacher, there's something I want to say to that homeroom teacher!\I know what you mean because I...\I want to go too!\But... response:	I can't be of any help.
context: I should really go!\Just let me go, Kiriyama!\Mr. Hayashida, relax!\As a fellow teacher, there's something I want to say to that homeroom teacher!\I know what you mean because I...\I want to go too!\But...\I can't be of any help. response:	In my own case, I would pretend to be fine
context: Just let me go, Kiriyama!\Mr. Hayashida, relax!\As a fellow teacher, there's something I want to say to that homeroom teacher!\I know what you mean because I...\I want to go too!\But...\I can't be of any help.\In my own case, I would pretend to be fine response:	and just isolate myself.
context: Mr. Hayashida, relax!\As a fellow teacher, there's something I want to say to that homeroom teacher!\I know what you mean because I...\I want to go too!\But...\I can't be of any help.\In my own case, I would pretend to be fine\and just isolate myself. response:	I didn't bother to struggle, but just endure it and go with the flow,
context: As a fellow teacher, there's something I want to say to that homeroom teacher!\I know what you mean because I...\I want to go too!\But...\I can't be of any help.\In my own case, I would pretend to be fine\and just isolate myself.\I didn't bother to struggle, but just endure it and go with the flow, response:	escaping into shogi...
context: I know what you mean because I...\I want to go too!\But...\I can't be of any help.\In my own case, I would pretend to be fine\and just isolate myself.\I didn't bother to struggle, but just endure it and go with the flow,\escaping into shogi... response:	So I don't have any useful wisdom for a time like this!
context: I want to go too!\But...\I can't be of any help.\In my own case, I would pretend to be fine\and just isolate myself.\I didn't bother to struggle, but just endure it and go with the flow,\escaping into shogi...\So I don't have any useful wisdom for a time like this! response:	I thought if I could...
context: But...\I can't be of any help.\In my own case, I would pretend to be fine\and just isolate myself.\I didn't bother to struggle, but just endure it and go with the flow,\escaping into shogi...\So I don't have any useful wisdom for a time like this!\I thought if I could... response:	they could put it to good use for something, so I tried my best.
context: I can't be of any help.\In my own case, I would pretend to be fine\and just isolate myself.\I didn't bother to struggle, but just endure it and go with the flow,\escaping into shogi...\So I don't have any useful wisdom for a time like this!\I thought if I could...\they could put it to good use for something, so I tried my best. response:	But they aren't the kind of people who would accept money from a total stranger like me.
context: In my own case, I would pretend to be fine\and just isolate myself.\I didn't bother to struggle, but just endure it and go with the flow,\escaping into shogi...\So I don't have any useful wisdom for a time like this!\I thought if I could...\they could put it to good use for something, so I tried my best.\But they aren't the kind of people who would accept money from a total stranger like me. response:	So please tell me, Mr. Hayashida!
context: and just isolate myself.\I didn't bother to struggle, but just endure it and go with the flow,\escaping into shogi...\So I don't have any useful wisdom for a time like this!\I thought if I could...\they could put it to good use for something, so I tried my best.\But they aren't the kind of people who would accept money from a total stranger like me.\So please tell me, Mr. Hayashida! response:	I'll treat you to oden or yakiniku or anything!
