context: Master! response:	Master!
context: Master!\Master! response:	Are you Tsubaki the Dark Priestess?
context: Master!\Master!\Are you Tsubaki the Dark Priestess? response:	If you came to break the curse, it's too late.
context: Master!\Master!\Are you Tsubaki the Dark Priestess?\If you came to break the curse, it's too late. response:	The ceremony is over.
context: Master!\Master!\Are you Tsubaki the Dark Priestess?\If you came to break the curse, it's too late.\The ceremony is over. response:	Who cares about that?
context: Master!\Master!\Are you Tsubaki the Dark Priestess?\If you came to break the curse, it's too late.\The ceremony is over.\Who cares about that? response:	I came to get you.
context: Master!\Master!\Are you Tsubaki the Dark Priestess?\If you came to break the curse, it's too late.\The ceremony is over.\Who cares about that?\I came to get you. response:	Are you a demon?!
context: Master!\Master!\Are you Tsubaki the Dark Priestess?\If you came to break the curse, it's too late.\The ceremony is over.\Who cares about that?\I came to get you.\Are you a demon?! response:	Cut it out!
context: Master!\Are you Tsubaki the Dark Priestess?\If you came to break the curse, it's too late.\The ceremony is over.\Who cares about that?\I came to get you.\Are you a demon?!\Cut it out! response:	Troublesome hag.
context: Are you Tsubaki the Dark Priestess?\If you came to break the curse, it's too late.\The ceremony is over.\Who cares about that?\I came to get you.\Are you a demon?!\Cut it out!\Troublesome hag. response:	But someone wants to borrow your powers.
context: If you came to break the curse, it's too late.\The ceremony is over.\Who cares about that?\I came to get you.\Are you a demon?!\Cut it out!\Troublesome hag.\But someone wants to borrow your powers. response:	What does a demon want with me?
context: The ceremony is over.\Who cares about that?\I came to get you.\Are you a demon?!\Cut it out!\Troublesome hag.\But someone wants to borrow your powers.\What does a demon want with me? response:	Do you still bear a grudge against Kikyo?
context: Who cares about that?\I came to get you.\Are you a demon?!\Cut it out!\Troublesome hag.\But someone wants to borrow your powers.\What does a demon want with me?\Do you still bear a grudge against Kikyo? response:	Kikyo, you say?
context: I came to get you.\Are you a demon?!\Cut it out!\Troublesome hag.\But someone wants to borrow your powers.\What does a demon want with me?\Do you still bear a grudge against Kikyo?\Kikyo, you say? response:	What's this?!
