context: Hmm... response:	Hey, are we really going...
context: Hmm...\Hey, are we really going... response:	Tohya?
context: Hmm...\Hey, are we really going...\Tohya? response:	Hmm...
context: Hmm...\Hey, are we really going...\Tohya?\Hmm... response:	Takoyaki!
context: Hmm...\Hey, are we really going...\Tohya?\Hmm...\Takoyaki! response:	You can eat later.
context: Hmm...\Hey, are we really going...\Tohya?\Hmm...\Takoyaki!\You can eat later. response:	We still have things to buy.
context: Hmm...\Hey, are we really going...\Tohya?\Hmm...\Takoyaki!\You can eat later.\We still have things to buy. response:	You're so mean, Umeko...
context: Hmm...\Hey, are we really going...\Tohya?\Hmm...\Takoyaki!\You can eat later.\We still have things to buy.\You're so mean, Umeko... response:	You promised not to call me by that name.
context: Hey, are we really going...\Tohya?\Hmm...\Takoyaki!\You can eat later.\We still have things to buy.\You're so mean, Umeko...\You promised not to call me by that name. response:	Now, let's go.
context: Tohya?\Hmm...\Takoyaki!\You can eat later.\We still have things to buy.\You're so mean, Umeko...\You promised not to call me by that name.\Now, let's go. response:	What's wrong?
context: Hmm...\Takoyaki!\You can eat later.\We still have things to buy.\You're so mean, Umeko...\You promised not to call me by that name.\Now, let's go.\What's wrong? response:	Akihabara really has changed...
context: Takoyaki!\You can eat later.\We still have things to buy.\You're so mean, Umeko...\You promised not to call me by that name.\Now, let's go.\What's wrong?\Akihabara really has changed... response:	But it's only been a week, hasn't it?
context: You can eat later.\We still have things to buy.\You're so mean, Umeko...\You promised not to call me by that name.\Now, let's go.\What's wrong?\Akihabara really has changed...\But it's only been a week, hasn't it? response:	Since that conference.
context: We still have things to buy.\You're so mean, Umeko...\You promised not to call me by that name.\Now, let's go.\What's wrong?\Akihabara really has changed...\But it's only been a week, hasn't it?\Since that conference. response:	If you're that insistent,
context: You're so mean, Umeko...\You promised not to call me by that name.\Now, let's go.\What's wrong?\Akihabara really has changed...\But it's only been a week, hasn't it?\Since that conference.\If you're that insistent, response:	why don't you tell us specifically what Log Horizon has in mind?
context: You promised not to call me by that name.\Now, let's go.\What's wrong?\Akihabara really has changed...\But it's only been a week, hasn't it?\Since that conference.\If you're that insistent,\why don't you tell us specifically what Log Horizon has in mind? response:	Grab It in Your Hand
context: Now, let's go.\What's wrong?\Akihabara really has changed...\But it's only been a week, hasn't it?\Since that conference.\If you're that insistent,\why don't you tell us specifically what Log Horizon has in mind?\Grab It in Your Hand response:	Grab It in Your Hand.
context: What's wrong?\Akihabara really has changed...\But it's only been a week, hasn't it?\Since that conference.\If you're that insistent,\why don't you tell us specifically what Log Horizon has in mind?\Grab It in Your Hand\Grab It in Your Hand. response:	I have two primary goals...
context: Akihabara really has changed...\But it's only been a week, hasn't it?\Since that conference.\If you're that insistent,\why don't you tell us specifically what Log Horizon has in mind?\Grab It in Your Hand\Grab It in Your Hand.\I have two primary goals... response:	My proposal to restore life to the people here, and to protect them, is as I've explained.
context: But it's only been a week, hasn't it?\Since that conference.\If you're that insistent,\why don't you tell us specifically what Log Horizon has in mind?\Grab It in Your Hand\Grab It in Your Hand.\I have two primary goals...\My proposal to restore life to the people here, and to protect them, is as I've explained. response:	As for specifics, we'll begin with bringing life back to the area.
context: Since that conference.\If you're that insistent,\why don't you tell us specifically what Log Horizon has in mind?\Grab It in Your Hand\Grab It in Your Hand.\I have two primary goals...\My proposal to restore life to the people here, and to protect them, is as I've explained.\As for specifics, we'll begin with bringing life back to the area. response:	Marie?
context: If you're that insistent,\why don't you tell us specifically what Log Horizon has in mind?\Grab It in Your Hand\Grab It in Your Hand.\I have two primary goals...\My proposal to restore life to the people here, and to protect them, is as I've explained.\As for specifics, we'll begin with bringing life back to the area.\Marie? response:	As I believe some of you are aware,
context: why don't you tell us specifically what Log Horizon has in mind?\Grab It in Your Hand\Grab It in Your Hand.\I have two primary goals...\My proposal to restore life to the people here, and to protect them, is as I've explained.\As for specifics, we'll begin with bringing life back to the area.\Marie?\As I believe some of you are aware, response:	we've been running a restaurant called Crescent Moon.
context: Grab It in Your Hand\Grab It in Your Hand.\I have two primary goals...\My proposal to restore life to the people here, and to protect them, is as I've explained.\As for specifics, we'll begin with bringing life back to the area.\Marie?\As I believe some of you are aware,\we've been running a restaurant called Crescent Moon. response:	The secret behind its popularity...
context: Grab It in Your Hand.\I have two primary goals...\My proposal to restore life to the people here, and to protect them, is as I've explained.\As for specifics, we'll begin with bringing life back to the area.\Marie?\As I believe some of you are aware,\we've been running a restaurant called Crescent Moon.\The secret behind its popularity... response:	You can do it, Marielle.
context: I have two primary goals...\My proposal to restore life to the people here, and to protect them, is as I've explained.\As for specifics, we'll begin with bringing life back to the area.\Marie?\As I believe some of you are aware,\we've been running a restaurant called Crescent Moon.\The secret behind its popularity...\You can do it, Marielle. response:	The secret of how we make food with actual flavor...
context: My proposal to restore life to the people here, and to protect them, is as I've explained.\As for specifics, we'll begin with bringing life back to the area.\Marie?\As I believe some of you are aware,\we've been running a restaurant called Crescent Moon.\The secret behind its popularity...\You can do it, Marielle.\The secret of how we make food with actual flavor... response:	I shall now reveal it.
context: As for specifics, we'll begin with bringing life back to the area.\Marie?\As I believe some of you are aware,\we've been running a restaurant called Crescent Moon.\The secret behind its popularity...\You can do it, Marielle.\The secret of how we make food with actual flavor...\I shall now reveal it. response:	This is the trick...
context: Marie?\As I believe some of you are aware,\we've been running a restaurant called Crescent Moon.\The secret behind its popularity...\You can do it, Marielle.\The secret of how we make food with actual flavor...\I shall now reveal it.\This is the trick... response:	You get normal ingredients,
context: As I believe some of you are aware,\we've been running a restaurant called Crescent Moon.\The secret behind its popularity...\You can do it, Marielle.\The secret of how we make food with actual flavor...\I shall now reveal it.\This is the trick...\You get normal ingredients, response:	and you cook them just as in the real world.
context: we've been running a restaurant called Crescent Moon.\The secret behind its popularity...\You can do it, Marielle.\The secret of how we make food with actual flavor...\I shall now reveal it.\This is the trick...\You get normal ingredients,\and you cook them just as in the real world. response:	And the cook must have a subclass set to chef.
context: The secret behind its popularity...\You can do it, Marielle.\The secret of how we make food with actual flavor...\I shall now reveal it.\This is the trick...\You get normal ingredients,\and you cook them just as in the real world.\And the cook must have a subclass set to chef. response:	And if their cooking skill isn't high enough, they'll fail.
context: You can do it, Marielle.\The secret of how we make food with actual flavor...\I shall now reveal it.\This is the trick...\You get normal ingredients,\and you cook them just as in the real world.\And the cook must have a subclass set to chef.\And if their cooking skill isn't high enough, they'll fail. response:	That's all.
context: The secret of how we make food with actual flavor...\I shall now reveal it.\This is the trick...\You get normal ingredients,\and you cook them just as in the real world.\And the cook must have a subclass set to chef.\And if their cooking skill isn't high enough, they'll fail.\That's all. response:	The trick is that there is no trick.
context: I shall now reveal it.\This is the trick...\You get normal ingredients,\and you cook them just as in the real world.\And the cook must have a subclass set to chef.\And if their cooking skill isn't high enough, they'll fail.\That's all.\The trick is that there is no trick. response:	So you just cook it yourself, instead of using the command menu?
context: This is the trick...\You get normal ingredients,\and you cook them just as in the real world.\And the cook must have a subclass set to chef.\And if their cooking skill isn't high enough, they'll fail.\That's all.\The trick is that there is no trick.\So you just cook it yourself, instead of using the command menu? response:	That's all?
