context: We've received word that Claw, the esper terrorist organization, response:	has barricaded itself in the Seasoning Cultural Tower.
context: We've received word that Claw, the esper terrorist organization,\has barricaded itself in the Seasoning Cultural Tower. response:	It's possible that they might also be holding Prime Minister Yabe,
context: We've received word that Claw, the esper terrorist organization,\has barricaded itself in the Seasoning Cultural Tower.\It's possible that they might also be holding Prime Minister Yabe, response:	who was abducted from Pork Bone City, prisoner insid
context: We've received word that Claw, the esper terrorist organization,\has barricaded itself in the Seasoning Cultural Tower.\It's possible that they might also be holding Prime Minister Yabe,\who was abducted from Pork Bone City, prisoner insid response:	The kidnapper was a teleporter.
context: We've received word that Claw, the esper terrorist organization,\has barricaded itself in the Seasoning Cultural Tower.\It's possible that they might also be holding Prime Minister Yabe,\who was abducted from Pork Bone City, prisoner insid\The kidnapper was a teleporter. response:	He had the ability to instantly travel wherever he wanted.
context: We've received word that Claw, the esper terrorist organization,\has barricaded itself in the Seasoning Cultural Tower.\It's possible that they might also be holding Prime Minister Yabe,\who was abducted from Pork Bone City, prisoner insid\The kidnapper was a teleporter.\He had the ability to instantly travel wherever he wanted. response:	And, according to the news, he can also predict people's movements.
context: We've received word that Claw, the esper terrorist organization,\has barricaded itself in the Seasoning Cultural Tower.\It's possible that they might also be holding Prime Minister Yabe,\who was abducted from Pork Bone City, prisoner insid\The kidnapper was a teleporter.\He had the ability to instantly travel wherever he wanted.\And, according to the news, he can also predict people's movements. response:	Well, that's not really fair.
context: We've received word that Claw, the esper terrorist organization,\has barricaded itself in the Seasoning Cultural Tower.\It's possible that they might also be holding Prime Minister Yabe,\who was abducted from Pork Bone City, prisoner insid\The kidnapper was a teleporter.\He had the ability to instantly travel wherever he wanted.\And, according to the news, he can also predict people's movements.\Well, that's not really fair. response:	How can one person have two overpowered abilities like that?
context: has barricaded itself in the Seasoning Cultural Tower.\It's possible that they might also be holding Prime Minister Yabe,\who was abducted from Pork Bone City, prisoner insid\The kidnapper was a teleporter.\He had the ability to instantly travel wherever he wanted.\And, according to the news, he can also predict people's movements.\Well, that's not really fair.\How can one person have two overpowered abilities like that? response:	Did you end up with a high fever because of your opponent's ability?
context: It's possible that they might also be holding Prime Minister Yabe,\who was abducted from Pork Bone City, prisoner insid\The kidnapper was a teleporter.\He had the ability to instantly travel wherever he wanted.\And, according to the news, he can also predict people's movements.\Well, that's not really fair.\How can one person have two overpowered abilities like that?\Did you end up with a high fever because of your opponent's ability? response:	No, this is just from the shock of losing.
context: who was abducted from Pork Bone City, prisoner insid\The kidnapper was a teleporter.\He had the ability to instantly travel wherever he wanted.\And, according to the news, he can also predict people's movements.\Well, that's not really fair.\How can one person have two overpowered abilities like that?\Did you end up with a high fever because of your opponent's ability?\No, this is just from the shock of losing. response:	I also got a fever when I lost to Kageyama-kun
context: The kidnapper was a teleporter.\He had the ability to instantly travel wherever he wanted.\And, according to the news, he can also predict people's movements.\Well, that's not really fair.\How can one person have two overpowered abilities like that?\Did you end up with a high fever because of your opponent's ability?\No, this is just from the shock of losing.\I also got a fever when I lost to Kageyama-kun response:	and had nightmares for three days and nights.
