context: If the heroes are fighting each other response:	instead of the Waves of Catastrophe,
context: If the heroes are fighting each other\instead of the Waves of Catastrophe, response:	then for the sake of the world,
context: If the heroes are fighting each other\instead of the Waves of Catastrophe,\then for the sake of the world, response:	I must kill the Four Cardinal Heroes.
context: If the heroes are fighting each other\instead of the Waves of Catastrophe,\then for the sake of the world,\I must kill the Four Cardinal Heroes. response:	Kill the Four Cardinal Heroes, eh?
context: If the heroes are fighting each other\instead of the Waves of Catastrophe,\then for the sake of the world,\I must kill the Four Cardinal Heroes.\Kill the Four Cardinal Heroes, eh? response:	Naofumi-sama?
context: If the heroes are fighting each other\instead of the Waves of Catastrophe,\then for the sake of the world,\I must kill the Four Cardinal Heroes.\Kill the Four Cardinal Heroes, eh?\Naofumi-sama? response:	Not yet!
context: If the heroes are fighting each other\instead of the Waves of Catastrophe,\then for the sake of the world,\I must kill the Four Cardinal Heroes.\Kill the Four Cardinal Heroes, eh?\Naofumi-sama?\Not yet! response:	Never mind. It's nothing.
context: If the heroes are fighting each other\instead of the Waves of Catastrophe,\then for the sake of the world,\I must kill the Four Cardinal Heroes.\Kill the Four Cardinal Heroes, eh?\Naofumi-sama?\Not yet!\Never mind. It's nothing. response:	They've really taken to you.
context: instead of the Waves of Catastrophe,\then for the sake of the world,\I must kill the Four Cardinal Heroes.\Kill the Four Cardinal Heroes, eh?\Naofumi-sama?\Not yet!\Never mind. It's nothing.\They've really taken to you. response:	Right?
context: then for the sake of the world,\I must kill the Four Cardinal Heroes.\Kill the Four Cardinal Heroes, eh?\Naofumi-sama?\Not yet!\Never mind. It's nothing.\They've really taken to you.\Right? response:	Liberation: Wind Prison.
context: I must kill the Four Cardinal Heroes.\Kill the Four Cardinal Heroes, eh?\Naofumi-sama?\Not yet!\Never mind. It's nothing.\They've really taken to you.\Right?\Liberation: Wind Prison. response:	Melty!
context: Kill the Four Cardinal Heroes, eh?\Naofumi-sama?\Not yet!\Never mind. It's nothing.\They've really taken to you.\Right?\Liberation: Wind Prison.\Melty! response:	What's going on?
context: Naofumi-sama?\Not yet!\Never mind. It's nothing.\They've really taken to you.\Right?\Liberation: Wind Prison.\Melty!\What's going on? response:	What are you doing to Mel-chan?!
context: Not yet!\Never mind. It's nothing.\They've really taken to you.\Right?\Liberation: Wind Prison.\Melty!\What's going on?\What are you doing to Mel-chan?! response:	Mel-tan,
context: Never mind. It's nothing.\They've really taken to you.\Right?\Liberation: Wind Prison.\Melty!\What's going on?\What are you doing to Mel-chan?!\Mel-tan, response:	I need you to be my hostage.
context: They've really taken to you.\Right?\Liberation: Wind Prison.\Melty!\What's going on?\What are you doing to Mel-chan?!\Mel-tan,\I need you to be my hostage. response:	The Rising of the Shield Hero
context: Right?\Liberation: Wind Prison.\Melty!\What's going on?\What are you doing to Mel-chan?!\Mel-tan,\I need you to be my hostage.\The Rising of the Shield Hero response:	Hostage?
context: Liberation: Wind Prison.\Melty!\What's going on?\What are you doing to Mel-chan?!\Mel-tan,\I need you to be my hostage.\The Rising of the Shield Hero\Hostage? response:	A Promise Made
context: Melty!\What's going on?\What are you doing to Mel-chan?!\Mel-tan,\I need you to be my hostage.\The Rising of the Shield Hero\Hostage?\A Promise Made response:	What's the meaning of this?
context: What's going on?\What are you doing to Mel-chan?!\Mel-tan,\I need you to be my hostage.\The Rising of the Shield Hero\Hostage?\A Promise Made\What's the meaning of this? response:	Shield Hero, promise me.
