context: Namu Amida Butsu response:	Believe it or not, the world is filled with strange phenomena
context: Namu Amida Butsu\Believe it or not, the world is filled with strange phenomena response:	that science is yet to explain.
context: Namu Amida Butsu\Believe it or not, the world is filled with strange phenomena\that science is yet to explain. response:	And when people come face to face with them,
context: Namu Amida Butsu\Believe it or not, the world is filled with strange phenomena\that science is yet to explain.\And when people come face to face with them, response:	they are helplessly thrown into the dark depths of fear.
context: Namu Amida Butsu\Believe it or not, the world is filled with strange phenomena\that science is yet to explain.\And when people come face to face with them,\they are helplessly thrown into the dark depths of fear. response:	But there are those who fight every day
context: Namu Amida Butsu\Believe it or not, the world is filled with strange phenomena\that science is yet to explain.\And when people come face to face with them,\they are helplessly thrown into the dark depths of fear.\But there are those who fight every day response:	to shine a ray of hope into that chaotic darkness.
context: Namu Amida Butsu\Believe it or not, the world is filled with strange phenomena\that science is yet to explain.\And when people come face to face with them,\they are helplessly thrown into the dark depths of fear.\But there are those who fight every day\to shine a ray of hope into that chaotic darkness. response:	People call them...
context: Namu Amida Butsu\Believe it or not, the world is filled with strange phenomena\that science is yet to explain.\And when people come face to face with them,\they are helplessly thrown into the dark depths of fear.\But there are those who fight every day\to shine a ray of hope into that chaotic darkness.\People call them... response:	Psychics
context: Believe it or not, the world is filled with strange phenomena\that science is yet to explain.\And when people come face to face with them,\they are helplessly thrown into the dark depths of fear.\But there are those who fight every day\to shine a ray of hope into that chaotic darkness.\People call them...\Psychics response:	Psychics.
context: that science is yet to explain.\And when people come face to face with them,\they are helplessly thrown into the dark depths of fear.\But there are those who fight every day\to shine a ray of hope into that chaotic darkness.\People call them...\Psychics\Psychics. response:	There's no doubt about it...
context: And when people come face to face with them,\they are helplessly thrown into the dark depths of fear.\But there are those who fight every day\to shine a ray of hope into that chaotic darkness.\People call them...\Psychics\Psychics.\There's no doubt about it... response:	What I saw was not of this world.
context: they are helplessly thrown into the dark depths of fear.\But there are those who fight every day\to shine a ray of hope into that chaotic darkness.\People call them...\Psychics\Psychics.\There's no doubt about it...\What I saw was not of this world. response:	I knew there was something wrong with this property
context: But there are those who fight every day\to shine a ray of hope into that chaotic darkness.\People call them...\Psychics\Psychics.\There's no doubt about it...\What I saw was not of this world.\I knew there was something wrong with this property response:	since I bought it dirt cheap.
context: to shine a ray of hope into that chaotic darkness.\People call them...\Psychics\Psychics.\There's no doubt about it...\What I saw was not of this world.\I knew there was something wrong with this property\since I bought it dirt cheap. response:	I've never been the type to worry about stuff like that.
context: People call them...\Psychics\Psychics.\There's no doubt about it...\What I saw was not of this world.\I knew there was something wrong with this property\since I bought it dirt cheap.\I've never been the type to worry about stuff like that. response:	But fields are at their most vulnerable in the days leading up to a harvest.
context: Psychics\Psychics.\There's no doubt about it...\What I saw was not of this world.\I knew there was something wrong with this property\since I bought it dirt cheap.\I've never been the type to worry about stuff like that.\But fields are at their most vulnerable in the days leading up to a harvest. response:	So I got worried one night,
context: Psychics.\There's no doubt about it...\What I saw was not of this world.\I knew there was something wrong with this property\since I bought it dirt cheap.\I've never been the type to worry about stuff like that.\But fields are at their most vulnerable in the days leading up to a harvest.\So I got worried one night, response:	went to check on things, and that's when I saw it.
context: There's no doubt about it...\What I saw was not of this world.\I knew there was something wrong with this property\since I bought it dirt cheap.\I've never been the type to worry about stuff like that.\But fields are at their most vulnerable in the days leading up to a harvest.\So I got worried one night,\went to check on things, and that's when I saw it. response:	Something was wriggling back and forth, dancing on my fields!
context: What I saw was not of this world.\I knew there was something wrong with this property\since I bought it dirt cheap.\I've never been the type to worry about stuff like that.\But fields are at their most vulnerable in the days leading up to a harvest.\So I got worried one night,\went to check on things, and that's when I saw it.\Something was wriggling back and forth, dancing on my fields! response:	The next morning, I found all of my crops withered away.
context: I knew there was something wrong with this property\since I bought it dirt cheap.\I've never been the type to worry about stuff like that.\But fields are at their most vulnerable in the days leading up to a harvest.\So I got worried one night,\went to check on things, and that's when I saw it.\Something was wriggling back and forth, dancing on my fields!\The next morning, I found all of my crops withered away. response:	I only started farming to kill time, but this has been going on for three years.
context: since I bought it dirt cheap.\I've never been the type to worry about stuff like that.\But fields are at their most vulnerable in the days leading up to a harvest.\So I got worried one night,\went to check on things, and that's when I saw it.\Something was wriggling back and forth, dancing on my fields!\The next morning, I found all of my crops withered away.\I only started farming to kill time, but this has been going on for three years. response:	Amino Acid Fertilizer Potting Compost
context: I've never been the type to worry about stuff like that.\But fields are at their most vulnerable in the days leading up to a harvest.\So I got worried one night,\went to check on things, and that's when I saw it.\Something was wriggling back and forth, dancing on my fields!\The next morning, I found all of my crops withered away.\I only started farming to kill time, but this has been going on for three years.\Amino Acid Fertilizer Potting Compost response:	It's starting to creep me out now.
context: But fields are at their most vulnerable in the days leading up to a harvest.\So I got worried one night,\went to check on things, and that's when I saw it.\Something was wriggling back and forth, dancing on my fields!\The next morning, I found all of my crops withered away.\I only started farming to kill time, but this has been going on for three years.\Amino Acid Fertilizer Potting Compost\It's starting to creep me out now. response:	My next harvest is coming up, so that's why I gave you a call.
context: So I got worried one night,\went to check on things, and that's when I saw it.\Something was wriggling back and forth, dancing on my fields!\The next morning, I found all of my crops withered away.\I only started farming to kill time, but this has been going on for three years.\Amino Acid Fertilizer Potting Compost\It's starting to creep me out now.\My next harvest is coming up, so that's why I gave you a call. response:	I figured I needed the help of someone with psychic powers.
context: went to check on things, and that's when I saw it.\Something was wriggling back and forth, dancing on my fields!\The next morning, I found all of my crops withered away.\I only started farming to kill time, but this has been going on for three years.\Amino Acid Fertilizer Potting Compost\It's starting to creep me out now.\My next harvest is coming up, so that's why I gave you a call.\I figured I needed the help of someone with psychic powers. response:	A wise decision, sir.
