context: The National High School Karuta Championship Tokyo Regional winner response:	is Mizusawa High School!
context: The National High School Karuta Championship Tokyo Regional winner\is Mizusawa High School! response:	Congratulations.
context: The National High School Karuta Championship Tokyo Regional winner\is Mizusawa High School!\Congratulations. response:	Thank you very much.
context: The National High School Karuta Championship Tokyo Regional winner\is Mizusawa High School!\Congratulations.\Thank you very much. response:	33rd Champion Mizusawa High School
context: The National High School Karuta Championship Tokyo Regional winner\is Mizusawa High School!\Congratulations.\Thank you very much.\33rd Champion Mizusawa High School response:	This is a trophy...
context: The National High School Karuta Championship Tokyo Regional winner\is Mizusawa High School!\Congratulations.\Thank you very much.\33rd Champion Mizusawa High School\This is a trophy... response:	The first trophy we earned together.
context: The National High School Karuta Championship Tokyo Regional winner\is Mizusawa High School!\Congratulations.\Thank you very much.\33rd Champion Mizusawa High School\This is a trophy...\The first trophy we earned together. response:	We won.
context: The National High School Karuta Championship Tokyo Regional winner\is Mizusawa High School!\Congratulations.\Thank you very much.\33rd Champion Mizusawa High School\This is a trophy...\The first trophy we earned together.\We won. response:	Chihaya Furu
context: is Mizusawa High School!\Congratulations.\Thank you very much.\33rd Champion Mizusawa High School\This is a trophy...\The first trophy we earned together.\We won.\Chihaya Furu response:	Verse 12
context: Congratulations.\Thank you very much.\33rd Champion Mizusawa High School\This is a trophy...\The first trophy we earned together.\We won.\Chihaya Furu\Verse 12 response:	Sets These Forbidden Fields Aglow
context: Thank you very much.\33rd Champion Mizusawa High School\This is a trophy...\The first trophy we earned together.\We won.\Chihaya Furu\Verse 12\Sets These Forbidden Fields Aglow response:	Mizusawa High School, we look forward
context: 33rd Champion Mizusawa High School\This is a trophy...\The first trophy we earned together.\We won.\Chihaya Furu\Verse 12\Sets These Forbidden Fields Aglow\Mizusawa High School, we look forward response:	to seeing how you do at the National Tournament.
context: This is a trophy...\The first trophy we earned together.\We won.\Chihaya Furu\Verse 12\Sets These Forbidden Fields Aglow\Mizusawa High School, we look forward\to seeing how you do at the National Tournament. response:	We did it!
context: The first trophy we earned together.\We won.\Chihaya Furu\Verse 12\Sets These Forbidden Fields Aglow\Mizusawa High School, we look forward\to seeing how you do at the National Tournament.\We did it! response:	We took first in our first tournament!
context: We won.\Chihaya Furu\Verse 12\Sets These Forbidden Fields Aglow\Mizusawa High School, we look forward\to seeing how you do at the National Tournament.\We did it!\We took first in our first tournament! response:	Was it really okay for us to win?!
context: Chihaya Furu\Verse 12\Sets These Forbidden Fields Aglow\Mizusawa High School, we look forward\to seeing how you do at the National Tournament.\We did it!\We took first in our first tournament!\Was it really okay for us to win?! response:	What are you talking about, Kana-chan?!
context: Verse 12\Sets These Forbidden Fields Aglow\Mizusawa High School, we look forward\to seeing how you do at the National Tournament.\We did it!\We took first in our first tournament!\Was it really okay for us to win?!\What are you talking about, Kana-chan?! response:	We earned the right to represent Tokyo!
context: Sets These Forbidden Fields Aglow\Mizusawa High School, we look forward\to seeing how you do at the National Tournament.\We did it!\We took first in our first tournament!\Was it really okay for us to win?!\What are you talking about, Kana-chan?!\We earned the right to represent Tokyo! response:	Yeah!
context: Mizusawa High School, we look forward\to seeing how you do at the National Tournament.\We did it!\We took first in our first tournament!\Was it really okay for us to win?!\What are you talking about, Kana-chan?!\We earned the right to represent Tokyo!\Yeah! response:	Wh-What?!
context: to seeing how you do at the National Tournament.\We did it!\We took first in our first tournament!\Was it really okay for us to win?!\What are you talking about, Kana-chan?!\We earned the right to represent Tokyo!\Yeah!\Wh-What?! response:	Retro-kun?
context: We did it!\We took first in our first tournament!\Was it really okay for us to win?!\What are you talking about, Kana-chan?!\We earned the right to represent Tokyo!\Yeah!\Wh-What?!\Retro-kun? response:	Scary...
context: We took first in our first tournament!\Was it really okay for us to win?!\What are you talking about, Kana-chan?!\We earned the right to represent Tokyo!\Yeah!\Wh-What?!\Retro-kun?\Scary... response:	What are you doing?!
context: Was it really okay for us to win?!\What are you talking about, Kana-chan?!\We earned the right to represent Tokyo!\Yeah!\Wh-What?!\Retro-kun?\Scary...\What are you doing?! response:	That trophy is-
context: What are you talking about, Kana-chan?!\We earned the right to represent Tokyo!\Yeah!\Wh-What?!\Retro-kun?\Scary...\What are you doing?!\That trophy is- response:	This has...
context: We earned the right to represent Tokyo!\Yeah!\Wh-What?!\Retro-kun?\Scary...\What are you doing?!\That trophy is-\This has... response:	This has been
context: Yeah!\Wh-What?!\Retro-kun?\Scary...\What are you doing?!\That trophy is-\This has...\This has been response:	in the clubroom since I entered Hokuo's middle school.
context: Wh-What?!\Retro-kun?\Scary...\What are you doing?!\That trophy is-\This has...\This has been\in the clubroom since I entered Hokuo's middle school. response:	I saw it every day!
context: Retro-kun?\Scary...\What are you doing?!\That trophy is-\This has...\This has been\in the clubroom since I entered Hokuo's middle school.\I saw it every day! response:	We'll take it back next year!
context: Scary...\What are you doing?!\That trophy is-\This has...\This has been\in the clubroom since I entered Hokuo's middle school.\I saw it every day!\We'll take it back next year! response:	Let's go, Retro.
context: What are you doing?!\That trophy is-\This has...\This has been\in the clubroom since I entered Hokuo's middle school.\I saw it every day!\We'll take it back next year!\Let's go, Retro. response:	You better not disgrace Tokyo with your playing.
context: That trophy is-\This has...\This has been\in the clubroom since I entered Hokuo's middle school.\I saw it every day!\We'll take it back next year!\Let's go, Retro.\You better not disgrace Tokyo with your playing. response:	Senpai, we're sorry!
context: This has...\This has been\in the clubroom since I entered Hokuo's middle school.\I saw it every day!\We'll take it back next year!\Let's go, Retro.\You better not disgrace Tokyo with your playing.\Senpai, we're sorry! response:	Don't apologize.
context: This has been\in the clubroom since I entered Hokuo's middle school.\I saw it every day!\We'll take it back next year!\Let's go, Retro.\You better not disgrace Tokyo with your playing.\Senpai, we're sorry!\Don't apologize. response:	But Senpai,
context: in the clubroom since I entered Hokuo's middle school.\I saw it every day!\We'll take it back next year!\Let's go, Retro.\You better not disgrace Tokyo with your playing.\Senpai, we're sorry!\Don't apologize.\But Senpai, response:	this was your last tournament!
context: I saw it every day!\We'll take it back next year!\Let's go, Retro.\You better not disgrace Tokyo with your playing.\Senpai, we're sorry!\Don't apologize.\But Senpai,\this was your last tournament! response:	Huh?
context: We'll take it back next year!\Let's go, Retro.\You better not disgrace Tokyo with your playing.\Senpai, we're sorry!\Don't apologize.\But Senpai,\this was your last tournament!\Huh? response:	This trophy carries the weight of Tokyo with it.
context: Let's go, Retro.\You better not disgrace Tokyo with your playing.\Senpai, we're sorry!\Don't apologize.\But Senpai,\this was your last tournament!\Huh?\This trophy carries the weight of Tokyo with it. response:	I'm home!
context: You better not disgrace Tokyo with your playing.\Senpai, we're sorry!\Don't apologize.\But Senpai,\this was your last tournament!\Huh?\This trophy carries the weight of Tokyo with it.\I'm home! response:	Um, Dad.
context: Senpai, we're sorry!\Don't apologize.\But Senpai,\this was your last tournament!\Huh?\This trophy carries the weight of Tokyo with it.\I'm home!\Um, Dad. response:	There was a karuta tournament today-
context: Don't apologize.\But Senpai,\this was your last tournament!\Huh?\This trophy carries the weight of Tokyo with it.\I'm home!\Um, Dad.\There was a karuta tournament today- response:	I'm home!
context: But Senpai,\this was your last tournament!\Huh?\This trophy carries the weight of Tokyo with it.\I'm home!\Um, Dad.\There was a karuta tournament today-\I'm home! response:	Hey, Dad?!
context: this was your last tournament!\Huh?\This trophy carries the weight of Tokyo with it.\I'm home!\Um, Dad.\There was a karuta tournament today-\I'm home!\Hey, Dad?! response:	Why isn't the TV on?!
context: Huh?\This trophy carries the weight of Tokyo with it.\I'm home!\Um, Dad.\There was a karuta tournament today-\I'm home!\Hey, Dad?!\Why isn't the TV on?! response:	Huh? What's on?
context: This trophy carries the weight of Tokyo with it.\I'm home!\Um, Dad.\There was a karuta tournament today-\I'm home!\Hey, Dad?!\Why isn't the TV on?!\Huh? What's on? response:	I told you that I was going to be on a quiz show!
context: I'm home!\Um, Dad.\There was a karuta tournament today-\I'm home!\Hey, Dad?!\Why isn't the TV on?!\Huh? What's on?\I told you that I was going to be on a quiz show! response:	What?! It's today?!
context: Um, Dad.\There was a karuta tournament today-\I'm home!\Hey, Dad?!\Why isn't the TV on?!\Huh? What's on?\I told you that I was going to be on a quiz show!\What?! It's today?! response:	Oh, dear. I thought it was next week?
context: There was a karuta tournament today-\I'm home!\Hey, Dad?!\Why isn't the TV on?!\Huh? What's on?\I told you that I was going to be on a quiz show!\What?! It's today?!\Oh, dear. I thought it was next week? response:	I set the machine to record it.
context: I'm home!\Hey, Dad?!\Why isn't the TV on?!\Huh? What's on?\I told you that I was going to be on a quiz show!\What?! It's today?!\Oh, dear. I thought it was next week?\I set the machine to record it. response:	The model, Ayase Chitose-san!
context: Hey, Dad?!\Why isn't the TV on?!\Huh? What's on?\I told you that I was going to be on a quiz show!\What?! It's today?!\Oh, dear. I thought it was next week?\I set the machine to record it.\The model, Ayase Chitose-san! response:	Yamamoto Goro Hiroyuki Ayase Chitose
context: Why isn't the TV on?!\Huh? What's on?\I told you that I was going to be on a quiz show!\What?! It's today?!\Oh, dear. I thought it was next week?\I set the machine to record it.\The model, Ayase Chitose-san!\Yamamoto Goro Hiroyuki Ayase Chitose response:	Oh, there you are!
context: Huh? What's on?\I told you that I was going to be on a quiz show!\What?! It's today?!\Oh, dear. I thought it was next week?\I set the machine to record it.\The model, Ayase Chitose-san!\Yamamoto Goro Hiroyuki Ayase Chitose\Oh, there you are! response:	Quiet, Chihaya!
