context: Once upon a time, there was a maiden. response:	The maiden wore tattered clothes and was called Cinderella,
context: Once upon a time, there was a maiden.\The maiden wore tattered clothes and was called Cinderella, response:	but she became a beautiful princess by magic and danced with the prince.
context: Once upon a time, there was a maiden.\The maiden wore tattered clothes and was called Cinderella,\but she became a beautiful princess by magic and danced with the prince. response:	Then at the stroke of midnight, the maiden left a glass slipper behind and returned to being Cinderella once again.
context: Once upon a time, there was a maiden.\The maiden wore tattered clothes and was called Cinderella,\but she became a beautiful princess by magic and danced with the prince.\Then at the stroke of midnight, the maiden left a glass slipper behind and returned to being Cinderella once again. response:	The prince took the trouble to find this maiden and took her as his wife, but...
context: Once upon a time, there was a maiden.\The maiden wore tattered clothes and was called Cinderella,\but she became a beautiful princess by magic and danced with the prince.\Then at the stroke of midnight, the maiden left a glass slipper behind and returned to being Cinderella once again.\The prince took the trouble to find this maiden and took her as his wife, but... response:	Did the prince really love that maiden?
context: Once upon a time, there was a maiden.\The maiden wore tattered clothes and was called Cinderella,\but she became a beautiful princess by magic and danced with the prince.\Then at the stroke of midnight, the maiden left a glass slipper behind and returned to being Cinderella once again.\The prince took the trouble to find this maiden and took her as his wife, but...\Did the prince really love that maiden? response:	I remember now. I am a crow.
context: Once upon a time, there was a maiden.\The maiden wore tattered clothes and was called Cinderella,\but she became a beautiful princess by magic and danced with the prince.\Then at the stroke of midnight, the maiden left a glass slipper behind and returned to being Cinderella once again.\The prince took the trouble to find this maiden and took her as his wife, but...\Did the prince really love that maiden?\I remember now. I am a crow. response:	And I am the TRUE prima ballerina, Princess Kraehe.
context: Once upon a time, there was a maiden.\The maiden wore tattered clothes and was called Cinderella,\but she became a beautiful princess by magic and danced with the prince.\Then at the stroke of midnight, the maiden left a glass slipper behind and returned to being Cinderella once again.\The prince took the trouble to find this maiden and took her as his wife, but...\Did the prince really love that maiden?\I remember now. I am a crow.\And I am the TRUE prima ballerina, Princess Kraehe. response:	I can take whatever I want, by force if need be!
context: The maiden wore tattered clothes and was called Cinderella,\but she became a beautiful princess by magic and danced with the prince.\Then at the stroke of midnight, the maiden left a glass slipper behind and returned to being Cinderella once again.\The prince took the trouble to find this maiden and took her as his wife, but...\Did the prince really love that maiden?\I remember now. I am a crow.\And I am the TRUE prima ballerina, Princess Kraehe.\I can take whatever I want, by force if need be! response:	Princess Tutu...
context: but she became a beautiful princess by magic and danced with the prince.\Then at the stroke of midnight, the maiden left a glass slipper behind and returned to being Cinderella once again.\The prince took the trouble to find this maiden and took her as his wife, but...\Did the prince really love that maiden?\I remember now. I am a crow.\And I am the TRUE prima ballerina, Princess Kraehe.\I can take whatever I want, by force if need be!\Princess Tutu... response:	You have no intention of ceasing to restore his heart?
context: Then at the stroke of midnight, the maiden left a glass slipper behind and returned to being Cinderella once again.\The prince took the trouble to find this maiden and took her as his wife, but...\Did the prince really love that maiden?\I remember now. I am a crow.\And I am the TRUE prima ballerina, Princess Kraehe.\I can take whatever I want, by force if need be!\Princess Tutu...\You have no intention of ceasing to restore his heart? response:	No, because that is what the prince wishes.
context: The prince took the trouble to find this maiden and took her as his wife, but...\Did the prince really love that maiden?\I remember now. I am a crow.\And I am the TRUE prima ballerina, Princess Kraehe.\I can take whatever I want, by force if need be!\Princess Tutu...\You have no intention of ceasing to restore his heart?\No, because that is what the prince wishes. response:	Do you mean to shatter the prince's heart again?
context: Did the prince really love that maiden?\I remember now. I am a crow.\And I am the TRUE prima ballerina, Princess Kraehe.\I can take whatever I want, by force if need be!\Princess Tutu...\You have no intention of ceasing to restore his heart?\No, because that is what the prince wishes.\Do you mean to shatter the prince's heart again? response:	What if I do?
context: I remember now. I am a crow.\And I am the TRUE prima ballerina, Princess Kraehe.\I can take whatever I want, by force if need be!\Princess Tutu...\You have no intention of ceasing to restore his heart?\No, because that is what the prince wishes.\Do you mean to shatter the prince's heart again?\What if I do? response:	I won't allow you to do that.
context: And I am the TRUE prima ballerina, Princess Kraehe.\I can take whatever I want, by force if need be!\Princess Tutu...\You have no intention of ceasing to restore his heart?\No, because that is what the prince wishes.\Do you mean to shatter the prince's heart again?\What if I do?\I won't allow you to do that. response:	Then will you kill me?
context: I can take whatever I want, by force if need be!\Princess Tutu...\You have no intention of ceasing to restore his heart?\No, because that is what the prince wishes.\Do you mean to shatter the prince's heart again?\What if I do?\I won't allow you to do that.\Then will you kill me? response:	Could you kill me?
context: Princess Tutu...\You have no intention of ceasing to restore his heart?\No, because that is what the prince wishes.\Do you mean to shatter the prince's heart again?\What if I do?\I won't allow you to do that.\Then will you kill me?\Could you kill me? response:	That's not...
context: You have no intention of ceasing to restore his heart?\No, because that is what the prince wishes.\Do you mean to shatter the prince's heart again?\What if I do?\I won't allow you to do that.\Then will you kill me?\Could you kill me?\That's not... response:	Stop!
context: No, because that is what the prince wishes.\Do you mean to shatter the prince's heart again?\What if I do?\I won't allow you to do that.\Then will you kill me?\Could you kill me?\That's not...\Stop! response:	Why won't you defeat the crow with her right before you?!
context: Do you mean to shatter the prince's heart again?\What if I do?\I won't allow you to do that.\Then will you kill me?\Could you kill me?\That's not...\Stop!\Why won't you defeat the crow with her right before you?! response:	You can't protect Mytho only by restoring his heart!
context: What if I do?\I won't allow you to do that.\Then will you kill me?\Could you kill me?\That's not...\Stop!\Why won't you defeat the crow with her right before you?!\You can't protect Mytho only by restoring his heart! response:	Fakir!
context: I won't allow you to do that.\Then will you kill me?\Could you kill me?\That's not...\Stop!\Why won't you defeat the crow with her right before you?!\You can't protect Mytho only by restoring his heart!\Fakir! response:	But Kraehe was in pain...
context: Then will you kill me?\Could you kill me?\That's not...\Stop!\Why won't you defeat the crow with her right before you?!\You can't protect Mytho only by restoring his heart!\Fakir!\But Kraehe was in pain... response:	Then that was your chance!
context: Could you kill me?\That's not...\Stop!\Why won't you defeat the crow with her right before you?!\You can't protect Mytho only by restoring his heart!\Fakir!\But Kraehe was in pain...\Then that was your chance! response:	I could do it! If it came down to it, I could even kill you!
context: That's not...\Stop!\Why won't you defeat the crow with her right before you?!\You can't protect Mytho only by restoring his heart!\Fakir!\But Kraehe was in pain...\Then that was your chance!\I could do it! If it came down to it, I could even kill you! response:	Tutu, run!
context: Stop!\Why won't you defeat the crow with her right before you?!\You can't protect Mytho only by restoring his heart!\Fakir!\But Kraehe was in pain...\Then that was your chance!\I could do it! If it came down to it, I could even kill you!\Tutu, run! response:	Why do you get in the way of regaining my heart?
context: Why won't you defeat the crow with her right before you?!\You can't protect Mytho only by restoring his heart!\Fakir!\But Kraehe was in pain...\Then that was your chance!\I could do it! If it came down to it, I could even kill you!\Tutu, run!\Why do you get in the way of regaining my heart? response:	Get in your way?
