context: Kichijouji, huh? response:	Hachiouji, where Azuki is living, is still another thirty minutes away by train.
context: Kichijouji, huh?\Hachiouji, where Azuki is living, is still another thirty minutes away by train. response:	It really is far.
context: Kichijouji, huh?\Hachiouji, where Azuki is living, is still another thirty minutes away by train.\It really is far. response:	No, he's in his first year of high school and it's summer vacation...
context: Kichijouji, huh?\Hachiouji, where Azuki is living, is still another thirty minutes away by train.\It really is far.\No, he's in his first year of high school and it's summer vacation... response:	Even Shuujin needs a change of pace.
context: Kichijouji, huh?\Hachiouji, where Azuki is living, is still another thirty minutes away by train.\It really is far.\No, he's in his first year of high school and it's summer vacation...\Even Shuujin needs a change of pace. response:	But is he really doing the name?
context: Kichijouji, huh?\Hachiouji, where Azuki is living, is still another thirty minutes away by train.\It really is far.\No, he's in his first year of high school and it's summer vacation...\Even Shuujin needs a change of pace.\But is he really doing the name? response:	Niizuma Eiji...
context: Kichijouji, huh?\Hachiouji, where Azuki is living, is still another thirty minutes away by train.\It really is far.\No, he's in his first year of high school and it's summer vacation...\Even Shuujin needs a change of pace.\But is he really doing the name?\Niizuma Eiji... response:	There must be something I can gain from being here.
context: Kichijouji, huh?\Hachiouji, where Azuki is living, is still another thirty minutes away by train.\It really is far.\No, he's in his first year of high school and it's summer vacation...\Even Shuujin needs a change of pace.\But is he really doing the name?\Niizuma Eiji...\There must be something I can gain from being here. response:	Mashiro-kun?
context: Hachiouji, where Azuki is living, is still another thirty minutes away by train.\It really is far.\No, he's in his first year of high school and it's summer vacation...\Even Shuujin needs a change of pace.\But is he really doing the name?\Niizuma Eiji...\There must be something I can gain from being here.\Mashiro-kun? response:	Ah Yes.
context: It really is far.\No, he's in his first year of high school and it's summer vacation...\Even Shuujin needs a change of pace.\But is he really doing the name?\Niizuma Eiji...\There must be something I can gain from being here.\Mashiro-kun?\Ah Yes. response:	AhYes.
context: No, he's in his first year of high school and it's summer vacation...\Even Shuujin needs a change of pace.\But is he really doing the name?\Niizuma Eiji...\There must be something I can gain from being here.\Mashiro-kun?\Ah Yes.\AhYes. response:	I'm Nakai, nice to meet you.
context: Even Shuujin needs a change of pace.\But is he really doing the name?\Niizuma Eiji...\There must be something I can gain from being here.\Mashiro-kun?\Ah Yes.\AhYes.\I'm Nakai, nice to meet you. response:	Very nice to meet you.
context: But is he really doing the name?\Niizuma Eiji...\There must be something I can gain from being here.\Mashiro-kun?\Ah Yes.\AhYes.\I'm Nakai, nice to meet you.\Very nice to meet you. response:	It's kind of noisy, but come on in.
context: Niizuma Eiji...\There must be something I can gain from being here.\Mashiro-kun?\Ah Yes.\AhYes.\I'm Nakai, nice to meet you.\Very nice to meet you.\It's kind of noisy, but come on in. response:	Okay.
context: There must be something I can gain from being here.\Mashiro-kun?\Ah Yes.\AhYes.\I'm Nakai, nice to meet you.\Very nice to meet you.\It's kind of noisy, but come on in.\Okay. response:	Danger! Danger, watch out!
context: Mashiro-kun?\Ah Yes.\AhYes.\I'm Nakai, nice to meet you.\Very nice to meet you.\It's kind of noisy, but come on in.\Okay.\Danger! Danger, watch out! response:	Niizuma-sensei, Mashiro-kun is here.
context: Ah Yes.\AhYes.\I'm Nakai, nice to meet you.\Very nice to meet you.\It's kind of noisy, but come on in.\Okay.\Danger! Danger, watch out!\Niizuma-sensei, Mashiro-kun is here. response:	Maybe you should give him a quick greeting.
context: AhYes.\I'm Nakai, nice to meet you.\Very nice to meet you.\It's kind of noisy, but come on in.\Okay.\Danger! Danger, watch out!\Niizuma-sensei, Mashiro-kun is here.\Maybe you should give him a quick greeting. response:	Ah, okay.
context: I'm Nakai, nice to meet you.\Very nice to meet you.\It's kind of noisy, but come on in.\Okay.\Danger! Danger, watch out!\Niizuma-sensei, Mashiro-kun is here.\Maybe you should give him a quick greeting.\Ah, okay. response:	My name's Mashiro.
context: Very nice to meet you.\It's kind of noisy, but come on in.\Okay.\Danger! Danger, watch out!\Niizuma-sensei, Mashiro-kun is here.\Maybe you should give him a quick greeting.\Ah, okay.\My name's Mashiro. response:	I'll be helping out starting today.
