context: I had lost my way during my journey. response:	Only my soul was wandering, while I stood still.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still. response:	But right now, I'm walking to a distant place.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place. response:	That's right, ever since I met you on this road.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road. response:	The travellers witnessed the song, the forbidden song,
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song, response:	And I became attached to it as I heard it alone with you.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you. response:	If the world I saw in my dreams exists somewhere,
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere, response:	Let's go search for it, beyond the winds.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds. response:	Whether it's a freezing dawn,
context: Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn, response:	A dry midday,
context: But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday, response:	A shivering night,
context: That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night, response:	or the ends of the Earth, let's go and see it.
context: The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it. response:	Wolf and New Journey
context: And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Wolf and New Journey response:	I thought that we'd have a touching reunion,
context: If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Wolf and New Journey\I thought that we'd have a touching reunion, response:	but you look terrible.
context: Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Wolf and New Journey\I thought that we'd have a touching reunion,\but you look terrible. response:	They betrayed us.
context: Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Wolf and New Journey\I thought that we'd have a touching reunion,\but you look terrible.\They betrayed us. response:	This was all I could protect.
context: A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Wolf and New Journey\I thought that we'd have a touching reunion,\but you look terrible.\They betrayed us.\This was all I could protect. response:	Geez, you're such a fool.
context: A shivering night,\or the ends of the Earth, let's go and see it.\Wolf and New Journey\I thought that we'd have a touching reunion,\but you look terrible.\They betrayed us.\This was all I could protect.\Geez, you're such a fool. response:	Your face is swollen from being hit,
context: or the ends of the Earth, let's go and see it.\Wolf and New Journey\I thought that we'd have a touching reunion,\but you look terrible.\They betrayed us.\This was all I could protect.\Geez, you're such a fool.\Your face is swollen from being hit, response:	you're covered with mud, and even your wrist is burnt.
context: Wolf and New Journey\I thought that we'd have a touching reunion,\but you look terrible.\They betrayed us.\This was all I could protect.\Geez, you're such a fool.\Your face is swollen from being hit,\you're covered with mud, and even your wrist is burnt. response:	And even with your foolish state,
context: I thought that we'd have a touching reunion,\but you look terrible.\They betrayed us.\This was all I could protect.\Geez, you're such a fool.\Your face is swollen from being hit,\you're covered with mud, and even your wrist is burnt.\And even with your foolish state, response:	you protected my clothes with such devotion so they wouldn't become wet.
context: but you look terrible.\They betrayed us.\This was all I could protect.\Geez, you're such a fool.\Your face is swollen from being hit,\you're covered with mud, and even your wrist is burnt.\And even with your foolish state,\you protected my clothes with such devotion so they wouldn't become wet. response:	You're an unbelievable softy!
context: They betrayed us.\This was all I could protect.\Geez, you're such a fool.\Your face is swollen from being hit,\you're covered with mud, and even your wrist is burnt.\And even with your foolish state,\you protected my clothes with such devotion so they wouldn't become wet.\You're an unbelievable softy! response:	You know...
context: This was all I could protect.\Geez, you're such a fool.\Your face is swollen from being hit,\you're covered with mud, and even your wrist is burnt.\And even with your foolish state,\you protected my clothes with such devotion so they wouldn't become wet.\You're an unbelievable softy!\You know... response:	I might have to kill people.
context: Geez, you're such a fool.\Your face is swollen from being hit,\you're covered with mud, and even your wrist is burnt.\And even with your foolish state,\you protected my clothes with such devotion so they wouldn't become wet.\You're an unbelievable softy!\You know...\I might have to kill people. response:	Horo...
context: Your face is swollen from being hit,\you're covered with mud, and even your wrist is burnt.\And even with your foolish state,\you protected my clothes with such devotion so they wouldn't become wet.\You're an unbelievable softy!\You know...\I might have to kill people.\Horo... response:	I just wanted to hasten our plans,
context: you're covered with mud, and even your wrist is burnt.\And even with your foolish state,\you protected my clothes with such devotion so they wouldn't become wet.\You're an unbelievable softy!\You know...\I might have to kill people.\Horo...\I just wanted to hasten our plans, response:	so that you and I could return to traveling without cares.
context: And even with your foolish state,\you protected my clothes with such devotion so they wouldn't become wet.\You're an unbelievable softy!\You know...\I might have to kill people.\Horo...\I just wanted to hasten our plans,\so that you and I could return to traveling without cares. response:	That's why I didn't fight with those arrogant youngsters,
context: you protected my clothes with such devotion so they wouldn't become wet.\You're an unbelievable softy!\You know...\I might have to kill people.\Horo...\I just wanted to hasten our plans,\so that you and I could return to traveling without cares.\That's why I didn't fight with those arrogant youngsters, response:	and settled it by mature means.
context: You're an unbelievable softy!\You know...\I might have to kill people.\Horo...\I just wanted to hasten our plans,\so that you and I could return to traveling without cares.\That's why I didn't fight with those arrogant youngsters,\and settled it by mature means. response:	Don't tell me... right before them, you...
context: You know...\I might have to kill people.\Horo...\I just wanted to hasten our plans,\so that you and I could return to traveling without cares.\That's why I didn't fight with those arrogant youngsters,\and settled it by mature means.\Don't tell me... right before them, you... response:	Don't say it!
context: I might have to kill people.\Horo...\I just wanted to hasten our plans,\so that you and I could return to traveling without cares.\That's why I didn't fight with those arrogant youngsters,\and settled it by mature means.\Don't tell me... right before them, you...\Don't say it! response:	That's fine, it was something that I decided on.
