context: You're here to look for that clock part, too?! response:	I believe this is our first time meeting. Shall I introduce myself?
context: You're here to look for that clock part, too?!\I believe this is our first time meeting. Shall I introduce myself? response:	I'm Samuel.
context: You're here to look for that clock part, too?!\I believe this is our first time meeting. Shall I introduce myself?\I'm Samuel. response:	You're that Exceed Natsu and the others were talking about!
context: You're here to look for that clock part, too?!\I believe this is our first time meeting. Shall I introduce myself?\I'm Samuel.\You're that Exceed Natsu and the others were talking about! response:	That's right. I'm usually referred to as the brains of Legion.
context: You're here to look for that clock part, too?!\I believe this is our first time meeting. Shall I introduce myself?\I'm Samuel.\You're that Exceed Natsu and the others were talking about!\That's right. I'm usually referred to as the brains of Legion. response:	This is the clock part?
context: You're here to look for that clock part, too?!\I believe this is our first time meeting. Shall I introduce myself?\I'm Samuel.\You're that Exceed Natsu and the others were talking about!\That's right. I'm usually referred to as the brains of Legion.\This is the clock part? response:	It's bigger than I thought it'd be...
context: You're here to look for that clock part, too?!\I believe this is our first time meeting. Shall I introduce myself?\I'm Samuel.\You're that Exceed Natsu and the others were talking about!\That's right. I'm usually referred to as the brains of Legion.\This is the clock part?\It's bigger than I thought it'd be... response:	If we don't find some way to get it out of here...
context: You're here to look for that clock part, too?!\I believe this is our first time meeting. Shall I introduce myself?\I'm Samuel.\You're that Exceed Natsu and the others were talking about!\That's right. I'm usually referred to as the brains of Legion.\This is the clock part?\It's bigger than I thought it'd be...\If we don't find some way to get it out of here... response:	Hey!
context: I believe this is our first time meeting. Shall I introduce myself?\I'm Samuel.\You're that Exceed Natsu and the others were talking about!\That's right. I'm usually referred to as the brains of Legion.\This is the clock part?\It's bigger than I thought it'd be...\If we don't find some way to get it out of here...\Hey! response:	Still got fight left in you?!
context: I'm Samuel.\You're that Exceed Natsu and the others were talking about!\That's right. I'm usually referred to as the brains of Legion.\This is the clock part?\It's bigger than I thought it'd be...\If we don't find some way to get it out of here...\Hey!\Still got fight left in you?! response:	No. I've lost completely.
context: You're that Exceed Natsu and the others were talking about!\That's right. I'm usually referred to as the brains of Legion.\This is the clock part?\It's bigger than I thought it'd be...\If we don't find some way to get it out of here...\Hey!\Still got fight left in you?!\No. I've lost completely. response:	I manfully acknowledge my defeat.
context: That's right. I'm usually referred to as the brains of Legion.\This is the clock part?\It's bigger than I thought it'd be...\If we don't find some way to get it out of here...\Hey!\Still got fight left in you?!\No. I've lost completely.\I manfully acknowledge my defeat. response:	So now will you tell us about Legion's goal?
context: This is the clock part?\It's bigger than I thought it'd be...\If we don't find some way to get it out of here...\Hey!\Still got fight left in you?!\No. I've lost completely.\I manfully acknowledge my defeat.\So now will you tell us about Legion's goal? response:	Yeah! Like what that clock is and the reason you're collecting the parts...
context: It's bigger than I thought it'd be...\If we don't find some way to get it out of here...\Hey!\Still got fight left in you?!\No. I've lost completely.\I manfully acknowledge my defeat.\So now will you tell us about Legion's goal?\Yeah! Like what that clock is and the reason you're collecting the parts... response:	We'd appreciate an explanation.
context: If we don't find some way to get it out of here...\Hey!\Still got fight left in you?!\No. I've lost completely.\I manfully acknowledge my defeat.\So now will you tell us about Legion's goal?\Yeah! Like what that clock is and the reason you're collecting the parts...\We'd appreciate an explanation. response:	Alright, already!
context: Hey!\Still got fight left in you?!\No. I've lost completely.\I manfully acknowledge my defeat.\So now will you tell us about Legion's goal?\Yeah! Like what that clock is and the reason you're collecting the parts...\We'd appreciate an explanation.\Alright, already! response:	At this point, I might as well give in and tell you everything!
context: Still got fight left in you?!\No. I've lost completely.\I manfully acknowledge my defeat.\So now will you tell us about Legion's goal?\Yeah! Like what that clock is and the reason you're collecting the parts...\We'd appreciate an explanation.\Alright, already!\At this point, I might as well give in and tell you everything! response:	Alright, I'll fill you in on who I am and what my aim is.
context: No. I've lost completely.\I manfully acknowledge my defeat.\So now will you tell us about Legion's goal?\Yeah! Like what that clock is and the reason you're collecting the parts...\We'd appreciate an explanation.\Alright, already!\At this point, I might as well give in and tell you everything!\Alright, I'll fill you in on who I am and what my aim is. response:	Let's begin!
context: I manfully acknowledge my defeat.\So now will you tell us about Legion's goal?\Yeah! Like what that clock is and the reason you're collecting the parts...\We'd appreciate an explanation.\Alright, already!\At this point, I might as well give in and tell you everything!\Alright, I'll fill you in on who I am and what my aim is.\Let's begin! response:	Why with a picture-story?
context: So now will you tell us about Legion's goal?\Yeah! Like what that clock is and the reason you're collecting the parts...\We'd appreciate an explanation.\Alright, already!\At this point, I might as well give in and tell you everything!\Alright, I'll fill you in on who I am and what my aim is.\Let's begin!\Why with a picture-story? response:	Something Beyond Reckoning!
context: Yeah! Like what that clock is and the reason you're collecting the parts...\We'd appreciate an explanation.\Alright, already!\At this point, I might as well give in and tell you everything!\Alright, I'll fill you in on who I am and what my aim is.\Let's begin!\Why with a picture-story?\Something Beyond Reckoning! response:	I, Dan Straight, was born in a town called Cedar.
context: We'd appreciate an explanation.\Alright, already!\At this point, I might as well give in and tell you everything!\Alright, I'll fill you in on who I am and what my aim is.\Let's begin!\Why with a picture-story?\Something Beyond Reckoning!\I, Dan Straight, was born in a town called Cedar. response:	They had knights there that protected the town and the church.
context: Alright, already!\At this point, I might as well give in and tell you everything!\Alright, I'll fill you in on who I am and what my aim is.\Let's begin!\Why with a picture-story?\Something Beyond Reckoning!\I, Dan Straight, was born in a town called Cedar.\They had knights there that protected the town and the church. response:	People depended on them.
context: At this point, I might as well give in and tell you everything!\Alright, I'll fill you in on who I am and what my aim is.\Let's begin!\Why with a picture-story?\Something Beyond Reckoning!\I, Dan Straight, was born in a town called Cedar.\They had knights there that protected the town and the church.\People depended on them. response:	The people in my family were knights for generation after generation.
