context: Mashiro-kun! response:	We did it!
context: Mashiro-kun!\We did it! response:	PCP's first chapter was 1 in the rankings.
context: Mashiro-kun!\We did it!\PCP's first chapter was 1 in the rankings. response:	We're getting closer to our dream.
context: Mashiro-kun!\We did it!\PCP's first chapter was 1 in the rankings.\We're getting closer to our dream. response:	Everything will be alright.
context: Mashiro-kun!\We did it!\PCP's first chapter was 1 in the rankings.\We're getting closer to our dream.\Everything will be alright. response:	I'm sure it will come true...
context: Mashiro-kun!\We did it!\PCP's first chapter was 1 in the rankings.\We're getting closer to our dream.\Everything will be alright.\I'm sure it will come true... response:	Our dream.
context: Mashiro-kun!\We did it!\PCP's first chapter was 1 in the rankings.\We're getting closer to our dream.\Everything will be alright.\I'm sure it will come true...\Our dream. response:	Hey, if I could be with you right now
context: Mashiro-kun!\We did it!\PCP's first chapter was 1 in the rankings.\We're getting closer to our dream.\Everything will be alright.\I'm sure it will come true...\Our dream.\Hey, if I could be with you right now response:	Then I could keep my voice from fading
context: We did it!\PCP's first chapter was 1 in the rankings.\We're getting closer to our dream.\Everything will be alright.\I'm sure it will come true...\Our dream.\Hey, if I could be with you right now\Then I could keep my voice from fading response:	The goals I've set for myself seem too high to reach,
context: PCP's first chapter was 1 in the rankings.\We're getting closer to our dream.\Everything will be alright.\I'm sure it will come true...\Our dream.\Hey, if I could be with you right now\Then I could keep my voice from fading\The goals I've set for myself seem too high to reach, response:	and I feel like I've lost my way
context: We're getting closer to our dream.\Everything will be alright.\I'm sure it will come true...\Our dream.\Hey, if I could be with you right now\Then I could keep my voice from fading\The goals I've set for myself seem too high to reach,\and I feel like I've lost my way response:	I'm relying on a broken compass and hiding in someone's shadow
context: Everything will be alright.\I'm sure it will come true...\Our dream.\Hey, if I could be with you right now\Then I could keep my voice from fading\The goals I've set for myself seem too high to reach,\and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow response:	If we keep letting go of what we have to find something else,
context: I'm sure it will come true...\Our dream.\Hey, if I could be with you right now\Then I could keep my voice from fading\The goals I've set for myself seem too high to reach,\and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow\If we keep letting go of what we have to find something else, response:	then I'm convinced we can never grow up
context: Our dream.\Hey, if I could be with you right now\Then I could keep my voice from fading\The goals I've set for myself seem too high to reach,\and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow\If we keep letting go of what we have to find something else,\then I'm convinced we can never grow up response:	Never
