context: When winds blow, Chihaya-chan. response:	Chihaya-chan, when this poem was written 800 years ago,
context: When winds blow, Chihaya-chan.\Chihaya-chan, when this poem was written 800 years ago, response:	they must have felt very refreshed.
context: When winds blow, Chihaya-chan.\Chihaya-chan, when this poem was written 800 years ago,\they must have felt very refreshed. response:	the only sign of summer is the ritual purification in the waters
context: When winds blow, Chihaya-chan.\Chihaya-chan, when this poem was written 800 years ago,\they must have felt very refreshed.\the only sign of summer is the ritual purification in the waters response:	They could
context: When winds blow, Chihaya-chan.\Chihaya-chan, when this poem was written 800 years ago,\they must have felt very refreshed.\the only sign of summer is the ritual purification in the waters\They could response:	probably hear the wind blow...
context: When winds blow, Chihaya-chan.\Chihaya-chan, when this poem was written 800 years ago,\they must have felt very refreshed.\the only sign of summer is the ritual purification in the waters\They could\probably hear the wind blow... response:	Silent waves creep closer to the Suminoe shore, and when night falls,
context: When winds blow, Chihaya-chan.\Chihaya-chan, when this poem was written 800 years ago,\they must have felt very refreshed.\the only sign of summer is the ritual purification in the waters\They could\probably hear the wind blow...\Silent waves creep closer to the Suminoe shore, and when night falls, response:	Got it!
context: When winds blow, Chihaya-chan.\Chihaya-chan, when this poem was written 800 years ago,\they must have felt very refreshed.\the only sign of summer is the ritual purification in the waters\They could\probably hear the wind blow...\Silent waves creep closer to the Suminoe shore, and when night falls,\Got it! response:	Kana-chan,
context: Chihaya-chan, when this poem was written 800 years ago,\they must have felt very refreshed.\the only sign of summer is the ritual purification in the waters\They could\probably hear the wind blow...\Silent waves creep closer to the Suminoe shore, and when night falls,\Got it!\Kana-chan, response:	I remember.
context: they must have felt very refreshed.\the only sign of summer is the ritual purification in the waters\They could\probably hear the wind blow...\Silent waves creep closer to the Suminoe shore, and when night falls,\Got it!\Kana-chan,\I remember. response:	Speaking of dreams, there's Silent waves!
context: the only sign of summer is the ritual purification in the waters\They could\probably hear the wind blow...\Silent waves creep closer to the Suminoe shore, and when night falls,\Got it!\Kana-chan,\I remember.\Speaking of dreams, there's Silent waves! response:	in my dreams, I creep closer to you
context: They could\probably hear the wind blow...\Silent waves creep closer to the Suminoe shore, and when night falls,\Got it!\Kana-chan,\I remember.\Speaking of dreams, there's Silent waves!\in my dreams, I creep closer to you response:	Megumu-chan...
context: probably hear the wind blow...\Silent waves creep closer to the Suminoe shore, and when night falls,\Got it!\Kana-chan,\I remember.\Speaking of dreams, there's Silent waves!\in my dreams, I creep closer to you\Megumu-chan... response:	Let's...
context: Silent waves creep closer to the Suminoe shore, and when night falls,\Got it!\Kana-chan,\I remember.\Speaking of dreams, there's Silent waves!\in my dreams, I creep closer to you\Megumu-chan...\Let's... response:	have a good match!
