context: Kiss! response:	Wha...
context: Kiss!\Wha... response:	Wh-What are you saying?!
context: Kiss!\Wha...\Wh-What are you saying?! response:	What am I saying?
context: Kiss!\Wha...\Wh-What are you saying?!\What am I saying? response:	Oh!
context: Kiss!\Wha...\Wh-What are you saying?!\What am I saying?\Oh! response:	N-No, that's not it!
context: Kiss!\Wha...\Wh-What are you saying?!\What am I saying?\Oh!\N-No, that's not it! response:	I'm saying that you should kiss Manaka-san!
context: Kiss!\Wha...\Wh-What are you saying?!\What am I saying?\Oh!\N-No, that's not it!\I'm saying that you should kiss Manaka-san! response:	Wha?! Either way, why would I do that?!
context: Kiss!\Wha...\Wh-What are you saying?!\What am I saying?\Oh!\N-No, that's not it!\I'm saying that you should kiss Manaka-san!\Wha?! Either way, why would I do that?! response:	Because it's needed for her to wake up!
context: Wha...\Wh-What are you saying?!\What am I saying?\Oh!\N-No, that's not it!\I'm saying that you should kiss Manaka-san!\Wha?! Either way, why would I do that?!\Because it's needed for her to wake up! response:	That makes no sense!
context: Wh-What are you saying?!\What am I saying?\Oh!\N-No, that's not it!\I'm saying that you should kiss Manaka-san!\Wha?! Either way, why would I do that?!\Because it's needed for her to wake up!\That makes no sense! response:	And why would that need a k-kiss?!
context: What am I saying?\Oh!\N-No, that's not it!\I'm saying that you should kiss Manaka-san!\Wha?! Either way, why would I do that?!\Because it's needed for her to wake up!\That makes no sense!\And why would that need a k-kiss?! response:	I already told you!
context: Oh!\N-No, that's not it!\I'm saying that you should kiss Manaka-san!\Wha?! Either way, why would I do that?!\Because it's needed for her to wake up!\That makes no sense!\And why would that need a k-kiss?!\I already told you! response:	That's not a reason!
context: N-No, that's not it!\I'm saying that you should kiss Manaka-san!\Wha?! Either way, why would I do that?!\Because it's needed for her to wake up!\That makes no sense!\And why would that need a k-kiss?!\I already told you!\That's not a reason! response:	Hii-kun!
context: I'm saying that you should kiss Manaka-san!\Wha?! Either way, why would I do that?!\Because it's needed for her to wake up!\That makes no sense!\And why would that need a k-kiss?!\I already told you!\That's not a reason!\Hii-kun! response:	You're not supposed to get that mad at girls!
context: Wha?! Either way, why would I do that?!\Because it's needed for her to wake up!\That makes no sense!\And why would that need a k-kiss?!\I already told you!\That's not a reason!\Hii-kun!\You're not supposed to get that mad at girls! response:	Shut up!
context: Because it's needed for her to wake up!\That makes no sense!\And why would that need a k-kiss?!\I already told you!\That's not a reason!\Hii-kun!\You're not supposed to get that mad at girls!\Shut up! response:	It's because she
context: That makes no sense!\And why would that need a k-kiss?!\I already told you!\That's not a reason!\Hii-kun!\You're not supposed to get that mad at girls!\Shut up!\It's because she response:	Who are you?
context: And why would that need a k-kiss?!\I already told you!\That's not a reason!\Hii-kun!\You're not supposed to get that mad at girls!\Shut up!\It's because she\Who are you? response:	Huh?
context: I already told you!\That's not a reason!\Hii-kun!\You're not supposed to get that mad at girls!\Shut up!\It's because she\Who are you?\Huh? response:	Hii-kun.
context: That's not a reason!\Hii-kun!\You're not supposed to get that mad at girls!\Shut up!\It's because she\Who are you?\Huh?\Hii-kun. response:	M-Mom...
context: Hii-kun!\You're not supposed to get that mad at girls!\Shut up!\It's because she\Who are you?\Huh?\Hii-kun.\M-Mom... response:	Mom!
context: You're not supposed to get that mad at girls!\Shut up!\It's because she\Who are you?\Huh?\Hii-kun.\M-Mom...\Mom! response:	Episode Twenty-One: The Messenger from the Bottom of the Sea
context: Shut up!\It's because she\Who are you?\Huh?\Hii-kun.\M-Mom...\Mom!\Episode Twenty-One: The Messenger from the Bottom of the Sea response:	I'll be going now.
context: It's because she\Who are you?\Huh?\Hii-kun.\M-Mom...\Mom!\Episode Twenty-One: The Messenger from the Bottom of the Sea\I'll be going now. response:	Are you going out, Miuna?
context: Who are you?\Huh?\Hii-kun.\M-Mom...\Mom!\Episode Twenty-One: The Messenger from the Bottom of the Sea\I'll be going now.\Are you going out, Miuna? response:	Oh, she already left.
context: Huh?\Hii-kun.\M-Mom...\Mom!\Episode Twenty-One: The Messenger from the Bottom of the Sea\I'll be going now.\Are you going out, Miuna?\Oh, she already left. response:	What the heck?
context: Hii-kun.\M-Mom...\Mom!\Episode Twenty-One: The Messenger from the Bottom of the Sea\I'll be going now.\Are you going out, Miuna?\Oh, she already left.\What the heck? response:	She's not gonna come with us?
context: M-Mom...\Mom!\Episode Twenty-One: The Messenger from the Bottom of the Sea\I'll be going now.\Are you going out, Miuna?\Oh, she already left.\What the heck?\She's not gonna come with us? response:	She left in a pretty big hurry.
context: Mom!\Episode Twenty-One: The Messenger from the Bottom of the Sea\I'll be going now.\Are you going out, Miuna?\Oh, she already left.\What the heck?\She's not gonna come with us?\She left in a pretty big hurry. response:	Huh.
context: Episode Twenty-One: The Messenger from the Bottom of the Sea\I'll be going now.\Are you going out, Miuna?\Oh, she already left.\What the heck?\She's not gonna come with us?\She left in a pretty big hurry.\Huh. response:	Hii.
context: I'll be going now.\Are you going out, Miuna?\Oh, she already left.\What the heck?\She's not gonna come with us?\She left in a pretty big hurry.\Huh.\Hii. response:	Hii-kun, wait!
context: Are you going out, Miuna?\Oh, she already left.\What the heck?\She's not gonna come with us?\She left in a pretty big hurry.\Huh.\Hii.\Hii-kun, wait! response:	Don't leave me behind.
context: Oh, she already left.\What the heck?\She's not gonna come with us?\She left in a pretty big hurry.\Huh.\Hii.\Hii-kun, wait!\Don't leave me behind. response:	Why would I leave you behind?
context: What the heck?\She's not gonna come with us?\She left in a pretty big hurry.\Huh.\Hii.\Hii-kun, wait!\Don't leave me behind.\Why would I leave you behind? response:	See ya.
context: She's not gonna come with us?\She left in a pretty big hurry.\Huh.\Hii.\Hii-kun, wait!\Don't leave me behind.\Why would I leave you behind?\See ya. response:	I go...
context: She left in a pretty big hurry.\Huh.\Hii.\Hii-kun, wait!\Don't leave me behind.\Why would I leave you behind?\See ya.\I go... response:	We'll be off, now.
context: Huh.\Hii.\Hii-kun, wait!\Don't leave me behind.\Why would I leave you behind?\See ya.\I go...\We'll be off, now. response:	We're going out for a little bit.
context: Hii.\Hii-kun, wait!\Don't leave me behind.\Why would I leave you behind?\See ya.\I go...\We'll be off, now.\We're going out for a little bit. response:	I go...
context: Hii-kun, wait!\Don't leave me behind.\Why would I leave you behind?\See ya.\I go...\We'll be off, now.\We're going out for a little bit.\I go... response:	Hikari, don't push Manaka-chan too much.
context: Don't leave me behind.\Why would I leave you behind?\See ya.\I go...\We'll be off, now.\We're going out for a little bit.\I go...\Hikari, don't push Manaka-chan too much. response:	I won't.
context: Why would I leave you behind?\See ya.\I go...\We'll be off, now.\We're going out for a little bit.\I go...\Hikari, don't push Manaka-chan too much.\I won't. response:	Don't drag her around everywhere.
context: See ya.\I go...\We'll be off, now.\We're going out for a little bit.\I go...\Hikari, don't push Manaka-chan too much.\I won't.\Don't drag her around everywhere. response:	You always go running ahead.
