context: That was pretty good, Hinata. response:	You bastard!
context: That was pretty good, Hinata.\You bastard! response:	Dateko Karasuno
context: That was pretty good, Hinata.\You bastard!\Dateko Karasuno response:	The powerful iron wall defeated us three months ago.
context: That was pretty good, Hinata.\You bastard!\Dateko Karasuno\The powerful iron wall defeated us three months ago. response:	All the blockers vanish from sight...
context: That was pretty good, Hinata.\You bastard!\Dateko Karasuno\The powerful iron wall defeated us three months ago.\All the blockers vanish from sight... response:	And the view of the other side of the net opens up.
context: That was pretty good, Hinata.\You bastard!\Dateko Karasuno\The powerful iron wall defeated us three months ago.\All the blockers vanish from sight...\And the view of the other side of the net opens up. response:	That's what I used to see, too,
context: That was pretty good, Hinata.\You bastard!\Dateko Karasuno\The powerful iron wall defeated us three months ago.\All the blockers vanish from sight...\And the view of the other side of the net opens up.\That's what I used to see, too, response:	until the iron wall blocked my view.
context: That was pretty good, Hinata.\You bastard!\Dateko Karasuno\The powerful iron wall defeated us three months ago.\All the blockers vanish from sight...\And the view of the other side of the net opens up.\That's what I used to see, too,\until the iron wall blocked my view. response:	What does the other side of the iron wall look like?
context: You bastard!\Dateko Karasuno\The powerful iron wall defeated us three months ago.\All the blockers vanish from sight...\And the view of the other side of the net opens up.\That's what I used to see, too,\until the iron wall blocked my view.\What does the other side of the iron wall look like? response:	Rolling...
context: Dateko Karasuno\The powerful iron wall defeated us three months ago.\All the blockers vanish from sight...\And the view of the other side of the net opens up.\That's what I used to see, too,\until the iron wall blocked my view.\What does the other side of the iron wall look like?\Rolling... response:	Again!
context: The powerful iron wall defeated us three months ago.\All the blockers vanish from sight...\And the view of the other side of the net opens up.\That's what I used to see, too,\until the iron wall blocked my view.\What does the other side of the iron wall look like?\Rolling...\Again! response:	All right. There's nothing to worry about.
context: All the blockers vanish from sight...\And the view of the other side of the net opens up.\That's what I used to see, too,\until the iron wall blocked my view.\What does the other side of the iron wall look like?\Rolling...\Again!\All right. There's nothing to worry about. response:	All of you, keep your eyes forward.
context: And the view of the other side of the net opens up.\That's what I used to see, too,\until the iron wall blocked my view.\What does the other side of the iron wall look like?\Rolling...\Again!\All right. There's nothing to worry about.\All of you, keep your eyes forward. response:	Because you have me guarding your backs.
context: That's what I used to see, too,\until the iron wall blocked my view.\What does the other side of the iron wall look like?\Rolling...\Again!\All right. There's nothing to worry about.\All of you, keep your eyes forward.\Because you have me guarding your backs. response:	A-Awesome!
context: until the iron wall blocked my view.\What does the other side of the iron wall look like?\Rolling...\Again!\All right. There's nothing to worry about.\All of you, keep your eyes forward.\Because you have me guarding your backs.\A-Awesome! response:	Fly
context: What does the other side of the iron wall look like?\Rolling...\Again!\All right. There's nothing to worry about.\All of you, keep your eyes forward.\Because you have me guarding your backs.\A-Awesome!\Fly response:	Iron Wall of Date
context: Rolling...\Again!\All right. There's nothing to worry about.\All of you, keep your eyes forward.\Because you have me guarding your backs.\A-Awesome!\Fly\Iron Wall of Date response:	Line up.
context: Again!\All right. There's nothing to worry about.\All of you, keep your eyes forward.\Because you have me guarding your backs.\A-Awesome!\Fly\Iron Wall of Date\Line up. response:	Let's play!
context: All right. There's nothing to worry about.\All of you, keep your eyes forward.\Because you have me guarding your backs.\A-Awesome!\Fly\Iron Wall of Date\Line up.\Let's play! response:	Haikyu!!
context: All of you, keep your eyes forward.\Because you have me guarding your backs.\A-Awesome!\Fly\Iron Wall of Date\Line up.\Let's play!\Haikyu!! response:	Episode 7: The Iron Wall
context: Because you have me guarding your backs.\A-Awesome!\Fly\Iron Wall of Date\Line up.\Let's play!\Haikyu!!\Episode 7: The Iron Wall response:	Go! Go! Let's go! Let's go, Dateko!
context: A-Awesome!\Fly\Iron Wall of Date\Line up.\Let's play!\Haikyu!!\Episode 7: The Iron Wall\Go! Go! Let's go! Let's go, Dateko! response:	Iron Wall of Date
