context: Final Episode response:	Spring Wind
context: Final Episode\Spring Wind response:	Kousei...
context: Final Episode\Spring Wind\Kousei... response:	Kousei!
context: Final Episode\Spring Wind\Kousei...\Kousei! response:	Arima!
context: Final Episode\Spring Wind\Kousei...\Kousei!\Arima! response:	Arima!
context: Final Episode\Spring Wind\Kousei...\Kousei!\Arima!\Arima! response:	Mr. Arima!
context: Final Episode\Spring Wind\Kousei...\Kousei!\Arima!\Arima!\Mr. Arima! response:	Kousei...
context: Final Episode\Spring Wind\Kousei...\Kousei!\Arima!\Arima!\Mr. Arima!\Kousei... response:	Everybody's watching...
context: Spring Wind\Kousei...\Kousei!\Arima!\Arima!\Mr. Arima!\Kousei...\Everybody's watching... response:	The people who made my life fuller.
context: Kousei...\Kousei!\Arima!\Arima!\Mr. Arima!\Kousei...\Everybody's watching...\The people who made my life fuller. response:	The people who called me back to the stage...
context: Kousei!\Arima!\Arima!\Mr. Arima!\Kousei...\Everybody's watching...\The people who made my life fuller.\The people who called me back to the stage... response:	Everybody's watching...
context: Arima!\Arima!\Mr. Arima!\Kousei...\Everybody's watching...\The people who made my life fuller.\The people who called me back to the stage...\Everybody's watching... response:	I... I can't let them down.
context: Arima!\Mr. Arima!\Kousei...\Everybody's watching...\The people who made my life fuller.\The people who called me back to the stage...\Everybody's watching...\I... I can't let them down. response:	This is the sound that my mother gave me.
context: Mr. Arima!\Kousei...\Everybody's watching...\The people who made my life fuller.\The people who called me back to the stage...\Everybody's watching...\I... I can't let them down.\This is the sound that my mother gave me. response:	The sound that Watari made me notice.
context: Kousei...\Everybody's watching...\The people who made my life fuller.\The people who called me back to the stage...\Everybody's watching...\I... I can't let them down.\This is the sound that my mother gave me.\The sound that Watari made me notice. response:	The sound that Tsubaki found for me.
context: Everybody's watching...\The people who made my life fuller.\The people who called me back to the stage...\Everybody's watching...\I... I can't let them down.\This is the sound that my mother gave me.\The sound that Watari made me notice.\The sound that Tsubaki found for me. response:	The sound that was born out of my battles with Aiza and Igawa-san.
context: The people who made my life fuller.\The people who called me back to the stage...\Everybody's watching...\I... I can't let them down.\This is the sound that my mother gave me.\The sound that Watari made me notice.\The sound that Tsubaki found for me.\The sound that was born out of my battles with Aiza and Igawa-san. response:	The sound that Aiza-san and I created together.
context: The people who called me back to the stage...\Everybody's watching...\I... I can't let them down.\This is the sound that my mother gave me.\The sound that Watari made me notice.\The sound that Tsubaki found for me.\The sound that was born out of my battles with Aiza and Igawa-san.\The sound that Aiza-san and I created together. response:	The sound that Hiroko-san made me remember.
context: Everybody's watching...\I... I can't let them down.\This is the sound that my mother gave me.\The sound that Watari made me notice.\The sound that Tsubaki found for me.\The sound that was born out of my battles with Aiza and Igawa-san.\The sound that Aiza-san and I created together.\The sound that Hiroko-san made me remember. response:	I'm so scared... I can't hear...
context: I... I can't let them down.\This is the sound that my mother gave me.\The sound that Watari made me notice.\The sound that Tsubaki found for me.\The sound that was born out of my battles with Aiza and Igawa-san.\The sound that Aiza-san and I created together.\The sound that Hiroko-san made me remember.\I'm so scared... I can't hear... response:	Somebody...
context: This is the sound that my mother gave me.\The sound that Watari made me notice.\The sound that Tsubaki found for me.\The sound that was born out of my battles with Aiza and Igawa-san.\The sound that Aiza-san and I created together.\The sound that Hiroko-san made me remember.\I'm so scared... I can't hear...\Somebody... response:	But you have me.
context: The sound that Watari made me notice.\The sound that Tsubaki found for me.\The sound that was born out of my battles with Aiza and Igawa-san.\The sound that Aiza-san and I created together.\The sound that Hiroko-san made me remember.\I'm so scared... I can't hear...\Somebody...\But you have me. response:	Yes.
context: The sound that Tsubaki found for me.\The sound that was born out of my battles with Aiza and Igawa-san.\The sound that Aiza-san and I created together.\The sound that Hiroko-san made me remember.\I'm so scared... I can't hear...\Somebody...\But you have me.\Yes. response:	It's just like you said. If I listen closely...
context: The sound that was born out of my battles with Aiza and Igawa-san.\The sound that Aiza-san and I created together.\The sound that Hiroko-san made me remember.\I'm so scared... I can't hear...\Somebody...\But you have me.\Yes.\It's just like you said. If I listen closely... response:	I'm overflowing with so many sounds.
context: The sound that Aiza-san and I created together.\The sound that Hiroko-san made me remember.\I'm so scared... I can't hear...\Somebody...\But you have me.\Yes.\It's just like you said. If I listen closely...\I'm overflowing with so many sounds. response:	I'm not alone.
