context: I am so happy! response:	We haven't gone to a hot spring
context: I am so happy!\We haven't gone to a hot spring response:	with the whole family in a long time!
context: I am so happy!\We haven't gone to a hot spring\with the whole family in a long time! response:	What?! Why does a monster have to follow us here, too?!
context: I am so happy!\We haven't gone to a hot spring\with the whole family in a long time!\What?! Why does a monster have to follow us here, too?! response:	How dare you ruin our quality time together as a family?!
context: I am so happy!\We haven't gone to a hot spring\with the whole family in a long time!\What?! Why does a monster have to follow us here, too?!\How dare you ruin our quality time together as a family?! response:	I'll never, never forgive you!
context: I am so happy!\We haven't gone to a hot spring\with the whole family in a long time!\What?! Why does a monster have to follow us here, too?!\How dare you ruin our quality time together as a family?!\I'll never, never forgive you! response:	In the name of Dad, Sailor Moon will punish you!
context: I am so happy!\We haven't gone to a hot spring\with the whole family in a long time!\What?! Why does a monster have to follow us here, too?!\How dare you ruin our quality time together as a family?!\I'll never, never forgive you!\In the name of Dad, Sailor Moon will punish you! response:	Gomen ne sunao ja nakute yume no naka nara ieru
context: I am so happy!\We haven't gone to a hot spring\with the whole family in a long time!\What?! Why does a monster have to follow us here, too?!\How dare you ruin our quality time together as a family?!\I'll never, never forgive you!\In the name of Dad, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru response:	Shikou kairo wa short sunzen ima sugu aitai yo
context: We haven't gone to a hot spring\with the whole family in a long time!\What?! Why does a monster have to follow us here, too?!\How dare you ruin our quality time together as a family?!\I'll never, never forgive you!\In the name of Dad, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo response:	Nakitakunaru you na moonlight denwa mo dekinai midnight
context: with the whole family in a long time!\What?! Why does a monster have to follow us here, too?!\How dare you ruin our quality time together as a family?!\I'll never, never forgive you!\In the name of Dad, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight response:	Datte junjou dou shiyou heart wa mangekyou
context: What?! Why does a monster have to follow us here, too?!\How dare you ruin our quality time together as a family?!\I'll never, never forgive you!\In the name of Dad, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou response:	Tsuki no hikari ni michibikare
context: How dare you ruin our quality time together as a family?!\I'll never, never forgive you!\In the name of Dad, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare response:	Nando mo meguriau
context: I'll never, never forgive you!\In the name of Dad, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau response:	Seiza no matataki kazoe uranau koi no yukue
context: In the name of Dad, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue response:	Onaji kuni ni umareta no miracle romance
context: Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance response:	Shinjite iru no miracle romance
context: Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance response:	It's such a nice day!
context: Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\It's such a nice day! response:	Since you have today and tomorrow off,
context: Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\It's such a nice day!\Since you have today and tomorrow off, response:	you're going to thoroughly study how to be a princess.
context: Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\It's such a nice day!\Since you have today and tomorrow off,\you're going to thoroughly study how to be a princess. response:	Okay, Usagi?
context: Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\It's such a nice day!\Since you have today and tomorrow off,\you're going to thoroughly study how to be a princess.\Okay, Usagi? response:	Hey, Usagi?
context: Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\It's such a nice day!\Since you have today and tomorrow off,\you're going to thoroughly study how to be a princess.\Okay, Usagi?\Hey, Usagi? response:	Wow, talk about unusual. Did she get up already?
context: Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\It's such a nice day!\Since you have today and tomorrow off,\you're going to thoroughly study how to be a princess.\Okay, Usagi?\Hey, Usagi?\Wow, talk about unusual. Did she get up already? response:	There's no one here.
context: Shinjite iru no miracle romance\It's such a nice day!\Since you have today and tomorrow off,\you're going to thoroughly study how to be a princess.\Okay, Usagi?\Hey, Usagi?\Wow, talk about unusual. Did she get up already?\There's no one here. response:	Good morning, Luna!
context: It's such a nice day!\Since you have today and tomorrow off,\you're going to thoroughly study how to be a princess.\Okay, Usagi?\Hey, Usagi?\Wow, talk about unusual. Did she get up already?\There's no one here.\Good morning, Luna! response:	Actually, the whole family has decided to go to a hot spring!
context: Since you have today and tomorrow off,\you're going to thoroughly study how to be a princess.\Okay, Usagi?\Hey, Usagi?\Wow, talk about unusual. Did she get up already?\There's no one here.\Good morning, Luna!\Actually, the whole family has decided to go to a hot spring! response:	We'll be back by tomorrow night,
context: you're going to thoroughly study how to be a princess.\Okay, Usagi?\Hey, Usagi?\Wow, talk about unusual. Did she get up already?\There's no one here.\Good morning, Luna!\Actually, the whole family has decided to go to a hot spring!\We'll be back by tomorrow night, response:	so keep an eye on the house for us!
context: Okay, Usagi?\Hey, Usagi?\Wow, talk about unusual. Did she get up already?\There's no one here.\Good morning, Luna!\Actually, the whole family has decided to go to a hot spring!\We'll be back by tomorrow night,\so keep an eye on the house for us! response:	I'll bring back sweet bean jam buns! Signed Usagi.
context: Hey, Usagi?\Wow, talk about unusual. Did she get up already?\There's no one here.\Good morning, Luna!\Actually, the whole family has decided to go to a hot spring!\We'll be back by tomorrow night,\so keep an eye on the house for us!\I'll bring back sweet bean jam buns! Signed Usagi. response:	Usagi!
context: Wow, talk about unusual. Did she get up already?\There's no one here.\Good morning, Luna!\Actually, the whole family has decided to go to a hot spring!\We'll be back by tomorrow night,\so keep an eye on the house for us!\I'll bring back sweet bean jam buns! Signed Usagi.\Usagi! response:	The Legendary Lake Monster! Usagi's Family Ties
context: There's no one here.\Good morning, Luna!\Actually, the whole family has decided to go to a hot spring!\We'll be back by tomorrow night,\so keep an eye on the house for us!\I'll bring back sweet bean jam buns! Signed Usagi.\Usagi!\The Legendary Lake Monster! Usagi's Family Ties response:	Sis, you're nuts!
context: Good morning, Luna!\Actually, the whole family has decided to go to a hot spring!\We'll be back by tomorrow night,\so keep an eye on the house for us!\I'll bring back sweet bean jam buns! Signed Usagi.\Usagi!\The Legendary Lake Monster! Usagi's Family Ties\Sis, you're nuts! response:	Sneaking out of the house so our pet won't notice!
context: Actually, the whole family has decided to go to a hot spring!\We'll be back by tomorrow night,\so keep an eye on the house for us!\I'll bring back sweet bean jam buns! Signed Usagi.\Usagi!\The Legendary Lake Monster! Usagi's Family Ties\Sis, you're nuts!\Sneaking out of the house so our pet won't notice! response:	What the heck are you thinking?!
context: We'll be back by tomorrow night,\so keep an eye on the house for us!\I'll bring back sweet bean jam buns! Signed Usagi.\Usagi!\The Legendary Lake Monster! Usagi's Family Ties\Sis, you're nuts!\Sneaking out of the house so our pet won't notice!\What the heck are you thinking?! response:	Well, I've got my reasons for it.
context: so keep an eye on the house for us!\I'll bring back sweet bean jam buns! Signed Usagi.\Usagi!\The Legendary Lake Monster! Usagi's Family Ties\Sis, you're nuts!\Sneaking out of the house so our pet won't notice!\What the heck are you thinking?!\Well, I've got my reasons for it. response:	Come on! Right there! Shoot right there!
context: I'll bring back sweet bean jam buns! Signed Usagi.\Usagi!\The Legendary Lake Monster! Usagi's Family Ties\Sis, you're nuts!\Sneaking out of the house so our pet won't notice!\What the heck are you thinking?!\Well, I've got my reasons for it.\Come on! Right there! Shoot right there! response:	But it's been so long since we've traveled together!
