context: The Nine Olde Witches sealed the Grand Triskelion within Arcturus Forest. response:	Only the seven Words and the staff of seven stars can break the seal.
context: The Nine Olde Witches sealed the Grand Triskelion within Arcturus Forest.\Only the seven Words and the staff of seven stars can break the seal. response:	Early morning lessons, day seven. Are you ready, Akko?
context: The Nine Olde Witches sealed the Grand Triskelion within Arcturus Forest.\Only the seven Words and the staff of seven stars can break the seal.\Early morning lessons, day seven. Are you ready, Akko? response:	Eek eek!
context: The Nine Olde Witches sealed the Grand Triskelion within Arcturus Forest.\Only the seven Words and the staff of seven stars can break the seal.\Early morning lessons, day seven. Are you ready, Akko?\Eek eek! response:	Hey, wait!
context: The Nine Olde Witches sealed the Grand Triskelion within Arcturus Forest.\Only the seven Words and the staff of seven stars can break the seal.\Early morning lessons, day seven. Are you ready, Akko?\Eek eek!\Hey, wait! response:	Oh! Oh no no!
context: The Nine Olde Witches sealed the Grand Triskelion within Arcturus Forest.\Only the seven Words and the staff of seven stars can break the seal.\Early morning lessons, day seven. Are you ready, Akko?\Eek eek!\Hey, wait!\Oh! Oh no no! response:	I'll keep practicing and getting better, little by little.
context: The Nine Olde Witches sealed the Grand Triskelion within Arcturus Forest.\Only the seven Words and the staff of seven stars can break the seal.\Early morning lessons, day seven. Are you ready, Akko?\Eek eek!\Hey, wait!\Oh! Oh no no!\I'll keep practicing and getting better, little by little. response:	I'll keep practicing and get better little by little.
context: The Nine Olde Witches sealed the Grand Triskelion within Arcturus Forest.\Only the seven Words and the staff of seven stars can break the seal.\Early morning lessons, day seven. Are you ready, Akko?\Eek eek!\Hey, wait!\Oh! Oh no no!\I'll keep practicing and getting better, little by little.\I'll keep practicing and get better little by little. response:	And at the moment I master metamorphosis magic...
context: Only the seven Words and the staff of seven stars can break the seal.\Early morning lessons, day seven. Are you ready, Akko?\Eek eek!\Hey, wait!\Oh! Oh no no!\I'll keep practicing and getting better, little by little.\I'll keep practicing and get better little by little.\And at the moment I master metamorphosis magic... response:	I'll become a Moonlit Witch like Chariot!
context: Early morning lessons, day seven. Are you ready, Akko?\Eek eek!\Hey, wait!\Oh! Oh no no!\I'll keep practicing and getting better, little by little.\I'll keep practicing and get better little by little.\And at the moment I master metamorphosis magic...\I'll become a Moonlit Witch like Chariot! response:	I heard Chariot earned it after showing off her miraculous metamorphosis magic.
context: Eek eek!\Hey, wait!\Oh! Oh no no!\I'll keep practicing and getting better, little by little.\I'll keep practicing and get better little by little.\And at the moment I master metamorphosis magic...\I'll become a Moonlit Witch like Chariot!\I heard Chariot earned it after showing off her miraculous metamorphosis magic. response:	Professor, I thought you'd already know that.
context: Hey, wait!\Oh! Oh no no!\I'll keep practicing and getting better, little by little.\I'll keep practicing and get better little by little.\And at the moment I master metamorphosis magic...\I'll become a Moonlit Witch like Chariot!\I heard Chariot earned it after showing off her miraculous metamorphosis magic.\Professor, I thought you'd already know that. response:	Y-Yes, I knew!
context: Oh! Oh no no!\I'll keep practicing and getting better, little by little.\I'll keep practicing and get better little by little.\And at the moment I master metamorphosis magic...\I'll become a Moonlit Witch like Chariot!\I heard Chariot earned it after showing off her miraculous metamorphosis magic.\Professor, I thought you'd already know that.\Y-Yes, I knew! response:	Of course she did. Right, definitely.
context: I'll keep practicing and getting better, little by little.\I'll keep practicing and get better little by little.\And at the moment I master metamorphosis magic...\I'll become a Moonlit Witch like Chariot!\I heard Chariot earned it after showing off her miraculous metamorphosis magic.\Professor, I thought you'd already know that.\Y-Yes, I knew!\Of course she did. Right, definitely. response:	The Samhain Festival will start soon.
context: I'll keep practicing and get better little by little.\And at the moment I master metamorphosis magic...\I'll become a Moonlit Witch like Chariot!\I heard Chariot earned it after showing off her miraculous metamorphosis magic.\Professor, I thought you'd already know that.\Y-Yes, I knew!\Of course she did. Right, definitely.\The Samhain Festival will start soon. response:	Madame Ural is a stellar magic novelist and won the Nobel Prize in literature.
context: And at the moment I master metamorphosis magic...\I'll become a Moonlit Witch like Chariot!\I heard Chariot earned it after showing off her miraculous metamorphosis magic.\Professor, I thought you'd already know that.\Y-Yes, I knew!\Of course she did. Right, definitely.\The Samhain Festival will start soon.\Madame Ural is a stellar magic novelist and won the Nobel Prize in literature. response:	Madame Ural is an authority on magic novels who won the Nobel Literature Prize.
context: I'll become a Moonlit Witch like Chariot!\I heard Chariot earned it after showing off her miraculous metamorphosis magic.\Professor, I thought you'd already know that.\Y-Yes, I knew!\Of course she did. Right, definitely.\The Samhain Festival will start soon.\Madame Ural is a stellar magic novelist and won the Nobel Prize in literature.\Madame Ural is an authority on magic novels who won the Nobel Literature Prize. response:	Madame Ural is an authority on magic novels who won the Nobel Literature Prize.
context: I heard Chariot earned it after showing off her miraculous metamorphosis magic.\Professor, I thought you'd already know that.\Y-Yes, I knew!\Of course she did. Right, definitely.\The Samhain Festival will start soon.\Madame Ural is a stellar magic novelist and won the Nobel Prize in literature.\Madame Ural is an authority on magic novels who won the Nobel Literature Prize.\Madame Ural is an authority on magic novels who won the Nobel Literature Prize. response:	I can't wait to meet all those foreign witches!
context: Professor, I thought you'd already know that.\Y-Yes, I knew!\Of course she did. Right, definitely.\The Samhain Festival will start soon.\Madame Ural is a stellar magic novelist and won the Nobel Prize in literature.\Madame Ural is an authority on magic novels who won the Nobel Literature Prize.\Madame Ural is an authority on magic novels who won the Nobel Literature Prize.\I can't wait to meet all those foreign witches! response:	The students are to prepare displays of magic as a collective effort.
context: Y-Yes, I knew!\Of course she did. Right, definitely.\The Samhain Festival will start soon.\Madame Ural is a stellar magic novelist and won the Nobel Prize in literature.\Madame Ural is an authority on magic novels who won the Nobel Literature Prize.\Madame Ural is an authority on magic novels who won the Nobel Literature Prize.\I can't wait to meet all those foreign witches!\The students are to prepare displays of magic as a collective effort. response:	Each student will prepare a magic presentation with their teams.
context: Of course she did. Right, definitely.\The Samhain Festival will start soon.\Madame Ural is a stellar magic novelist and won the Nobel Prize in literature.\Madame Ural is an authority on magic novels who won the Nobel Literature Prize.\Madame Ural is an authority on magic novels who won the Nobel Literature Prize.\I can't wait to meet all those foreign witches!\The students are to prepare displays of magic as a collective effort.\Each student will prepare a magic presentation with their teams. response:	This occurred during the previous Samhain Festival.
context: The Samhain Festival will start soon.\Madame Ural is a stellar magic novelist and won the Nobel Prize in literature.\Madame Ural is an authority on magic novels who won the Nobel Literature Prize.\Madame Ural is an authority on magic novels who won the Nobel Literature Prize.\I can't wait to meet all those foreign witches!\The students are to prepare displays of magic as a collective effort.\Each student will prepare a magic presentation with their teams.\This occurred during the previous Samhain Festival. response:	Boiling of toads for the use of enchantments.
context: Madame Ural is a stellar magic novelist and won the Nobel Prize in literature.\Madame Ural is an authority on magic novels who won the Nobel Literature Prize.\Madame Ural is an authority on magic novels who won the Nobel Literature Prize.\I can't wait to meet all those foreign witches!\The students are to prepare displays of magic as a collective effort.\Each student will prepare a magic presentation with their teams.\This occurred during the previous Samhain Festival.\Boiling of toads for the use of enchantments. response:	A toad boiling enchantment.
context: Madame Ural is an authority on magic novels who won the Nobel Literature Prize.\Madame Ural is an authority on magic novels who won the Nobel Literature Prize.\I can't wait to meet all those foreign witches!\The students are to prepare displays of magic as a collective effort.\Each student will prepare a magic presentation with their teams.\This occurred during the previous Samhain Festival.\Boiling of toads for the use of enchantments.\A toad boiling enchantment. response:	A full-course medieval magic meal.
context: Madame Ural is an authority on magic novels who won the Nobel Literature Prize.\I can't wait to meet all those foreign witches!\The students are to prepare displays of magic as a collective effort.\Each student will prepare a magic presentation with their teams.\This occurred during the previous Samhain Festival.\Boiling of toads for the use of enchantments.\A toad boiling enchantment.\A full-course medieval magic meal. response:	A full course medieval magic meal.
context: I can't wait to meet all those foreign witches!\The students are to prepare displays of magic as a collective effort.\Each student will prepare a magic presentation with their teams.\This occurred during the previous Samhain Festival.\Boiling of toads for the use of enchantments.\A toad boiling enchantment.\A full-course medieval magic meal.\A full course medieval magic meal. response:	Let us assign Samhain Festival duties to each team.
context: The students are to prepare displays of magic as a collective effort.\Each student will prepare a magic presentation with their teams.\This occurred during the previous Samhain Festival.\Boiling of toads for the use of enchantments.\A toad boiling enchantment.\A full-course medieval magic meal.\A full course medieval magic meal.\Let us assign Samhain Festival duties to each team. response:	Please send one representative up to pull from the drawing.
context: Each student will prepare a magic presentation with their teams.\This occurred during the previous Samhain Festival.\Boiling of toads for the use of enchantments.\A toad boiling enchantment.\A full-course medieval magic meal.\A full course medieval magic meal.\Let us assign Samhain Festival duties to each team.\Please send one representative up to pull from the drawing. response:	Well so do I.
context: This occurred during the previous Samhain Festival.\Boiling of toads for the use of enchantments.\A toad boiling enchantment.\A full-course medieval magic meal.\A full course medieval magic meal.\Let us assign Samhain Festival duties to each team.\Please send one representative up to pull from the drawing.\Well so do I. response:	Hey! Y'all are in charge of fireworks!
context: Boiling of toads for the use of enchantments.\A toad boiling enchantment.\A full-course medieval magic meal.\A full course medieval magic meal.\Let us assign Samhain Festival duties to each team.\Please send one representative up to pull from the drawing.\Well so do I.\Hey! Y'all are in charge of fireworks! response:	Fire magic?!
context: A toad boiling enchantment.\A full-course medieval magic meal.\A full course medieval magic meal.\Let us assign Samhain Festival duties to each team.\Please send one representative up to pull from the drawing.\Well so do I.\Hey! Y'all are in charge of fireworks!\Fire magic?! response:	Lucky you.
context: A full-course medieval magic meal.\A full course medieval magic meal.\Let us assign Samhain Festival duties to each team.\Please send one representative up to pull from the drawing.\Well so do I.\Hey! Y'all are in charge of fireworks!\Fire magic?!\Lucky you. response:	Akko!
context: A full course medieval magic meal.\Let us assign Samhain Festival duties to each team.\Please send one representative up to pull from the drawing.\Well so do I.\Hey! Y'all are in charge of fireworks!\Fire magic?!\Lucky you.\Akko! response:	This pot contains the age-old ghost, Bewailing Bahalowa.
context: Let us assign Samhain Festival duties to each team.\Please send one representative up to pull from the drawing.\Well so do I.\Hey! Y'all are in charge of fireworks!\Fire magic?!\Lucky you.\Akko!\This pot contains the age-old ghost, Bewailing Bahalowa. response:	Bewailing Bahalowa?
context: Please send one representative up to pull from the drawing.\Well so do I.\Hey! Y'all are in charge of fireworks!\Fire magic?!\Lucky you.\Akko!\This pot contains the age-old ghost, Bewailing Bahalowa.\Bewailing Bahalowa? response:	Bahalowa wakes with the midnight toll at the close of the Festival, wailing and flailing about.
context: Well so do I.\Hey! Y'all are in charge of fireworks!\Fire magic?!\Lucky you.\Akko!\This pot contains the age-old ghost, Bewailing Bahalowa.\Bewailing Bahalowa?\Bahalowa wakes with the midnight toll at the close of the Festival, wailing and flailing about. response:	After consuming them, Bahalowa rests once more until the dawn of the next Samhain Festival.
context: Hey! Y'all are in charge of fireworks!\Fire magic?!\Lucky you.\Akko!\This pot contains the age-old ghost, Bewailing Bahalowa.\Bewailing Bahalowa?\Bahalowa wakes with the midnight toll at the close of the Festival, wailing and flailing about.\After consuming them, Bahalowa rests once more until the dawn of the next Samhain Festival. response:	Ladies, gather around Diana and work together to make this Samhain Festival a success.
