context: We ask thee, Father, to forgive us our sins and grant us eternal life. response:	When we leave this world, may we go peacefully into the arms of our Lord.
context: We ask thee, Father, to forgive us our sins and grant us eternal life.\When we leave this world, may we go peacefully into the arms of our Lord. response:	We offer this prayer to our savior, the Lord Jesus Christ. Amen.
context: We ask thee, Father, to forgive us our sins and grant us eternal life.\When we leave this world, may we go peacefully into the arms of our Lord.\We offer this prayer to our savior, the Lord Jesus Christ. Amen. response:	As her soul departs from this world, may she find eternal peace in the next.
context: We ask thee, Father, to forgive us our sins and grant us eternal life.\When we leave this world, may we go peacefully into the arms of our Lord.\We offer this prayer to our savior, the Lord Jesus Christ. Amen.\As her soul departs from this world, may she find eternal peace in the next. response:	Amen.
context: We ask thee, Father, to forgive us our sins and grant us eternal life.\When we leave this world, may we go peacefully into the arms of our Lord.\We offer this prayer to our savior, the Lord Jesus Christ. Amen.\As her soul departs from this world, may she find eternal peace in the next.\Amen. response:	Episode 9 Alone
context: We ask thee, Father, to forgive us our sins and grant us eternal life.\When we leave this world, may we go peacefully into the arms of our Lord.\We offer this prayer to our savior, the Lord Jesus Christ. Amen.\As her soul departs from this world, may she find eternal peace in the next.\Amen.\Episode 9 Alone response:	Honestly. You've been dragging your feet, and now you're running late.
context: We ask thee, Father, to forgive us our sins and grant us eternal life.\When we leave this world, may we go peacefully into the arms of our Lord.\We offer this prayer to our savior, the Lord Jesus Christ. Amen.\As her soul departs from this world, may she find eternal peace in the next.\Amen.\Episode 9 Alone\Honestly. You've been dragging your feet, and now you're running late. response:	You know that the dinner tonight is important!
context: We ask thee, Father, to forgive us our sins and grant us eternal life.\When we leave this world, may we go peacefully into the arms of our Lord.\We offer this prayer to our savior, the Lord Jesus Christ. Amen.\As her soul departs from this world, may she find eternal peace in the next.\Amen.\Episode 9 Alone\Honestly. You've been dragging your feet, and now you're running late.\You know that the dinner tonight is important! response:	It's fine, I'll do it myself.
context: When we leave this world, may we go peacefully into the arms of our Lord.\We offer this prayer to our savior, the Lord Jesus Christ. Amen.\As her soul departs from this world, may she find eternal peace in the next.\Amen.\Episode 9 Alone\Honestly. You've been dragging your feet, and now you're running late.\You know that the dinner tonight is important!\It's fine, I'll do it myself. response:	So you say, but If you had gotten ready earlier, I wouldn't have to be nagging you-
context: We offer this prayer to our savior, the Lord Jesus Christ. Amen.\As her soul departs from this world, may she find eternal peace in the next.\Amen.\Episode 9 Alone\Honestly. You've been dragging your feet, and now you're running late.\You know that the dinner tonight is important!\It's fine, I'll do it myself.\So you say, but If you had gotten ready earlier, I wouldn't have to be nagging you- response:	Young Master!
context: As her soul departs from this world, may she find eternal peace in the next.\Amen.\Episode 9 Alone\Honestly. You've been dragging your feet, and now you're running late.\You know that the dinner tonight is important!\It's fine, I'll do it myself.\So you say, but If you had gotten ready earlier, I wouldn't have to be nagging you-\Young Master! response:	Will that girl be at the dinner party as well?
context: Amen.\Episode 9 Alone\Honestly. You've been dragging your feet, and now you're running late.\You know that the dinner tonight is important!\It's fine, I'll do it myself.\So you say, but If you had gotten ready earlier, I wouldn't have to be nagging you-\Young Master!\Will that girl be at the dinner party as well? response:	You mean Miss Campbell?
context: Episode 9 Alone\Honestly. You've been dragging your feet, and now you're running late.\You know that the dinner tonight is important!\It's fine, I'll do it myself.\So you say, but If you had gotten ready earlier, I wouldn't have to be nagging you-\Young Master!\Will that girl be at the dinner party as well?\You mean Miss Campbell? response:	Oh, I see. You're her escort, aren't you?
context: Honestly. You've been dragging your feet, and now you're running late.\You know that the dinner tonight is important!\It's fine, I'll do it myself.\So you say, but If you had gotten ready earlier, I wouldn't have to be nagging you-\Young Master!\Will that girl be at the dinner party as well?\You mean Miss Campbell?\Oh, I see. You're her escort, aren't you? response:	Duty is duty. I'll just have to put up with it.
context: You know that the dinner tonight is important!\It's fine, I'll do it myself.\So you say, but If you had gotten ready earlier, I wouldn't have to be nagging you-\Young Master!\Will that girl be at the dinner party as well?\You mean Miss Campbell?\Oh, I see. You're her escort, aren't you?\Duty is duty. I'll just have to put up with it. response:	If I want my father to accept Emma, I can't show any sign of weakness.
context: It's fine, I'll do it myself.\So you say, but If you had gotten ready earlier, I wouldn't have to be nagging you-\Young Master!\Will that girl be at the dinner party as well?\You mean Miss Campbell?\Oh, I see. You're her escort, aren't you?\Duty is duty. I'll just have to put up with it.\If I want my father to accept Emma, I can't show any sign of weakness. response:	Let me try. I can do it.
context: So you say, but If you had gotten ready earlier, I wouldn't have to be nagging you-\Young Master!\Will that girl be at the dinner party as well?\You mean Miss Campbell?\Oh, I see. You're her escort, aren't you?\Duty is duty. I'll just have to put up with it.\If I want my father to accept Emma, I can't show any sign of weakness.\Let me try. I can do it. response:	Eh?
context: Young Master!\Will that girl be at the dinner party as well?\You mean Miss Campbell?\Oh, I see. You're her escort, aren't you?\Duty is duty. I'll just have to put up with it.\If I want my father to accept Emma, I can't show any sign of weakness.\Let me try. I can do it.\Eh? response:	So, Emma is a weakness?
context: Will that girl be at the dinner party as well?\You mean Miss Campbell?\Oh, I see. You're her escort, aren't you?\Duty is duty. I'll just have to put up with it.\If I want my father to accept Emma, I can't show any sign of weakness.\Let me try. I can do it.\Eh?\So, Emma is a weakness? response:	That's not what I meant. Stop nitpicking!
context: You mean Miss Campbell?\Oh, I see. You're her escort, aren't you?\Duty is duty. I'll just have to put up with it.\If I want my father to accept Emma, I can't show any sign of weakness.\Let me try. I can do it.\Eh?\So, Emma is a weakness?\That's not what I meant. Stop nitpicking! response:	And stop being so familar, you should call her Miss Emma...
context: Oh, I see. You're her escort, aren't you?\Duty is duty. I'll just have to put up with it.\If I want my father to accept Emma, I can't show any sign of weakness.\Let me try. I can do it.\Eh?\So, Emma is a weakness?\That's not what I meant. Stop nitpicking!\And stop being so familar, you should call her Miss Emma... response:	Even if both families encourage the match, it's up to the couple themselves in the end.
context: Duty is duty. I'll just have to put up with it.\If I want my father to accept Emma, I can't show any sign of weakness.\Let me try. I can do it.\Eh?\So, Emma is a weakness?\That's not what I meant. Stop nitpicking!\And stop being so familar, you should call her Miss Emma...\Even if both families encourage the match, it's up to the couple themselves in the end. response:	And therein lies the problem.
context: If I want my father to accept Emma, I can't show any sign of weakness.\Let me try. I can do it.\Eh?\So, Emma is a weakness?\That's not what I meant. Stop nitpicking!\And stop being so familar, you should call her Miss Emma...\Even if both families encourage the match, it's up to the couple themselves in the end.\And therein lies the problem. response:	Eh?
context: Let me try. I can do it.\Eh?\So, Emma is a weakness?\That's not what I meant. Stop nitpicking!\And stop being so familar, you should call her Miss Emma...\Even if both families encourage the match, it's up to the couple themselves in the end.\And therein lies the problem.\Eh? response:	You can't guess the feelings of a woman in love.
context: Eh?\So, Emma is a weakness?\That's not what I meant. Stop nitpicking!\And stop being so familar, you should call her Miss Emma...\Even if both families encourage the match, it's up to the couple themselves in the end.\And therein lies the problem.\Eh?\You can't guess the feelings of a woman in love. response:	Miss Eleanor, I can't pull any tighter.
context: So, Emma is a weakness?\That's not what I meant. Stop nitpicking!\And stop being so familar, you should call her Miss Emma...\Even if both families encourage the match, it's up to the couple themselves in the end.\And therein lies the problem.\Eh?\You can't guess the feelings of a woman in love.\Miss Eleanor, I can't pull any tighter. response:	I'm... fine...
context: That's not what I meant. Stop nitpicking!\And stop being so familar, you should call her Miss Emma...\Even if both families encourage the match, it's up to the couple themselves in the end.\And therein lies the problem.\Eh?\You can't guess the feelings of a woman in love.\Miss Eleanor, I can't pull any tighter.\I'm... fine... response:	It might be fashionable to have a tiny waist, but this is very bad for your health.
context: And stop being so familar, you should call her Miss Emma...\Even if both families encourage the match, it's up to the couple themselves in the end.\And therein lies the problem.\Eh?\You can't guess the feelings of a woman in love.\Miss Eleanor, I can't pull any tighter.\I'm... fine...\It might be fashionable to have a tiny waist, but this is very bad for your health. response:	Still, just a little more...
context: Even if both families encourage the match, it's up to the couple themselves in the end.\And therein lies the problem.\Eh?\You can't guess the feelings of a woman in love.\Miss Eleanor, I can't pull any tighter.\I'm... fine...\It might be fashionable to have a tiny waist, but this is very bad for your health.\Still, just a little more... response:	Please, Annie.
context: And therein lies the problem.\Eh?\You can't guess the feelings of a woman in love.\Miss Eleanor, I can't pull any tighter.\I'm... fine...\It might be fashionable to have a tiny waist, but this is very bad for your health.\Still, just a little more...\Please, Annie. response:	Brace yourself, miss.
context: Eh?\You can't guess the feelings of a woman in love.\Miss Eleanor, I can't pull any tighter.\I'm... fine...\It might be fashionable to have a tiny waist, but this is very bad for your health.\Still, just a little more...\Please, Annie.\Brace yourself, miss. response:	There's a trick to opening the window.
context: You can't guess the feelings of a woman in love.\Miss Eleanor, I can't pull any tighter.\I'm... fine...\It might be fashionable to have a tiny waist, but this is very bad for your health.\Still, just a little more...\Please, Annie.\Brace yourself, miss.\There's a trick to opening the window. response:	You have to push and lift at the same time.
context: Miss Eleanor, I can't pull any tighter.\I'm... fine...\It might be fashionable to have a tiny waist, but this is very bad for your health.\Still, just a little more...\Please, Annie.\Brace yourself, miss.\There's a trick to opening the window.\You have to push and lift at the same time. response:	That's it.
context: I'm... fine...\It might be fashionable to have a tiny waist, but this is very bad for your health.\Still, just a little more...\Please, Annie.\Brace yourself, miss.\There's a trick to opening the window.\You have to push and lift at the same time.\That's it. response:	This will be your room.
context: It might be fashionable to have a tiny waist, but this is very bad for your health.\Still, just a little more...\Please, Annie.\Brace yourself, miss.\There's a trick to opening the window.\You have to push and lift at the same time.\That's it.\This will be your room. response:	It's small and old, but it will have to do.
