context: Shirt: Good at fighting Superior cat-ears (?) response:	Let us assess the situation.
context: Shirt: Good at fighting Superior cat-ears (?)\Let us assess the situation. response:	Yesterday, Daitetsu-kun stayed over at Mikuriya's place.
context: Shirt: Good at fighting Superior cat-ears (?)\Let us assess the situation.\Yesterday, Daitetsu-kun stayed over at Mikuriya's place. response:	Something happened at that time which changed their relationship.
context: Shirt: Good at fighting Superior cat-ears (?)\Let us assess the situation.\Yesterday, Daitetsu-kun stayed over at Mikuriya's place.\Something happened at that time which changed their relationship. response:	I won't hand Jin over to you!
context: Shirt: Good at fighting Superior cat-ears (?)\Let us assess the situation.\Yesterday, Daitetsu-kun stayed over at Mikuriya's place.\Something happened at that time which changed their relationship.\I won't hand Jin over to you! response:	A god does not approve of a man such as you!
context: Shirt: Good at fighting Superior cat-ears (?)\Let us assess the situation.\Yesterday, Daitetsu-kun stayed over at Mikuriya's place.\Something happened at that time which changed their relationship.\I won't hand Jin over to you!\A god does not approve of a man such as you! response:	According to Nagi-sama, it's something that even a god won't forgive.
context: Shirt: Good at fighting Superior cat-ears (?)\Let us assess the situation.\Yesterday, Daitetsu-kun stayed over at Mikuriya's place.\Something happened at that time which changed their relationship.\I won't hand Jin over to you!\A god does not approve of a man such as you!\According to Nagi-sama, it's something that even a god won't forgive. response:	Daitetsu-kun said that he wouldn't hand over Mikuriya, and Nagi-sama raged.
context: Shirt: Good at fighting Superior cat-ears (?)\Let us assess the situation.\Yesterday, Daitetsu-kun stayed over at Mikuriya's place.\Something happened at that time which changed their relationship.\I won't hand Jin over to you!\A god does not approve of a man such as you!\According to Nagi-sama, it's something that even a god won't forgive.\Daitetsu-kun said that he wouldn't hand over Mikuriya, and Nagi-sama raged. response:	I get it now!
context: Let us assess the situation.\Yesterday, Daitetsu-kun stayed over at Mikuriya's place.\Something happened at that time which changed their relationship.\I won't hand Jin over to you!\A god does not approve of a man such as you!\According to Nagi-sama, it's something that even a god won't forgive.\Daitetsu-kun said that he wouldn't hand over Mikuriya, and Nagi-sama raged.\I get it now! response:	Daitetsu is the dom.
context: Yesterday, Daitetsu-kun stayed over at Mikuriya's place.\Something happened at that time which changed their relationship.\I won't hand Jin over to you!\A god does not approve of a man such as you!\According to Nagi-sama, it's something that even a god won't forgive.\Daitetsu-kun said that he wouldn't hand over Mikuriya, and Nagi-sama raged.\I get it now!\Daitetsu is the dom. response:	I knew it, I knew it!
context: Something happened at that time which changed their relationship.\I won't hand Jin over to you!\A god does not approve of a man such as you!\According to Nagi-sama, it's something that even a god won't forgive.\Daitetsu-kun said that he wouldn't hand over Mikuriya, and Nagi-sama raged.\I get it now!\Daitetsu is the dom.\I knew it, I knew it! response:	What's that ominous phrase? I don't quite understand, but stop it!
