context: Magnolia, X791. response:	After returning from Tenroujima,
context: Magnolia, X791.\After returning from Tenroujima, response:	we discovered that seven years had passed in this world, Earthland.
context: Magnolia, X791.\After returning from Tenroujima,\we discovered that seven years had passed in this world, Earthland. response:	I think I read a fairy tale about something like that a long time ago,
context: Magnolia, X791.\After returning from Tenroujima,\we discovered that seven years had passed in this world, Earthland.\I think I read a fairy tale about something like that a long time ago, response:	but never imagined I'd go through the same experience.
context: Magnolia, X791.\After returning from Tenroujima,\we discovered that seven years had passed in this world, Earthland.\I think I read a fairy tale about something like that a long time ago,\but never imagined I'd go through the same experience. response:	Cheers!
context: Magnolia, X791.\After returning from Tenroujima,\we discovered that seven years had passed in this world, Earthland.\I think I read a fairy tale about something like that a long time ago,\but never imagined I'd go through the same experience.\Cheers! response:	I don't think I'll ever forget our homecoming at Fairy Tail that night.
context: Magnolia, X791.\After returning from Tenroujima,\we discovered that seven years had passed in this world, Earthland.\I think I read a fairy tale about something like that a long time ago,\but never imagined I'd go through the same experience.\Cheers!\I don't think I'll ever forget our homecoming at Fairy Tail that night. response:	We drank, we sang, we danced,
context: Magnolia, X791.\After returning from Tenroujima,\we discovered that seven years had passed in this world, Earthland.\I think I read a fairy tale about something like that a long time ago,\but never imagined I'd go through the same experience.\Cheers!\I don't think I'll ever forget our homecoming at Fairy Tail that night.\We drank, we sang, we danced, response:	raising a clamor as if to bury the seven-year-gap.
context: After returning from Tenroujima,\we discovered that seven years had passed in this world, Earthland.\I think I read a fairy tale about something like that a long time ago,\but never imagined I'd go through the same experience.\Cheers!\I don't think I'll ever forget our homecoming at Fairy Tail that night.\We drank, we sang, we danced,\raising a clamor as if to bury the seven-year-gap. response:	You can use Fire Magic too, Romeo?!
context: we discovered that seven years had passed in this world, Earthland.\I think I read a fairy tale about something like that a long time ago,\but never imagined I'd go through the same experience.\Cheers!\I don't think I'll ever forget our homecoming at Fairy Tail that night.\We drank, we sang, we danced,\raising a clamor as if to bury the seven-year-gap.\You can use Fire Magic too, Romeo?! response:	The temperature in the guild is gonna rise up again!
context: I think I read a fairy tale about something like that a long time ago,\but never imagined I'd go through the same experience.\Cheers!\I don't think I'll ever forget our homecoming at Fairy Tail that night.\We drank, we sang, we danced,\raising a clamor as if to bury the seven-year-gap.\You can use Fire Magic too, Romeo?!\The temperature in the guild is gonna rise up again! response:	I can produce cold flames, too!
context: but never imagined I'd go through the same experience.\Cheers!\I don't think I'll ever forget our homecoming at Fairy Tail that night.\We drank, we sang, we danced,\raising a clamor as if to bury the seven-year-gap.\You can use Fire Magic too, Romeo?!\The temperature in the guild is gonna rise up again!\I can produce cold flames, too! response:	Ooh, blue flames!
context: Cheers!\I don't think I'll ever forget our homecoming at Fairy Tail that night.\We drank, we sang, we danced,\raising a clamor as if to bury the seven-year-gap.\You can use Fire Magic too, Romeo?!\The temperature in the guild is gonna rise up again!\I can produce cold flames, too!\Ooh, blue flames! response:	What's this?
context: I don't think I'll ever forget our homecoming at Fairy Tail that night.\We drank, we sang, we danced,\raising a clamor as if to bury the seven-year-gap.\You can use Fire Magic too, Romeo?!\The temperature in the guild is gonna rise up again!\I can produce cold flames, too!\Ooh, blue flames!\What's this? response:	Purple sticky flames, like my dad.
context: We drank, we sang, we danced,\raising a clamor as if to bury the seven-year-gap.\You can use Fire Magic too, Romeo?!\The temperature in the guild is gonna rise up again!\I can produce cold flames, too!\Ooh, blue flames!\What's this?\Purple sticky flames, like my dad. response:	And weird smelling yellow flames, too.
context: raising a clamor as if to bury the seven-year-gap.\You can use Fire Magic too, Romeo?!\The temperature in the guild is gonna rise up again!\I can produce cold flames, too!\Ooh, blue flames!\What's this?\Purple sticky flames, like my dad.\And weird smelling yellow flames, too. response:	That reeks!
context: You can use Fire Magic too, Romeo?!\The temperature in the guild is gonna rise up again!\I can produce cold flames, too!\Ooh, blue flames!\What's this?\Purple sticky flames, like my dad.\And weird smelling yellow flames, too.\That reeks! response:	That's impressive.
context: The temperature in the guild is gonna rise up again!\I can produce cold flames, too!\Ooh, blue flames!\What's this?\Purple sticky flames, like my dad.\And weird smelling yellow flames, too.\That reeks!\That's impressive. response:	Looks like you've got more of a range than your old man...
context: I can produce cold flames, too!\Ooh, blue flames!\What's this?\Purple sticky flames, like my dad.\And weird smelling yellow flames, too.\That reeks!\That's impressive.\Looks like you've got more of a range than your old man... response:	Where have I seen that magic before?
context: Ooh, blue flames!\What's this?\Purple sticky flames, like my dad.\And weird smelling yellow flames, too.\That reeks!\That's impressive.\Looks like you've got more of a range than your old man...\Where have I seen that magic before? response:	Aye...
