context: Union Fest is over now, response:	but I would like to create more events
context: Union Fest is over now,\but I would like to create more events response:	with you all that are as fun as this one was!
context: Union Fest is over now,\but I would like to create more events\with you all that are as fun as this one was! response:	Union Fest's final stage.
context: Union Fest is over now,\but I would like to create more events\with you all that are as fun as this one was!\Union Fest's final stage. response:	The passion that connected the three countries
context: Union Fest is over now,\but I would like to create more events\with you all that are as fun as this one was!\Union Fest's final stage.\The passion that connected the three countries response:	never waned...
context: Union Fest is over now,\but I would like to create more events\with you all that are as fun as this one was!\Union Fest's final stage.\The passion that connected the three countries\never waned... response:	That night, the party continued with great enthusiasm
context: Union Fest is over now,\but I would like to create more events\with you all that are as fun as this one was!\Union Fest's final stage.\The passion that connected the three countries\never waned...\That night, the party continued with great enthusiasm response:	until the end.
context: Union Fest is over now,\but I would like to create more events\with you all that are as fun as this one was!\Union Fest's final stage.\The passion that connected the three countries\never waned...\That night, the party continued with great enthusiasm\until the end. response:	Starting tomorrow, we'll return to our usual,
context: but I would like to create more events\with you all that are as fun as this one was!\Union Fest's final stage.\The passion that connected the three countries\never waned...\That night, the party continued with great enthusiasm\until the end.\Starting tomorrow, we'll return to our usual, response:	calm and peaceful days.
context: with you all that are as fun as this one was!\Union Fest's final stage.\The passion that connected the three countries\never waned...\That night, the party continued with great enthusiasm\until the end.\Starting tomorrow, we'll return to our usual,\calm and peaceful days. response:	And then...
context: Union Fest's final stage.\The passion that connected the three countries\never waned...\That night, the party continued with great enthusiasm\until the end.\Starting tomorrow, we'll return to our usual,\calm and peaceful days.\And then... response:	Yes?
context: The passion that connected the three countries\never waned...\That night, the party continued with great enthusiasm\until the end.\Starting tomorrow, we'll return to our usual,\calm and peaceful days.\And then...\Yes? response:	Hero, you're going out with the Princess and the others, right?
context: never waned...\That night, the party continued with great enthusiasm\until the end.\Starting tomorrow, we'll return to our usual,\calm and peaceful days.\And then...\Yes?\Hero, you're going out with the Princess and the others, right? response:	Yes, they're making our lunches right now.
context: That night, the party continued with great enthusiasm\until the end.\Starting tomorrow, we'll return to our usual,\calm and peaceful days.\And then...\Yes?\Hero, you're going out with the Princess and the others, right?\Yes, they're making our lunches right now. response:	Yeah, I took a peek earlier.
context: until the end.\Starting tomorrow, we'll return to our usual,\calm and peaceful days.\And then...\Yes?\Hero, you're going out with the Princess and the others, right?\Yes, they're making our lunches right now.\Yeah, I took a peek earlier. response:	This is for you.
context: Starting tomorrow, we'll return to our usual,\calm and peaceful days.\And then...\Yes?\Hero, you're going out with the Princess and the others, right?\Yes, they're making our lunches right now.\Yeah, I took a peek earlier.\This is for you. response:	Are these clothes?
context: calm and peaceful days.\And then...\Yes?\Hero, you're going out with the Princess and the others, right?\Yes, they're making our lunches right now.\Yeah, I took a peek earlier.\This is for you.\Are these clothes? response:	I had them made at a shop I frequent.
context: And then...\Yes?\Hero, you're going out with the Princess and the others, right?\Yes, they're making our lunches right now.\Yeah, I took a peek earlier.\This is for you.\Are these clothes?\I had them made at a shop I frequent. response:	Try it on. I'm sure it'll suit you.
context: Yes?\Hero, you're going out with the Princess and the others, right?\Yes, they're making our lunches right now.\Yeah, I took a peek earlier.\This is for you.\Are these clothes?\I had them made at a shop I frequent.\Try it on. I'm sure it'll suit you. response:	Wow, this is nice!
context: Hero, you're going out with the Princess and the others, right?\Yes, they're making our lunches right now.\Yeah, I took a peek earlier.\This is for you.\Are these clothes?\I had them made at a shop I frequent.\Try it on. I'm sure it'll suit you.\Wow, this is nice! response:	It's not bad to wear something other than your Hero outfit, right?
context: Yes, they're making our lunches right now.\Yeah, I took a peek earlier.\This is for you.\Are these clothes?\I had them made at a shop I frequent.\Try it on. I'm sure it'll suit you.\Wow, this is nice!\It's not bad to wear something other than your Hero outfit, right? response:	Yeah! But is it really okay for me to have these?
context: Yeah, I took a peek earlier.\This is for you.\Are these clothes?\I had them made at a shop I frequent.\Try it on. I'm sure it'll suit you.\Wow, this is nice!\It's not bad to wear something other than your Hero outfit, right?\Yeah! But is it really okay for me to have these? response:	I don't want to take them back. Please wear them.
context: This is for you.\Are these clothes?\I had them made at a shop I frequent.\Try it on. I'm sure it'll suit you.\Wow, this is nice!\It's not bad to wear something other than your Hero outfit, right?\Yeah! But is it really okay for me to have these?\I don't want to take them back. Please wear them. response:	Now, Hero, this will be your last mission this summer.
context: Are these clothes?\I had them made at a shop I frequent.\Try it on. I'm sure it'll suit you.\Wow, this is nice!\It's not bad to wear something other than your Hero outfit, right?\Yeah! But is it really okay for me to have these?\I don't want to take them back. Please wear them.\Now, Hero, this will be your last mission this summer. response:	Okay!
context: I had them made at a shop I frequent.\Try it on. I'm sure it'll suit you.\Wow, this is nice!\It's not bad to wear something other than your Hero outfit, right?\Yeah! But is it really okay for me to have these?\I don't want to take them back. Please wear them.\Now, Hero, this will be your last mission this summer.\Okay! response:	Relax and enjoy your day today
context: Try it on. I'm sure it'll suit you.\Wow, this is nice!\It's not bad to wear something other than your Hero outfit, right?\Yeah! But is it really okay for me to have these?\I don't want to take them back. Please wear them.\Now, Hero, this will be your last mission this summer.\Okay!\Relax and enjoy your day today response:	with the Princess and your friends.
context: Wow, this is nice!\It's not bad to wear something other than your Hero outfit, right?\Yeah! But is it really okay for me to have these?\I don't want to take them back. Please wear them.\Now, Hero, this will be your last mission this summer.\Okay!\Relax and enjoy your day today\with the Princess and your friends. response:	Have fun with the Princess, Rebecca, and the others.
context: It's not bad to wear something other than your Hero outfit, right?\Yeah! But is it really okay for me to have these?\I don't want to take them back. Please wear them.\Now, Hero, this will be your last mission this summer.\Okay!\Relax and enjoy your day today\with the Princess and your friends.\Have fun with the Princess, Rebecca, and the others. response:	Can you do it?
context: Yeah! But is it really okay for me to have these?\I don't want to take them back. Please wear them.\Now, Hero, this will be your last mission this summer.\Okay!\Relax and enjoy your day today\with the Princess and your friends.\Have fun with the Princess, Rebecca, and the others.\Can you do it? response:	I will do my best, I swear on my Hero title!
context: I don't want to take them back. Please wear them.\Now, Hero, this will be your last mission this summer.\Okay!\Relax and enjoy your day today\with the Princess and your friends.\Have fun with the Princess, Rebecca, and the others.\Can you do it?\I will do my best, I swear on my Hero title! response:	Right, then go!
context: Now, Hero, this will be your last mission this summer.\Okay!\Relax and enjoy your day today\with the Princess and your friends.\Have fun with the Princess, Rebecca, and the others.\Can you do it?\I will do my best, I swear on my Hero title!\Right, then go! response:	Hey, Sink!
context: Okay!\Relax and enjoy your day today\with the Princess and your friends.\Have fun with the Princess, Rebecca, and the others.\Can you do it?\I will do my best, I swear on my Hero title!\Right, then go!\Hey, Sink! response:	Your Highness, Nanami!
context: Relax and enjoy your day today\with the Princess and your friends.\Have fun with the Princess, Rebecca, and the others.\Can you do it?\I will do my best, I swear on my Hero title!\Right, then go!\Hey, Sink!\Your Highness, Nanami! response:	Sink, where'd you get those clothes?
context: with the Princess and your friends.\Have fun with the Princess, Rebecca, and the others.\Can you do it?\I will do my best, I swear on my Hero title!\Right, then go!\Hey, Sink!\Your Highness, Nanami!\Sink, where'd you get those clothes? response:	Ecle gave them to me.
context: Have fun with the Princess, Rebecca, and the others.\Can you do it?\I will do my best, I swear on my Hero title!\Right, then go!\Hey, Sink!\Your Highness, Nanami!\Sink, where'd you get those clothes?\Ecle gave them to me. response:	Oh really?
context: Can you do it?\I will do my best, I swear on my Hero title!\Right, then go!\Hey, Sink!\Your Highness, Nanami!\Sink, where'd you get those clothes?\Ecle gave them to me.\Oh really? response:	Looks good.
context: I will do my best, I swear on my Hero title!\Right, then go!\Hey, Sink!\Your Highness, Nanami!\Sink, where'd you get those clothes?\Ecle gave them to me.\Oh really?\Looks good. response:	Everybody's here.
context: Right, then go!\Hey, Sink!\Your Highness, Nanami!\Sink, where'd you get those clothes?\Ecle gave them to me.\Oh really?\Looks good.\Everybody's here. response:	Sorry for the wait.
context: Hey, Sink!\Your Highness, Nanami!\Sink, where'd you get those clothes?\Ecle gave them to me.\Oh really?\Looks good.\Everybody's here.\Sorry for the wait. response:	Then, shall we?
context: Your Highness, Nanami!\Sink, where'd you get those clothes?\Ecle gave them to me.\Oh really?\Looks good.\Everybody's here.\Sorry for the wait.\Then, shall we? response:	The highland picnic tour for the rulers and the Heroes!
context: Sink, where'd you get those clothes?\Ecle gave them to me.\Oh really?\Looks good.\Everybody's here.\Sorry for the wait.\Then, shall we?\The highland picnic tour for the rulers and the Heroes! response:	Off we go!
