context: It seems I slightly underrated you, Elfman. response:	When it comes to tenacity and being able to take punishment,
context: It seems I slightly underrated you, Elfman.\When it comes to tenacity and being able to take punishment, response:	you just may be number one in our guild.
context: It seems I slightly underrated you, Elfman.\When it comes to tenacity and being able to take punishment,\you just may be number one in our guild. response:	We'll definitely follow the lead of your hard-won victory.
context: It seems I slightly underrated you, Elfman.\When it comes to tenacity and being able to take punishment,\you just may be number one in our guild.\We'll definitely follow the lead of your hard-won victory. response:	I never thought I'd hear Erza dish out praise like that.
context: It seems I slightly underrated you, Elfman.\When it comes to tenacity and being able to take punishment,\you just may be number one in our guild.\We'll definitely follow the lead of your hard-won victory.\I never thought I'd hear Erza dish out praise like that. response:	She wouldn't if he hadn't earned it.
context: It seems I slightly underrated you, Elfman.\When it comes to tenacity and being able to take punishment,\you just may be number one in our guild.\We'll definitely follow the lead of your hard-won victory.\I never thought I'd hear Erza dish out praise like that.\She wouldn't if he hadn't earned it. response:	You totally gave me the shivers, Elfman!
context: It seems I slightly underrated you, Elfman.\When it comes to tenacity and being able to take punishment,\you just may be number one in our guild.\We'll definitely follow the lead of your hard-won victory.\I never thought I'd hear Erza dish out praise like that.\She wouldn't if he hadn't earned it.\You totally gave me the shivers, Elfman! response:	Cut it out. You guys sound like you're payin' tribute to a dead man.
context: It seems I slightly underrated you, Elfman.\When it comes to tenacity and being able to take punishment,\you just may be number one in our guild.\We'll definitely follow the lead of your hard-won victory.\I never thought I'd hear Erza dish out praise like that.\She wouldn't if he hadn't earned it.\You totally gave me the shivers, Elfman!\Cut it out. You guys sound like you're payin' tribute to a dead man. response:	Ow...
context: When it comes to tenacity and being able to take punishment,\you just may be number one in our guild.\We'll definitely follow the lead of your hard-won victory.\I never thought I'd hear Erza dish out praise like that.\She wouldn't if he hadn't earned it.\You totally gave me the shivers, Elfman!\Cut it out. You guys sound like you're payin' tribute to a dead man.\Ow... response:	Well, stubbornness always has been your saving grace.
context: you just may be number one in our guild.\We'll definitely follow the lead of your hard-won victory.\I never thought I'd hear Erza dish out praise like that.\She wouldn't if he hadn't earned it.\You totally gave me the shivers, Elfman!\Cut it out. You guys sound like you're payin' tribute to a dead man.\Ow...\Well, stubbornness always has been your saving grace. response:	That's kind of a sad saving grace...
context: We'll definitely follow the lead of your hard-won victory.\I never thought I'd hear Erza dish out praise like that.\She wouldn't if he hadn't earned it.\You totally gave me the shivers, Elfman!\Cut it out. You guys sound like you're payin' tribute to a dead man.\Ow...\Well, stubbornness always has been your saving grace.\That's kind of a sad saving grace... response:	You're not too different!
context: I never thought I'd hear Erza dish out praise like that.\She wouldn't if he hadn't earned it.\You totally gave me the shivers, Elfman!\Cut it out. You guys sound like you're payin' tribute to a dead man.\Ow...\Well, stubbornness always has been your saving grace.\That's kind of a sad saving grace...\You're not too different! response:	But it really was amazing, Elfman-san!
context: She wouldn't if he hadn't earned it.\You totally gave me the shivers, Elfman!\Cut it out. You guys sound like you're payin' tribute to a dead man.\Ow...\Well, stubbornness always has been your saving grace.\That's kind of a sad saving grace...\You're not too different!\But it really was amazing, Elfman-san! response:	It's pathetic, but I can't do anything laid up like this,
context: You totally gave me the shivers, Elfman!\Cut it out. You guys sound like you're payin' tribute to a dead man.\Ow...\Well, stubbornness always has been your saving grace.\That's kind of a sad saving grace...\You're not too different!\But it really was amazing, Elfman-san!\It's pathetic, but I can't do anything laid up like this, response:	so the rest is up to you, Wendy.
context: Cut it out. You guys sound like you're payin' tribute to a dead man.\Ow...\Well, stubbornness always has been your saving grace.\That's kind of a sad saving grace...\You're not too different!\But it really was amazing, Elfman-san!\It's pathetic, but I can't do anything laid up like this,\so the rest is up to you, Wendy. response:	Right!
context: Ow...\Well, stubbornness always has been your saving grace.\That's kind of a sad saving grace...\You're not too different!\But it really was amazing, Elfman-san!\It's pathetic, but I can't do anything laid up like this,\so the rest is up to you, Wendy.\Right! response:	Well, the next match has already begun.
context: Well, stubbornness always has been your saving grace.\That's kind of a sad saving grace...\You're not too different!\But it really was amazing, Elfman-san!\It's pathetic, but I can't do anything laid up like this,\so the rest is up to you, Wendy.\Right!\Well, the next match has already begun. response:	Get going.
context: That's kind of a sad saving grace...\You're not too different!\But it really was amazing, Elfman-san!\It's pathetic, but I can't do anything laid up like this,\so the rest is up to you, Wendy.\Right!\Well, the next match has already begun.\Get going. response:	One of the keys to victory is observing the enemy.
context: You're not too different!\But it really was amazing, Elfman-san!\It's pathetic, but I can't do anything laid up like this,\so the rest is up to you, Wendy.\Right!\Well, the next match has already begun.\Get going.\One of the keys to victory is observing the enemy. response:	Got it, Granny.
context: But it really was amazing, Elfman-san!\It's pathetic, but I can't do anything laid up like this,\so the rest is up to you, Wendy.\Right!\Well, the next match has already begun.\Get going.\One of the keys to victory is observing the enemy.\Got it, Granny. response:	See ya later.
context: It's pathetic, but I can't do anything laid up like this,\so the rest is up to you, Wendy.\Right!\Well, the next match has already begun.\Get going.\One of the keys to victory is observing the enemy.\Got it, Granny.\See ya later. response:	I'm sorry.
context: so the rest is up to you, Wendy.\Right!\Well, the next match has already begun.\Get going.\One of the keys to victory is observing the enemy.\Got it, Granny.\See ya later.\I'm sorry. response:	To be honest, I'd like to stay here with you...
context: Right!\Well, the next match has already begun.\Get going.\One of the keys to victory is observing the enemy.\Got it, Granny.\See ya later.\I'm sorry.\To be honest, I'd like to stay here with you... response:	Forget about it. Nee-chan's match is up next, remember?
context: Well, the next match has already begun.\Get going.\One of the keys to victory is observing the enemy.\Got it, Granny.\See ya later.\I'm sorry.\To be honest, I'd like to stay here with you...\Forget about it. Nee-chan's match is up next, remember? response:	Cheer her on for me.
context: Get going.\One of the keys to victory is observing the enemy.\Got it, Granny.\See ya later.\I'm sorry.\To be honest, I'd like to stay here with you...\Forget about it. Nee-chan's match is up next, remember?\Cheer her on for me. response:	Relax. The Raijinshuu will protect him.
context: One of the keys to victory is observing the enemy.\Got it, Granny.\See ya later.\I'm sorry.\To be honest, I'd like to stay here with you...\Forget about it. Nee-chan's match is up next, remember?\Cheer her on for me.\Relax. The Raijinshuu will protect him. response:	My runes will prevent outsiders from entering.
context: Got it, Granny.\See ya later.\I'm sorry.\To be honest, I'd like to stay here with you...\Forget about it. Nee-chan's match is up next, remember?\Cheer her on for me.\Relax. The Raijinshuu will protect him.\My runes will prevent outsiders from entering. response:	We won't let this place be attacked again.
context: See ya later.\I'm sorry.\To be honest, I'd like to stay here with you...\Forget about it. Nee-chan's match is up next, remember?\Cheer her on for me.\Relax. The Raijinshuu will protect him.\My runes will prevent outsiders from entering.\We won't let this place be attacked again. response:	Sorry...
context: I'm sorry.\To be honest, I'd like to stay here with you...\Forget about it. Nee-chan's match is up next, remember?\Cheer her on for me.\Relax. The Raijinshuu will protect him.\My runes will prevent outsiders from entering.\We won't let this place be attacked again.\Sorry... response:	You couldn't come up with a better fighting strategy?
context: To be honest, I'd like to stay here with you...\Forget about it. Nee-chan's match is up next, remember?\Cheer her on for me.\Relax. The Raijinshuu will protect him.\My runes will prevent outsiders from entering.\We won't let this place be attacked again.\Sorry...\You couldn't come up with a better fighting strategy? response:	Anyway, he's injured and needs his sleep.
context: Forget about it. Nee-chan's match is up next, remember?\Cheer her on for me.\Relax. The Raijinshuu will protect him.\My runes will prevent outsiders from entering.\We won't let this place be attacked again.\Sorry...\You couldn't come up with a better fighting strategy?\Anyway, he's injured and needs his sleep. response:	How'bout we have Ever sleep with you?
context: Cheer her on for me.\Relax. The Raijinshuu will protect him.\My runes will prevent outsiders from entering.\We won't let this place be attacked again.\Sorry...\You couldn't come up with a better fighting strategy?\Anyway, he's injured and needs his sleep.\How'bout we have Ever sleep with you? response:	Quit screwin' around!
context: Relax. The Raijinshuu will protect him.\My runes will prevent outsiders from entering.\We won't let this place be attacked again.\Sorry...\You couldn't come up with a better fighting strategy?\Anyway, he's injured and needs his sleep.\How'bout we have Ever sleep with you?\Quit screwin' around! response:	Still, those Raven Tail jerks play dirty right out in the open...
context: My runes will prevent outsiders from entering.\We won't let this place be attacked again.\Sorry...\You couldn't come up with a better fighting strategy?\Anyway, he's injured and needs his sleep.\How'bout we have Ever sleep with you?\Quit screwin' around!\Still, those Raven Tail jerks play dirty right out in the open... response:	I wonder if their intention is to take us out one by one.
context: We won't let this place be attacked again.\Sorry...\You couldn't come up with a better fighting strategy?\Anyway, he's injured and needs his sleep.\How'bout we have Ever sleep with you?\Quit screwin' around!\Still, those Raven Tail jerks play dirty right out in the open...\I wonder if their intention is to take us out one by one. response:	I've still got my doubts about what happened.
context: Sorry...\You couldn't come up with a better fighting strategy?\Anyway, he's injured and needs his sleep.\How'bout we have Ever sleep with you?\Quit screwin' around!\Still, those Raven Tail jerks play dirty right out in the open...\I wonder if their intention is to take us out one by one.\I've still got my doubts about what happened. response:	What is it, Carla?
