context: I'll get you something, too. response:	A present.
context: I'll get you something, too.\A present. response:	Yay!
context: I'll get you something, too.\A present.\Yay! response:	We didn't have our hot pot.
context: I'll get you something, too.\A present.\Yay!\We didn't have our hot pot. response:	Still want to?
context: I'll get you something, too.\A present.\Yay!\We didn't have our hot pot.\Still want to? response:	Sure, but when?
context: I'll get you something, too.\A present.\Yay!\We didn't have our hot pot.\Still want to?\Sure, but when? response:	Any time will be fine.
context: I'll get you something, too.\A present.\Yay!\We didn't have our hot pot.\Still want to?\Sure, but when?\Any time will be fine. response:	Any time? What about work?
context: I'll get you something, too.\A present.\Yay!\We didn't have our hot pot.\Still want to?\Sure, but when?\Any time will be fine.\Any time? What about work? response:	I've been suspended.
context: A present.\Yay!\We didn't have our hot pot.\Still want to?\Sure, but when?\Any time will be fine.\Any time? What about work?\I've been suspended. response:	I'm unemployed for two months.
context: Yay!\We didn't have our hot pot.\Still want to?\Sure, but when?\Any time will be fine.\Any time? What about work?\I've been suspended.\I'm unemployed for two months. response:	What? Because you hit my professor?
context: We didn't have our hot pot.\Still want to?\Sure, but when?\Any time will be fine.\Any time? What about work?\I've been suspended.\I'm unemployed for two months.\What? Because you hit my professor? response:	I-I'm sorry. I'm really just so sorry.
context: Still want to?\Sure, but when?\Any time will be fine.\Any time? What about work?\I've been suspended.\I'm unemployed for two months.\What? Because you hit my professor?\I-I'm sorry. I'm really just so sorry. response:	Why are you apologizing?
context: Sure, but when?\Any time will be fine.\Any time? What about work?\I've been suspended.\I'm unemployed for two months.\What? Because you hit my professor?\I-I'm sorry. I'm really just so sorry.\Why are you apologizing? response:	Because it's my fault.
context: Any time will be fine.\Any time? What about work?\I've been suspended.\I'm unemployed for two months.\What? Because you hit my professor?\I-I'm sorry. I'm really just so sorry.\Why are you apologizing?\Because it's my fault. response:	Stop talking.
context: Any time? What about work?\I've been suspended.\I'm unemployed for two months.\What? Because you hit my professor?\I-I'm sorry. I'm really just so sorry.\Why are you apologizing?\Because it's my fault.\Stop talking. response:	It's not a problem. Stop worrying.
context: I've been suspended.\I'm unemployed for two months.\What? Because you hit my professor?\I-I'm sorry. I'm really just so sorry.\Why are you apologizing?\Because it's my fault.\Stop talking.\It's not a problem. Stop worrying. response:	Okay...
