context: It's finally time to start school... response:	The first day is so exciting, isn't it?
context: It's finally time to start school...\The first day is so exciting, isn't it? response:	Exciting, huh?
context: It's finally time to start school...\The first day is so exciting, isn't it?\Exciting, huh? response:	You seem more nervous than excited, Hina-chan.
context: It's finally time to start school...\The first day is so exciting, isn't it?\Exciting, huh?\You seem more nervous than excited, Hina-chan. response:	Yeah. I wonder if I'll make friends,
context: It's finally time to start school...\The first day is so exciting, isn't it?\Exciting, huh?\You seem more nervous than excited, Hina-chan.\Yeah. I wonder if I'll make friends, response:	and if I'll be able to get along with my classmates...
context: It's finally time to start school...\The first day is so exciting, isn't it?\Exciting, huh?\You seem more nervous than excited, Hina-chan.\Yeah. I wonder if I'll make friends,\and if I'll be able to get along with my classmates... response:	Thinking about it all makes me so nervous.
context: It's finally time to start school...\The first day is so exciting, isn't it?\Exciting, huh?\You seem more nervous than excited, Hina-chan.\Yeah. I wonder if I'll make friends,\and if I'll be able to get along with my classmates...\Thinking about it all makes me so nervous. response:	You're right. That is nerve-wracking.
context: It's finally time to start school...\The first day is so exciting, isn't it?\Exciting, huh?\You seem more nervous than excited, Hina-chan.\Yeah. I wonder if I'll make friends,\and if I'll be able to get along with my classmates...\Thinking about it all makes me so nervous.\You're right. That is nerve-wracking. response:	You're going to be standing on the stage with the theater troupe soon.
context: The first day is so exciting, isn't it?\Exciting, huh?\You seem more nervous than excited, Hina-chan.\Yeah. I wonder if I'll make friends,\and if I'll be able to get along with my classmates...\Thinking about it all makes me so nervous.\You're right. That is nerve-wracking.\You're going to be standing on the stage with the theater troupe soon. response:	Think of this as another type of training.
context: Exciting, huh?\You seem more nervous than excited, Hina-chan.\Yeah. I wonder if I'll make friends,\and if I'll be able to get along with my classmates...\Thinking about it all makes me so nervous.\You're right. That is nerve-wracking.\You're going to be standing on the stage with the theater troupe soon.\Think of this as another type of training. response:	You're right.
context: You seem more nervous than excited, Hina-chan.\Yeah. I wonder if I'll make friends,\and if I'll be able to get along with my classmates...\Thinking about it all makes me so nervous.\You're right. That is nerve-wracking.\You're going to be standing on the stage with the theater troupe soon.\Think of this as another type of training.\You're right. response:	For starters, if I can get over freezing up whenever I'm in front of people...
context: Yeah. I wonder if I'll make friends,\and if I'll be able to get along with my classmates...\Thinking about it all makes me so nervous.\You're right. That is nerve-wracking.\You're going to be standing on the stage with the theater troupe soon.\Think of this as another type of training.\You're right.\For starters, if I can get over freezing up whenever I'm in front of people... response:	You'll be fine!
context: and if I'll be able to get along with my classmates...\Thinking about it all makes me so nervous.\You're right. That is nerve-wracking.\You're going to be standing on the stage with the theater troupe soon.\Think of this as another type of training.\You're right.\For starters, if I can get over freezing up whenever I'm in front of people...\You'll be fine! response:	Just look! You're talking to us right now, aren't you?
