context: The S Class Wizard Advancement Exam has finally begun! response:	The first test is to choose a battle route,
context: The S Class Wizard Advancement Exam has finally begun!\The first test is to choose a battle route, response:	and win your way through...
context: The S Class Wizard Advancement Exam has finally begun!\The first test is to choose a battle route,\and win your way through... response:	But Natsu's opponent was Gildarts, right off the bat!
context: The S Class Wizard Advancement Exam has finally begun!\The first test is to choose a battle route,\and win your way through...\But Natsu's opponent was Gildarts, right off the bat! response:	It was tough going, but that's'cause I held back a little.
context: The S Class Wizard Advancement Exam has finally begun!\The first test is to choose a battle route,\and win your way through...\But Natsu's opponent was Gildarts, right off the bat!\It was tough going, but that's'cause I held back a little. response:	Nice try there.
context: The S Class Wizard Advancement Exam has finally begun!\The first test is to choose a battle route,\and win your way through...\But Natsu's opponent was Gildarts, right off the bat!\It was tough going, but that's'cause I held back a little.\Nice try there. response:	That's Tenroujima.
context: The S Class Wizard Advancement Exam has finally begun!\The first test is to choose a battle route,\and win your way through...\But Natsu's opponent was Gildarts, right off the bat!\It was tough going, but that's'cause I held back a little.\Nice try there.\That's Tenroujima. response:	Are you sure it's okay for us to follow them there?
context: The S Class Wizard Advancement Exam has finally begun!\The first test is to choose a battle route,\and win your way through...\But Natsu's opponent was Gildarts, right off the bat!\It was tough going, but that's'cause I held back a little.\Nice try there.\That's Tenroujima.\Are you sure it's okay for us to follow them there? response:	Why not? We're just going to watch.
context: The first test is to choose a battle route,\and win your way through...\But Natsu's opponent was Gildarts, right off the bat!\It was tough going, but that's'cause I held back a little.\Nice try there.\That's Tenroujima.\Are you sure it's okay for us to follow them there?\Why not? We're just going to watch. response:	Worried about Wendy, I see.
context: and win your way through...\But Natsu's opponent was Gildarts, right off the bat!\It was tough going, but that's'cause I held back a little.\Nice try there.\That's Tenroujima.\Are you sure it's okay for us to follow them there?\Why not? We're just going to watch.\Worried about Wendy, I see. response:	Even though I was so dead-set against it, she...
context: But Natsu's opponent was Gildarts, right off the bat!\It was tough going, but that's'cause I held back a little.\Nice try there.\That's Tenroujima.\Are you sure it's okay for us to follow them there?\Why not? We're just going to watch.\Worried about Wendy, I see.\Even though I was so dead-set against it, she... response:	Mest.
context: It was tough going, but that's'cause I held back a little.\Nice try there.\That's Tenroujima.\Are you sure it's okay for us to follow them there?\Why not? We're just going to watch.\Worried about Wendy, I see.\Even though I was so dead-set against it, she...\Mest. response:	It happened a week ago...
context: Nice try there.\That's Tenroujima.\Are you sure it's okay for us to follow them there?\Why not? We're just going to watch.\Worried about Wendy, I see.\Even though I was so dead-set against it, she...\Mest.\It happened a week ago... response:	Hey, Wendy.
context: That's Tenroujima.\Are you sure it's okay for us to follow them there?\Why not? We're just going to watch.\Worried about Wendy, I see.\Even though I was so dead-set against it, she...\Mest.\It happened a week ago...\Hey, Wendy. response:	And you are?
context: Are you sure it's okay for us to follow them there?\Why not? We're just going to watch.\Worried about Wendy, I see.\Even though I was so dead-set against it, she...\Mest.\It happened a week ago...\Hey, Wendy.\And you are? response:	I'm Mest. I was Mystogan's disciple.
context: Why not? We're just going to watch.\Worried about Wendy, I see.\Even though I was so dead-set against it, she...\Mest.\It happened a week ago...\Hey, Wendy.\And you are?\I'm Mest. I was Mystogan's disciple. response:	Mystogan's disciple?!
context: Worried about Wendy, I see.\Even though I was so dead-set against it, she...\Mest.\It happened a week ago...\Hey, Wendy.\And you are?\I'm Mest. I was Mystogan's disciple.\Mystogan's disciple?! response:	I've heard quite a lot about you from Mystogan!
context: Even though I was so dead-set against it, she...\Mest.\It happened a week ago...\Hey, Wendy.\And you are?\I'm Mest. I was Mystogan's disciple.\Mystogan's disciple?!\I've heard quite a lot about you from Mystogan! response:	Um, what are you doing?
context: Mest.\It happened a week ago...\Hey, Wendy.\And you are?\I'm Mest. I was Mystogan's disciple.\Mystogan's disciple?!\I've heard quite a lot about you from Mystogan!\Um, what are you doing? response:	I want to know what the snow tastes like.
context: It happened a week ago...\Hey, Wendy.\And you are?\I'm Mest. I was Mystogan's disciple.\Mystogan's disciple?!\I've heard quite a lot about you from Mystogan!\Um, what are you doing?\I want to know what the snow tastes like. response:	Don't worry about me.
context: Hey, Wendy.\And you are?\I'm Mest. I was Mystogan's disciple.\Mystogan's disciple?!\I've heard quite a lot about you from Mystogan!\Um, what are you doing?\I want to know what the snow tastes like.\Don't worry about me. response:	Okay...
context: And you are?\I'm Mest. I was Mystogan's disciple.\Mystogan's disciple?!\I've heard quite a lot about you from Mystogan!\Um, what are you doing?\I want to know what the snow tastes like.\Don't worry about me.\Okay... response:	What's with this guy?
context: I'm Mest. I was Mystogan's disciple.\Mystogan's disciple?!\I've heard quite a lot about you from Mystogan!\Um, what are you doing?\I want to know what the snow tastes like.\Don't worry about me.\Okay...\What's with this guy? response:	Would you lend me a hand?
context: Mystogan's disciple?!\I've heard quite a lot about you from Mystogan!\Um, what are you doing?\I want to know what the snow tastes like.\Don't worry about me.\Okay...\What's with this guy?\Would you lend me a hand? response:	Is that any attitude to have when asking favors?!
context: I've heard quite a lot about you from Mystogan!\Um, what are you doing?\I want to know what the snow tastes like.\Don't worry about me.\Okay...\What's with this guy?\Would you lend me a hand?\Is that any attitude to have when asking favors?! response:	Apologies... When I want to know something,
context: Um, what are you doing?\I want to know what the snow tastes like.\Don't worry about me.\Okay...\What's with this guy?\Would you lend me a hand?\Is that any attitude to have when asking favors?!\Apologies... When I want to know something, response:	I have a tendency to get obsessed about it.
context: I want to know what the snow tastes like.\Don't worry about me.\Okay...\What's with this guy?\Would you lend me a hand?\Is that any attitude to have when asking favors?!\Apologies... When I want to know something,\I have a tendency to get obsessed about it. response:	Wendy... With your power, I can get to know the world of an S Class wizard.
context: Don't worry about me.\Okay...\What's with this guy?\Would you lend me a hand?\Is that any attitude to have when asking favors?!\Apologies... When I want to know something,\I have a tendency to get obsessed about it.\Wendy... With your power, I can get to know the world of an S Class wizard. response:	Please, lend me your aid.
context: Okay...\What's with this guy?\Would you lend me a hand?\Is that any attitude to have when asking favors?!\Apologies... When I want to know something,\I have a tendency to get obsessed about it.\Wendy... With your power, I can get to know the world of an S Class wizard.\Please, lend me your aid. response:	But, someone like me...
context: What's with this guy?\Would you lend me a hand?\Is that any attitude to have when asking favors?!\Apologies... When I want to know something,\I have a tendency to get obsessed about it.\Wendy... With your power, I can get to know the world of an S Class wizard.\Please, lend me your aid.\But, someone like me... response:	Of course not!
context: Would you lend me a hand?\Is that any attitude to have when asking favors?!\Apologies... When I want to know something,\I have a tendency to get obsessed about it.\Wendy... With your power, I can get to know the world of an S Class wizard.\Please, lend me your aid.\But, someone like me...\Of course not! response:	I want to know.
context: Is that any attitude to have when asking favors?!\Apologies... When I want to know something,\I have a tendency to get obsessed about it.\Wendy... With your power, I can get to know the world of an S Class wizard.\Please, lend me your aid.\But, someone like me...\Of course not!\I want to know. response:	I want to know what the river is like in winter.
context: Apologies... When I want to know something,\I have a tendency to get obsessed about it.\Wendy... With your power, I can get to know the world of an S Class wizard.\Please, lend me your aid.\But, someone like me...\Of course not!\I want to know.\I want to know what the river is like in winter. response:	Don't go along with this weirdo! Absolutely not!
context: I have a tendency to get obsessed about it.\Wendy... With your power, I can get to know the world of an S Class wizard.\Please, lend me your aid.\But, someone like me...\Of course not!\I want to know.\I want to know what the river is like in winter.\Don't go along with this weirdo! Absolutely not! response:	But he doesn't seem like a bad person.
context: Wendy... With your power, I can get to know the world of an S Class wizard.\Please, lend me your aid.\But, someone like me...\Of course not!\I want to know.\I want to know what the river is like in winter.\Don't go along with this weirdo! Absolutely not!\But he doesn't seem like a bad person. response:	Yes, he does!
context: Please, lend me your aid.\But, someone like me...\Of course not!\I want to know.\I want to know what the river is like in winter.\Don't go along with this weirdo! Absolutely not!\But he doesn't seem like a bad person.\Yes, he does! response:	I wasn't able to return all the kindness Mystogan showed me at all...
context: But, someone like me...\Of course not!\I want to know.\I want to know what the river is like in winter.\Don't go along with this weirdo! Absolutely not!\But he doesn't seem like a bad person.\Yes, he does!\I wasn't able to return all the kindness Mystogan showed me at all... response:	You saved Edolas! That's plenty!
context: Of course not!\I want to know.\I want to know what the river is like in winter.\Don't go along with this weirdo! Absolutely not!\But he doesn't seem like a bad person.\Yes, he does!\I wasn't able to return all the kindness Mystogan showed me at all...\You saved Edolas! That's plenty! response:	But that was more just how things turned out...
context: I want to know.\I want to know what the river is like in winter.\Don't go along with this weirdo! Absolutely not!\But he doesn't seem like a bad person.\Yes, he does!\I wasn't able to return all the kindness Mystogan showed me at all...\You saved Edolas! That's plenty!\But that was more just how things turned out... response:	It wasn't about how I felt...
context: I want to know what the river is like in winter.\Don't go along with this weirdo! Absolutely not!\But he doesn't seem like a bad person.\Yes, he does!\I wasn't able to return all the kindness Mystogan showed me at all...\You saved Edolas! That's plenty!\But that was more just how things turned out...\It wasn't about how I felt... response:	Don't! Just don't!
context: Don't go along with this weirdo! Absolutely not!\But he doesn't seem like a bad person.\Yes, he does!\I wasn't able to return all the kindness Mystogan showed me at all...\You saved Edolas! That's plenty!\But that was more just how things turned out...\It wasn't about how I felt...\Don't! Just don't! response:	And in the end, she decided to help Mest in Mystogan's stead.
context: But he doesn't seem like a bad person.\Yes, he does!\I wasn't able to return all the kindness Mystogan showed me at all...\You saved Edolas! That's plenty!\But that was more just how things turned out...\It wasn't about how I felt...\Don't! Just don't!\And in the end, she decided to help Mest in Mystogan's stead. response:	And that's why you haven't spoken this past week.
context: Yes, he does!\I wasn't able to return all the kindness Mystogan showed me at all...\You saved Edolas! That's plenty!\But that was more just how things turned out...\It wasn't about how I felt...\Don't! Just don't!\And in the end, she decided to help Mest in Mystogan's stead.\And that's why you haven't spoken this past week. response:	She's a lot more stubborn than she looks.
context: I wasn't able to return all the kindness Mystogan showed me at all...\You saved Edolas! That's plenty!\But that was more just how things turned out...\It wasn't about how I felt...\Don't! Just don't!\And in the end, she decided to help Mest in Mystogan's stead.\And that's why you haven't spoken this past week.\She's a lot more stubborn than she looks. response:	Same to you.
context: You saved Edolas! That's plenty!\But that was more just how things turned out...\It wasn't about how I felt...\Don't! Just don't!\And in the end, she decided to help Mest in Mystogan's stead.\And that's why you haven't spoken this past week.\She's a lot more stubborn than she looks.\Same to you. response:	I don't care really about this Mest guy.
context: But that was more just how things turned out...\It wasn't about how I felt...\Don't! Just don't!\And in the end, she decided to help Mest in Mystogan's stead.\And that's why you haven't spoken this past week.\She's a lot more stubborn than she looks.\Same to you.\I don't care really about this Mest guy. response:	It's the exam as a whole I have a really bad feeling about.
context: It wasn't about how I felt...\Don't! Just don't!\And in the end, she decided to help Mest in Mystogan's stead.\And that's why you haven't spoken this past week.\She's a lot more stubborn than she looks.\Same to you.\I don't care really about this Mest guy.\It's the exam as a whole I have a really bad feeling about. response:	Your power to see the future, is it?
context: Don't! Just don't!\And in the end, she decided to help Mest in Mystogan's stead.\And that's why you haven't spoken this past week.\She's a lot more stubborn than she looks.\Same to you.\I don't care really about this Mest guy.\It's the exam as a whole I have a really bad feeling about.\Your power to see the future, is it? response:	I'm not sure... It's too fragmented, so I can't say.
context: And in the end, she decided to help Mest in Mystogan's stead.\And that's why you haven't spoken this past week.\She's a lot more stubborn than she looks.\Same to you.\I don't care really about this Mest guy.\It's the exam as a whole I have a really bad feeling about.\Your power to see the future, is it?\I'm not sure... It's too fragmented, so I can't say. response:	I'm curious about this Mest fellow.
context: And that's why you haven't spoken this past week.\She's a lot more stubborn than she looks.\Same to you.\I don't care really about this Mest guy.\It's the exam as a whole I have a really bad feeling about.\Your power to see the future, is it?\I'm not sure... It's too fragmented, so I can't say.\I'm curious about this Mest fellow. response:	Mystogan's disciple... It doesn't sit right.
context: She's a lot more stubborn than she looks.\Same to you.\I don't care really about this Mest guy.\It's the exam as a whole I have a really bad feeling about.\Your power to see the future, is it?\I'm not sure... It's too fragmented, so I can't say.\I'm curious about this Mest fellow.\Mystogan's disciple... It doesn't sit right. response:	I want to know. I want to know your abilities.
context: Same to you.\I don't care really about this Mest guy.\It's the exam as a whole I have a really bad feeling about.\Your power to see the future, is it?\I'm not sure... It's too fragmented, so I can't say.\I'm curious about this Mest fellow.\Mystogan's disciple... It doesn't sit right.\I want to know. I want to know your abilities. response:	Mest-san, they're going to attack!
context: I don't care really about this Mest guy.\It's the exam as a whole I have a really bad feeling about.\Your power to see the future, is it?\I'm not sure... It's too fragmented, so I can't say.\I'm curious about this Mest fellow.\Mystogan's disciple... It doesn't sit right.\I want to know. I want to know your abilities.\Mest-san, they're going to attack! response:	Of all the people, it's Mest and Wendy we get to fight with...
context: It's the exam as a whole I have a really bad feeling about.\Your power to see the future, is it?\I'm not sure... It's too fragmented, so I can't say.\I'm curious about this Mest fellow.\Mystogan's disciple... It doesn't sit right.\I want to know. I want to know your abilities.\Mest-san, they're going to attack!\Of all the people, it's Mest and Wendy we get to fight with... response:	I ain't holding back!
context: Your power to see the future, is it?\I'm not sure... It's too fragmented, so I can't say.\I'm curious about this Mest fellow.\Mystogan's disciple... It doesn't sit right.\I want to know. I want to know your abilities.\Mest-san, they're going to attack!\Of all the people, it's Mest and Wendy we get to fight with...\I ain't holding back! response:	Ice Make... Hammer!
context: I'm not sure... It's too fragmented, so I can't say.\I'm curious about this Mest fellow.\Mystogan's disciple... It doesn't sit right.\I want to know. I want to know your abilities.\Mest-san, they're going to attack!\Of all the people, it's Mest and Wendy we get to fight with...\I ain't holding back!\Ice Make... Hammer! response:	When did he...
context: I'm curious about this Mest fellow.\Mystogan's disciple... It doesn't sit right.\I want to know. I want to know your abilities.\Mest-san, they're going to attack!\Of all the people, it's Mest and Wendy we get to fight with...\I ain't holding back!\Ice Make... Hammer!\When did he... response:	Power... Power of the heavens!
context: Mystogan's disciple... It doesn't sit right.\I want to know. I want to know your abilities.\Mest-san, they're going to attack!\Of all the people, it's Mest and Wendy we get to fight with...\I ain't holding back!\Ice Make... Hammer!\When did he...\Power... Power of the heavens! response:	Roar of the Sky Dragon!
context: I want to know. I want to know your abilities.\Mest-san, they're going to attack!\Of all the people, it's Mest and Wendy we get to fight with...\I ain't holding back!\Ice Make... Hammer!\When did he...\Power... Power of the heavens!\Roar of the Sky Dragon! response:	Regulus, grant me the power!
context: Mest-san, they're going to attack!\Of all the people, it's Mest and Wendy we get to fight with...\I ain't holding back!\Ice Make... Hammer!\When did he...\Power... Power of the heavens!\Roar of the Sky Dragon!\Regulus, grant me the power! response:	That's some force, all right...
context: Of all the people, it's Mest and Wendy we get to fight with...\I ain't holding back!\Ice Make... Hammer!\When did he...\Power... Power of the heavens!\Roar of the Sky Dragon!\Regulus, grant me the power!\That's some force, all right... response:	Ice Make Floor!
context: I ain't holding back!\Ice Make... Hammer!\When did he...\Power... Power of the heavens!\Roar of the Sky Dragon!\Regulus, grant me the power!\That's some force, all right...\Ice Make Floor! response:	All that's left is Wendy!
context: Ice Make... Hammer!\When did he...\Power... Power of the heavens!\Roar of the Sky Dragon!\Regulus, grant me the power!\That's some force, all right...\Ice Make Floor!\All that's left is Wendy! response:	I ain't gonna hold back, either!
context: When did he...\Power... Power of the heavens!\Roar of the Sky Dragon!\Regulus, grant me the power!\That's some force, all right...\Ice Make Floor!\All that's left is Wendy!\I ain't gonna hold back, either! response:	Just Eating Pickled Plums!
context: Power... Power of the heavens!\Roar of the Sky Dragon!\Regulus, grant me the power!\That's some force, all right...\Ice Make Floor!\All that's left is Wendy!\I ain't gonna hold back, either!\Just Eating Pickled Plums! response:	I'm not even eating them, but just watching makes my mouth pucker up!
