context: Just a little while longer, my lady. response:	My lady, be strong. Your child will be here any minute now.
context: Just a little while longer, my lady.\My lady, be strong. Your child will be here any minute now. response:	HALL OF HELL
context: Just a little while longer, my lady.\My lady, be strong. Your child will be here any minute now.\HALL OF HELL response:	Sir Daigo?
context: Just a little while longer, my lady.\My lady, be strong. Your child will be here any minute now.\HALL OF HELL\Sir Daigo? response:	One who steps into this Hall of Hell has made a choice.
context: Just a little while longer, my lady.\My lady, be strong. Your child will be here any minute now.\HALL OF HELL\Sir Daigo?\One who steps into this Hall of Hell has made a choice. response:	To cast off Buddha and the gods in favor of the demons.
context: Just a little while longer, my lady.\My lady, be strong. Your child will be here any minute now.\HALL OF HELL\Sir Daigo?\One who steps into this Hall of Hell has made a choice.\To cast off Buddha and the gods in favor of the demons. response:	I see it is futile to try and stop you.
context: Just a little while longer, my lady.\My lady, be strong. Your child will be here any minute now.\HALL OF HELL\Sir Daigo?\One who steps into this Hall of Hell has made a choice.\To cast off Buddha and the gods in favor of the demons.\I see it is futile to try and stop you. response:	But hear me one last time.
context: Just a little while longer, my lady.\My lady, be strong. Your child will be here any minute now.\HALL OF HELL\Sir Daigo?\One who steps into this Hall of Hell has made a choice.\To cast off Buddha and the gods in favor of the demons.\I see it is futile to try and stop you.\But hear me one last time. response:	Sir Daigo.
context: My lady, be strong. Your child will be here any minute now.\HALL OF HELL\Sir Daigo?\One who steps into this Hall of Hell has made a choice.\To cast off Buddha and the gods in favor of the demons.\I see it is futile to try and stop you.\But hear me one last time.\Sir Daigo. response:	To cast off Buddha is to tread the path of evil.
context: HALL OF HELL\Sir Daigo?\One who steps into this Hall of Hell has made a choice.\To cast off Buddha and the gods in favor of the demons.\I see it is futile to try and stop you.\But hear me one last time.\Sir Daigo.\To cast off Buddha is to tread the path of evil. response:	It is to no longer be human.
context: Sir Daigo?\One who steps into this Hall of Hell has made a choice.\To cast off Buddha and the gods in favor of the demons.\I see it is futile to try and stop you.\But hear me one last time.\Sir Daigo.\To cast off Buddha is to tread the path of evil.\It is to no longer be human. response:	If you cross this line, hell will surely await you.
context: One who steps into this Hall of Hell has made a choice.\To cast off Buddha and the gods in favor of the demons.\I see it is futile to try and stop you.\But hear me one last time.\Sir Daigo.\To cast off Buddha is to tread the path of evil.\It is to no longer be human.\If you cross this line, hell will surely await you. response:	Priest, we are already living in hell.
context: To cast off Buddha and the gods in favor of the demons.\I see it is futile to try and stop you.\But hear me one last time.\Sir Daigo.\To cast off Buddha is to tread the path of evil.\It is to no longer be human.\If you cross this line, hell will surely await you.\Priest, we are already living in hell. response:	The holy path to Buddha you pray for exists nowhere.
context: I see it is futile to try and stop you.\But hear me one last time.\Sir Daigo.\To cast off Buddha is to tread the path of evil.\It is to no longer be human.\If you cross this line, hell will surely await you.\Priest, we are already living in hell.\The holy path to Buddha you pray for exists nowhere. response:	You will pay the consequences.
context: But hear me one last time.\Sir Daigo.\To cast off Buddha is to tread the path of evil.\It is to no longer be human.\If you cross this line, hell will surely await you.\Priest, we are already living in hell.\The holy path to Buddha you pray for exists nowhere.\You will pay the consequences. response:	I care not.
context: Sir Daigo.\To cast off Buddha is to tread the path of evil.\It is to no longer be human.\If you cross this line, hell will surely await you.\Priest, we are already living in hell.\The holy path to Buddha you pray for exists nowhere.\You will pay the consequences.\I care not. response:	I thank you, Sir.
context: To cast off Buddha is to tread the path of evil.\It is to no longer be human.\If you cross this line, hell will surely await you.\Priest, we are already living in hell.\The holy path to Buddha you pray for exists nowhere.\You will pay the consequences.\I care not.\I thank you, Sir. response:	This will be my salvation.
context: It is to no longer be human.\If you cross this line, hell will surely await you.\Priest, we are already living in hell.\The holy path to Buddha you pray for exists nowhere.\You will pay the consequences.\I care not.\I thank you, Sir.\This will be my salvation. response:	This world is indeed hell, just as you said.
context: If you cross this line, hell will surely await you.\Priest, we are already living in hell.\The holy path to Buddha you pray for exists nowhere.\You will pay the consequences.\I care not.\I thank you, Sir.\This will be my salvation.\This world is indeed hell, just as you said. response:	The prayers I offered seemed more and more pointless.
context: Priest, we are already living in hell.\The holy path to Buddha you pray for exists nowhere.\You will pay the consequences.\I care not.\I thank you, Sir.\This will be my salvation.\This world is indeed hell, just as you said.\The prayers I offered seemed more and more pointless. response:	I always feared that some day I would begin to doubt Buddha.
context: The holy path to Buddha you pray for exists nowhere.\You will pay the consequences.\I care not.\I thank you, Sir.\This will be my salvation.\This world is indeed hell, just as you said.\The prayers I offered seemed more and more pointless.\I always feared that some day I would begin to doubt Buddha. response:	I am glad to die before that day comes.
context: You will pay the consequences.\I care not.\I thank you, Sir.\This will be my salvation.\This world is indeed hell, just as you said.\The prayers I offered seemed more and more pointless.\I always feared that some day I would begin to doubt Buddha.\I am glad to die before that day comes. response:	Sir Daigo, please stay away from the demons.
context: I care not.\I thank you, Sir.\This will be my salvation.\This world is indeed hell, just as you said.\The prayers I offered seemed more and more pointless.\I always feared that some day I would begin to doubt Buddha.\I am glad to die before that day comes.\Sir Daigo, please stay away from the demons. response:	Do not let yourself succumb to evil.
context: I thank you, Sir.\This will be my salvation.\This world is indeed hell, just as you said.\The prayers I offered seemed more and more pointless.\I always feared that some day I would begin to doubt Buddha.\I am glad to die before that day comes.\Sir Daigo, please stay away from the demons.\Do not let yourself succumb to evil. response:	It's too late for that.
context: This will be my salvation.\This world is indeed hell, just as you said.\The prayers I offered seemed more and more pointless.\I always feared that some day I would begin to doubt Buddha.\I am glad to die before that day comes.\Sir Daigo, please stay away from the demons.\Do not let yourself succumb to evil.\It's too late for that. response:	12 Demons, I am Daigo Kagemitsu.
context: This world is indeed hell, just as you said.\The prayers I offered seemed more and more pointless.\I always feared that some day I would begin to doubt Buddha.\I am glad to die before that day comes.\Sir Daigo, please stay away from the demons.\Do not let yourself succumb to evil.\It's too late for that.\12 Demons, I am Daigo Kagemitsu. response:	Lord of Ishikawa,
context: The prayers I offered seemed more and more pointless.\I always feared that some day I would begin to doubt Buddha.\I am glad to die before that day comes.\Sir Daigo, please stay away from the demons.\Do not let yourself succumb to evil.\It's too late for that.\12 Demons, I am Daigo Kagemitsu.\Lord of Ishikawa, response:	and vassal to the governor of Kaga Province.
context: I always feared that some day I would begin to doubt Buddha.\I am glad to die before that day comes.\Sir Daigo, please stay away from the demons.\Do not let yourself succumb to evil.\It's too late for that.\12 Demons, I am Daigo Kagemitsu.\Lord of Ishikawa,\and vassal to the governor of Kaga Province. response:	Repeated famines and epidemics have swept my land,
context: I am glad to die before that day comes.\Sir Daigo, please stay away from the demons.\Do not let yourself succumb to evil.\It's too late for that.\12 Demons, I am Daigo Kagemitsu.\Lord of Ishikawa,\and vassal to the governor of Kaga Province.\Repeated famines and epidemics have swept my land, response:	enfeebling my people to the point of death.
context: Sir Daigo, please stay away from the demons.\Do not let yourself succumb to evil.\It's too late for that.\12 Demons, I am Daigo Kagemitsu.\Lord of Ishikawa,\and vassal to the governor of Kaga Province.\Repeated famines and epidemics have swept my land,\enfeebling my people to the point of death. response:	As things stand, I shall never attain the power and renown I crave.
context: Do not let yourself succumb to evil.\It's too late for that.\12 Demons, I am Daigo Kagemitsu.\Lord of Ishikawa,\and vassal to the governor of Kaga Province.\Repeated famines and epidemics have swept my land,\enfeebling my people to the point of death.\As things stand, I shall never attain the power and renown I crave. response:	My ambitions will remain a mere dream.
context: It's too late for that.\12 Demons, I am Daigo Kagemitsu.\Lord of Ishikawa,\and vassal to the governor of Kaga Province.\Repeated famines and epidemics have swept my land,\enfeebling my people to the point of death.\As things stand, I shall never attain the power and renown I crave.\My ambitions will remain a mere dream. response:	But I refuse to rely on the mercy of Buddha or the gods.
context: 12 Demons, I am Daigo Kagemitsu.\Lord of Ishikawa,\and vassal to the governor of Kaga Province.\Repeated famines and epidemics have swept my land,\enfeebling my people to the point of death.\As things stand, I shall never attain the power and renown I crave.\My ambitions will remain a mere dream.\But I refuse to rely on the mercy of Buddha or the gods. response:	What I am about to say to you is not a prayer.
context: Lord of Ishikawa,\and vassal to the governor of Kaga Province.\Repeated famines and epidemics have swept my land,\enfeebling my people to the point of death.\As things stand, I shall never attain the power and renown I crave.\My ambitions will remain a mere dream.\But I refuse to rely on the mercy of Buddha or the gods.\What I am about to say to you is not a prayer. response:	I came to make a deal.
context: and vassal to the governor of Kaga Province.\Repeated famines and epidemics have swept my land,\enfeebling my people to the point of death.\As things stand, I shall never attain the power and renown I crave.\My ambitions will remain a mere dream.\But I refuse to rely on the mercy of Buddha or the gods.\What I am about to say to you is not a prayer.\I came to make a deal. response:	If you'll protect my land and let me rule the country,
context: Repeated famines and epidemics have swept my land,\enfeebling my people to the point of death.\As things stand, I shall never attain the power and renown I crave.\My ambitions will remain a mere dream.\But I refuse to rely on the mercy of Buddha or the gods.\What I am about to say to you is not a prayer.\I came to make a deal.\If you'll protect my land and let me rule the country, response:	I will give you anything of mine.
context: enfeebling my people to the point of death.\As things stand, I shall never attain the power and renown I crave.\My ambitions will remain a mere dream.\But I refuse to rely on the mercy of Buddha or the gods.\What I am about to say to you is not a prayer.\I came to make a deal.\If you'll protect my land and let me rule the country,\I will give you anything of mine. response:	Anything. Take whatever you wish.
context: As things stand, I shall never attain the power and renown I crave.\My ambitions will remain a mere dream.\But I refuse to rely on the mercy of Buddha or the gods.\What I am about to say to you is not a prayer.\I came to make a deal.\If you'll protect my land and let me rule the country,\I will give you anything of mine.\Anything. Take whatever you wish. response:	Do you hear me!
context: My ambitions will remain a mere dream.\But I refuse to rely on the mercy of Buddha or the gods.\What I am about to say to you is not a prayer.\I came to make a deal.\If you'll protect my land and let me rule the country,\I will give you anything of mine.\Anything. Take whatever you wish.\Do you hear me! response:	My lady, just a bit more.
context: But I refuse to rely on the mercy of Buddha or the gods.\What I am about to say to you is not a prayer.\I came to make a deal.\If you'll protect my land and let me rule the country,\I will give you anything of mine.\Anything. Take whatever you wish.\Do you hear me!\My lady, just a bit more. response:	Goddess of Mercy, please protect me...
context: What I am about to say to you is not a prayer.\I came to make a deal.\If you'll protect my land and let me rule the country,\I will give you anything of mine.\Anything. Take whatever you wish.\Do you hear me!\My lady, just a bit more.\Goddess of Mercy, please protect me... response:	He is born!
context: I came to make a deal.\If you'll protect my land and let me rule the country,\I will give you anything of mine.\Anything. Take whatever you wish.\Do you hear me!\My lady, just a bit more.\Goddess of Mercy, please protect me...\He is born! response:	What is it?
context: If you'll protect my land and let me rule the country,\I will give you anything of mine.\Anything. Take whatever you wish.\Do you hear me!\My lady, just a bit more.\Goddess of Mercy, please protect me...\He is born!\What is it? response:	My lord.
context: I will give you anything of mine.\Anything. Take whatever you wish.\Do you hear me!\My lady, just a bit more.\Goddess of Mercy, please protect me...\He is born!\What is it?\My lord. response:	Is the baby born?
context: Anything. Take whatever you wish.\Do you hear me!\My lady, just a bit more.\Goddess of Mercy, please protect me...\He is born!\What is it?\My lord.\Is the baby born? response:	-Yes, but... -What? Say it.
context: Do you hear me!\My lady, just a bit more.\Goddess of Mercy, please protect me...\He is born!\What is it?\My lord.\Is the baby born?\-Yes, but... -What? Say it. response:	He is born, my lord.
context: My lady, just a bit more.\Goddess of Mercy, please protect me...\He is born!\What is it?\My lord.\Is the baby born?\-Yes, but... -What? Say it.\He is born, my lord. response:	He is your son.
context: Goddess of Mercy, please protect me...\He is born!\What is it?\My lord.\Is the baby born?\-Yes, but... -What? Say it.\He is born, my lord.\He is your son. response:	-My lady... -An heir, you've done well!
context: He is born!\What is it?\My lord.\Is the baby born?\-Yes, but... -What? Say it.\He is born, my lord.\He is your son.\-My lady... -An heir, you've done well! response:	Sir, no...!
context: What is it?\My lord.\Is the baby born?\-Yes, but... -What? Say it.\He is born, my lord.\He is your son.\-My lady... -An heir, you've done well!\Sir, no...! response:	I do not know what happened.
context: My lord.\Is the baby born?\-Yes, but... -What? Say it.\He is born, my lord.\He is your son.\-My lady... -An heir, you've done well!\Sir, no...!\I do not know what happened. response:	He is alive, but has no limbs, eyes, nor a nose.
context: Is the baby born?\-Yes, but... -What? Say it.\He is born, my lord.\He is your son.\-My lady... -An heir, you've done well!\Sir, no...!\I do not know what happened.\He is alive, but has no limbs, eyes, nor a nose. response:	He doesn't even have any skin.
context: -Yes, but... -What? Say it.\He is born, my lord.\He is your son.\-My lady... -An heir, you've done well!\Sir, no...!\I do not know what happened.\He is alive, but has no limbs, eyes, nor a nose.\He doesn't even have any skin. response:	I will give you anything of mine.
context: He is born, my lord.\He is your son.\-My lady... -An heir, you've done well!\Sir, no...!\I do not know what happened.\He is alive, but has no limbs, eyes, nor a nose.\He doesn't even have any skin.\I will give you anything of mine. response:	Anything. Take whatever you wish.
context: He is your son.\-My lady... -An heir, you've done well!\Sir, no...!\I do not know what happened.\He is alive, but has no limbs, eyes, nor a nose.\He doesn't even have any skin.\I will give you anything of mine.\Anything. Take whatever you wish. response:	My lord, I feel a deep love for this woeful child of ours.
context: -My lady... -An heir, you've done well!\Sir, no...!\I do not know what happened.\He is alive, but has no limbs, eyes, nor a nose.\He doesn't even have any skin.\I will give you anything of mine.\Anything. Take whatever you wish.\My lord, I feel a deep love for this woeful child of ours. response:	No matter his appearance, he is our son.
