context: Nanami-sama and the chief, response:	and the serious battle between the Princess and Rebecca-sama!
context: Nanami-sama and the chief,\and the serious battle between the Princess and Rebecca-sama! response:	There were countless exciting things,
context: Nanami-sama and the chief,\and the serious battle between the Princess and Rebecca-sama!\There were countless exciting things, response:	like plenty of fanshots,
context: Nanami-sama and the chief,\and the serious battle between the Princess and Rebecca-sama!\There were countless exciting things,\like plenty of fanshots, response:	the appearance of Hero Mask, and so on.
context: Nanami-sama and the chief,\and the serious battle between the Princess and Rebecca-sama!\There were countless exciting things,\like plenty of fanshots,\the appearance of Hero Mask, and so on. response:	So what was the result after that kind
context: Nanami-sama and the chief,\and the serious battle between the Princess and Rebecca-sama!\There were countless exciting things,\like plenty of fanshots,\the appearance of Hero Mask, and so on.\So what was the result after that kind response:	of opening day of Union Fest?
context: Nanami-sama and the chief,\and the serious battle between the Princess and Rebecca-sama!\There were countless exciting things,\like plenty of fanshots,\the appearance of Hero Mask, and so on.\So what was the result after that kind\of opening day of Union Fest? response:	Change My Heart
context: Nanami-sama and the chief,\and the serious battle between the Princess and Rebecca-sama!\There were countless exciting things,\like plenty of fanshots,\the appearance of Hero Mask, and so on.\So what was the result after that kind\of opening day of Union Fest?\Change My Heart response:	The opening battle of the Union Fest is over!
context: and the serious battle between the Princess and Rebecca-sama!\There were countless exciting things,\like plenty of fanshots,\the appearance of Hero Mask, and so on.\So what was the result after that kind\of opening day of Union Fest?\Change My Heart\The opening battle of the Union Fest is over! response:	We will now announce the battle results on the stage!
context: There were countless exciting things,\like plenty of fanshots,\the appearance of Hero Mask, and so on.\So what was the result after that kind\of opening day of Union Fest?\Change My Heart\The opening battle of the Union Fest is over!\We will now announce the battle results on the stage! response:	This is quite unexpected,
context: like plenty of fanshots,\the appearance of Hero Mask, and so on.\So what was the result after that kind\of opening day of Union Fest?\Change My Heart\The opening battle of the Union Fest is over!\We will now announce the battle results on the stage!\This is quite unexpected, response:	but the Principality of Pastillage is in first place!
context: the appearance of Hero Mask, and so on.\So what was the result after that kind\of opening day of Union Fest?\Change My Heart\The opening battle of the Union Fest is over!\We will now announce the battle results on the stage!\This is quite unexpected,\but the Principality of Pastillage is in first place! response:	They were slightly behind in the beginning,
context: So what was the result after that kind\of opening day of Union Fest?\Change My Heart\The opening battle of the Union Fest is over!\We will now announce the battle results on the stage!\This is quite unexpected,\but the Principality of Pastillage is in first place!\They were slightly behind in the beginning, response:	but started to catch up at an incredible pace in the second half.
context: of opening day of Union Fest?\Change My Heart\The opening battle of the Union Fest is over!\We will now announce the battle results on the stage!\This is quite unexpected,\but the Principality of Pastillage is in first place!\They were slightly behind in the beginning,\but started to catch up at an incredible pace in the second half. response:	In the end, they pulled through and caused an upset!
context: Change My Heart\The opening battle of the Union Fest is over!\We will now announce the battle results on the stage!\This is quite unexpected,\but the Principality of Pastillage is in first place!\They were slightly behind in the beginning,\but started to catch up at an incredible pace in the second half.\In the end, they pulled through and caused an upset! response:	Couverte-sama, what would you say lead to your victory this time?
context: The opening battle of the Union Fest is over!\We will now announce the battle results on the stage!\This is quite unexpected,\but the Principality of Pastillage is in first place!\They were slightly behind in the beginning,\but started to catch up at an incredible pace in the second half.\In the end, they pulled through and caused an upset!\Couverte-sama, what would you say lead to your victory this time? response:	Well, of course all of our people did their very best,
context: We will now announce the battle results on the stage!\This is quite unexpected,\but the Principality of Pastillage is in first place!\They were slightly behind in the beginning,\but started to catch up at an incredible pace in the second half.\In the end, they pulled through and caused an upset!\Couverte-sama, what would you say lead to your victory this time?\Well, of course all of our people did their very best, response:	but it might have been that person over there.
context: This is quite unexpected,\but the Principality of Pastillage is in first place!\They were slightly behind in the beginning,\but started to catch up at an incredible pace in the second half.\In the end, they pulled through and caused an upset!\Couverte-sama, what would you say lead to your victory this time?\Well, of course all of our people did their very best,\but it might have been that person over there. response:	People of Pastillage, I am here to aid you,
context: but the Principality of Pastillage is in first place!\They were slightly behind in the beginning,\but started to catch up at an incredible pace in the second half.\In the end, they pulled through and caused an upset!\Couverte-sama, what would you say lead to your victory this time?\Well, of course all of our people did their very best,\but it might have been that person over there.\People of Pastillage, I am here to aid you, response:	the undefeatable Hero Mask!
context: They were slightly behind in the beginning,\but started to catch up at an incredible pace in the second half.\In the end, they pulled through and caused an upset!\Couverte-sama, what would you say lead to your victory this time?\Well, of course all of our people did their very best,\but it might have been that person over there.\People of Pastillage, I am here to aid you,\the undefeatable Hero Mask! response:	Did Adel-sama stop caring about hiding her face?
context: but started to catch up at an incredible pace in the second half.\In the end, they pulled through and caused an upset!\Couverte-sama, what would you say lead to your victory this time?\Well, of course all of our people did their very best,\but it might have been that person over there.\People of Pastillage, I am here to aid you,\the undefeatable Hero Mask!\Did Adel-sama stop caring about hiding her face? response:	Looks like she's really let herself go.
context: In the end, they pulled through and caused an upset!\Couverte-sama, what would you say lead to your victory this time?\Well, of course all of our people did their very best,\but it might have been that person over there.\People of Pastillage, I am here to aid you,\the undefeatable Hero Mask!\Did Adel-sama stop caring about hiding her face?\Looks like she's really let herself go. response:	Hero Mask!
context: Couverte-sama, what would you say lead to your victory this time?\Well, of course all of our people did their very best,\but it might have been that person over there.\People of Pastillage, I am here to aid you,\the undefeatable Hero Mask!\Did Adel-sama stop caring about hiding her face?\Looks like she's really let herself go.\Hero Mask! response:	Next time you'll have to face me, too!
context: Well, of course all of our people did their very best,\but it might have been that person over there.\People of Pastillage, I am here to aid you,\the undefeatable Hero Mask!\Did Adel-sama stop caring about hiding her face?\Looks like she's really let herself go.\Hero Mask!\Next time you'll have to face me, too! response:	Me, too!
context: but it might have been that person over there.\People of Pastillage, I am here to aid you,\the undefeatable Hero Mask!\Did Adel-sama stop caring about hiding her face?\Looks like she's really let herself go.\Hero Mask!\Next time you'll have to face me, too!\Me, too! response:	Very well, Leonmichelli and Nanami,
