context: Oops! response:	Isn't this...?
context: Oops!\Isn't this...? response:	You there, Rikka?
context: Oops!\Isn't this...?\You there, Rikka? response:	I am.
context: Oops!\Isn't this...?\You there, Rikka?\I am. response:	Can I come in?
context: Oops!\Isn't this...?\You there, Rikka?\I am.\Can I come in? response:	Yes.
context: Oops!\Isn't this...?\You there, Rikka?\I am.\Can I come in?\Yes. response:	Sorry. I heard a noise, so I thought you went out again.
context: Oops!\Isn't this...?\You there, Rikka?\I am.\Can I come in?\Yes.\Sorry. I heard a noise, so I thought you went out again. response:	The air is thick and heavy. Danger.
context: Oops!\Isn't this...?\You there, Rikka?\I am.\Can I come in?\Yes.\Sorry. I heard a noise, so I thought you went out again.\The air is thick and heavy. Danger. response:	Defense turn.
context: Isn't this...?\You there, Rikka?\I am.\Can I come in?\Yes.\Sorry. I heard a noise, so I thought you went out again.\The air is thick and heavy. Danger.\Defense turn. response:	I don't know what's wrong, but go to sleep.
context: You there, Rikka?\I am.\Can I come in?\Yes.\Sorry. I heard a noise, so I thought you went out again.\The air is thick and heavy. Danger.\Defense turn.\I don't know what's wrong, but go to sleep. response:	We have to be up early.
context: I am.\Can I come in?\Yes.\Sorry. I heard a noise, so I thought you went out again.\The air is thick and heavy. Danger.\Defense turn.\I don't know what's wrong, but go to sleep.\We have to be up early. response:	At that time, I was still completely unaware.
context: Can I come in?\Yes.\Sorry. I heard a noise, so I thought you went out again.\The air is thick and heavy. Danger.\Defense turn.\I don't know what's wrong, but go to sleep.\We have to be up early.\At that time, I was still completely unaware. response:	I was unaware that Rikka was on the verge of losing her power.
context: Yes.\Sorry. I heard a noise, so I thought you went out again.\The air is thick and heavy. Danger.\Defense turn.\I don't know what's wrong, but go to sleep.\We have to be up early.\At that time, I was still completely unaware.\I was unaware that Rikka was on the verge of losing her power. response:	SUN BLOCK
context: Sorry. I heard a noise, so I thought you went out again.\The air is thick and heavy. Danger.\Defense turn.\I don't know what's wrong, but go to sleep.\We have to be up early.\At that time, I was still completely unaware.\I was unaware that Rikka was on the verge of losing her power.\SUN BLOCK response:	Schwing! This year I have put up a barrier...
context: The air is thick and heavy. Danger.\Defense turn.\I don't know what's wrong, but go to sleep.\We have to be up early.\At that time, I was still completely unaware.\I was unaware that Rikka was on the verge of losing her power.\SUN BLOCK\Schwing! This year I have put up a barrier... response:	What happened last year will be repeated!
context: Defense turn.\I don't know what's wrong, but go to sleep.\We have to be up early.\At that time, I was still completely unaware.\I was unaware that Rikka was on the verge of losing her power.\SUN BLOCK\Schwing! This year I have put up a barrier...\What happened last year will be repeated! response:	EPISODE IX Resort - Last Resort
context: I don't know what's wrong, but go to sleep.\We have to be up early.\At that time, I was still completely unaware.\I was unaware that Rikka was on the verge of losing her power.\SUN BLOCK\Schwing! This year I have put up a barrier...\What happened last year will be repeated!\EPISODE IX Resort - Last Resort response:	This place sure is crowded.
