context: Mizuhara Chizuru is just a rental girlfriend. response:	A fake one who won't last,
context: Mizuhara Chizuru is just a rental girlfriend.\A fake one who won't last, response:	and one you're not allowed to really fall for.
context: Mizuhara Chizuru is just a rental girlfriend.\A fake one who won't last,\and one you're not allowed to really fall for. response:	But... But I...
context: Mizuhara Chizuru is just a rental girlfriend.\A fake one who won't last,\and one you're not allowed to really fall for.\But... But I... response:	Mizuhara!
context: Mizuhara Chizuru is just a rental girlfriend.\A fake one who won't last,\and one you're not allowed to really fall for.\But... But I...\Mizuhara! response:	Now
context: Mizuhara Chizuru is just a rental girlfriend.\A fake one who won't last,\and one you're not allowed to really fall for.\But... But I...\Mizuhara!\Now response:	You have a new message.
context: Mizuhara Chizuru is just a rental girlfriend.\A fake one who won't last,\and one you're not allowed to really fall for.\But... But I...\Mizuhara!\Now\You have a new message. response:	Where are you?
context: Mizuhara Chizuru is just a rental girlfriend.\A fake one who won't last,\and one you're not allowed to really fall for.\But... But I...\Mizuhara!\Now\You have a new message.\Where are you? response:	Mizuhara
context: A fake one who won't last,\and one you're not allowed to really fall for.\But... But I...\Mizuhara!\Now\You have a new message.\Where are you?\Mizuhara response:	You're late
context: and one you're not allowed to really fall for.\But... But I...\Mizuhara!\Now\You have a new message.\Where are you?\Mizuhara\You're late response:	I'm waiting for you
context: But... But I...\Mizuhara!\Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you response:	Mizuhara
context: Mizuhara!\Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara response:	When hwill hhyou hhhget hhhhhere hhhhh?
context: Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh? response:	Mizuhara
context: You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara response:	When hwill hhyou hhhget hhhhhere hhhhh?
context: Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh? response:	If you don't hurry up
context: Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up response:	Mizuhara
context: You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara response:	I'll charge you for an extension
context: I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\I'll charge you for an extension response:	Numa
context: Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\I'll charge you for an extension\Numa response:	Who does that girl think she is? A romcom heroine?
context: When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine? response:	Numa
context: Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa response:	And that stupid virgin's pissing hme off, too!
context: When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too! response:	Numa
context: If you don't hurry up\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa response:	Not like they'll last more than three months, anyway
context: Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway response:	It's not real
context: I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real response:	Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes
context: Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes response:	Where am I?
context: Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Where am I? response:	Oh, right. I fell off the ferry...
context: Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Where am I?\Oh, right. I fell off the ferry... response:	Mizuhara!
context: And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Where am I?\Oh, right. I fell off the ferry...\Mizuhara! response:	He jumped in to save me?
context: Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Where am I?\Oh, right. I fell off the ferry...\Mizuhara!\He jumped in to save me? response:	This keeps getting worse!
context: Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Where am I?\Oh, right. I fell off the ferry...\Mizuhara!\He jumped in to save me?\This keeps getting worse! response:	Not only can I not take care of myself, I even put my client in danger!
context: It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Where am I?\Oh, right. I fell off the ferry...\Mizuhara!\He jumped in to save me?\This keeps getting worse!\Not only can I not take care of myself, I even put my client in danger! response:	Hey, are you okay?
context: Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Where am I?\Oh, right. I fell off the ferry...\Mizuhara!\He jumped in to save me?\This keeps getting worse!\Not only can I not take care of myself, I even put my client in danger!\Hey, are you okay? response:	Huh?
context: Where am I?\Oh, right. I fell off the ferry...\Mizuhara!\He jumped in to save me?\This keeps getting worse!\Not only can I not take care of myself, I even put my client in danger!\Hey, are you okay?\Huh? response:	Hey, wake up!
context: Oh, right. I fell off the ferry...\Mizuhara!\He jumped in to save me?\This keeps getting worse!\Not only can I not take care of myself, I even put my client in danger!\Hey, are you okay?\Huh?\Hey, wake up! response:	You're kidding, right?! Come on!
