context: Get your moccoletti! How'bout a moccoletto! response:	Act 1: At Journey's End, We Meet
context: Get your moccoletti! How'bout a moccoletto!\Act 1: At Journey's End, We Meet response:	Franz!
context: Get your moccoletti! How'bout a moccoletto!\Act 1: At Journey's End, We Meet\Franz! response:	Franz!
context: Get your moccoletti! How'bout a moccoletto!\Act 1: At Journey's End, We Meet\Franz!\Franz! response:	Why, hello, Marquise!
context: Get your moccoletti! How'bout a moccoletto!\Act 1: At Journey's End, We Meet\Franz!\Franz!\Why, hello, Marquise! response:	When did you arrive on Luna?
context: Get your moccoletti! How'bout a moccoletto!\Act 1: At Journey's End, We Meet\Franz!\Franz!\Why, hello, Marquise!\When did you arrive on Luna? response:	I made a loop around the inner planets. I arrived only yesterday.
context: Get your moccoletti! How'bout a moccoletto!\Act 1: At Journey's End, We Meet\Franz!\Franz!\Why, hello, Marquise!\When did you arrive on Luna?\I made a loop around the inner planets. I arrived only yesterday. response:	I see. You arrived just in time to catch the end of Carnival.
context: Get your moccoletti! How'bout a moccoletto!\Act 1: At Journey's End, We Meet\Franz!\Franz!\Why, hello, Marquise!\When did you arrive on Luna?\I made a loop around the inner planets. I arrived only yesterday.\I see. You arrived just in time to catch the end of Carnival. response:	And by the way... Who is this?
context: Act 1: At Journey's End, We Meet\Franz!\Franz!\Why, hello, Marquise!\When did you arrive on Luna?\I made a loop around the inner planets. I arrived only yesterday.\I see. You arrived just in time to catch the end of Carnival.\And by the way... Who is this? response:	Ma'am!
context: Franz!\Franz!\Why, hello, Marquise!\When did you arrive on Luna?\I made a loop around the inner planets. I arrived only yesterday.\I see. You arrived just in time to catch the end of Carnival.\And by the way... Who is this?\Ma'am! response:	My traveling companion, as well as my best friend.
context: Franz!\Why, hello, Marquise!\When did you arrive on Luna?\I made a loop around the inner planets. I arrived only yesterday.\I see. You arrived just in time to catch the end of Carnival.\And by the way... Who is this?\Ma'am!\My traveling companion, as well as my best friend. response:	Viscount Albert de Morcerf.
context: Why, hello, Marquise!\When did you arrive on Luna?\I made a loop around the inner planets. I arrived only yesterday.\I see. You arrived just in time to catch the end of Carnival.\And by the way... Who is this?\Ma'am!\My traveling companion, as well as my best friend.\Viscount Albert de Morcerf. response:	I am pleased to make your acquaintance, Madame.
context: When did you arrive on Luna?\I made a loop around the inner planets. I arrived only yesterday.\I see. You arrived just in time to catch the end of Carnival.\And by the way... Who is this?\Ma'am!\My traveling companion, as well as my best friend.\Viscount Albert de Morcerf.\I am pleased to make your acquaintance, Madame. response:	My... You're the son of General Morcerf.
context: I made a loop around the inner planets. I arrived only yesterday.\I see. You arrived just in time to catch the end of Carnival.\And by the way... Who is this?\Ma'am!\My traveling companion, as well as my best friend.\Viscount Albert de Morcerf.\I am pleased to make your acquaintance, Madame.\My... You're the son of General Morcerf. response:	Well, well...
context: I see. You arrived just in time to catch the end of Carnival.\And by the way... Who is this?\Ma'am!\My traveling companion, as well as my best friend.\Viscount Albert de Morcerf.\I am pleased to make your acquaintance, Madame.\My... You're the son of General Morcerf.\Well, well... response:	Is this your first time on Luna? I suggest you enjoy yourself, then.
context: And by the way... Who is this?\Ma'am!\My traveling companion, as well as my best friend.\Viscount Albert de Morcerf.\I am pleased to make your acquaintance, Madame.\My... You're the son of General Morcerf.\Well, well...\Is this your first time on Luna? I suggest you enjoy yourself, then. response:	This is a city where all your desires can be fulfilled, no matter what they may be.
context: Ma'am!\My traveling companion, as well as my best friend.\Viscount Albert de Morcerf.\I am pleased to make your acquaintance, Madame.\My... You're the son of General Morcerf.\Well, well...\Is this your first time on Luna? I suggest you enjoy yourself, then.\This is a city where all your desires can be fulfilled, no matter what they may be. response:	Apparently, he styles himself a count.
context: My traveling companion, as well as my best friend.\Viscount Albert de Morcerf.\I am pleased to make your acquaintance, Madame.\My... You're the son of General Morcerf.\Well, well...\Is this your first time on Luna? I suggest you enjoy yourself, then.\This is a city where all your desires can be fulfilled, no matter what they may be.\Apparently, he styles himself a count. response:	But I'm not so sure.
context: Viscount Albert de Morcerf.\I am pleased to make your acquaintance, Madame.\My... You're the son of General Morcerf.\Well, well...\Is this your first time on Luna? I suggest you enjoy yourself, then.\This is a city where all your desires can be fulfilled, no matter what they may be.\Apparently, he styles himself a count.\But I'm not so sure. response:	Regardless, Luna's high society has been abuzz with rumors about him this past month.
context: I am pleased to make your acquaintance, Madame.\My... You're the son of General Morcerf.\Well, well...\Is this your first time on Luna? I suggest you enjoy yourself, then.\This is a city where all your desires can be fulfilled, no matter what they may be.\Apparently, he styles himself a count.\But I'm not so sure.\Regardless, Luna's high society has been abuzz with rumors about him this past month. response:	There are some who say that he's a nouveau riche who made his fortune on the frontier,
context: My... You're the son of General Morcerf.\Well, well...\Is this your first time on Luna? I suggest you enjoy yourself, then.\This is a city where all your desires can be fulfilled, no matter what they may be.\Apparently, he styles himself a count.\But I'm not so sure.\Regardless, Luna's high society has been abuzz with rumors about him this past month.\There are some who say that he's a nouveau riche who made his fortune on the frontier, response:	That might be going a little far...
context: Well, well...\Is this your first time on Luna? I suggest you enjoy yourself, then.\This is a city where all your desires can be fulfilled, no matter what they may be.\Apparently, he styles himself a count.\But I'm not so sure.\Regardless, Luna's high society has been abuzz with rumors about him this past month.\There are some who say that he's a nouveau riche who made his fortune on the frontier,\That might be going a little far... response:	Excuse me, but what is he called?
context: Is this your first time on Luna? I suggest you enjoy yourself, then.\This is a city where all your desires can be fulfilled, no matter what they may be.\Apparently, he styles himself a count.\But I'm not so sure.\Regardless, Luna's high society has been abuzz with rumors about him this past month.\There are some who say that he's a nouveau riche who made his fortune on the frontier,\That might be going a little far...\Excuse me, but what is he called? response:	What is his name?
context: This is a city where all your desires can be fulfilled, no matter what they may be.\Apparently, he styles himself a count.\But I'm not so sure.\Regardless, Luna's high society has been abuzz with rumors about him this past month.\There are some who say that he's a nouveau riche who made his fortune on the frontier,\That might be going a little far...\Excuse me, but what is he called?\What is his name? response:	The Count of Monte Cristo.
context: Apparently, he styles himself a count.\But I'm not so sure.\Regardless, Luna's high society has been abuzz with rumors about him this past month.\There are some who say that he's a nouveau riche who made his fortune on the frontier,\That might be going a little far...\Excuse me, but what is he called?\What is his name?\The Count of Monte Cristo. response:	Death is certain, its hour uncertain.
context: But I'm not so sure.\Regardless, Luna's high society has been abuzz with rumors about him this past month.\There are some who say that he's a nouveau riche who made his fortune on the frontier,\That might be going a little far...\Excuse me, but what is he called?\What is his name?\The Count of Monte Cristo.\Death is certain, its hour uncertain. response:	Are you sure you weren't dreaming or something? Daydreaming or whatever?
context: Regardless, Luna's high society has been abuzz with rumors about him this past month.\There are some who say that he's a nouveau riche who made his fortune on the frontier,\That might be going a little far...\Excuse me, but what is he called?\What is his name?\The Count of Monte Cristo.\Death is certain, its hour uncertain.\Are you sure you weren't dreaming or something? Daydreaming or whatever? response:	Get serious. This proves that it was real.
context: There are some who say that he's a nouveau riche who made his fortune on the frontier,\That might be going a little far...\Excuse me, but what is he called?\What is his name?\The Count of Monte Cristo.\Death is certain, its hour uncertain.\Are you sure you weren't dreaming or something? Daydreaming or whatever?\Get serious. This proves that it was real. response:	And?
context: That might be going a little far...\Excuse me, but what is he called?\What is his name?\The Count of Monte Cristo.\Death is certain, its hour uncertain.\Are you sure you weren't dreaming or something? Daydreaming or whatever?\Get serious. This proves that it was real.\And? response:	I'm gonna use it to make his acquaintance. To meet the Count.
context: Excuse me, but what is he called?\What is his name?\The Count of Monte Cristo.\Death is certain, its hour uncertain.\Are you sure you weren't dreaming or something? Daydreaming or whatever?\Get serious. This proves that it was real.\And?\I'm gonna use it to make his acquaintance. To meet the Count. response:	Are you crazy? It's a huge hassle.
context: What is his name?\The Count of Monte Cristo.\Death is certain, its hour uncertain.\Are you sure you weren't dreaming or something? Daydreaming or whatever?\Get serious. This proves that it was real.\And?\I'm gonna use it to make his acquaintance. To meet the Count.\Are you crazy? It's a huge hassle. response:	Don't do it. You have no idea who this guy really is.
context: The Count of Monte Cristo.\Death is certain, its hour uncertain.\Are you sure you weren't dreaming or something? Daydreaming or whatever?\Get serious. This proves that it was real.\And?\I'm gonna use it to make his acquaintance. To meet the Count.\Are you crazy? It's a huge hassle.\Don't do it. You have no idea who this guy really is. response:	You think so?
context: Death is certain, its hour uncertain.\Are you sure you weren't dreaming or something? Daydreaming or whatever?\Get serious. This proves that it was real.\And?\I'm gonna use it to make his acquaintance. To meet the Count.\Are you crazy? It's a huge hassle.\Don't do it. You have no idea who this guy really is.\You think so? response:	Sure I do!
context: Are you sure you weren't dreaming or something? Daydreaming or whatever?\Get serious. This proves that it was real.\And?\I'm gonna use it to make his acquaintance. To meet the Count.\Are you crazy? It's a huge hassle.\Don't do it. You have no idea who this guy really is.\You think so?\Sure I do! response:	Begging monsieur's pardon, but are you Viscount Morcerf from room 405?
context: Get serious. This proves that it was real.\And?\I'm gonna use it to make his acquaintance. To meet the Count.\Are you crazy? It's a huge hassle.\Don't do it. You have no idea who this guy really is.\You think so?\Sure I do!\Begging monsieur's pardon, but are you Viscount Morcerf from room 405? response:	Y-Yes. Yes, that's me.
context: And?\I'm gonna use it to make his acquaintance. To meet the Count.\Are you crazy? It's a huge hassle.\Don't do it. You have no idea who this guy really is.\You think so?\Sure I do!\Begging monsieur's pardon, but are you Viscount Morcerf from room 405?\Y-Yes. Yes, that's me. response:	I have a message from my master, the Count of Monte Cristo.
context: I'm gonna use it to make his acquaintance. To meet the Count.\Are you crazy? It's a huge hassle.\Don't do it. You have no idea who this guy really is.\You think so?\Sure I do!\Begging monsieur's pardon, but are you Viscount Morcerf from room 405?\Y-Yes. Yes, that's me.\I have a message from my master, the Count of Monte Cristo. response:	Well? What do you think?
