context: How does Chimera look? response:	She is eating, but I still think she's under the weather.
context: How does Chimera look?\She is eating, but I still think she's under the weather. response:	Maybe we should take her to the vet.
context: How does Chimera look?\She is eating, but I still think she's under the weather.\Maybe we should take her to the vet. response:	She probably just ate too much.
context: How does Chimera look?\She is eating, but I still think she's under the weather.\Maybe we should take her to the vet.\She probably just ate too much. response:	I don't know.
context: How does Chimera look?\She is eating, but I still think she's under the weather.\Maybe we should take her to the vet.\She probably just ate too much.\I don't know. response:	Although Rikka was feeding her lots for what she called Project Super-Size.
context: How does Chimera look?\She is eating, but I still think she's under the weather.\Maybe we should take her to the vet.\She probably just ate too much.\I don't know.\Although Rikka was feeding her lots for what she called Project Super-Size. response:	Honestly. So, where is Rikka?
context: How does Chimera look?\She is eating, but I still think she's under the weather.\Maybe we should take her to the vet.\She probably just ate too much.\I don't know.\Although Rikka was feeding her lots for what she called Project Super-Size.\Honestly. So, where is Rikka? response:	I think she's still sleeping.
context: How does Chimera look?\She is eating, but I still think she's under the weather.\Maybe we should take her to the vet.\She probably just ate too much.\I don't know.\Although Rikka was feeding her lots for what she called Project Super-Size.\Honestly. So, where is Rikka?\I think she's still sleeping. response:	Arise, Wicked Lord Shingan!
context: She is eating, but I still think she's under the weather.\Maybe we should take her to the vet.\She probably just ate too much.\I don't know.\Although Rikka was feeding her lots for what she called Project Super-Size.\Honestly. So, where is Rikka?\I think she's still sleeping.\Arise, Wicked Lord Shingan! response:	The time of awakening is nigh!
context: Maybe we should take her to the vet.\She probably just ate too much.\I don't know.\Although Rikka was feeding her lots for what she called Project Super-Size.\Honestly. So, where is Rikka?\I think she's still sleeping.\Arise, Wicked Lord Shingan!\The time of awakening is nigh! response:	The Light! The Light Beings are roasting me alive!
context: She probably just ate too much.\I don't know.\Although Rikka was feeding her lots for what she called Project Super-Size.\Honestly. So, where is Rikka?\I think she's still sleeping.\Arise, Wicked Lord Shingan!\The time of awakening is nigh!\The Light! The Light Beings are roasting me alive! response:	Yuta, give me darkness!
