context: Watanuki... response:	If you push too hard, you'll hurt yourself.
context: Watanuki...\If you push too hard, you'll hurt yourself. response:	Shut up.
context: Watanuki...\If you push too hard, you'll hurt yourself.\Shut up. response:	Next time I see that guy, I'll settle this, once and for all.
context: Watanuki...\If you push too hard, you'll hurt yourself.\Shut up.\Next time I see that guy, I'll settle this, once and for all. response:	He's gonna regret making a fool of me!
context: Watanuki...\If you push too hard, you'll hurt yourself.\Shut up.\Next time I see that guy, I'll settle this, once and for all.\He's gonna regret making a fool of me! response:	I know right now I'm no good...
context: Watanuki...\If you push too hard, you'll hurt yourself.\Shut up.\Next time I see that guy, I'll settle this, once and for all.\He's gonna regret making a fool of me!\I know right now I'm no good... response:	It's so nice out today.
context: Watanuki...\If you push too hard, you'll hurt yourself.\Shut up.\Next time I see that guy, I'll settle this, once and for all.\He's gonna regret making a fool of me!\I know right now I'm no good...\It's so nice out today. response:	Don't interrupt me!
context: Watanuki...\If you push too hard, you'll hurt yourself.\Shut up.\Next time I see that guy, I'll settle this, once and for all.\He's gonna regret making a fool of me!\I know right now I'm no good...\It's so nice out today.\Don't interrupt me! response:	It feels so good...
context: If you push too hard, you'll hurt yourself.\Shut up.\Next time I see that guy, I'll settle this, once and for all.\He's gonna regret making a fool of me!\I know right now I'm no good...\It's so nice out today.\Don't interrupt me!\It feels so good... response:	When the weather is this nice,
context: Shut up.\Next time I see that guy, I'll settle this, once and for all.\He's gonna regret making a fool of me!\I know right now I'm no good...\It's so nice out today.\Don't interrupt me!\It feels so good...\When the weather is this nice, response:	Are you listening?!
context: Next time I see that guy, I'll settle this, once and for all.\He's gonna regret making a fool of me!\I know right now I'm no good...\It's so nice out today.\Don't interrupt me!\It feels so good...\When the weather is this nice,\Are you listening?! response:	it makes me want to go out and do something...
context: He's gonna regret making a fool of me!\I know right now I'm no good...\It's so nice out today.\Don't interrupt me!\It feels so good...\When the weather is this nice,\Are you listening?!\it makes me want to go out and do something... response:	You do this every single time!
context: I know right now I'm no good...\It's so nice out today.\Don't interrupt me!\It feels so good...\When the weather is this nice,\Are you listening?!\it makes me want to go out and do something...\You do this every single time! response:	Ayakashi Kan Walk Rally
context: It's so nice out today.\Don't interrupt me!\It feels so good...\When the weather is this nice,\Are you listening?!\it makes me want to go out and do something...\You do this every single time!\Ayakashi Kan Walk Rally response:	Good morning, Miss Ririchiyo.
context: Don't interrupt me!\It feels so good...\When the weather is this nice,\Are you listening?!\it makes me want to go out and do something...\You do this every single time!\Ayakashi Kan Walk Rally\Good morning, Miss Ririchiyo. response:	Good morning, Miketsukami.
context: It feels so good...\When the weather is this nice,\Are you listening?!\it makes me want to go out and do something...\You do this every single time!\Ayakashi Kan Walk Rally\Good morning, Miss Ririchiyo.\Good morning, Miketsukami. response:	This time, I am going to ask you.
context: When the weather is this nice,\Are you listening?!\it makes me want to go out and do something...\You do this every single time!\Ayakashi Kan Walk Rally\Good morning, Miss Ririchiyo.\Good morning, Miketsukami.\This time, I am going to ask you. response:	Would you be my Secret Service agent?
context: Are you listening?!\it makes me want to go out and do something...\You do this every single time!\Ayakashi Kan Walk Rally\Good morning, Miss Ririchiyo.\Good morning, Miketsukami.\This time, I am going to ask you.\Would you be my Secret Service agent? response:	How embarrassing...
context: it makes me want to go out and do something...\You do this every single time!\Ayakashi Kan Walk Rally\Good morning, Miss Ririchiyo.\Good morning, Miketsukami.\This time, I am going to ask you.\Would you be my Secret Service agent?\How embarrassing... response:	It made me so happy yesterday
context: You do this every single time!\Ayakashi Kan Walk Rally\Good morning, Miss Ririchiyo.\Good morning, Miketsukami.\This time, I am going to ask you.\Would you be my Secret Service agent?\How embarrassing...\It made me so happy yesterday response:	when you asked me to enter into this contract with you.
context: Ayakashi Kan Walk Rally\Good morning, Miss Ririchiyo.\Good morning, Miketsukami.\This time, I am going to ask you.\Would you be my Secret Service agent?\How embarrassing...\It made me so happy yesterday\when you asked me to enter into this contract with you. response:	Now I can serve you again.
context: Good morning, Miss Ririchiyo.\Good morning, Miketsukami.\This time, I am going to ask you.\Would you be my Secret Service agent?\How embarrassing...\It made me so happy yesterday\when you asked me to enter into this contract with you.\Now I can serve you again. response:	I just thought it could be handy
context: Good morning, Miketsukami.\This time, I am going to ask you.\Would you be my Secret Service agent?\How embarrassing...\It made me so happy yesterday\when you asked me to enter into this contract with you.\Now I can serve you again.\I just thought it could be handy response:	to have a bodyguard around in case something happens.
context: This time, I am going to ask you.\Would you be my Secret Service agent?\How embarrassing...\It made me so happy yesterday\when you asked me to enter into this contract with you.\Now I can serve you again.\I just thought it could be handy\to have a bodyguard around in case something happens. response:	Yes.
context: Would you be my Secret Service agent?\How embarrassing...\It made me so happy yesterday\when you asked me to enter into this contract with you.\Now I can serve you again.\I just thought it could be handy\to have a bodyguard around in case something happens.\Yes. response:	But still, it made me very happy,
context: How embarrassing...\It made me so happy yesterday\when you asked me to enter into this contract with you.\Now I can serve you again.\I just thought it could be handy\to have a bodyguard around in case something happens.\Yes.\But still, it made me very happy, response:	knowing that you will allow me by your side again.
context: It made me so happy yesterday\when you asked me to enter into this contract with you.\Now I can serve you again.\I just thought it could be handy\to have a bodyguard around in case something happens.\Yes.\But still, it made me very happy,\knowing that you will allow me by your side again. response:	However,
context: when you asked me to enter into this contract with you.\Now I can serve you again.\I just thought it could be handy\to have a bodyguard around in case something happens.\Yes.\But still, it made me very happy,\knowing that you will allow me by your side again.\However, response:	I never imagined that taking you to school would bring such sorrow.
context: Now I can serve you again.\I just thought it could be handy\to have a bodyguard around in case something happens.\Yes.\But still, it made me very happy,\knowing that you will allow me by your side again.\However,\I never imagined that taking you to school would bring such sorrow. response:	It's just like divine punishment.
context: I just thought it could be handy\to have a bodyguard around in case something happens.\Yes.\But still, it made me very happy,\knowing that you will allow me by your side again.\However,\I never imagined that taking you to school would bring such sorrow.\It's just like divine punishment. response:	It isn't just school.
context: to have a bodyguard around in case something happens.\Yes.\But still, it made me very happy,\knowing that you will allow me by your side again.\However,\I never imagined that taking you to school would bring such sorrow.\It's just like divine punishment.\It isn't just school. response:	Seeing me go anywhere makes you sad.
context: Yes.\But still, it made me very happy,\knowing that you will allow me by your side again.\However,\I never imagined that taking you to school would bring such sorrow.\It's just like divine punishment.\It isn't just school.\Seeing me go anywhere makes you sad. response:	You're right.
context: But still, it made me very happy,\knowing that you will allow me by your side again.\However,\I never imagined that taking you to school would bring such sorrow.\It's just like divine punishment.\It isn't just school.\Seeing me go anywhere makes you sad.\You're right. response:	But I feel like it makes me sadder than it did before.
context: knowing that you will allow me by your side again.\However,\I never imagined that taking you to school would bring such sorrow.\It's just like divine punishment.\It isn't just school.\Seeing me go anywhere makes you sad.\You're right.\But I feel like it makes me sadder than it did before. response:	May I at least hold your hand on the way?
context: However,\I never imagined that taking you to school would bring such sorrow.\It's just like divine punishment.\It isn't just school.\Seeing me go anywhere makes you sad.\You're right.\But I feel like it makes me sadder than it did before.\May I at least hold your hand on the way? response:	Yes.
context: I never imagined that taking you to school would bring such sorrow.\It's just like divine punishment.\It isn't just school.\Seeing me go anywhere makes you sad.\You're right.\But I feel like it makes me sadder than it did before.\May I at least hold your hand on the way?\Yes. response:	Thank you.
context: It's just like divine punishment.\It isn't just school.\Seeing me go anywhere makes you sad.\You're right.\But I feel like it makes me sadder than it did before.\May I at least hold your hand on the way?\Yes.\Thank you. response:	What is this?
context: It isn't just school.\Seeing me go anywhere makes you sad.\You're right.\But I feel like it makes me sadder than it did before.\May I at least hold your hand on the way?\Yes.\Thank you.\What is this? response:	My heart rate's been weird since this morning...
context: Seeing me go anywhere makes you sad.\You're right.\But I feel like it makes me sadder than it did before.\May I at least hold your hand on the way?\Yes.\Thank you.\What is this?\My heart rate's been weird since this morning... response:	I can't seem to settle down.
context: You're right.\But I feel like it makes me sadder than it did before.\May I at least hold your hand on the way?\Yes.\Thank you.\What is this?\My heart rate's been weird since this morning...\I can't seem to settle down. response:	You've received a message Soushi Miketsukami
context: But I feel like it makes me sadder than it did before.\May I at least hold your hand on the way?\Yes.\Thank you.\What is this?\My heart rate's been weird since this morning...\I can't seem to settle down.\You've received a message Soushi Miketsukami response:	I did nothing to deserve your thanks. Rather, I must thank you for continually sending me such kind e-mails. I am very grateful for your kind treatment.
context: May I at least hold your hand on the way?\Yes.\Thank you.\What is this?\My heart rate's been weird since this morning...\I can't seem to settle down.\You've received a message Soushi Miketsukami\I did nothing to deserve your thanks. Rather, I must thank you for continually sending me such kind e-mails. I am very grateful for your kind treatment. response:	Miketsukami replied...
context: Yes.\Thank you.\What is this?\My heart rate's been weird since this morning...\I can't seem to settle down.\You've received a message Soushi Miketsukami\I did nothing to deserve your thanks. Rather, I must thank you for continually sending me such kind e-mails. I am very grateful for your kind treatment.\Miketsukami replied... response:	And my heart is doing that thing again.
context: Thank you.\What is this?\My heart rate's been weird since this morning...\I can't seem to settle down.\You've received a message Soushi Miketsukami\I did nothing to deserve your thanks. Rather, I must thank you for continually sending me such kind e-mails. I am very grateful for your kind treatment.\Miketsukami replied...\And my heart is doing that thing again. response:	Could this be what they call...
