context: Closed today for my daughter's culture fair -Kokageya response:	It's raining.
context: Closed today for my daughter's culture fair -Kokageya\It's raining. response:	Radio forecast says it'll let up by afternoon.
context: Closed today for my daughter's culture fair -Kokageya\It's raining.\Radio forecast says it'll let up by afternoon. response:	Are you going to a wedding?!
context: Closed today for my daughter's culture fair -Kokageya\It's raining.\Radio forecast says it'll let up by afternoon.\Are you going to a wedding?! response:	Your mother always told me to dress appropriately for concerts.
context: Closed today for my daughter's culture fair -Kokageya\It's raining.\Radio forecast says it'll let up by afternoon.\Are you going to a wedding?!\Your mother always told me to dress appropriately for concerts. response:	That's over the top.
context: Closed today for my daughter's culture fair -Kokageya\It's raining.\Radio forecast says it'll let up by afternoon.\Are you going to a wedding?!\Your mother always told me to dress appropriately for concerts.\That's over the top. response:	Oh, since today's Sunday, the dining hall's closed, right?
context: Closed today for my daughter's culture fair -Kokageya\It's raining.\Radio forecast says it'll let up by afternoon.\Are you going to a wedding?!\Your mother always told me to dress appropriately for concerts.\That's over the top.\Oh, since today's Sunday, the dining hall's closed, right? response:	I made a lunch for you.
context: Closed today for my daughter's culture fair -Kokageya\It's raining.\Radio forecast says it'll let up by afternoon.\Are you going to a wedding?!\Your mother always told me to dress appropriately for concerts.\That's over the top.\Oh, since today's Sunday, the dining hall's closed, right?\I made a lunch for you. response:	Thank you.
context: It's raining.\Radio forecast says it'll let up by afternoon.\Are you going to a wedding?!\Your mother always told me to dress appropriately for concerts.\That's over the top.\Oh, since today's Sunday, the dining hall's closed, right?\I made a lunch for you.\Thank you. response:	Good luck, Wakana
context: Radio forecast says it'll let up by afternoon.\Are you going to a wedding?!\Your mother always told me to dress appropriately for concerts.\That's over the top.\Oh, since today's Sunday, the dining hall's closed, right?\I made a lunch for you.\Thank you.\Good luck, Wakana response:	Of course...
context: Are you going to a wedding?!\Your mother always told me to dress appropriately for concerts.\That's over the top.\Oh, since today's Sunday, the dining hall's closed, right?\I made a lunch for you.\Thank you.\Good luck, Wakana\Of course... response:	Mom, I'm off!
context: Your mother always told me to dress appropriately for concerts.\That's over the top.\Oh, since today's Sunday, the dining hall's closed, right?\I made a lunch for you.\Thank you.\Good luck, Wakana\Of course...\Mom, I'm off! response:	Hamada Tetsu
context: That's over the top.\Oh, since today's Sunday, the dining hall's closed, right?\I made a lunch for you.\Thank you.\Good luck, Wakana\Of course...\Mom, I'm off!\Hamada Tetsu response:	The artwork's done!!
context: Oh, since today's Sunday, the dining hall's closed, right?\I made a lunch for you.\Thank you.\Good luck, Wakana\Of course...\Mom, I'm off!\Hamada Tetsu\The artwork's done!! response:	It's a true masterpiece!!
context: I made a lunch for you.\Thank you.\Good luck, Wakana\Of course...\Mom, I'm off!\Hamada Tetsu\The artwork's done!!\It's a true masterpiece!! response:	Gonna crash in the art room, so wake me up when you get to school!
context: Thank you.\Good luck, Wakana\Of course...\Mom, I'm off!\Hamada Tetsu\The artwork's done!!\It's a true masterpiece!!\Gonna crash in the art room, so wake me up when you get to school! response:	Tai-kun? It starts at one, right?
context: Good luck, Wakana\Of course...\Mom, I'm off!\Hamada Tetsu\The artwork's done!!\It's a true masterpiece!!\Gonna crash in the art room, so wake me up when you get to school!\Tai-kun? It starts at one, right? response:	You don't have to come.
context: Of course...\Mom, I'm off!\Hamada Tetsu\The artwork's done!!\It's a true masterpiece!!\Gonna crash in the art room, so wake me up when you get to school!\Tai-kun? It starts at one, right?\You don't have to come. response:	Mom wants me to take pictures and send them to her.
context: Mom, I'm off!\Hamada Tetsu\The artwork's done!!\It's a true masterpiece!!\Gonna crash in the art room, so wake me up when you get to school!\Tai-kun? It starts at one, right?\You don't have to come.\Mom wants me to take pictures and send them to her. response:	This waterproof case was a smart idea.
context: Hamada Tetsu\The artwork's done!!\It's a true masterpiece!!\Gonna crash in the art room, so wake me up when you get to school!\Tai-kun? It starts at one, right?\You don't have to come.\Mom wants me to take pictures and send them to her.\This waterproof case was a smart idea. response:	This is a little embarrassing.
