context: Onode response:	Raku!
context: Onode\Raku! response:	Hey, where are we supposed to take these journals?
context: Onode\Raku!\Hey, where are we supposed to take these journals? response:	Damn it! Right as I was about to talk to Onodera!
context: Onode\Raku!\Hey, where are we supposed to take these journals?\Damn it! Right as I was about to talk to Onodera! response:	Didn't the teacher just tell us to take it to the prep room?
context: Onode\Raku!\Hey, where are we supposed to take these journals?\Damn it! Right as I was about to talk to Onodera!\Didn't the teacher just tell us to take it to the prep room? response:	Oh, right! Thanks!
context: Onode\Raku!\Hey, where are we supposed to take these journals?\Damn it! Right as I was about to talk to Onodera!\Didn't the teacher just tell us to take it to the prep room?\Oh, right! Thanks! response:	Oh, by the way, Chitoge!
context: Onode\Raku!\Hey, where are we supposed to take these journals?\Damn it! Right as I was about to talk to Onodera!\Didn't the teacher just tell us to take it to the prep room?\Oh, right! Thanks!\Oh, by the way, Chitoge! response:	It's the science prep room, got it?
context: Onode\Raku!\Hey, where are we supposed to take these journals?\Damn it! Right as I was about to talk to Onodera!\Didn't the teacher just tell us to take it to the prep room?\Oh, right! Thanks!\Oh, by the way, Chitoge!\It's the science prep room, got it? response:	Don't go to the music room by mistake again!
context: Raku!\Hey, where are we supposed to take these journals?\Damn it! Right as I was about to talk to Onodera!\Didn't the teacher just tell us to take it to the prep room?\Oh, right! Thanks!\Oh, by the way, Chitoge!\It's the science prep room, got it?\Don't go to the music room by mistake again! response:	Roger that!
context: Hey, where are we supposed to take these journals?\Damn it! Right as I was about to talk to Onodera!\Didn't the teacher just tell us to take it to the prep room?\Oh, right! Thanks!\Oh, by the way, Chitoge!\It's the science prep room, got it?\Don't go to the music room by mistake again!\Roger that! response:	Jeez.
context: Damn it! Right as I was about to talk to Onodera!\Didn't the teacher just tell us to take it to the prep room?\Oh, right! Thanks!\Oh, by the way, Chitoge!\It's the science prep room, got it?\Don't go to the music room by mistake again!\Roger that!\Jeez. response:	Her first name?
context: Didn't the teacher just tell us to take it to the prep room?\Oh, right! Thanks!\Oh, by the way, Chitoge!\It's the science prep room, got it?\Don't go to the music room by mistake again!\Roger that!\Jeez.\Her first name? response:	Oh, yeah.
context: Oh, right! Thanks!\Oh, by the way, Chitoge!\It's the science prep room, got it?\Don't go to the music room by mistake again!\Roger that!\Jeez.\Her first name?\Oh, yeah. response:	Actually, the other day we figured we should start calling each other by our first names.
context: Oh, by the way, Chitoge!\It's the science prep room, got it?\Don't go to the music room by mistake again!\Roger that!\Jeez.\Her first name?\Oh, yeah.\Actually, the other day we figured we should start calling each other by our first names. response:	One of her friends mentioned to her how odd it was that we weren't on a first-name basis,
context: It's the science prep room, got it?\Don't go to the music room by mistake again!\Roger that!\Jeez.\Her first name?\Oh, yeah.\Actually, the other day we figured we should start calling each other by our first names.\One of her friends mentioned to her how odd it was that we weren't on a first-name basis, response:	despite how long we've been dating.
context: Don't go to the music room by mistake again!\Roger that!\Jeez.\Her first name?\Oh, yeah.\Actually, the other day we figured we should start calling each other by our first names.\One of her friends mentioned to her how odd it was that we weren't on a first-name basis,\despite how long we've been dating. response:	Still not used to it, though.
context: Roger that!\Jeez.\Her first name?\Oh, yeah.\Actually, the other day we figured we should start calling each other by our first names.\One of her friends mentioned to her how odd it was that we weren't on a first-name basis,\despite how long we've been dating.\Still not used to it, though. response:	Damn it, I hate having to flaunt my relationship in front of Onodera!
context: Jeez.\Her first name?\Oh, yeah.\Actually, the other day we figured we should start calling each other by our first names.\One of her friends mentioned to her how odd it was that we weren't on a first-name basis,\despite how long we've been dating.\Still not used to it, though.\Damn it, I hate having to flaunt my relationship in front of Onodera! response:	What a dilemma!
