context: Too slow! response:	Onii-chan!
context: Too slow!\Onii-chan! response:	Secret Technique: Tentacle Cannon!
context: Too slow!\Onii-chan!\Secret Technique: Tentacle Cannon! response:	Go back home!
context: Too slow!\Onii-chan!\Secret Technique: Tentacle Cannon!\Go back home! response:	You have a brother waiting for you.
context: Too slow!\Onii-chan!\Secret Technique: Tentacle Cannon!\Go back home!\You have a brother waiting for you. response:	Hey...
context: Too slow!\Onii-chan!\Secret Technique: Tentacle Cannon!\Go back home!\You have a brother waiting for you.\Hey... response:	You canned yourself into your room all morning during the weekend playing eroge.
context: Too slow!\Onii-chan!\Secret Technique: Tentacle Cannon!\Go back home!\You have a brother waiting for you.\Hey...\You canned yourself into your room all morning during the weekend playing eroge. response:	You're the one who forced me to play it!
context: Too slow!\Onii-chan!\Secret Technique: Tentacle Cannon!\Go back home!\You have a brother waiting for you.\Hey...\You canned yourself into your room all morning during the weekend playing eroge.\You're the one who forced me to play it! response:	Don't look down on me! You should be praising me!
context: Onii-chan!\Secret Technique: Tentacle Cannon!\Go back home!\You have a brother waiting for you.\Hey...\You canned yourself into your room all morning during the weekend playing eroge.\You're the one who forced me to play it!\Don't look down on me! You should be praising me! response:	You're the spitting image of an erogamer.
context: Secret Technique: Tentacle Cannon!\Go back home!\You have a brother waiting for you.\Hey...\You canned yourself into your room all morning during the weekend playing eroge.\You're the one who forced me to play it!\Don't look down on me! You should be praising me!\You're the spitting image of an erogamer. response:	That's not a compliment!!
context: Go back home!\You have a brother waiting for you.\Hey...\You canned yourself into your room all morning during the weekend playing eroge.\You're the one who forced me to play it!\Don't look down on me! You should be praising me!\You're the spitting image of an erogamer.\That's not a compliment!! response:	So? Have you cleared it once at least?
context: You have a brother waiting for you.\Hey...\You canned yourself into your room all morning during the weekend playing eroge.\You're the one who forced me to play it!\Don't look down on me! You should be praising me!\You're the spitting image of an erogamer.\That's not a compliment!!\So? Have you cleared it once at least? response:	No, I haven't yet...
