context: It completely dried up. response:	It was a pretty dry season this year.
context: It completely dried up.\It was a pretty dry season this year. response:	I guess we can't go fishing, then.
context: It completely dried up.\It was a pretty dry season this year.\I guess we can't go fishing, then. response:	That's amazing.
context: It completely dried up.\It was a pretty dry season this year.\I guess we can't go fishing, then.\That's amazing. response:	Look, Natsume.
context: It completely dried up.\It was a pretty dry season this year.\I guess we can't go fishing, then.\That's amazing.\Look, Natsume. response:	Ah, it's the village that submerged because of the dam.
context: It completely dried up.\It was a pretty dry season this year.\I guess we can't go fishing, then.\That's amazing.\Look, Natsume.\Ah, it's the village that submerged because of the dam. response:	It's the village of Futaba.
context: It completely dried up.\It was a pretty dry season this year.\I guess we can't go fishing, then.\That's amazing.\Look, Natsume.\Ah, it's the village that submerged because of the dam.\It's the village of Futaba. response:	There's someone there.
context: It completely dried up.\It was a pretty dry season this year.\I guess we can't go fishing, then.\That's amazing.\Look, Natsume.\Ah, it's the village that submerged because of the dam.\It's the village of Futaba.\There's someone there. response:	Look, by that house's window.
context: It was a pretty dry season this year.\I guess we can't go fishing, then.\That's amazing.\Look, Natsume.\Ah, it's the village that submerged because of the dam.\It's the village of Futaba.\There's someone there.\Look, by that house's window. response:	Come on, Natsume, there can't possibly be anyone there.
context: I guess we can't go fishing, then.\That's amazing.\Look, Natsume.\Ah, it's the village that submerged because of the dam.\It's the village of Futaba.\There's someone there.\Look, by that house's window.\Come on, Natsume, there can't possibly be anyone there. response:	I-I guess you're right.
context: That's amazing.\Look, Natsume.\Ah, it's the village that submerged because of the dam.\It's the village of Futaba.\There's someone there.\Look, by that house's window.\Come on, Natsume, there can't possibly be anyone there.\I-I guess you're right. response:	They can't see it?
context: Look, Natsume.\Ah, it's the village that submerged because of the dam.\It's the village of Futaba.\There's someone there.\Look, by that house's window.\Come on, Natsume, there can't possibly be anyone there.\I-I guess you're right.\They can't see it? response:	Then it's a...
context: Ah, it's the village that submerged because of the dam.\It's the village of Futaba.\There's someone there.\Look, by that house's window.\Come on, Natsume, there can't possibly be anyone there.\I-I guess you're right.\They can't see it?\Then it's a... response:	Natsume!
context: It's the village of Futaba.\There's someone there.\Look, by that house's window.\Come on, Natsume, there can't possibly be anyone there.\I-I guess you're right.\They can't see it?\Then it's a...\Natsume! response:	What's wrong, Natsume?
context: There's someone there.\Look, by that house's window.\Come on, Natsume, there can't possibly be anyone there.\I-I guess you're right.\They can't see it?\Then it's a...\Natsume!\What's wrong, Natsume? response:	Hey, Natsume!
context: Look, by that house's window.\Come on, Natsume, there can't possibly be anyone there.\I-I guess you're right.\They can't see it?\Then it's a...\Natsume!\What's wrong, Natsume?\Hey, Natsume! response:	Are you all right?
context: Come on, Natsume, there can't possibly be anyone there.\I-I guess you're right.\They can't see it?\Then it's a...\Natsume!\What's wrong, Natsume?\Hey, Natsume!\Are you all right? response:	A dream?
context: I-I guess you're right.\They can't see it?\Then it's a...\Natsume!\What's wrong, Natsume?\Hey, Natsume!\Are you all right?\A dream? response:	So you got dizzy?
context: They can't see it?\Then it's a...\Natsume!\What's wrong, Natsume?\Hey, Natsume!\Are you all right?\A dream?\So you got dizzy? response:	What a weakling.
context: Then it's a...\Natsume!\What's wrong, Natsume?\Hey, Natsume!\Are you all right?\A dream?\So you got dizzy?\What a weakling. response:	Shut up, Nyanko-sensei.
context: Natsume!\What's wrong, Natsume?\Hey, Natsume!\Are you all right?\A dream?\So you got dizzy?\What a weakling.\Shut up, Nyanko-sensei. response:	You...
context: What's wrong, Natsume?\Hey, Natsume!\Are you all right?\A dream?\So you got dizzy?\What a weakling.\Shut up, Nyanko-sensei.\You... response:	What is it?
context: Hey, Natsume!\Are you all right?\A dream?\So you got dizzy?\What a weakling.\Shut up, Nyanko-sensei.\You...\What is it? response:	Hello? Anybody home?
context: Are you all right?\A dream?\So you got dizzy?\What a weakling.\Shut up, Nyanko-sensei.\You...\What is it?\Hello? Anybody home? response:	There's a lot of you.
context: A dream?\So you got dizzy?\What a weakling.\Shut up, Nyanko-sensei.\You...\What is it?\Hello? Anybody home?\There's a lot of you. response:	My name is Tarusaru.
context: So you got dizzy?\What a weakling.\Shut up, Nyanko-sensei.\You...\What is it?\Hello? Anybody home?\There's a lot of you.\My name is Tarusaru. response:	I presume you're Natsume-dono?
context: What a weakling.\Shut up, Nyanko-sensei.\You...\What is it?\Hello? Anybody home?\There's a lot of you.\My name is Tarusaru.\I presume you're Natsume-dono? response:	That's right.
context: Shut up, Nyanko-sensei.\You...\What is it?\Hello? Anybody home?\There's a lot of you.\My name is Tarusaru.\I presume you're Natsume-dono?\That's right. response:	We've been asleep underwater along with the village,
context: You...\What is it?\Hello? Anybody home?\There's a lot of you.\My name is Tarusaru.\I presume you're Natsume-dono?\That's right.\We've been asleep underwater along with the village, response:	so we came to have our names returned.
context: What is it?\Hello? Anybody home?\There's a lot of you.\My name is Tarusaru.\I presume you're Natsume-dono?\That's right.\We've been asleep underwater along with the village,\so we came to have our names returned. response:	Underwater?
context: Hello? Anybody home?\There's a lot of you.\My name is Tarusaru.\I presume you're Natsume-dono?\That's right.\We've been asleep underwater along with the village,\so we came to have our names returned.\Underwater? response:	You mean that dammed-up village?
context: There's a lot of you.\My name is Tarusaru.\I presume you're Natsume-dono?\That's right.\We've been asleep underwater along with the village,\so we came to have our names returned.\Underwater?\You mean that dammed-up village? response:	Yes. When it's filled with water, we can't go above ground as easily.
context: My name is Tarusaru.\I presume you're Natsume-dono?\That's right.\We've been asleep underwater along with the village,\so we came to have our names returned.\Underwater?\You mean that dammed-up village?\Yes. When it's filled with water, we can't go above ground as easily. response:	Now is our chance to move about, though,
context: I presume you're Natsume-dono?\That's right.\We've been asleep underwater along with the village,\so we came to have our names returned.\Underwater?\You mean that dammed-up village?\Yes. When it's filled with water, we can't go above ground as easily.\Now is our chance to move about, though, response:	and so we followed you.
context: That's right.\We've been asleep underwater along with the village,\so we came to have our names returned.\Underwater?\You mean that dammed-up village?\Yes. When it's filled with water, we can't go above ground as easily.\Now is our chance to move about, though,\and so we followed you. response:	Takashi-kun? Have you woken up?
context: We've been asleep underwater along with the village,\so we came to have our names returned.\Underwater?\You mean that dammed-up village?\Yes. When it's filled with water, we can't go above ground as easily.\Now is our chance to move about, though,\and so we followed you.\Takashi-kun? Have you woken up? response:	Oh my, you didn't even turn on the light.
context: so we came to have our names returned.\Underwater?\You mean that dammed-up village?\Yes. When it's filled with water, we can't go above ground as easily.\Now is our chance to move about, though,\and so we followed you.\Takashi-kun? Have you woken up?\Oh my, you didn't even turn on the light. response:	Touko-san.
context: Underwater?\You mean that dammed-up village?\Yes. When it's filled with water, we can't go above ground as easily.\Now is our chance to move about, though,\and so we followed you.\Takashi-kun? Have you woken up?\Oh my, you didn't even turn on the light.\Touko-san. response:	Sorry for causing you trouble.
context: You mean that dammed-up village?\Yes. When it's filled with water, we can't go above ground as easily.\Now is our chance to move about, though,\and so we followed you.\Takashi-kun? Have you woken up?\Oh my, you didn't even turn on the light.\Touko-san.\Sorry for causing you trouble. response:	Don't worry about it.
context: Yes. When it's filled with water, we can't go above ground as easily.\Now is our chance to move about, though,\and so we followed you.\Takashi-kun? Have you woken up?\Oh my, you didn't even turn on the light.\Touko-san.\Sorry for causing you trouble.\Don't worry about it. response:	The doctor said it was just a slight heatstroke.
