context: Send? response:	Yes No
context: Send?\Yes No response:	Sending
context: Send?\Yes No\Sending response:	Kagerou of the Spring
context: Send?\Yes No\Sending\Kagerou of the Spring response:	What is this?
context: Send?\Yes No\Sending\Kagerou of the Spring\What is this? response:	I apologize for making you wait.
context: Send?\Yes No\Sending\Kagerou of the Spring\What is this?\I apologize for making you wait. response:	Please take your time.
context: Send?\Yes No\Sending\Kagerou of the Spring\What is this?\I apologize for making you wait.\Please take your time. response:	I couldn't do anything yesterday.
context: Send?\Yes No\Sending\Kagerou of the Spring\What is this?\I apologize for making you wait.\Please take your time.\I couldn't do anything yesterday. response:	Thank you.
context: Yes No\Sending\Kagerou of the Spring\What is this?\I apologize for making you wait.\Please take your time.\I couldn't do anything yesterday.\Thank you. response:	He says he likes me for me.
context: Sending\Kagerou of the Spring\What is this?\I apologize for making you wait.\Please take your time.\I couldn't do anything yesterday.\Thank you.\He says he likes me for me. response:	He's trying to understand me.
context: Kagerou of the Spring\What is this?\I apologize for making you wait.\Please take your time.\I couldn't do anything yesterday.\Thank you.\He says he likes me for me.\He's trying to understand me. response:	I want to reciprocate, but...
context: What is this?\I apologize for making you wait.\Please take your time.\I couldn't do anything yesterday.\Thank you.\He says he likes me for me.\He's trying to understand me.\I want to reciprocate, but... response:	I-It's that racing heartbeat again.
context: I apologize for making you wait.\Please take your time.\I couldn't do anything yesterday.\Thank you.\He says he likes me for me.\He's trying to understand me.\I want to reciprocate, but...\I-It's that racing heartbeat again. response:	What's wrong, Miss Ririchiyo?
context: Please take your time.\I couldn't do anything yesterday.\Thank you.\He says he likes me for me.\He's trying to understand me.\I want to reciprocate, but...\I-It's that racing heartbeat again.\What's wrong, Miss Ririchiyo? response:	I-I'm fine.
context: I couldn't do anything yesterday.\Thank you.\He says he likes me for me.\He's trying to understand me.\I want to reciprocate, but...\I-It's that racing heartbeat again.\What's wrong, Miss Ririchiyo?\I-I'm fine. response:	You damn fox!
context: Thank you.\He says he likes me for me.\He's trying to understand me.\I want to reciprocate, but...\I-It's that racing heartbeat again.\What's wrong, Miss Ririchiyo?\I-I'm fine.\You damn fox! response:	Don't think that because of yesterday, everything is settled.
context: He says he likes me for me.\He's trying to understand me.\I want to reciprocate, but...\I-It's that racing heartbeat again.\What's wrong, Miss Ririchiyo?\I-I'm fine.\You damn fox!\Don't think that because of yesterday, everything is settled. response:	It's still anyone's game, because I am...
context: He's trying to understand me.\I want to reciprocate, but...\I-It's that racing heartbeat again.\What's wrong, Miss Ririchiyo?\I-I'm fine.\You damn fox!\Don't think that because of yesterday, everything is settled.\It's still anyone's game, because I am... response:	Sou! Chiyo! Morning!
context: I want to reciprocate, but...\I-It's that racing heartbeat again.\What's wrong, Miss Ririchiyo?\I-I'm fine.\You damn fox!\Don't think that because of yesterday, everything is settled.\It's still anyone's game, because I am...\Sou! Chiyo! Morning! response:	Good morning, Watanuki.
context: I-It's that racing heartbeat again.\What's wrong, Miss Ririchiyo?\I-I'm fine.\You damn fox!\Don't think that because of yesterday, everything is settled.\It's still anyone's game, because I am...\Sou! Chiyo! Morning!\Good morning, Watanuki. response:	Natsume.
context: What's wrong, Miss Ririchiyo?\I-I'm fine.\You damn fox!\Don't think that because of yesterday, everything is settled.\It's still anyone's game, because I am...\Sou! Chiyo! Morning!\Good morning, Watanuki.\Natsume. response:	Listen to me!
context: I-I'm fine.\You damn fox!\Don't think that because of yesterday, everything is settled.\It's still anyone's game, because I am...\Sou! Chiyo! Morning!\Good morning, Watanuki.\Natsume.\Listen to me! response:	That uniform...
context: You damn fox!\Don't think that because of yesterday, everything is settled.\It's still anyone's game, because I am...\Sou! Chiyo! Morning!\Good morning, Watanuki.\Natsume.\Listen to me!\That uniform... response:	So, you're in my class.
context: Don't think that because of yesterday, everything is settled.\It's still anyone's game, because I am...\Sou! Chiyo! Morning!\Good morning, Watanuki.\Natsume.\Listen to me!\That uniform...\So, you're in my class. response:	Hey, Ririchiyo.
context: It's still anyone's game, because I am...\Sou! Chiyo! Morning!\Good morning, Watanuki.\Natsume.\Listen to me!\That uniform...\So, you're in my class.\Hey, Ririchiyo. response:	This is the first time I've seen you at school.
context: Sou! Chiyo! Morning!\Good morning, Watanuki.\Natsume.\Listen to me!\That uniform...\So, you're in my class.\Hey, Ririchiyo.\This is the first time I've seen you at school. response:	Sorinozuka.
context: Good morning, Watanuki.\Natsume.\Listen to me!\That uniform...\So, you're in my class.\Hey, Ririchiyo.\This is the first time I've seen you at school.\Sorinozuka. response:	Are you going home now?
context: Natsume.\Listen to me!\That uniform...\So, you're in my class.\Hey, Ririchiyo.\This is the first time I've seen you at school.\Sorinozuka.\Are you going home now? response:	Yeah.
context: Listen to me!\That uniform...\So, you're in my class.\Hey, Ririchiyo.\This is the first time I've seen you at school.\Sorinozuka.\Are you going home now?\Yeah. response:	That's quite a boring ringtone for a high school girl.
