context: Kimi ni Todoke response:	Episode 12 TL
context: Kimi ni Todoke\Episode 12 TL response:	kyou mo omoide ga hitotsu fueteku
context: Kimi ni Todoke\Episode 12 TL\kyou mo omoide ga hitotsu fueteku response:	tameiki tamerai sae itoshii kurai
context: Kimi ni Todoke\Episode 12 TL\kyou mo omoide ga hitotsu fueteku\tameiki tamerai sae itoshii kurai response:	kimi wo matteitte zutto
context: Kimi ni Todoke\Episode 12 TL\kyou mo omoide ga hitotsu fueteku\tameiki tamerai sae itoshii kurai\kimi wo matteitte zutto response:	kimi ni todoke
context: Kimi ni Todoke\Episode 12 TL\kyou mo omoide ga hitotsu fueteku\tameiki tamerai sae itoshii kurai\kimi wo matteitte zutto\kimi ni todoke response:	kimi ni todoke
context: Kimi ni Todoke\Episode 12 TL\kyou mo omoide ga hitotsu fueteku\tameiki tamerai sae itoshii kurai\kimi wo matteitte zutto\kimi ni todoke\kimi ni todoke response:	kono omoi koi demo ii
context: Kimi ni Todoke\Episode 12 TL\kyou mo omoide ga hitotsu fueteku\tameiki tamerai sae itoshii kurai\kimi wo matteitte zutto\kimi ni todoke\kimi ni todoke\kono omoi koi demo ii response:	kizu tsuitemo ii
context: Episode 12 TL\kyou mo omoide ga hitotsu fueteku\tameiki tamerai sae itoshii kurai\kimi wo matteitte zutto\kimi ni todoke\kimi ni todoke\kono omoi koi demo ii\kizu tsuitemo ii response:	nando demo tsutaetai
context: kyou mo omoide ga hitotsu fueteku\tameiki tamerai sae itoshii kurai\kimi wo matteitte zutto\kimi ni todoke\kimi ni todoke\kono omoi koi demo ii\kizu tsuitemo ii\nando demo tsutaetai response:	kimi ni todoke
context: tameiki tamerai sae itoshii kurai\kimi wo matteitte zutto\kimi ni todoke\kimi ni todoke\kono omoi koi demo ii\kizu tsuitemo ii\nando demo tsutaetai\kimi ni todoke response:	Kokoro
context: kimi wo matteitte zutto\kimi ni todoke\kimi ni todoke\kono omoi koi demo ii\kizu tsuitemo ii\nando demo tsutaetai\kimi ni todoke\Kokoro response:	masshiro PAGE mekuru
context: kimi ni todoke\kimi ni todoke\kono omoi koi demo ii\kizu tsuitemo ii\nando demo tsutaetai\kimi ni todoke\Kokoro\masshiro PAGE mekuru response:	I walk through the white pages of my storybook
context: kimi ni todoke\kono omoi koi demo ii\kizu tsuitemo ii\nando demo tsutaetai\kimi ni todoke\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook response:	Incoming Text
context: kono omoi koi demo ii\kizu tsuitemo ii\nando demo tsutaetai\kimi ni todoke\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text response:	Incoming Text
context: kizu tsuitemo ii\nando demo tsutaetai\kimi ni todoke\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text response:	tobidasu irodoru hajikeru
context: nando demo tsutaetai\kimi ni todoke\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru response:	just waiting to be painted
context: kimi ni todoke\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru\just waiting to be painted response:	mangekyou no fuukei
