context: Caviar and foie gras, truffles, lobster and shark fin spring rolls, response:	fried sea urchin and filet mignon...
context: Caviar and foie gras, truffles, lobster and shark fin spring rolls,\fried sea urchin and filet mignon... response:	What do your parents do for a living, Kirisaki-san?
context: Caviar and foie gras, truffles, lobster and shark fin spring rolls,\fried sea urchin and filet mignon...\What do your parents do for a living, Kirisaki-san? response:	Huh? N-Nothing special! We're just an ordinary family!
context: Caviar and foie gras, truffles, lobster and shark fin spring rolls,\fried sea urchin and filet mignon...\What do your parents do for a living, Kirisaki-san?\Huh? N-Nothing special! We're just an ordinary family! response:	Wow, I never knew. You're filthy rich, aren't you?
context: Caviar and foie gras, truffles, lobster and shark fin spring rolls,\fried sea urchin and filet mignon...\What do your parents do for a living, Kirisaki-san?\Huh? N-Nothing special! We're just an ordinary family!\Wow, I never knew. You're filthy rich, aren't you? response:	I told you... I'm really not...
context: Caviar and foie gras, truffles, lobster and shark fin spring rolls,\fried sea urchin and filet mignon...\What do your parents do for a living, Kirisaki-san?\Huh? N-Nothing special! We're just an ordinary family!\Wow, I never knew. You're filthy rich, aren't you?\I told you... I'm really not... response:	So my lunch isn't exactly ordinary.
context: Caviar and foie gras, truffles, lobster and shark fin spring rolls,\fried sea urchin and filet mignon...\What do your parents do for a living, Kirisaki-san?\Huh? N-Nothing special! We're just an ordinary family!\Wow, I never knew. You're filthy rich, aren't you?\I told you... I'm really not...\So my lunch isn't exactly ordinary. response:	Oh, by the way, Miyamoto-san.
context: Caviar and foie gras, truffles, lobster and shark fin spring rolls,\fried sea urchin and filet mignon...\What do your parents do for a living, Kirisaki-san?\Huh? N-Nothing special! We're just an ordinary family!\Wow, I never knew. You're filthy rich, aren't you?\I told you... I'm really not...\So my lunch isn't exactly ordinary.\Oh, by the way, Miyamoto-san. response:	Oh, you can just call me Ruri, Kirisaki-san.
context: fried sea urchin and filet mignon...\What do your parents do for a living, Kirisaki-san?\Huh? N-Nothing special! We're just an ordinary family!\Wow, I never knew. You're filthy rich, aren't you?\I told you... I'm really not...\So my lunch isn't exactly ordinary.\Oh, by the way, Miyamoto-san.\Oh, you can just call me Ruri, Kirisaki-san. response:	Really? Then can you use my first name too.
context: What do your parents do for a living, Kirisaki-san?\Huh? N-Nothing special! We're just an ordinary family!\Wow, I never knew. You're filthy rich, aren't you?\I told you... I'm really not...\So my lunch isn't exactly ordinary.\Oh, by the way, Miyamoto-san.\Oh, you can just call me Ruri, Kirisaki-san.\Really? Then can you use my first name too. response:	Then, you can call me Kosaki!
context: Huh? N-Nothing special! We're just an ordinary family!\Wow, I never knew. You're filthy rich, aren't you?\I told you... I'm really not...\So my lunch isn't exactly ordinary.\Oh, by the way, Miyamoto-san.\Oh, you can just call me Ruri, Kirisaki-san.\Really? Then can you use my first name too.\Then, you can call me Kosaki! response:	Ruri-chan and Kosaki-chan? Gotcha!
context: Wow, I never knew. You're filthy rich, aren't you?\I told you... I'm really not...\So my lunch isn't exactly ordinary.\Oh, by the way, Miyamoto-san.\Oh, you can just call me Ruri, Kirisaki-san.\Really? Then can you use my first name too.\Then, you can call me Kosaki!\Ruri-chan and Kosaki-chan? Gotcha! response:	How lovely...
context: I told you... I'm really not...\So my lunch isn't exactly ordinary.\Oh, by the way, Miyamoto-san.\Oh, you can just call me Ruri, Kirisaki-san.\Really? Then can you use my first name too.\Then, you can call me Kosaki!\Ruri-chan and Kosaki-chan? Gotcha!\How lovely... response:	Sorry about yesterday.
context: So my lunch isn't exactly ordinary.\Oh, by the way, Miyamoto-san.\Oh, you can just call me Ruri, Kirisaki-san.\Really? Then can you use my first name too.\Then, you can call me Kosaki!\Ruri-chan and Kosaki-chan? Gotcha!\How lovely...\Sorry about yesterday. response:	I was supposed to help your team at the swim meet, but I ended up getting disqualified.
context: Oh, by the way, Miyamoto-san.\Oh, you can just call me Ruri, Kirisaki-san.\Really? Then can you use my first name too.\Then, you can call me Kosaki!\Ruri-chan and Kosaki-chan? Gotcha!\How lovely...\Sorry about yesterday.\I was supposed to help your team at the swim meet, but I ended up getting disqualified. response:	Oh, that? It's no big deal.
