context: Late Night Show response:	Late Night Show
context: Late Night Show\Late Night Show response:	Bones 10th anniversary project
context: Late Night Show\Late Night Show\Bones 10th anniversary project response:	A healthy soul,
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul, response:	For our extra curricular class, Soul and I came to Italy.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul,\For our extra curricular class, Soul and I came to Italy. response:	We safely completed our assignment.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul,\For our extra curricular class, Soul and I came to Italy.\We safely completed our assignment. response:	But then I sensed the presence of a strange soul...
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul,\For our extra curricular class, Soul and I came to Italy.\We safely completed our assignment.\But then I sensed the presence of a strange soul... response:	I had a feeling that I shouldn't have opened those doors.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul,\For our extra curricular class, Soul and I came to Italy.\We safely completed our assignment.\But then I sensed the presence of a strange soul...\I had a feeling that I shouldn't have opened those doors. response:	The domain that the weapon and the Technicians must not enter,
context: Late Night Show\Bones 10th anniversary project\A healthy soul,\For our extra curricular class, Soul and I came to Italy.\We safely completed our assignment.\But then I sensed the presence of a strange soul...\I had a feeling that I shouldn't have opened those doors.\The domain that the weapon and the Technicians must not enter, response:	And we...
context: Bones 10th anniversary project\A healthy soul,\For our extra curricular class, Soul and I came to Italy.\We safely completed our assignment.\But then I sensed the presence of a strange soul...\I had a feeling that I shouldn't have opened those doors.\The domain that the weapon and the Technicians must not enter,\And we... response:	This is a free fansub. Not for sale or rent.
context: A healthy soul,\For our extra curricular class, Soul and I came to Italy.\We safely completed our assignment.\But then I sensed the presence of a strange soul...\I had a feeling that I shouldn't have opened those doors.\The domain that the weapon and the Technicians must not enter,\And we...\This is a free fansub. Not for sale or rent. response:	My sincere apologies, I was a bit cocky last week.
context: For our extra curricular class, Soul and I came to Italy.\We safely completed our assignment.\But then I sensed the presence of a strange soul...\I had a feeling that I shouldn't have opened those doors.\The domain that the weapon and the Technicians must not enter,\And we...\This is a free fansub. Not for sale or rent.\My sincere apologies, I was a bit cocky last week. response:	We got scolded so we'll take this seriously this week.
context: We safely completed our assignment.\But then I sensed the presence of a strange soul...\I had a feeling that I shouldn't have opened those doors.\The domain that the weapon and the Technicians must not enter,\And we...\This is a free fansub. Not for sale or rent.\My sincere apologies, I was a bit cocky last week.\We got scolded so we'll take this seriously this week. response:	Medusa the Witch arrives, and then...
context: But then I sensed the presence of a strange soul...\I had a feeling that I shouldn't have opened those doors.\The domain that the weapon and the Technicians must not enter,\And we...\This is a free fansub. Not for sale or rent.\My sincere apologies, I was a bit cocky last week.\We got scolded so we'll take this seriously this week.\Medusa the Witch arrives, and then... response:	Medusa the Witch arrives, and then...
context: I had a feeling that I shouldn't have opened those doors.\The domain that the weapon and the Technicians must not enter,\And we...\This is a free fansub. Not for sale or rent.\My sincere apologies, I was a bit cocky last week.\We got scolded so we'll take this seriously this week.\Medusa the Witch arrives, and then...\Medusa the Witch arrives, and then... response:	Excalibur
context: The domain that the weapon and the Technicians must not enter,\And we...\This is a free fansub. Not for sale or rent.\My sincere apologies, I was a bit cocky last week.\We got scolded so we'll take this seriously this week.\Medusa the Witch arrives, and then...\Medusa the Witch arrives, and then...\Excalibur response:	appears in...
context: And we...\This is a free fansub. Not for sale or rent.\My sincere apologies, I was a bit cocky last week.\We got scolded so we'll take this seriously this week.\Medusa the Witch arrives, and then...\Medusa the Witch arrives, and then...\Excalibur\appears in... response:	Soul?
context: This is a free fansub. Not for sale or rent.\My sincere apologies, I was a bit cocky last week.\We got scolded so we'll take this seriously this week.\Medusa the Witch arrives, and then...\Medusa the Witch arrives, and then...\Excalibur\appears in...\Soul? response:	Soul!
context: My sincere apologies, I was a bit cocky last week.\We got scolded so we'll take this seriously this week.\Medusa the Witch arrives, and then...\Medusa the Witch arrives, and then...\Excalibur\appears in...\Soul?\Soul! response:	Now, Chrona... Finish them off.
