context: Closed for the day. response:	Hokubi News Online Cloudy weather expected during largest meteor shower of the year.
context: Closed for the day.\Hokubi News Online Cloudy weather expected during largest meteor shower of the year. response:	I'll never forget.
context: Closed for the day.\Hokubi News Online Cloudy weather expected during largest meteor shower of the year.\I'll never forget. response:	Morning.
context: Closed for the day.\Hokubi News Online Cloudy weather expected during largest meteor shower of the year.\I'll never forget.\Morning. response:	Night of the Meteor Shower
context: Closed for the day.\Hokubi News Online Cloudy weather expected during largest meteor shower of the year.\I'll never forget.\Morning.\Night of the Meteor Shower response:	Morning, Dad.
context: Closed for the day.\Hokubi News Online Cloudy weather expected during largest meteor shower of the year.\I'll never forget.\Morning.\Night of the Meteor Shower\Morning, Dad. response:	I could have cooked.
context: Closed for the day.\Hokubi News Online Cloudy weather expected during largest meteor shower of the year.\I'll never forget.\Morning.\Night of the Meteor Shower\Morning, Dad.\I could have cooked. response:	I can do it for a change.
context: Closed for the day.\Hokubi News Online Cloudy weather expected during largest meteor shower of the year.\I'll never forget.\Morning.\Night of the Meteor Shower\Morning, Dad.\I could have cooked.\I can do it for a change. response:	It's not burnt!
context: Hokubi News Online Cloudy weather expected during largest meteor shower of the year.\I'll never forget.\Morning.\Night of the Meteor Shower\Morning, Dad.\I could have cooked.\I can do it for a change.\It's not burnt! response:	I'm improving, too.
context: I'll never forget.\Morning.\Night of the Meteor Shower\Morning, Dad.\I could have cooked.\I can do it for a change.\It's not burnt!\I'm improving, too. response:	Noel, was it?
context: Morning.\Night of the Meteor Shower\Morning, Dad.\I could have cooked.\I can do it for a change.\It's not burnt!\I'm improving, too.\Noel, was it? response:	Is she okay now?
context: Night of the Meteor Shower\Morning, Dad.\I could have cooked.\I can do it for a change.\It's not burnt!\I'm improving, too.\Noel, was it?\Is she okay now? response:	Yeah, thanks to you.
context: Morning, Dad.\I could have cooked.\I can do it for a change.\It's not burnt!\I'm improving, too.\Noel, was it?\Is she okay now?\Yeah, thanks to you. response:	Next time she's here, she'll have to try my awesome cooking.
context: I could have cooked.\I can do it for a change.\It's not burnt!\I'm improving, too.\Noel, was it?\Is she okay now?\Yeah, thanks to you.\Next time she's here, she'll have to try my awesome cooking. response:	You're right.
context: I can do it for a change.\It's not burnt!\I'm improving, too.\Noel, was it?\Is she okay now?\Yeah, thanks to you.\Next time she's here, she'll have to try my awesome cooking.\You're right. response:	Hey,
context: It's not burnt!\I'm improving, too.\Noel, was it?\Is she okay now?\Yeah, thanks to you.\Next time she's here, she'll have to try my awesome cooking.\You're right.\Hey, response:	I might be late tonight.
context: I'm improving, too.\Noel, was it?\Is she okay now?\Yeah, thanks to you.\Next time she's here, she'll have to try my awesome cooking.\You're right.\Hey,\I might be late tonight. response:	Is that okay?
context: Noel, was it?\Is she okay now?\Yeah, thanks to you.\Next time she's here, she'll have to try my awesome cooking.\You're right.\Hey,\I might be late tonight.\Is that okay? response:	As long as I can contact you.
context: Is she okay now?\Yeah, thanks to you.\Next time she's here, she'll have to try my awesome cooking.\You're right.\Hey,\I might be late tonight.\Is that okay?\As long as I can contact you. response:	Thanks, Dad.
context: Yeah, thanks to you.\Next time she's here, she'll have to try my awesome cooking.\You're right.\Hey,\I might be late tonight.\Is that okay?\As long as I can contact you.\Thanks, Dad. response:	Komiya Shuichi Kaori Nonoka
context: Next time she's here, she'll have to try my awesome cooking.\You're right.\Hey,\I might be late tonight.\Is that okay?\As long as I can contact you.\Thanks, Dad.\Komiya Shuichi Kaori Nonoka response:	I'm leaving.
context: You're right.\Hey,\I might be late tonight.\Is that okay?\As long as I can contact you.\Thanks, Dad.\Komiya Shuichi Kaori Nonoka\I'm leaving. response:	Nonoka!
context: Hey,\I might be late tonight.\Is that okay?\As long as I can contact you.\Thanks, Dad.\Komiya Shuichi Kaori Nonoka\I'm leaving.\Nonoka! response:	Oh, good.
context: I might be late tonight.\Is that okay?\As long as I can contact you.\Thanks, Dad.\Komiya Shuichi Kaori Nonoka\I'm leaving.\Nonoka!\Oh, good. response:	There's something we need to talk about.
context: Is that okay?\As long as I can contact you.\Thanks, Dad.\Komiya Shuichi Kaori Nonoka\I'm leaving.\Nonoka!\Oh, good.\There's something we need to talk about. response:	Yuzuki.
context: As long as I can contact you.\Thanks, Dad.\Komiya Shuichi Kaori Nonoka\I'm leaving.\Nonoka!\Oh, good.\There's something we need to talk about.\Yuzuki. response:	Hey, morning.
context: Thanks, Dad.\Komiya Shuichi Kaori Nonoka\I'm leaving.\Nonoka!\Oh, good.\There's something we need to talk about.\Yuzuki.\Hey, morning. response:	Clouds, clouds, go away!
context: Komiya Shuichi Kaori Nonoka\I'm leaving.\Nonoka!\Oh, good.\There's something we need to talk about.\Yuzuki.\Hey, morning.\Clouds, clouds, go away! response:	I see, the olive oil
context: I'm leaving.\Nonoka!\Oh, good.\There's something we need to talk about.\Yuzuki.\Hey, morning.\Clouds, clouds, go away!\I see, the olive oil response:	The meteor shower this year, unfortunately
context: Nonoka!\Oh, good.\There's something we need to talk about.\Yuzuki.\Hey, morning.\Clouds, clouds, go away!\I see, the olive oil\The meteor shower this year, unfortunately response:	Wait.
context: Oh, good.\There's something we need to talk about.\Yuzuki.\Hey, morning.\Clouds, clouds, go away!\I see, the olive oil\The meteor shower this year, unfortunately\Wait. response:	Didn't this happen before, too?
context: There's something we need to talk about.\Yuzuki.\Hey, morning.\Clouds, clouds, go away!\I see, the olive oil\The meteor shower this year, unfortunately\Wait.\Didn't this happen before, too? response:	No, it hurts more than last time.
context: Yuzuki.\Hey, morning.\Clouds, clouds, go away!\I see, the olive oil\The meteor shower this year, unfortunately\Wait.\Didn't this happen before, too?\No, it hurts more than last time. response:	Because I know you're forcing it.
context: Hey, morning.\Clouds, clouds, go away!\I see, the olive oil\The meteor shower this year, unfortunately\Wait.\Didn't this happen before, too?\No, it hurts more than last time.\Because I know you're forcing it. response:	Yuzuki!
context: Clouds, clouds, go away!\I see, the olive oil\The meteor shower this year, unfortunately\Wait.\Didn't this happen before, too?\No, it hurts more than last time.\Because I know you're forcing it.\Yuzuki! response:	Let's meet at the observatory tonight!
context: I see, the olive oil\The meteor shower this year, unfortunately\Wait.\Didn't this happen before, too?\No, it hurts more than last time.\Because I know you're forcing it.\Yuzuki!\Let's meet at the observatory tonight! response:	We're all watching the meteor shower together!
context: The meteor shower this year, unfortunately\Wait.\Didn't this happen before, too?\No, it hurts more than last time.\Because I know you're forcing it.\Yuzuki!\Let's meet at the observatory tonight!\We're all watching the meteor shower together! response:	Hey, Souta, what's your plan now?
context: Wait.\Didn't this happen before, too?\No, it hurts more than last time.\Because I know you're forcing it.\Yuzuki!\Let's meet at the observatory tonight!\We're all watching the meteor shower together!\Hey, Souta, what's your plan now? response:	Hey.
context: Didn't this happen before, too?\No, it hurts more than last time.\Because I know you're forcing it.\Yuzuki!\Let's meet at the observatory tonight!\We're all watching the meteor shower together!\Hey, Souta, what's your plan now?\Hey. response:	What's wrong with you?
context: No, it hurts more than last time.\Because I know you're forcing it.\Yuzuki!\Let's meet at the observatory tonight!\We're all watching the meteor shower together!\Hey, Souta, what's your plan now?\Hey.\What's wrong with you? response:	No,
