context: Understood. response:	I'll investigate here, too.
context: Understood.\I'll investigate here, too. response:	I'll contact you again later.
context: Understood.\I'll investigate here, too.\I'll contact you again later. response:	Um, Rieze?
context: Understood.\I'll investigate here, too.\I'll contact you again later.\Um, Rieze? response:	I-I'm sorry...
context: Understood.\I'll investigate here, too.\I'll contact you again later.\Um, Rieze?\I-I'm sorry... response:	It's nothing.
context: Understood.\I'll investigate here, too.\I'll contact you again later.\Um, Rieze?\I-I'm sorry...\It's nothing. response:	I know this is an important time.
context: Understood.\I'll investigate here, too.\I'll contact you again later.\Um, Rieze?\I-I'm sorry...\It's nothing.\I know this is an important time. response:	You don't need to put up a brave front.
context: Understood.\I'll investigate here, too.\I'll contact you again later.\Um, Rieze?\I-I'm sorry...\It's nothing.\I know this is an important time.\You don't need to put up a brave front. response:	Would you like to tell me what happened?
context: I'll investigate here, too.\I'll contact you again later.\Um, Rieze?\I-I'm sorry...\It's nothing.\I know this is an important time.\You don't need to put up a brave front.\Would you like to tell me what happened? response:	Takayama's weapon went out of control?
context: I'll contact you again later.\Um, Rieze?\I-I'm sorry...\It's nothing.\I know this is an important time.\You don't need to put up a brave front.\Would you like to tell me what happened?\Takayama's weapon went out of control? response:	And Crusty disappeared?
context: Um, Rieze?\I-I'm sorry...\It's nothing.\I know this is an important time.\You don't need to put up a brave front.\Would you like to tell me what happened?\Takayama's weapon went out of control?\And Crusty disappeared? response:	He's missing, and he isn't responding to telepathy.
context: I-I'm sorry...\It's nothing.\I know this is an important time.\You don't need to put up a brave front.\Would you like to tell me what happened?\Takayama's weapon went out of control?\And Crusty disappeared?\He's missing, and he isn't responding to telepathy. response:	We also have that murderer to think about.
context: It's nothing.\I know this is an important time.\You don't need to put up a brave front.\Would you like to tell me what happened?\Takayama's weapon went out of control?\And Crusty disappeared?\He's missing, and he isn't responding to telepathy.\We also have that murderer to think about. response:	Until more details are known, D.D.D. doesn't want word to get out.
context: I know this is an important time.\You don't need to put up a brave front.\Would you like to tell me what happened?\Takayama's weapon went out of control?\And Crusty disappeared?\He's missing, and he isn't responding to telepathy.\We also have that murderer to think about.\Until more details are known, D.D.D. doesn't want word to get out. response:	Yeah, it may be best to wait before we tell the Round Table.
context: You don't need to put up a brave front.\Would you like to tell me what happened?\Takayama's weapon went out of control?\And Crusty disappeared?\He's missing, and he isn't responding to telepathy.\We also have that murderer to think about.\Until more details are known, D.D.D. doesn't want word to get out.\Yeah, it may be best to wait before we tell the Round Table. response:	There are Minami spies around, too.
context: Would you like to tell me what happened?\Takayama's weapon went out of control?\And Crusty disappeared?\He's missing, and he isn't responding to telepathy.\We also have that murderer to think about.\Until more details are known, D.D.D. doesn't want word to get out.\Yeah, it may be best to wait before we tell the Round Table.\There are Minami spies around, too. response:	We shouldn't tell Princess Lenessia, either.
context: Takayama's weapon went out of control?\And Crusty disappeared?\He's missing, and he isn't responding to telepathy.\We also have that murderer to think about.\Until more details are known, D.D.D. doesn't want word to get out.\Yeah, it may be best to wait before we tell the Round Table.\There are Minami spies around, too.\We shouldn't tell Princess Lenessia, either. response:	Thanks.
context: And Crusty disappeared?\He's missing, and he isn't responding to telepathy.\We also have that murderer to think about.\Until more details are known, D.D.D. doesn't want word to get out.\Yeah, it may be best to wait before we tell the Round Table.\There are Minami spies around, too.\We shouldn't tell Princess Lenessia, either.\Thanks. response:	Knowing Crusty, he'll come right back, as if nothing happened.
context: He's missing, and he isn't responding to telepathy.\We also have that murderer to think about.\Until more details are known, D.D.D. doesn't want word to get out.\Yeah, it may be best to wait before we tell the Round Table.\There are Minami spies around, too.\We shouldn't tell Princess Lenessia, either.\Thanks.\Knowing Crusty, he'll come right back, as if nothing happened. response:	You're right.
context: We also have that murderer to think about.\Until more details are known, D.D.D. doesn't want word to get out.\Yeah, it may be best to wait before we tell the Round Table.\There are Minami spies around, too.\We shouldn't tell Princess Lenessia, either.\Thanks.\Knowing Crusty, he'll come right back, as if nothing happened.\You're right. response:	Henrietta, big trouble!
context: Until more details are known, D.D.D. doesn't want word to get out.\Yeah, it may be best to wait before we tell the Round Table.\There are Minami spies around, too.\We shouldn't tell Princess Lenessia, either.\Thanks.\Knowing Crusty, he'll come right back, as if nothing happened.\You're right.\Henrietta, big trouble! response:	What's going on?
context: Yeah, it may be best to wait before we tell the Round Table.\There are Minami spies around, too.\We shouldn't tell Princess Lenessia, either.\Thanks.\Knowing Crusty, he'll come right back, as if nothing happened.\You're right.\Henrietta, big trouble!\What's going on? response:	I need to talk to you about the flavor text.
context: There are Minami spies around, too.\We shouldn't tell Princess Lenessia, either.\Thanks.\Knowing Crusty, he'll come right back, as if nothing happened.\You're right.\Henrietta, big trouble!\What's going on?\I need to talk to you about the flavor text. response:	The Maidens of Watermaple
context: We shouldn't tell Princess Lenessia, either.\Thanks.\Knowing Crusty, he'll come right back, as if nothing happened.\You're right.\Henrietta, big trouble!\What's going on?\I need to talk to you about the flavor text.\The Maidens of Watermaple response:	The Maidens of Watermaple.
context: Thanks.\Knowing Crusty, he'll come right back, as if nothing happened.\You're right.\Henrietta, big trouble!\What's going on?\I need to talk to you about the flavor text.\The Maidens of Watermaple\The Maidens of Watermaple. response:	The flavor text is becoming real?
context: Knowing Crusty, he'll come right back, as if nothing happened.\You're right.\Henrietta, big trouble!\What's going on?\I need to talk to you about the flavor text.\The Maidens of Watermaple\The Maidens of Watermaple.\The flavor text is becoming real? response:	Yeah. Originally, it was just backstories for items.
context: You're right.\Henrietta, big trouble!\What's going on?\I need to talk to you about the flavor text.\The Maidens of Watermaple\The Maidens of Watermaple.\The flavor text is becoming real?\Yeah. Originally, it was just backstories for items. response:	But now, the stuff in the text is coming true or happening in reality.
context: Henrietta, big trouble!\What's going on?\I need to talk to you about the flavor text.\The Maidens of Watermaple\The Maidens of Watermaple.\The flavor text is becoming real?\Yeah. Originally, it was just backstories for items.\But now, the stuff in the text is coming true or happening in reality. response:	Then we'll also need to be mindful of the flavor text in the future.
context: What's going on?\I need to talk to you about the flavor text.\The Maidens of Watermaple\The Maidens of Watermaple.\The flavor text is becoming real?\Yeah. Originally, it was just backstories for items.\But now, the stuff in the text is coming true or happening in reality.\Then we'll also need to be mindful of the flavor text in the future. response:	Yeah, we don't know what will happen.
context: I need to talk to you about the flavor text.\The Maidens of Watermaple\The Maidens of Watermaple.\The flavor text is becoming real?\Yeah. Originally, it was just backstories for items.\But now, the stuff in the text is coming true or happening in reality.\Then we'll also need to be mindful of the flavor text in the future.\Yeah, we don't know what will happen. response:	Which means Misa's weapon's going out of control
context: The Maidens of Watermaple\The Maidens of Watermaple.\The flavor text is becoming real?\Yeah. Originally, it was just backstories for items.\But now, the stuff in the text is coming true or happening in reality.\Then we'll also need to be mindful of the flavor text in the future.\Yeah, we don't know what will happen.\Which means Misa's weapon's going out of control response:	might be related to that.
context: The Maidens of Watermaple.\The flavor text is becoming real?\Yeah. Originally, it was just backstories for items.\But now, the stuff in the text is coming true or happening in reality.\Then we'll also need to be mindful of the flavor text in the future.\Yeah, we don't know what will happen.\Which means Misa's weapon's going out of control\might be related to that. response:	And...
context: The flavor text is becoming real?\Yeah. Originally, it was just backstories for items.\But now, the stuff in the text is coming true or happening in reality.\Then we'll also need to be mindful of the flavor text in the future.\Yeah, we don't know what will happen.\Which means Misa's weapon's going out of control\might be related to that.\And... response:	The murderer's Byakumaru...
context: Yeah. Originally, it was just backstories for items.\But now, the stuff in the text is coming true or happening in reality.\Then we'll also need to be mindful of the flavor text in the future.\Yeah, we don't know what will happen.\Which means Misa's weapon's going out of control\might be related to that.\And...\The murderer's Byakumaru... response:	Its flavor text might have become real, too.
context: But now, the stuff in the text is coming true or happening in reality.\Then we'll also need to be mindful of the flavor text in the future.\Yeah, we don't know what will happen.\Which means Misa's weapon's going out of control\might be related to that.\And...\The murderer's Byakumaru...\Its flavor text might have become real, too. response:	That means the murderer possesses not only a Royal Guard's armor,
context: Then we'll also need to be mindful of the flavor text in the future.\Yeah, we don't know what will happen.\Which means Misa's weapon's going out of control\might be related to that.\And...\The murderer's Byakumaru...\Its flavor text might have become real, too.\That means the murderer possesses not only a Royal Guard's armor, response:	but a powerful weapon, as well.
