context: Yeah, she got angry at me after all. response:	It was like she was possessed by a demon.
context: Yeah, she got angry at me after all.\It was like she was possessed by a demon. response:	I told her I'd run away from home, and she said to go ahead and try it.
context: Yeah, she got angry at me after all.\It was like she was possessed by a demon.\I told her I'd run away from home, and she said to go ahead and try it. response:	I guess I tried to set her off and she called my bluff.
context: Yeah, she got angry at me after all.\It was like she was possessed by a demon.\I told her I'd run away from home, and she said to go ahead and try it.\I guess I tried to set her off and she called my bluff. response:	Yadomi?
context: Yeah, she got angry at me after all.\It was like she was possessed by a demon.\I told her I'd run away from home, and she said to go ahead and try it.\I guess I tried to set her off and she called my bluff.\Yadomi? response:	Why did you bring this?
context: Yeah, she got angry at me after all.\It was like she was possessed by a demon.\I told her I'd run away from home, and she said to go ahead and try it.\I guess I tried to set her off and she called my bluff.\Yadomi?\Why did you bring this? response:	I can't sleep without it.
context: Yeah, she got angry at me after all.\It was like she was possessed by a demon.\I told her I'd run away from home, and she said to go ahead and try it.\I guess I tried to set her off and she called my bluff.\Yadomi?\Why did you bring this?\I can't sleep without it. response:	What about this towel?
context: Yeah, she got angry at me after all.\It was like she was possessed by a demon.\I told her I'd run away from home, and she said to go ahead and try it.\I guess I tried to set her off and she called my bluff.\Yadomi?\Why did you bring this?\I can't sleep without it.\What about this towel? response:	I need this to sleep too.
context: It was like she was possessed by a demon.\I told her I'd run away from home, and she said to go ahead and try it.\I guess I tried to set her off and she called my bluff.\Yadomi?\Why did you bring this?\I can't sleep without it.\What about this towel?\I need this to sleep too. response:	You must be seriously sleep deprived.
context: I told her I'd run away from home, and she said to go ahead and try it.\I guess I tried to set her off and she called my bluff.\Yadomi?\Why did you bring this?\I can't sleep without it.\What about this towel?\I need this to sleep too.\You must be seriously sleep deprived. response:	Calm down and think things through. You can't run away from home.
context: I guess I tried to set her off and she called my bluff.\Yadomi?\Why did you bring this?\I can't sleep without it.\What about this towel?\I need this to sleep too.\You must be seriously sleep deprived.\Calm down and think things through. You can't run away from home. response:	And you shouldn't skip school either.
context: Yadomi?\Why did you bring this?\I can't sleep without it.\What about this towel?\I need this to sleep too.\You must be seriously sleep deprived.\Calm down and think things through. You can't run away from home.\And you shouldn't skip school either. response:	You're one to talk.
context: Why did you bring this?\I can't sleep without it.\What about this towel?\I need this to sleep too.\You must be seriously sleep deprived.\Calm down and think things through. You can't run away from home.\And you shouldn't skip school either.\You're one to talk. response:	Listen to me, Anjou.
context: I can't sleep without it.\What about this towel?\I need this to sleep too.\You must be seriously sleep deprived.\Calm down and think things through. You can't run away from home.\And you shouldn't skip school either.\You're one to talk.\Listen to me, Anjou. response:	Once you've tried skipping school, it will get out of hand.
context: What about this towel?\I need this to sleep too.\You must be seriously sleep deprived.\Calm down and think things through. You can't run away from home.\And you shouldn't skip school either.\You're one to talk.\Listen to me, Anjou.\Once you've tried skipping school, it will get out of hand. response:	It's fine at first.
context: I need this to sleep too.\You must be seriously sleep deprived.\Calm down and think things through. You can't run away from home.\And you shouldn't skip school either.\You're one to talk.\Listen to me, Anjou.\Once you've tried skipping school, it will get out of hand.\It's fine at first. response:	Nothing changes if you just skip one day.
context: You must be seriously sleep deprived.\Calm down and think things through. You can't run away from home.\And you shouldn't skip school either.\You're one to talk.\Listen to me, Anjou.\Once you've tried skipping school, it will get out of hand.\It's fine at first.\Nothing changes if you just skip one day. response:	But since nothing changed, you tell yourself it's OK to skip one more day, and then another, and the days just keep adding up.
context: Calm down and think things through. You can't run away from home.\And you shouldn't skip school either.\You're one to talk.\Listen to me, Anjou.\Once you've tried skipping school, it will get out of hand.\It's fine at first.\Nothing changes if you just skip one day.\But since nothing changed, you tell yourself it's OK to skip one more day, and then another, and the days just keep adding up. response:	And before you realize, you've already...
context: And you shouldn't skip school either.\You're one to talk.\Listen to me, Anjou.\Once you've tried skipping school, it will get out of hand.\It's fine at first.\Nothing changes if you just skip one day.\But since nothing changed, you tell yourself it's OK to skip one more day, and then another, and the days just keep adding up.\And before you realize, you've already... response:	Yeah, I guess I don't really have a right to lecture you about that.
context: You're one to talk.\Listen to me, Anjou.\Once you've tried skipping school, it will get out of hand.\It's fine at first.\Nothing changes if you just skip one day.\But since nothing changed, you tell yourself it's OK to skip one more day, and then another, and the days just keep adding up.\And before you realize, you've already...\Yeah, I guess I don't really have a right to lecture you about that. response:	All right.
context: Listen to me, Anjou.\Once you've tried skipping school, it will get out of hand.\It's fine at first.\Nothing changes if you just skip one day.\But since nothing changed, you tell yourself it's OK to skip one more day, and then another, and the days just keep adding up.\And before you realize, you've already...\Yeah, I guess I don't really have a right to lecture you about that.\All right. response:	Huh?
context: Once you've tried skipping school, it will get out of hand.\It's fine at first.\Nothing changes if you just skip one day.\But since nothing changed, you tell yourself it's OK to skip one more day, and then another, and the days just keep adding up.\And before you realize, you've already...\Yeah, I guess I don't really have a right to lecture you about that.\All right.\Huh? response:	Yeah. You're right.
context: It's fine at first.\Nothing changes if you just skip one day.\But since nothing changed, you tell yourself it's OK to skip one more day, and then another, and the days just keep adding up.\And before you realize, you've already...\Yeah, I guess I don't really have a right to lecture you about that.\All right.\Huh?\Yeah. You're right. response:	You're pretty amazing. You haven't lost your style while living as a shut-in.
context: Nothing changes if you just skip one day.\But since nothing changed, you tell yourself it's OK to skip one more day, and then another, and the days just keep adding up.\And before you realize, you've already...\Yeah, I guess I don't really have a right to lecture you about that.\All right.\Huh?\Yeah. You're right.\You're pretty amazing. You haven't lost your style while living as a shut-in. response:	Why bring that up...
context: But since nothing changed, you tell yourself it's OK to skip one more day, and then another, and the days just keep adding up.\And before you realize, you've already...\Yeah, I guess I don't really have a right to lecture you about that.\All right.\Huh?\Yeah. You're right.\You're pretty amazing. You haven't lost your style while living as a shut-in.\Why bring that up... response:	You really haven't changed.
context: And before you realize, you've already...\Yeah, I guess I don't really have a right to lecture you about that.\All right.\Huh?\Yeah. You're right.\You're pretty amazing. You haven't lost your style while living as a shut-in.\Why bring that up...\You really haven't changed. response:	Huh?
context: Yeah, I guess I don't really have a right to lecture you about that.\All right.\Huh?\Yeah. You're right.\You're pretty amazing. You haven't lost your style while living as a shut-in.\Why bring that up...\You really haven't changed.\Huh? response:	No matter what you're going through, you only think of others.
context: All right.\Huh?\Yeah. You're right.\You're pretty amazing. You haven't lost your style while living as a shut-in.\Why bring that up...\You really haven't changed.\Huh?\No matter what you're going through, you only think of others. response:	Cut it out already!
context: Huh?\Yeah. You're right.\You're pretty amazing. You haven't lost your style while living as a shut-in.\Why bring that up...\You really haven't changed.\Huh?\No matter what you're going through, you only think of others.\Cut it out already! response:	All you ever do is worry about others.
context: Yeah. You're right.\You're pretty amazing. You haven't lost your style while living as a shut-in.\Why bring that up...\You really haven't changed.\Huh?\No matter what you're going through, you only think of others.\Cut it out already!\All you ever do is worry about others. response:	I'm not like that.
context: You're pretty amazing. You haven't lost your style while living as a shut-in.\Why bring that up...\You really haven't changed.\Huh?\No matter what you're going through, you only think of others.\Cut it out already!\All you ever do is worry about others.\I'm not like that. response:	Menma's way more...
context: Why bring that up...\You really haven't changed.\Huh?\No matter what you're going through, you only think of others.\Cut it out already!\All you ever do is worry about others.\I'm not like that.\Menma's way more... response:	Hey listen...
context: You really haven't changed.\Huh?\No matter what you're going through, you only think of others.\Cut it out already!\All you ever do is worry about others.\I'm not like that.\Menma's way more...\Hey listen... response:	I talked to Yukiatsu, and he said that we're all still obsessed with Menma.
context: Huh?\No matter what you're going through, you only think of others.\Cut it out already!\All you ever do is worry about others.\I'm not like that.\Menma's way more...\Hey listen...\I talked to Yukiatsu, and he said that we're all still obsessed with Menma. response:	And he said that maybe that's not healthy.
context: No matter what you're going through, you only think of others.\Cut it out already!\All you ever do is worry about others.\I'm not like that.\Menma's way more...\Hey listen...\I talked to Yukiatsu, and he said that we're all still obsessed with Menma.\And he said that maybe that's not healthy. response:	Say what you want, but she's at my house right now.
context: Cut it out already!\All you ever do is worry about others.\I'm not like that.\Menma's way more...\Hey listen...\I talked to Yukiatsu, and he said that we're all still obsessed with Menma.\And he said that maybe that's not healthy.\Say what you want, but she's at my house right now. response:	That's what I'm talking about...
context: All you ever do is worry about others.\I'm not like that.\Menma's way more...\Hey listen...\I talked to Yukiatsu, and he said that we're all still obsessed with Menma.\And he said that maybe that's not healthy.\Say what you want, but she's at my house right now.\That's what I'm talking about... response:	Wait, you don't believe in Menma?
context: I'm not like that.\Menma's way more...\Hey listen...\I talked to Yukiatsu, and he said that we're all still obsessed with Menma.\And he said that maybe that's not healthy.\Say what you want, but she's at my house right now.\That's what I'm talking about...\Wait, you don't believe in Menma? response:	No, it's not that I don't believe in her.
context: Menma's way more...\Hey listen...\I talked to Yukiatsu, and he said that we're all still obsessed with Menma.\And he said that maybe that's not healthy.\Say what you want, but she's at my house right now.\That's what I'm talking about...\Wait, you don't believe in Menma?\No, it's not that I don't believe in her. response:	I'm heading home.
context: Hey listen...\I talked to Yukiatsu, and he said that we're all still obsessed with Menma.\And he said that maybe that's not healthy.\Say what you want, but she's at my house right now.\That's what I'm talking about...\Wait, you don't believe in Menma?\No, it's not that I don't believe in her.\I'm heading home. response:	Wait a second, Yadomi.
context: I talked to Yukiatsu, and he said that we're all still obsessed with Menma.\And he said that maybe that's not healthy.\Say what you want, but she's at my house right now.\That's what I'm talking about...\Wait, you don't believe in Menma?\No, it's not that I don't believe in her.\I'm heading home.\Wait a second, Yadomi. response:	I bought some beef bowl curry.
context: And he said that maybe that's not healthy.\Say what you want, but she's at my house right now.\That's what I'm talking about...\Wait, you don't believe in Menma?\No, it's not that I don't believe in her.\I'm heading home.\Wait a second, Yadomi.\I bought some beef bowl curry. response:	That'll be 520 yen.
context: Say what you want, but she's at my house right now.\That's what I'm talking about...\Wait, you don't believe in Menma?\No, it's not that I don't believe in her.\I'm heading home.\Wait a second, Yadomi.\I bought some beef bowl curry.\That'll be 520 yen. response:	Beef bowl curry retreats!
context: That's what I'm talking about...\Wait, you don't believe in Menma?\No, it's not that I don't believe in her.\I'm heading home.\Wait a second, Yadomi.\I bought some beef bowl curry.\That'll be 520 yen.\Beef bowl curry retreats! response:	It's not what you think!
context: Wait, you don't believe in Menma?\No, it's not that I don't believe in her.\I'm heading home.\Wait a second, Yadomi.\I bought some beef bowl curry.\That'll be 520 yen.\Beef bowl curry retreats!\It's not what you think! response:	I was just here for the diary...
context: No, it's not that I don't believe in her.\I'm heading home.\Wait a second, Yadomi.\I bought some beef bowl curry.\That'll be 520 yen.\Beef bowl curry retreats!\It's not what you think!\I was just here for the diary... response:	My food!
context: I'm heading home.\Wait a second, Yadomi.\I bought some beef bowl curry.\That'll be 520 yen.\Beef bowl curry retreats!\It's not what you think!\I was just here for the diary...\My food! response:	-OP-
context: Wait a second, Yadomi.\I bought some beef bowl curry.\That'll be 520 yen.\Beef bowl curry retreats!\It's not what you think!\I was just here for the diary...\My food!\-OP- response:	By reading this we might figure out Menma's wish.
context: I bought some beef bowl curry.\That'll be 520 yen.\Beef bowl curry retreats!\It's not what you think!\I was just here for the diary...\My food!\-OP-\By reading this we might figure out Menma's wish. response:	Let's do it.
context: That'll be 520 yen.\Beef bowl curry retreats!\It's not what you think!\I was just here for the diary...\My food!\-OP-\By reading this we might figure out Menma's wish.\Let's do it. response:	The Menma I don't know is in here.
context: Beef bowl curry retreats!\It's not what you think!\I was just here for the diary...\My food!\-OP-\By reading this we might figure out Menma's wish.\Let's do it.\The Menma I don't know is in here. response:	The things Menma thought that I don't know about are in here.
context: It's not what you think!\I was just here for the diary...\My food!\-OP-\By reading this we might figure out Menma's wish.\Let's do it.\The Menma I don't know is in here.\The things Menma thought that I don't know about are in here. response:	This is pretty...
context: I was just here for the diary...\My food!\-OP-\By reading this we might figure out Menma's wish.\Let's do it.\The Menma I don't know is in here.\The things Menma thought that I don't know about are in here.\This is pretty... response:	Halfheartedly done.
context: My food!\-OP-\By reading this we might figure out Menma's wish.\Let's do it.\The Menma I don't know is in here.\The things Menma thought that I don't know about are in here.\This is pretty...\Halfheartedly done. response:	The only thing that's different is whether she says she had fun or a blast.
context: -OP-\By reading this we might figure out Menma's wish.\Let's do it.\The Menma I don't know is in here.\The things Menma thought that I don't know about are in here.\This is pretty...\Halfheartedly done.\The only thing that's different is whether she says she had fun or a blast. response:	She was bad at writing.
context: By reading this we might figure out Menma's wish.\Let's do it.\The Menma I don't know is in here.\The things Menma thought that I don't know about are in here.\This is pretty...\Halfheartedly done.\The only thing that's different is whether she says she had fun or a blast.\She was bad at writing. response:	Hey, this one's a little different.
context: Let's do it.\The Menma I don't know is in here.\The things Menma thought that I don't know about are in here.\This is pretty...\Halfheartedly done.\The only thing that's different is whether she says she had fun or a blast.\She was bad at writing.\Hey, this one's a little different. response:	I tripped while playing with everyone today. It hurt.
context: The Menma I don't know is in here.\The things Menma thought that I don't know about are in here.\This is pretty...\Halfheartedly done.\The only thing that's different is whether she says she had fun or a blast.\She was bad at writing.\Hey, this one's a little different.\I tripped while playing with everyone today. It hurt. response:	Look, this one's different too.
context: The things Menma thought that I don't know about are in here.\This is pretty...\Halfheartedly done.\The only thing that's different is whether she says she had fun or a blast.\She was bad at writing.\Hey, this one's a little different.\I tripped while playing with everyone today. It hurt.\Look, this one's different too. response:	Today we all went to the hospital to visit Jintan's mom.
context: This is pretty...\Halfheartedly done.\The only thing that's different is whether she says she had fun or a blast.\She was bad at writing.\Hey, this one's a little different.\I tripped while playing with everyone today. It hurt.\Look, this one's different too.\Today we all went to the hospital to visit Jintan's mom. response:	We visited the hospital huh?
context: Halfheartedly done.\The only thing that's different is whether she says she had fun or a blast.\She was bad at writing.\Hey, this one's a little different.\I tripped while playing with everyone today. It hurt.\Look, this one's different too.\Today we all went to the hospital to visit Jintan's mom.\We visited the hospital huh? response:	We did do that often, all of us together.
context: The only thing that's different is whether she says she had fun or a blast.\She was bad at writing.\Hey, this one's a little different.\I tripped while playing with everyone today. It hurt.\Look, this one's different too.\Today we all went to the hospital to visit Jintan's mom.\We visited the hospital huh?\We did do that often, all of us together. response:	Mom!
context: She was bad at writing.\Hey, this one's a little different.\I tripped while playing with everyone today. It hurt.\Look, this one's different too.\Today we all went to the hospital to visit Jintan's mom.\We visited the hospital huh?\We did do that often, all of us together.\Mom! response:	Jintan's mom is always in the hospital.
context: Hey, this one's a little different.\I tripped while playing with everyone today. It hurt.\Look, this one's different too.\Today we all went to the hospital to visit Jintan's mom.\We visited the hospital huh?\We did do that often, all of us together.\Mom!\Jintan's mom is always in the hospital. response:	I have an idea! Let's all write a letter to God.
context: I tripped while playing with everyone today. It hurt.\Look, this one's different too.\Today we all went to the hospital to visit Jintan's mom.\We visited the hospital huh?\We did do that often, all of us together.\Mom!\Jintan's mom is always in the hospital.\I have an idea! Let's all write a letter to God. response:	Please make Jintan's mom better soon!
context: Look, this one's different too.\Today we all went to the hospital to visit Jintan's mom.\We visited the hospital huh?\We did do that often, all of us together.\Mom!\Jintan's mom is always in the hospital.\I have an idea! Let's all write a letter to God.\Please make Jintan's mom better soon! response:	How would we do that?
