context: Where are they taking us? response:	Sorry, Vivian.
context: Where are they taking us?\Sorry, Vivian. response:	There are girls in here.
context: Where are they taking us?\Sorry, Vivian.\There are girls in here. response:	Not so rough, okay?
context: Where are they taking us?\Sorry, Vivian.\There are girls in here.\Not so rough, okay? response:	Don't worry, Ange.
context: Where are they taking us?\Sorry, Vivian.\There are girls in here.\Not so rough, okay?\Don't worry, Ange. response:	Huh?
context: Where are they taking us?\Sorry, Vivian.\There are girls in here.\Not so rough, okay?\Don't worry, Ange.\Huh? response:	No matter what this world is like,
context: Where are they taking us?\Sorry, Vivian.\There are girls in here.\Not so rough, okay?\Don't worry, Ange.\Huh?\No matter what this world is like, response:	I'll protect you.
context: Where are they taking us?\Sorry, Vivian.\There are girls in here.\Not so rough, okay?\Don't worry, Ange.\Huh?\No matter what this world is like,\I'll protect you. response:	You're right.
context: Sorry, Vivian.\There are girls in here.\Not so rough, okay?\Don't worry, Ange.\Huh?\No matter what this world is like,\I'll protect you.\You're right. response:	Those people spoke our language.
context: There are girls in here.\Not so rough, okay?\Don't worry, Ange.\Huh?\No matter what this world is like,\I'll protect you.\You're right.\Those people spoke our language. response:	If we could speak to them, we might learn something about this world.
context: Not so rough, okay?\Don't worry, Ange.\Huh?\No matter what this world is like,\I'll protect you.\You're right.\Those people spoke our language.\If we could speak to them, we might learn something about this world. response:	Th-That's true...
context: Don't worry, Ange.\Huh?\No matter what this world is like,\I'll protect you.\You're right.\Those people spoke our language.\If we could speak to them, we might learn something about this world.\Th-That's true... response:	What?
context: Huh?\No matter what this world is like,\I'll protect you.\You're right.\Those people spoke our language.\If we could speak to them, we might learn something about this world.\Th-That's true...\What? response:	I mean, you're being your usual self.
context: No matter what this world is like,\I'll protect you.\You're right.\Those people spoke our language.\If we could speak to them, we might learn something about this world.\Th-That's true...\What?\I mean, you're being your usual self. response:	Huh?
context: I'll protect you.\You're right.\Those people spoke our language.\If we could speak to them, we might learn something about this world.\Th-That's true...\What?\I mean, you're being your usual self.\Huh? response:	Are you frustrated because you didn't get any?
context: You're right.\Those people spoke our language.\If we could speak to them, we might learn something about this world.\Th-That's true...\What?\I mean, you're being your usual self.\Huh?\Are you frustrated because you didn't get any? response:	Huh?
context: Those people spoke our language.\If we could speak to them, we might learn something about this world.\Th-That's true...\What?\I mean, you're being your usual self.\Huh?\Are you frustrated because you didn't get any?\Huh? response:	They stopped us right when things were heating up.
context: If we could speak to them, we might learn something about this world.\Th-That's true...\What?\I mean, you're being your usual self.\Huh?\Are you frustrated because you didn't get any?\Huh?\They stopped us right when things were heating up. response:	Well
context: Th-That's true...\What?\I mean, you're being your usual self.\Huh?\Are you frustrated because you didn't get any?\Huh?\They stopped us right when things were heating up.\Well response:	This isn't the time.
context: What?\I mean, you're being your usual self.\Huh?\Are you frustrated because you didn't get any?\Huh?\They stopped us right when things were heating up.\Well\This isn't the time. response:	Men.
context: I mean, you're being your usual self.\Huh?\Are you frustrated because you didn't get any?\Huh?\They stopped us right when things were heating up.\Well\This isn't the time.\Men. response:	Hey, watch where you're touching!
context: Huh?\Are you frustrated because you didn't get any?\Huh?\They stopped us right when things were heating up.\Well\This isn't the time.\Men.\Hey, watch where you're touching! response:	It's not on purpose, I swear!
context: Are you frustrated because you didn't get any?\Huh?\They stopped us right when things were heating up.\Well\This isn't the time.\Men.\Hey, watch where you're touching!\It's not on purpose, I swear! response:	Stop being horny!
context: Huh?\They stopped us right when things were heating up.\Well\This isn't the time.\Men.\Hey, watch where you're touching!\It's not on purpose, I swear!\Stop being horny! response:	I'm not, I'm not!
