context: K- Kuririn, you handed it over pretty easily, considering, huh? response:	You had to work so hard to get that Dragon Ball, too.
context: K- Kuririn, you handed it over pretty easily, considering, huh?\You had to work so hard to get that Dragon Ball, too. response:	He said that was the last Dragon Ball, so it's all over now.
context: K- Kuririn, you handed it over pretty easily, considering, huh?\You had to work so hard to get that Dragon Ball, too.\He said that was the last Dragon Ball, so it's all over now. response:	If I hadn't handed it over, we definitely would have gotten killed.
context: K- Kuririn, you handed it over pretty easily, considering, huh?\You had to work so hard to get that Dragon Ball, too.\He said that was the last Dragon Ball, so it's all over now.\If I hadn't handed it over, we definitely would have gotten killed. response:	The fact that the two of us are even alive like this...
context: K- Kuririn, you handed it over pretty easily, considering, huh?\You had to work so hard to get that Dragon Ball, too.\He said that was the last Dragon Ball, so it's all over now.\If I hadn't handed it over, we definitely would have gotten killed.\The fact that the two of us are even alive like this... response:	Besides, we're probably still okay handing over that Dragon Ball.
context: K- Kuririn, you handed it over pretty easily, considering, huh?\You had to work so hard to get that Dragon Ball, too.\He said that was the last Dragon Ball, so it's all over now.\If I hadn't handed it over, we definitely would have gotten killed.\The fact that the two of us are even alive like this...\Besides, we're probably still okay handing over that Dragon Ball. response:	I'm sure that the Dragon Ball that Gohan went looking for...
context: K- Kuririn, you handed it over pretty easily, considering, huh?\You had to work so hard to get that Dragon Ball, too.\He said that was the last Dragon Ball, so it's all over now.\If I hadn't handed it over, we definitely would have gotten killed.\The fact that the two of us are even alive like this...\Besides, we're probably still okay handing over that Dragon Ball.\I'm sure that the Dragon Ball that Gohan went looking for... response:	from gathering all seven of them.
context: K- Kuririn, you handed it over pretty easily, considering, huh?\You had to work so hard to get that Dragon Ball, too.\He said that was the last Dragon Ball, so it's all over now.\If I hadn't handed it over, we definitely would have gotten killed.\The fact that the two of us are even alive like this...\Besides, we're probably still okay handing over that Dragon Ball.\I'm sure that the Dragon Ball that Gohan went looking for...\from gathering all seven of them. response:	That's right! Gohan- kun must have found that Dragon Ball already,
context: You had to work so hard to get that Dragon Ball, too.\He said that was the last Dragon Ball, so it's all over now.\If I hadn't handed it over, we definitely would have gotten killed.\The fact that the two of us are even alive like this...\Besides, we're probably still okay handing over that Dragon Ball.\I'm sure that the Dragon Ball that Gohan went looking for...\from gathering all seven of them.\That's right! Gohan- kun must have found that Dragon Ball already, response:	and now he's heading back!
context: He said that was the last Dragon Ball, so it's all over now.\If I hadn't handed it over, we definitely would have gotten killed.\The fact that the two of us are even alive like this...\Besides, we're probably still okay handing over that Dragon Ball.\I'm sure that the Dragon Ball that Gohan went looking for...\from gathering all seven of them.\That's right! Gohan- kun must have found that Dragon Ball already,\and now he's heading back! response:	That means things aren't going the way Vegeta had hoped, are they?
context: If I hadn't handed it over, we definitely would have gotten killed.\The fact that the two of us are even alive like this...\Besides, we're probably still okay handing over that Dragon Ball.\I'm sure that the Dragon Ball that Gohan went looking for...\from gathering all seven of them.\That's right! Gohan- kun must have found that Dragon Ball already,\and now he's heading back!\That means things aren't going the way Vegeta had hoped, are they? response:	Mm-hmm. As long as Vegeta doesn't find Gohan, they are.
context: The fact that the two of us are even alive like this...\Besides, we're probably still okay handing over that Dragon Ball.\I'm sure that the Dragon Ball that Gohan went looking for...\from gathering all seven of them.\That's right! Gohan- kun must have found that Dragon Ball already,\and now he's heading back!\That means things aren't going the way Vegeta had hoped, are they?\Mm-hmm. As long as Vegeta doesn't find Gohan, they are. response:	He is late, is he not?
context: Besides, we're probably still okay handing over that Dragon Ball.\I'm sure that the Dragon Ball that Gohan went looking for...\from gathering all seven of them.\That's right! Gohan- kun must have found that Dragon Ball already,\and now he's heading back!\That means things aren't going the way Vegeta had hoped, are they?\Mm-hmm. As long as Vegeta doesn't find Gohan, they are.\He is late, is he not? response:	Y- yes, sir!
context: I'm sure that the Dragon Ball that Gohan went looking for...\from gathering all seven of them.\That's right! Gohan- kun must have found that Dragon Ball already,\and now he's heading back!\That means things aren't going the way Vegeta had hoped, are they?\Mm-hmm. As long as Vegeta doesn't find Gohan, they are.\He is late, is he not?\Y- yes, sir! response:	It has been four hours.
context: from gathering all seven of them.\That's right! Gohan- kun must have found that Dragon Ball already,\and now he's heading back!\That means things aren't going the way Vegeta had hoped, are they?\Mm-hmm. As long as Vegeta doesn't find Gohan, they are.\He is late, is he not?\Y- yes, sir!\It has been four hours. response:	What could Zarbon- san be doing?
context: That's right! Gohan- kun must have found that Dragon Ball already,\and now he's heading back!\That means things aren't going the way Vegeta had hoped, are they?\Mm-hmm. As long as Vegeta doesn't find Gohan, they are.\He is late, is he not?\Y- yes, sir!\It has been four hours.\What could Zarbon- san be doing? response:	Seeing as how he has not returned,
context: and now he's heading back!\That means things aren't going the way Vegeta had hoped, are they?\Mm-hmm. As long as Vegeta doesn't find Gohan, they are.\He is late, is he not?\Y- yes, sir!\It has been four hours.\What could Zarbon- san be doing?\Seeing as how he has not returned, response:	he has either fled,
context: That means things aren't going the way Vegeta had hoped, are they?\Mm-hmm. As long as Vegeta doesn't find Gohan, they are.\He is late, is he not?\Y- yes, sir!\It has been four hours.\What could Zarbon- san be doing?\Seeing as how he has not returned,\he has either fled, response:	or he has been killed.
context: Mm-hmm. As long as Vegeta doesn't find Gohan, they are.\He is late, is he not?\Y- yes, sir!\It has been four hours.\What could Zarbon- san be doing?\Seeing as how he has not returned,\he has either fled,\or he has been killed. response:	If I had known this would happen,
context: He is late, is he not?\Y- yes, sir!\It has been four hours.\What could Zarbon- san be doing?\Seeing as how he has not returned,\he has either fled,\or he has been killed.\If I had known this would happen, response:	I should have brought the Ginyu Special Corps from the start, huh?
context: Y- yes, sir!\It has been four hours.\What could Zarbon- san be doing?\Seeing as how he has not returned,\he has either fled,\or he has been killed.\If I had known this would happen,\I should have brought the Ginyu Special Corps from the start, huh? response:	Yes, sir! C- concerning that,
context: It has been four hours.\What could Zarbon- san be doing?\Seeing as how he has not returned,\he has either fled,\or he has been killed.\If I had known this would happen,\I should have brought the Ginyu Special Corps from the start, huh?\Yes, sir! C- concerning that, response:	according to a message we just received from Planet Freeza,
context: What could Zarbon- san be doing?\Seeing as how he has not returned,\he has either fled,\or he has been killed.\If I had known this would happen,\I should have brought the Ginyu Special Corps from the start, huh?\Yes, sir! C- concerning that,\according to a message we just received from Planet Freeza, response:	preparations for the Ginyu Special Corps' departure are complete.
context: Seeing as how he has not returned,\he has either fled,\or he has been killed.\If I had known this would happen,\I should have brought the Ginyu Special Corps from the start, huh?\Yes, sir! C- concerning that,\according to a message we just received from Planet Freeza,\preparations for the Ginyu Special Corps' departure are complete. response:	Is that so? I look forward to it.
context: he has either fled,\or he has been killed.\If I had known this would happen,\I should have brought the Ginyu Special Corps from the start, huh?\Yes, sir! C- concerning that,\according to a message we just received from Planet Freeza,\preparations for the Ginyu Special Corps' departure are complete.\Is that so? I look forward to it. response:	Now then...
context: or he has been killed.\If I had known this would happen,\I should have brought the Ginyu Special Corps from the start, huh?\Yes, sir! C- concerning that,\according to a message we just received from Planet Freeza,\preparations for the Ginyu Special Corps' departure are complete.\Is that so? I look forward to it.\Now then... response:	I have no need of cowardly men, like yourself.
context: If I had known this would happen,\I should have brought the Ginyu Special Corps from the start, huh?\Yes, sir! C- concerning that,\according to a message we just received from Planet Freeza,\preparations for the Ginyu Special Corps' departure are complete.\Is that so? I look forward to it.\Now then...\I have no need of cowardly men, like yourself. response:	Be gone.
context: I should have brought the Ginyu Special Corps from the start, huh?\Yes, sir! C- concerning that,\according to a message we just received from Planet Freeza,\preparations for the Ginyu Special Corps' departure are complete.\Is that so? I look forward to it.\Now then...\I have no need of cowardly men, like yourself.\Be gone. response:	Ginyu Special Corps, launch!
context: Yes, sir! C- concerning that,\according to a message we just received from Planet Freeza,\preparations for the Ginyu Special Corps' departure are complete.\Is that so? I look forward to it.\Now then...\I have no need of cowardly men, like yourself.\Be gone.\Ginyu Special Corps, launch! response:	What exactly is happening on Planet Namek!?
context: according to a message we just received from Planet Freeza,\preparations for the Ginyu Special Corps' departure are complete.\Is that so? I look forward to it.\Now then...\I have no need of cowardly men, like yourself.\Be gone.\Ginyu Special Corps, launch!\What exactly is happening on Planet Namek!? response:	W- what's this!?
context: preparations for the Ginyu Special Corps' departure are complete.\Is that so? I look forward to it.\Now then...\I have no need of cowardly men, like yourself.\Be gone.\Ginyu Special Corps, launch!\What exactly is happening on Planet Namek!?\W- what's this!? response:	There's an enormous power headed for Planet Namek.
context: Is that so? I look forward to it.\Now then...\I have no need of cowardly men, like yourself.\Be gone.\Ginyu Special Corps, launch!\What exactly is happening on Planet Namek!?\W- what's this!?\There's an enormous power headed for Planet Namek. response:	Is it Goku?
context: Now then...\I have no need of cowardly men, like yourself.\Be gone.\Ginyu Special Corps, launch!\What exactly is happening on Planet Namek!?\W- what's this!?\There's an enormous power headed for Planet Namek.\Is it Goku? response:	There are five of them. Is this...
context: I have no need of cowardly men, like yourself.\Be gone.\Ginyu Special Corps, launch!\What exactly is happening on Planet Namek!?\W- what's this!?\There's an enormous power headed for Planet Namek.\Is it Goku?\There are five of them. Is this... response:	The Ginyu Special Corps?
context: Be gone.\Ginyu Special Corps, launch!\What exactly is happening on Planet Namek!?\W- what's this!?\There's an enormous power headed for Planet Namek.\Is it Goku?\There are five of them. Is this...\The Ginyu Special Corps? response:	Mm-hmm. They are the evil overlord Freeza's special private squad.
context: Ginyu Special Corps, launch!\What exactly is happening on Planet Namek!?\W- what's this!?\There's an enormous power headed for Planet Namek.\Is it Goku?\There are five of them. Is this...\The Ginyu Special Corps?\Mm-hmm. They are the evil overlord Freeza's special private squad. response:	The Ginyu Special Corps have always operated
context: What exactly is happening on Planet Namek!?\W- what's this!?\There's an enormous power headed for Planet Namek.\Is it Goku?\There are five of them. Is this...\The Ginyu Special Corps?\Mm-hmm. They are the evil overlord Freeza's special private squad.\The Ginyu Special Corps have always operated response:	in the shadows of Freeza's rule over the universe.
context: W- what's this!?\There's an enormous power headed for Planet Namek.\Is it Goku?\There are five of them. Is this...\The Ginyu Special Corps?\Mm-hmm. They are the evil overlord Freeza's special private squad.\The Ginyu Special Corps have always operated\in the shadows of Freeza's rule over the universe. response:	I don't know about Ginyu, or whatever,
context: There's an enormous power headed for Planet Namek.\Is it Goku?\There are five of them. Is this...\The Ginyu Special Corps?\Mm-hmm. They are the evil overlord Freeza's special private squad.\The Ginyu Special Corps have always operated\in the shadows of Freeza's rule over the universe.\I don't know about Ginyu, or whatever, response:	but we'll put those guys down g-iny-ood and hard!
context: Is it Goku?\There are five of them. Is this...\The Ginyu Special Corps?\Mm-hmm. They are the evil overlord Freeza's special private squad.\The Ginyu Special Corps have always operated\in the shadows of Freeza's rule over the universe.\I don't know about Ginyu, or whatever,\but we'll put those guys down g-iny-ood and hard! response:	That was funny, that was funny!
context: There are five of them. Is this...\The Ginyu Special Corps?\Mm-hmm. They are the evil overlord Freeza's special private squad.\The Ginyu Special Corps have always operated\in the shadows of Freeza's rule over the universe.\I don't know about Ginyu, or whatever,\but we'll put those guys down g-iny-ood and hard!\That was funny, that was funny! response:	Kaio- sama, how was that pun-?
context: The Ginyu Special Corps?\Mm-hmm. They are the evil overlord Freeza's special private squad.\The Ginyu Special Corps have always operated\in the shadows of Freeza's rule over the universe.\I don't know about Ginyu, or whatever,\but we'll put those guys down g-iny-ood and hard!\That was funny, that was funny!\Kaio- sama, how was that pun-? response:	Kaio- sama...
context: Mm-hmm. They are the evil overlord Freeza's special private squad.\The Ginyu Special Corps have always operated\in the shadows of Freeza's rule over the universe.\I don't know about Ginyu, or whatever,\but we'll put those guys down g-iny-ood and hard!\That was funny, that was funny!\Kaio- sama, how was that pun-?\Kaio- sama... response:	The Ginyu Special Corps - a fearsome squad of evil.
context: The Ginyu Special Corps have always operated\in the shadows of Freeza's rule over the universe.\I don't know about Ginyu, or whatever,\but we'll put those guys down g-iny-ood and hard!\That was funny, that was funny!\Kaio- sama, how was that pun-?\Kaio- sama...\The Ginyu Special Corps - a fearsome squad of evil. response:	Each one of their powers might be higher than even Goku's.
context: in the shadows of Freeza's rule over the universe.\I don't know about Ginyu, or whatever,\but we'll put those guys down g-iny-ood and hard!\That was funny, that was funny!\Kaio- sama, how was that pun-?\Kaio- sama...\The Ginyu Special Corps - a fearsome squad of evil.\Each one of their powers might be higher than even Goku's. response:	And there are five of them.
context: I don't know about Ginyu, or whatever,\but we'll put those guys down g-iny-ood and hard!\That was funny, that was funny!\Kaio- sama, how was that pun-?\Kaio- sama...\The Ginyu Special Corps - a fearsome squad of evil.\Each one of their powers might be higher than even Goku's.\And there are five of them. response:	For some reason, it feels like my body has suddenly become lighter.
context: but we'll put those guys down g-iny-ood and hard!\That was funny, that was funny!\Kaio- sama, how was that pun-?\Kaio- sama...\The Ginyu Special Corps - a fearsome squad of evil.\Each one of their powers might be higher than even Goku's.\And there are five of them.\For some reason, it feels like my body has suddenly become lighter. response:	All right, one more burst!
context: That was funny, that was funny!\Kaio- sama, how was that pun-?\Kaio- sama...\The Ginyu Special Corps - a fearsome squad of evil.\Each one of their powers might be higher than even Goku's.\And there are five of them.\For some reason, it feels like my body has suddenly become lighter.\All right, one more burst! response:	Something's coming from straight ahead!
context: Kaio- sama, how was that pun-?\Kaio- sama...\The Ginyu Special Corps - a fearsome squad of evil.\Each one of their powers might be higher than even Goku's.\And there are five of them.\For some reason, it feels like my body has suddenly become lighter.\All right, one more burst!\Something's coming from straight ahead! response:	It's a very strong Ki...
context: Kaio- sama...\The Ginyu Special Corps - a fearsome squad of evil.\Each one of their powers might be higher than even Goku's.\And there are five of them.\For some reason, it feels like my body has suddenly become lighter.\All right, one more burst!\Something's coming from straight ahead!\It's a very strong Ki... response:	Vegeta!
context: The Ginyu Special Corps - a fearsome squad of evil.\Each one of their powers might be higher than even Goku's.\And there are five of them.\For some reason, it feels like my body has suddenly become lighter.\All right, one more burst!\Something's coming from straight ahead!\It's a very strong Ki...\Vegeta! response:	All of a sudden, there's a strong battle power in front of me...
context: Each one of their powers might be higher than even Goku's.\And there are five of them.\For some reason, it feels like my body has suddenly become lighter.\All right, one more burst!\Something's coming from straight ahead!\It's a very strong Ki...\Vegeta!\All of a sudden, there's a strong battle power in front of me... response:	l have to mask my Ki...
context: And there are five of them.\For some reason, it feels like my body has suddenly become lighter.\All right, one more burst!\Something's coming from straight ahead!\It's a very strong Ki...\Vegeta!\All of a sudden, there's a strong battle power in front of me...\l have to mask my Ki... response:	The presence just disappeared. Impossible...
context: For some reason, it feels like my body has suddenly become lighter.\All right, one more burst!\Something's coming from straight ahead!\It's a very strong Ki...\Vegeta!\All of a sudden, there's a strong battle power in front of me...\l have to mask my Ki...\The presence just disappeared. Impossible... response:	I'm sure it was around here.
context: All right, one more burst!\Something's coming from straight ahead!\It's a very strong Ki...\Vegeta!\All of a sudden, there's a strong battle power in front of me...\l have to mask my Ki...\The presence just disappeared. Impossible...\I'm sure it was around here. response:	Vegeta! Hurry and get out of here!
context: Something's coming from straight ahead!\It's a very strong Ki...\Vegeta!\All of a sudden, there's a strong battle power in front of me...\l have to mask my Ki...\The presence just disappeared. Impossible...\I'm sure it was around here.\Vegeta! Hurry and get out of here! response:	Who's there!? Come on out!
context: It's a very strong Ki...\Vegeta!\All of a sudden, there's a strong battle power in front of me...\l have to mask my Ki...\The presence just disappeared. Impossible...\I'm sure it was around here.\Vegeta! Hurry and get out of here!\Who's there!? Come on out! response:	I know you're there!
context: Vegeta!\All of a sudden, there's a strong battle power in front of me...\l have to mask my Ki...\The presence just disappeared. Impossible...\I'm sure it was around here.\Vegeta! Hurry and get out of here!\Who's there!? Come on out!\I know you're there! response:	If you don't show yourself at once,
context: All of a sudden, there's a strong battle power in front of me...\l have to mask my Ki...\The presence just disappeared. Impossible...\I'm sure it was around here.\Vegeta! Hurry and get out of here!\Who's there!? Come on out!\I know you're there!\If you don't show yourself at once, response:	I'm going to blow this whole area away!
context: l have to mask my Ki...\The presence just disappeared. Impossible...\I'm sure it was around here.\Vegeta! Hurry and get out of here!\Who's there!? Come on out!\I know you're there!\If you don't show yourself at once,\I'm going to blow this whole area away! response:	H - he wouldn't!
context: The presence just disappeared. Impossible...\I'm sure it was around here.\Vegeta! Hurry and get out of here!\Who's there!? Come on out!\I know you're there!\If you don't show yourself at once,\I'm going to blow this whole area away!\H - he wouldn't! response:	What's the matter!? Huh!?
context: I'm sure it was around here.\Vegeta! Hurry and get out of here!\Who's there!? Come on out!\I know you're there!\If you don't show yourself at once,\I'm going to blow this whole area away!\H - he wouldn't!\What's the matter!? Huh!? response:	All right, I wonder if I had better jump out and fight Vegeta. But then...
