context: The strawberry glasses were still being sold at the 100 yen store. response:	But when I thought about how importantly Hachi treated them
context: The strawberry glasses were still being sold at the 100 yen store.\But when I thought about how importantly Hachi treated them response:	without buying any spares,
context: The strawberry glasses were still being sold at the 100 yen store.\But when I thought about how importantly Hachi treated them\without buying any spares, response:	the cut on my left cheek that I don't even remember getting
context: The strawberry glasses were still being sold at the 100 yen store.\But when I thought about how importantly Hachi treated them\without buying any spares,\the cut on my left cheek that I don't even remember getting response:	started hurting like hell.
context: The strawberry glasses were still being sold at the 100 yen store.\But when I thought about how importantly Hachi treated them\without buying any spares,\the cut on my left cheek that I don't even remember getting\started hurting like hell. response:	Blinking eyes call the wind
context: The strawberry glasses were still being sold at the 100 yen store.\But when I thought about how importantly Hachi treated them\without buying any spares,\the cut on my left cheek that I don't even remember getting\started hurting like hell.\Blinking eyes call the wind response:	A smile clears all the noise away
context: The strawberry glasses were still being sold at the 100 yen store.\But when I thought about how importantly Hachi treated them\without buying any spares,\the cut on my left cheek that I don't even remember getting\started hurting like hell.\Blinking eyes call the wind\A smile clears all the noise away response:	The angel in your eyes whispers
context: The strawberry glasses were still being sold at the 100 yen store.\But when I thought about how importantly Hachi treated them\without buying any spares,\the cut on my left cheek that I don't even remember getting\started hurting like hell.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers response:	Everything begins now
context: But when I thought about how importantly Hachi treated them\without buying any spares,\the cut on my left cheek that I don't even remember getting\started hurting like hell.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now response:	Can you feel it now Can you feel it now
context: without buying any spares,\the cut on my left cheek that I don't even remember getting\started hurting like hell.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now response:	It's like being caught in a wave
context: the cut on my left cheek that I don't even remember getting\started hurting like hell.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave response:	Pulling on my heart Pulling on my heart
context: started hurting like hell.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart response:	Breath held, arms reaching out
context: Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out response:	Baby this world is different from yesterday's
context: A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's response:	You're the only one I can see
context: The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see response:	Baby my wish on a wing
context: Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing response:	This sky is torn
context: Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn response:	By a single overflowing word
context: It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word response:	That will be 105 yen.
context: Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\That will be 105 yen. response:	Tonight, I'll return home and apologize to Hachi.
context: Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\That will be 105 yen.\Tonight, I'll return home and apologize to Hachi. response:	Thank you very much.
context: Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\That will be 105 yen.\Tonight, I'll return home and apologize to Hachi.\Thank you very much. response:	The glass probably broke.
context: You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\That will be 105 yen.\Tonight, I'll return home and apologize to Hachi.\Thank you very much.\The glass probably broke. response:	I can't remember, but I think that's what happened.
context: Baby my wish on a wing\This sky is torn\By a single overflowing word\That will be 105 yen.\Tonight, I'll return home and apologize to Hachi.\Thank you very much.\The glass probably broke.\I can't remember, but I think that's what happened. response:	It's also a mystery how I ended up at Ren's place
context: This sky is torn\By a single overflowing word\That will be 105 yen.\Tonight, I'll return home and apologize to Hachi.\Thank you very much.\The glass probably broke.\I can't remember, but I think that's what happened.\It's also a mystery how I ended up at Ren's place response:	when I was trying to be careful not to cause a scandal...
context: By a single overflowing word\That will be 105 yen.\Tonight, I'll return home and apologize to Hachi.\Thank you very much.\The glass probably broke.\I can't remember, but I think that's what happened.\It's also a mystery how I ended up at Ren's place\when I was trying to be careful not to cause a scandal... response:	I can't rely on Yasu's kindness anymore.
context: That will be 105 yen.\Tonight, I'll return home and apologize to Hachi.\Thank you very much.\The glass probably broke.\I can't remember, but I think that's what happened.\It's also a mystery how I ended up at Ren's place\when I was trying to be careful not to cause a scandal...\I can't rely on Yasu's kindness anymore. response:	Because Yasu isn't mine.
context: Tonight, I'll return home and apologize to Hachi.\Thank you very much.\The glass probably broke.\I can't remember, but I think that's what happened.\It's also a mystery how I ended up at Ren's place\when I was trying to be careful not to cause a scandal...\I can't rely on Yasu's kindness anymore.\Because Yasu isn't mine. response:	Reira, I'm sorry, but I've gotta get back to work right away.
context: Thank you very much.\The glass probably broke.\I can't remember, but I think that's what happened.\It's also a mystery how I ended up at Ren's place\when I was trying to be careful not to cause a scandal...\I can't rely on Yasu's kindness anymore.\Because Yasu isn't mine.\Reira, I'm sorry, but I've gotta get back to work right away. response:	Sorry.
context: The glass probably broke.\I can't remember, but I think that's what happened.\It's also a mystery how I ended up at Ren's place\when I was trying to be careful not to cause a scandal...\I can't rely on Yasu's kindness anymore.\Because Yasu isn't mine.\Reira, I'm sorry, but I've gotta get back to work right away.\Sorry. response:	I'll come home as soon as I can.
context: I can't remember, but I think that's what happened.\It's also a mystery how I ended up at Ren's place\when I was trying to be careful not to cause a scandal...\I can't rely on Yasu's kindness anymore.\Because Yasu isn't mine.\Reira, I'm sorry, but I've gotta get back to work right away.\Sorry.\I'll come home as soon as I can. response:	Can you be here on your own until then?
context: It's also a mystery how I ended up at Ren's place\when I was trying to be careful not to cause a scandal...\I can't rely on Yasu's kindness anymore.\Because Yasu isn't mine.\Reira, I'm sorry, but I've gotta get back to work right away.\Sorry.\I'll come home as soon as I can.\Can you be here on your own until then? response:	I'm locking the door behind me. Don't open the door for anyone.
